,C36:1 DAG,palmitoylcarnitine,GABA,C34:2 DAG,1-methylnicotinamide,niacinamide,creatine,N-carbamoyl-beta-alanine,dCMP,acetylcholine,hexoses (HILIC neg),butyrylcarnitine/isobutyrylcarnitine,C18:0 LPC,adenosine,C56:5 TAG,5-HIAA,carnitine,C22:6 CE,putrescine,C56:3 TAG,cotinine,glutamine,homocysteine,cytidine,asparagine,inositol,malondialdehyde,alpha-hydroxybutyrate,PEP,inosine
27,0.0,11.0,20.0,10.0,15.0,18.0,56.0,4.0,9.0,55.0,28.0,13.0,12.0,1.0,35.0,21.0,8.0,36.0,5.0,2.0,61.0,3.0,32.0,26.0,41.0,30.0,22.0,24.0,31.0,29.0
76,0.0,13.0,61.0,8.0,41.0,10.0,64.0,2.0,47.0,9.0,28.0,12.0,11.0,54.0,62.0,6.0,42.0,1.0,7.0,3.0,18.0,57.0,66.0,25.0,56.0,4.0,17.0,65.0,5.0,30.0
125,0.0,11.0,19.0,8.0,14.0,18.0,3.0,65.0,31.0,17.0,6.0,36.0,5.0,15.0,55.0,20.0,12.0,16.0,7.0,23.0,1.0,50.0,2.0,29.0,21.0,9.0,4.0,48.0,35.0,24.0
174,0.0,12.0,49.0,11.0,53.0,20.0,60.0,4.0,45.0,6.0,47.0,13.0,10.0,17.0,3.0,2.0,51.0,22.0,9.0,1.0,55.0,14.0,33.0,27.0,38.0,25.0,30.0,42.0,7.0,52.0
223,5.0,0.0,14.0,42.0,49.0,1.0,59.0,11.0,32.0,58.0,30.0,46.0,9.0,15.0,55.0,7.0,12.0,21.0,13.0,24.0,17.0,3.0,16.0,6.0,50.0,26.0,23.0,38.0,63.0,2.0
272,1.0,6.0,16.0,2.0,0.0,13.0,19.0,62.0,29.0,11.0,30.0,15.0,25.0,31.0,60.0,18.0,14.0,12.0,22.0,23.0,34.0,20.0,66.0,28.0,56.0,9.0,3.0,7.0,33.0,48.0
321,1.0,12.0,6.0,11.0,13.0,21.0,14.0,8.0,48.0,2.0,29.0,17.0,0.0,20.0,15.0,16.0,37.0,23.0,7.0,4.0,43.0,19.0,66.0,26.0,59.0,9.0,57.0,31.0,28.0,51.0
370,0.0,6.0,21.0,4.0,16.0,19.0,64.0,61.0,28.0,10.0,17.0,18.0,24.0,9.0,20.0,22.0,7.0,3.0,8.0,2.0,26.0,25.0,15.0,1.0,29.0,11.0,27.0,54.0,47.0,56.0
419,0.0,6.0,3.0,10.0,15.0,5.0,61.0,4.0,8.0,19.0,11.0,34.0,12.0,18.0,56.0,22.0,2.0,21.0,7.0,1.0,16.0,14.0,24.0,9.0,23.0,26.0,27.0,51.0,30.0,32.0
468,11.0,4.0,6.0,9.0,17.0,3.0,63.0,61.0,48.0,62.0,12.0,14.0,39.0,44.0,15.0,5.0,21.0,1.0,10.0,0.0,35.0,18.0,66.0,25.0,56.0,20.0,19.0,8.0,29.0,50.0
517,1.0,11.0,2.0,19.0,22.0,9.0,10.0,8.0,0.0,60.0,6.0,48.0,16.0,62.0,56.0,13.0,57.0,21.0,50.0,24.0,14.0,52.0,12.0,4.0,23.0,51.0,26.0,27.0,25.0,31.0
566,10.0,23.0,17.0,9.0,18.0,16.0,65.0,15.0,2.0,5.0,33.0,48.0,24.0,13.0,52.0,26.0,22.0,11.0,21.0,66.0,4.0,50.0,27.0,1.0,29.0,53.0,31.0,0.0,63.0,57.0
615,0.0,5.0,3.0,10.0,49.0,65.0,24.0,17.0,8.0,60.0,6.0,47.0,13.0,18.0,55.0,14.0,23.0,9.0,22.0,26.0,20.0,21.0,1.0,11.0,25.0,53.0,27.0,2.0,4.0,31.0
664,11.0,36.0,19.0,10.0,22.0,16.0,60.0,0.0,1.0,5.0,30.0,47.0,21.0,6.0,56.0,54.0,65.0,18.0,49.0,23.0,7.0,52.0,66.0,28.0,51.0,25.0,39.0,27.0,33.0,31.0
713,1.0,32.0,4.0,5.0,20.0,25.0,13.0,3.0,18.0,24.0,2.0,8.0,7.0,22.0,53.0,50.0,65.0,14.0,19.0,11.0,9.0,49.0,28.0,12.0,52.0,58.0,29.0,60.0,36.0,23.0
762,0.0,42.0,13.0,1.0,6.0,10.0,17.0,15.0,2.0,9.0,28.0,37.0,21.0,61.0,14.0,12.0,19.0,44.0,56.0,25.0,7.0,24.0,66.0,31.0,47.0,3.0,49.0,34.0,30.0,27.0
811,4.0,19.0,8.0,22.0,1.0,13.0,16.0,12.0,37.0,23.0,0.0,52.0,6.0,17.0,11.0,9.0,53.0,48.0,18.0,3.0,2.0,24.0,66.0,32.0,40.0,29.0,27.0,5.0,34.0,35.0
860,1.0,14.0,0.0,3.0,9.0,64.0,12.0,30.0,2.0,5.0,11.0,16.0,20.0,19.0,7.0,23.0,33.0,10.0,13.0,66.0,4.0,59.0,41.0,8.0,15.0,57.0,17.0,18.0,31.0,6.0
909,0.0,13.0,5.0,21.0,47.0,7.0,16.0,3.0,11.0,58.0,10.0,45.0,34.0,1.0,20.0,22.0,46.0,23.0,4.0,9.0,14.0,8.0,66.0,29.0,24.0,27.0,37.0,2.0,26.0,28.0
958,0.0,14.0,1.0,5.0,3.0,20.0,18.0,15.0,25.0,17.0,6.0,10.0,8.0,19.0,9.0,11.0,35.0,42.0,40.0,66.0,22.0,4.0,45.0,24.0,13.0,21.0,12.0,2.0,7.0,30.0
1007,1.0,6.0,5.0,20.0,8.0,10.0,7.0,0.0,39.0,11.0,33.0,15.0,18.0,12.0,56.0,4.0,50.0,3.0,13.0,66.0,22.0,14.0,2.0,30.0,23.0,26.0,29.0,27.0,37.0,35.0
1056,10.0,20.0,13.0,9.0,18.0,14.0,6.0,1.0,8.0,15.0,12.0,17.0,22.0,16.0,7.0,27.0,65.0,25.0,19.0,3.0,63.0,50.0,28.0,2.0,4.0,53.0,52.0,0.0,31.0,33.0
1105,0.0,23.0,63.0,1.0,12.0,4.0,11.0,16.0,9.0,7.0,33.0,19.0,29.0,15.0,17.0,20.0,18.0,10.0,44.0,2.0,25.0,13.0,66.0,32.0,60.0,26.0,58.0,24.0,3.0,35.0
1154,0.0,10.0,1.0,3.0,17.0,4.0,2.0,18.0,6.0,19.0,7.0,14.0,34.0,29.0,62.0,20.0,35.0,24.0,16.0,15.0,40.0,13.0,66.0,5.0,12.0,9.0,58.0,21.0,31.0,49.0
1203,0.0,11.0,9.0,32.0,45.0,17.0,4.0,15.0,35.0,19.0,33.0,1.0,43.0,3.0,62.0,12.0,38.0,8.0,36.0,21.0,31.0,5.0,66.0,27.0,59.0,2.0,20.0,22.0,6.0,7.0
1252,23.0,22.0,14.0,9.0,19.0,16.0,3.0,53.0,33.0,56.0,11.0,21.0,24.0,18.0,15.0,4.0,20.0,10.0,49.0,1.0,28.0,31.0,30.0,44.0,2.0,54.0,51.0,0.0,35.0,5.0
1301,1.0,13.0,5.0,20.0,0.0,7.0,2.0,6.0,39.0,59.0,32.0,33.0,37.0,18.0,54.0,22.0,15.0,11.0,46.0,25.0,17.0,23.0,66.0,10.0,24.0,3.0,26.0,4.0,30.0,31.0
1350,4.0,18.0,60.0,12.0,2.0,7.0,1.0,17.0,27.0,6.0,31.0,15.0,10.0,43.0,61.0,5.0,34.0,0.0,40.0,14.0,19.0,57.0,66.0,25.0,13.0,54.0,55.0,3.0,11.0,46.0
1399,23.0,9.0,10.0,30.0,35.0,7.0,1.0,3.0,25.0,62.0,26.0,5.0,11.0,17.0,60.0,13.0,41.0,4.0,18.0,14.0,46.0,6.0,66.0,24.0,57.0,15.0,0.0,21.0,33.0,31.0
1448,12.0,7.0,16.0,11.0,4.0,2.0,15.0,3.0,9.0,24.0,14.0,45.0,23.0,19.0,55.0,20.0,22.0,13.0,65.0,0.0,21.0,25.0,26.0,10.0,31.0,8.0,52.0,5.0,6.0,28.0
1497,0.0,5.0,9.0,3.0,1.0,24.0,66.0,56.0,19.0,7.0,22.0,41.0,18.0,20.0,8.0,51.0,6.0,15.0,49.0,12.0,63.0,57.0,11.0,34.0,40.0,32.0,31.0,58.0,10.0,14.0
1546,1.0,2.0,0.0,42.0,13.0,15.0,12.0,10.0,16.0,9.0,3.0,33.0,17.0,64.0,59.0,18.0,8.0,30.0,31.0,11.0,20.0,21.0,7.0,61.0,4.0,53.0,23.0,5.0,29.0,6.0
1595,5.0,10.0,1.0,0.0,17.0,15.0,11.0,14.0,6.0,2.0,8.0,16.0,9.0,12.0,55.0,13.0,18.0,4.0,65.0,3.0,64.0,19.0,66.0,29.0,23.0,26.0,28.0,50.0,31.0,32.0
1644,4.0,1.0,18.0,5.0,31.0,15.0,14.0,16.0,0.0,61.0,11.0,12.0,20.0,62.0,17.0,6.0,2.0,44.0,39.0,9.0,48.0,24.0,8.0,45.0,7.0,65.0,23.0,57.0,25.0,26.0
1693,11.0,1.0,20.0,9.0,56.0,19.0,6.0,4.0,31.0,17.0,32.0,33.0,22.0,23.0,0.0,2.0,13.0,44.0,14.0,3.0,64.0,50.0,24.0,29.0,49.0,7.0,15.0,48.0,5.0,61.0
1742,0.0,1.0,57.0,9.0,5.0,18.0,16.0,19.0,8.0,17.0,28.0,14.0,13.0,4.0,3.0,21.0,7.0,20.0,46.0,2.0,48.0,22.0,66.0,27.0,15.0,31.0,37.0,12.0,30.0,25.0
1791,2.0,12.0,0.0,21.0,4.0,6.0,7.0,56.0,3.0,20.0,29.0,23.0,16.0,17.0,54.0,51.0,1.0,22.0,45.0,11.0,15.0,9.0,25.0,39.0,24.0,48.0,30.0,5.0,8.0,10.0
1840,8.0,21.0,2.0,9.0,66.0,14.0,16.0,0.0,32.0,15.0,6.0,5.0,11.0,23.0,3.0,19.0,1.0,13.0,18.0,7.0,17.0,50.0,26.0,10.0,48.0,33.0,49.0,31.0,28.0,29.0
1889,9.0,4.0,12.0,0.0,18.0,16.0,14.0,8.0,1.0,13.0,33.0,20.0,5.0,15.0,11.0,19.0,2.0,25.0,50.0,28.0,26.0,52.0,17.0,31.0,64.0,60.0,30.0,32.0,55.0,3.0
1938,1.0,0.0,10.0,11.0,9.0,23.0,63.0,22.0,14.0,27.0,48.0,4.0,6.0,20.0,16.0,60.0,7.0,19.0,32.0,31.0,43.0,3.0,66.0,30.0,59.0,5.0,57.0,56.0,8.0,15.0
1987,0.0,13.0,5.0,1.0,3.0,20.0,18.0,57.0,28.0,2.0,10.0,7.0,8.0,17.0,6.0,53.0,16.0,22.0,46.0,4.0,48.0,50.0,25.0,45.0,12.0,49.0,27.0,52.0,56.0,9.0
2036,14.0,11.0,1.0,13.0,6.0,19.0,5.0,3.0,32.0,4.0,10.0,15.0,18.0,16.0,20.0,53.0,22.0,21.0,8.0,24.0,49.0,50.0,23.0,41.0,2.0,0.0,28.0,25.0,30.0,9.0
2085,0.0,4.0,54.0,19.0,9.0,7.0,8.0,6.0,32.0,60.0,3.0,39.0,2.0,16.0,55.0,20.0,47.0,45.0,22.0,24.0,13.0,51.0,23.0,41.0,50.0,10.0,11.0,25.0,1.0,5.0
2134,7.0,3.0,19.0,27.0,0.0,60.0,63.0,22.0,1.0,62.0,10.0,34.0,17.0,5.0,20.0,8.0,36.0,33.0,23.0,66.0,55.0,58.0,45.0,9.0,16.0,4.0,57.0,21.0,24.0,2.0
2183,21.0,66.0,64.0,1.0,16.0,6.0,13.0,11.0,4.0,63.0,5.0,24.0,7.0,14.0,51.0,55.0,17.0,22.0,54.0,36.0,57.0,39.0,25.0,2.0,18.0,26.0,3.0,0.0,58.0,9.0
2232,21.0,34.0,6.0,20.0,4.0,11.0,12.0,57.0,7.0,59.0,0.0,17.0,8.0,13.0,2.0,52.0,15.0,22.0,16.0,1.0,48.0,5.0,25.0,41.0,3.0,47.0,56.0,49.0,32.0,10.0
2281,31.0,14.0,1.0,8.0,9.0,6.0,4.0,18.0,34.0,19.0,0.0,17.0,22.0,20.0,16.0,10.0,5.0,36.0,3.0,15.0,65.0,13.0,66.0,48.0,12.0,56.0,57.0,30.0,11.0,2.0
2330,0.0,23.0,21.0,3.0,11.0,8.0,19.0,15.0,27.0,5.0,2.0,9.0,38.0,24.0,16.0,62.0,37.0,32.0,10.0,4.0,42.0,59.0,66.0,6.0,14.0,22.0,18.0,31.0,53.0,49.0
2379,1.0,34.0,52.0,11.0,16.0,56.0,8.0,9.0,10.0,58.0,32.0,25.0,6.0,3.0,53.0,19.0,65.0,24.0,12.0,27.0,62.0,26.0,66.0,2.0,49.0,55.0,51.0,57.0,28.0,5.0
2428,12.0,5.0,4.0,33.0,0.0,8.0,28.0,19.0,27.0,13.0,7.0,15.0,1.0,21.0,63.0,61.0,14.0,31.0,11.0,66.0,39.0,58.0,41.0,24.0,3.0,2.0,57.0,10.0,23.0,26.0
2477,0.0,8.0,54.0,10.0,3.0,58.0,17.0,18.0,33.0,60.0,28.0,4.0,22.0,16.0,19.0,52.0,14.0,21.0,37.0,25.0,47.0,20.0,24.0,1.0,48.0,2.0,29.0,6.0,64.0,41.0
2526,2.0,44.0,4.0,6.0,0.0,12.0,13.0,11.0,35.0,7.0,27.0,18.0,20.0,22.0,10.0,54.0,65.0,5.0,17.0,24.0,15.0,51.0,14.0,3.0,50.0,26.0,23.0,25.0,30.0,64.0
2575,24.0,8.0,5.0,13.0,18.0,21.0,19.0,6.0,1.0,7.0,3.0,16.0,2.0,60.0,54.0,52.0,47.0,11.0,17.0,4.0,63.0,15.0,25.0,0.0,33.0,26.0,49.0,29.0,48.0,38.0
2624,1.0,20.0,4.0,10.0,3.0,57.0,12.0,13.0,2.0,16.0,46.0,25.0,21.0,24.0,15.0,7.0,19.0,9.0,49.0,26.0,18.0,39.0,17.0,8.0,34.0,54.0,31.0,0.0,29.0,32.0
2673,24.0,7.0,11.0,10.0,1.0,16.0,63.0,22.0,5.0,18.0,27.0,2.0,8.0,20.0,61.0,60.0,36.0,9.0,19.0,23.0,55.0,13.0,66.0,4.0,12.0,33.0,65.0,0.0,30.0,34.0
2722,1.0,10.0,0.0,2.0,14.0,57.0,8.0,56.0,5.0,59.0,6.0,23.0,18.0,13.0,12.0,52.0,65.0,22.0,15.0,25.0,64.0,24.0,11.0,4.0,47.0,30.0,33.0,3.0,46.0,42.0
2771,0.0,5.0,62.0,1.0,41.0,18.0,64.0,17.0,11.0,63.0,6.0,14.0,20.0,10.0,21.0,60.0,31.0,37.0,13.0,66.0,39.0,16.0,22.0,4.0,57.0,54.0,55.0,9.0,51.0,48.0
2820,40.0,0.0,1.0,26.0,3.0,6.0,43.0,16.0,25.0,18.0,7.0,13.0,31.0,28.0,21.0,61.0,20.0,4.0,34.0,15.0,17.0,59.0,66.0,46.0,2.0,11.0,12.0,9.0,32.0,23.0
2869,7.0,9.0,3.0,5.0,24.0,23.0,64.0,16.0,11.0,8.0,27.0,17.0,1.0,31.0,61.0,59.0,41.0,30.0,32.0,66.0,13.0,57.0,43.0,28.0,56.0,19.0,18.0,0.0,4.0,6.0
2918,9.0,18.0,7.0,33.0,6.0,5.0,12.0,1.0,26.0,13.0,29.0,17.0,10.0,19.0,15.0,62.0,16.0,24.0,36.0,66.0,65.0,59.0,44.0,0.0,58.0,14.0,2.0,3.0,8.0,50.0
2967,0.0,7.0,4.0,23.0,17.0,13.0,10.0,6.0,35.0,14.0,5.0,9.0,39.0,55.0,12.0,11.0,16.0,3.0,18.0,26.0,24.0,41.0,2.0,32.0,25.0,29.0,28.0,62.0,31.0,27.0
3016,2.0,0.0,20.0,11.0,13.0,8.0,7.0,1.0,3.0,9.0,6.0,18.0,38.0,53.0,62.0,14.0,15.0,29.0,35.0,66.0,12.0,16.0,21.0,45.0,17.0,19.0,4.0,57.0,25.0,22.0
3065,0.0,7.0,1.0,26.0,19.0,17.0,2.0,16.0,48.0,6.0,3.0,14.0,10.0,64.0,60.0,20.0,38.0,5.0,18.0,66.0,31.0,11.0,8.0,47.0,56.0,15.0,9.0,21.0,33.0,29.0
3114,3.0,2.0,9.0,21.0,49.0,14.0,10.0,0.0,5.0,22.0,27.0,19.0,4.0,16.0,55.0,7.0,65.0,33.0,8.0,24.0,15.0,1.0,12.0,47.0,17.0,25.0,26.0,50.0,58.0,64.0
3163,0.0,7.0,12.0,4.0,20.0,17.0,16.0,13.0,5.0,18.0,34.0,21.0,37.0,61.0,24.0,14.0,46.0,23.0,56.0,2.0,19.0,25.0,26.0,31.0,48.0,28.0,10.0,1.0,55.0,30.0
3212,7.0,15.0,0.0,8.0,14.0,17.0,18.0,16.0,1.0,5.0,48.0,2.0,27.0,23.0,62.0,20.0,38.0,30.0,37.0,66.0,42.0,9.0,3.0,32.0,4.0,21.0,58.0,31.0,10.0,11.0
3261,0.0,36.0,3.0,21.0,15.0,6.0,9.0,5.0,12.0,8.0,11.0,17.0,18.0,61.0,19.0,2.0,57.0,37.0,16.0,24.0,13.0,14.0,23.0,40.0,10.0,32.0,64.0,51.0,25.0,1.0
3310,0.0,17.0,2.0,5.0,49.0,9.0,10.0,3.0,1.0,11.0,29.0,8.0,19.0,62.0,14.0,53.0,47.0,21.0,65.0,24.0,23.0,13.0,15.0,42.0,12.0,4.0,27.0,37.0,25.0,64.0
3359,12.0,33.0,0.0,11.0,15.0,19.0,16.0,1.0,2.0,17.0,14.0,3.0,45.0,62.0,57.0,53.0,31.0,13.0,46.0,24.0,48.0,5.0,23.0,27.0,22.0,9.0,30.0,25.0,59.0,4.0
3408,9.0,42.0,1.0,12.0,5.0,3.0,62.0,19.0,40.0,16.0,29.0,2.0,23.0,15.0,56.0,54.0,45.0,21.0,11.0,7.0,14.0,22.0,24.0,33.0,4.0,10.0,26.0,50.0,61.0,0.0
3457,3.0,0.0,61.0,7.0,31.0,15.0,64.0,17.0,9.0,20.0,4.0,22.0,43.0,45.0,62.0,2.0,5.0,29.0,32.0,66.0,11.0,12.0,44.0,10.0,58.0,57.0,14.0,1.0,23.0,49.0
3506,0.0,21.0,17.0,24.0,5.0,11.0,14.0,61.0,1.0,3.0,30.0,19.0,38.0,15.0,6.0,27.0,26.0,4.0,50.0,28.0,16.0,29.0,2.0,13.0,7.0,60.0,31.0,59.0,49.0,44.0
3555,0.0,1.0,51.0,15.0,6.0,22.0,8.0,9.0,3.0,26.0,21.0,2.0,17.0,60.0,52.0,30.0,19.0,14.0,20.0,29.0,7.0,24.0,10.0,11.0,25.0,54.0,27.0,55.0,35.0,13.0
3604,6.0,0.0,54.0,20.0,3.0,65.0,60.0,1.0,7.0,16.0,28.0,33.0,36.0,10.0,21.0,52.0,32.0,5.0,18.0,66.0,4.0,12.0,23.0,31.0,11.0,56.0,22.0,37.0,29.0,63.0
3653,12.0,4.0,9.0,6.0,2.0,42.0,5.0,19.0,0.0,53.0,47.0,18.0,33.0,28.0,63.0,61.0,16.0,29.0,14.0,66.0,7.0,59.0,13.0,1.0,17.0,57.0,58.0,56.0,51.0,48.0
3702,0.0,8.0,11.0,31.0,21.0,62.0,20.0,17.0,48.0,19.0,30.0,43.0,41.0,22.0,24.0,15.0,18.0,2.0,35.0,66.0,26.0,13.0,44.0,5.0,4.0,33.0,58.0,3.0,12.0,9.0
3751,6.0,0.0,22.0,26.0,9.0,63.0,24.0,7.0,5.0,3.0,2.0,15.0,30.0,53.0,61.0,18.0,21.0,4.0,17.0,66.0,20.0,58.0,16.0,1.0,14.0,57.0,13.0,56.0,52.0,48.0
3800,6.0,0.0,10.0,21.0,3.0,1.0,23.0,12.0,28.0,59.0,7.0,18.0,41.0,15.0,11.0,5.0,2.0,22.0,65.0,26.0,17.0,50.0,4.0,30.0,24.0,52.0,48.0,53.0,9.0,27.0
3849,0.0,2.0,13.0,5.0,1.0,24.0,19.0,16.0,8.0,17.0,18.0,38.0,46.0,20.0,3.0,61.0,21.0,15.0,4.0,7.0,23.0,26.0,66.0,9.0,25.0,59.0,27.0,30.0,34.0,6.0
3898,1.0,3.0,49.0,8.0,0.0,63.0,15.0,17.0,2.0,61.0,48.0,9.0,45.0,5.0,18.0,4.0,10.0,19.0,11.0,33.0,6.0,43.0,23.0,27.0,20.0,54.0,22.0,24.0,60.0,30.0
3947,1.0,5.0,12.0,41.0,0.0,3.0,10.0,57.0,7.0,60.0,28.0,15.0,17.0,62.0,2.0,4.0,20.0,19.0,45.0,23.0,66.0,51.0,22.0,40.0,50.0,46.0,48.0,30.0,26.0,25.0
3996,14.0,43.0,2.0,22.0,23.0,4.0,5.0,65.0,32.0,19.0,29.0,15.0,18.0,16.0,20.0,1.0,11.0,46.0,57.0,66.0,24.0,51.0,25.0,13.0,10.0,8.0,26.0,54.0,6.0,9.0
4045,9.0,35.0,14.0,43.0,0.0,7.0,16.0,12.0,36.0,15.0,10.0,57.0,1.0,11.0,13.0,19.0,50.0,24.0,20.0,27.0,4.0,33.0,66.0,30.0,51.0,53.0,29.0,31.0,3.0,5.0
4094,0.0,3.0,6.0,23.0,17.0,4.0,13.0,61.0,9.0,59.0,10.0,19.0,22.0,14.0,5.0,28.0,18.0,2.0,53.0,8.0,16.0,63.0,29.0,12.0,32.0,57.0,30.0,55.0,7.0,31.0
4143,2.0,4.0,15.0,45.0,0.0,1.0,11.0,63.0,26.0,64.0,28.0,38.0,8.0,9.0,6.0,5.0,20.0,10.0,17.0,66.0,31.0,59.0,22.0,25.0,18.0,58.0,12.0,32.0,33.0,30.0
4192,5.0,22.0,11.0,32.0,0.0,1.0,6.0,21.0,49.0,46.0,7.0,4.0,29.0,19.0,10.0,14.0,15.0,3.0,44.0,16.0,24.0,12.0,66.0,30.0,61.0,33.0,60.0,23.0,31.0,2.0
4241,0.0,37.0,9.0,29.0,3.0,4.0,63.0,18.0,27.0,19.0,7.0,20.0,34.0,30.0,16.0,11.0,17.0,25.0,40.0,66.0,2.0,57.0,43.0,5.0,56.0,13.0,14.0,21.0,1.0,31.0
4290,9.0,44.0,0.0,23.0,1.0,3.0,14.0,13.0,7.0,17.0,36.0,4.0,6.0,25.0,15.0,26.0,21.0,24.0,66.0,28.0,20.0,57.0,27.0,32.0,52.0,55.0,10.0,31.0,63.0,33.0
4339,9.0,39.0,60.0,29.0,6.0,5.0,4.0,62.0,1.0,15.0,13.0,19.0,8.0,43.0,18.0,20.0,7.0,11.0,40.0,3.0,27.0,56.0,66.0,0.0,55.0,31.0,23.0,53.0,2.0,46.0
4388,1.0,2.0,4.0,7.0,0.0,8.0,21.0,62.0,26.0,3.0,10.0,12.0,19.0,24.0,9.0,11.0,6.0,28.0,32.0,66.0,43.0,59.0,44.0,27.0,15.0,16.0,57.0,56.0,5.0,49.0
4437,10.0,1.0,3.0,37.0,9.0,20.0,18.0,0.0,32.0,19.0,29.0,24.0,11.0,17.0,52.0,25.0,8.0,23.0,7.0,26.0,15.0,48.0,2.0,39.0,49.0,36.0,33.0,4.0,6.0,65.0
