,GPX3,SYTL1,PRKCH,ADORA1,FAM110C,DSG2,CORO2A,SCEL,EPB41L4A,AIF1L,KCNK1,MFAP5,RP11-390F4.3,DSP,TSTD1,ANXA3,ZYG11A,ELOVL7,RP11-47I22.1,MBOAT1,JUP,MYO1D,GPX1P1,UNC13D,FOXE1,C1orf186,RP11-215G15.5,NLRP2,PRSS16,EVPL
10,2.0,0.0,15.0,19.0,29.0,1.0,6.0,18.0,7.0,263.0,34.0,13.0,9.0,8.0,66.0,22.0,14.0,70.0,50.0,77.0,164.0,102.0,88.0,17.0,138.0,290.0,26.0,31.0,75.0,27.0
59,0.0,1.0,4.0,2.0,25.0,3.0,6.0,36.0,81.0,18.0,30.0,21.0,16.0,13.0,12.0,11.0,45.0,156.0,22.0,51.0,121.0,91.0,47.0,35.0,84.0,237.0,184.0,5.0,113.0,32.0
108,0.0,3.0,8.0,1.0,4.0,22.0,2.0,5.0,6.0,37.0,10.0,66.0,58.0,61.0,15.0,9.0,14.0,108.0,30.0,102.0,79.0,267.0,39.0,7.0,35.0,133.0,18.0,28.0,51.0,46.0
157,0.0,2.0,6.0,1.0,22.0,4.0,5.0,16.0,26.0,46.0,28.0,59.0,90.0,19.0,63.0,8.0,15.0,44.0,68.0,64.0,376.0,38.0,35.0,13.0,10.0,128.0,36.0,23.0,431.0,42.0
206,4.0,0.0,1.0,2.0,10.0,7.0,3.0,61.0,22.0,84.0,29.0,60.0,11.0,30.0,38.0,9.0,127.0,28.0,27.0,55.0,25.0,130.0,331.0,52.0,45.0,143.0,123.0,5.0,204.0,8.0
255,1.0,2.0,15.0,0.0,14.0,3.0,6.0,21.0,35.0,7.0,9.0,5.0,64.0,52.0,22.0,13.0,185.0,4.0,49.0,66.0,82.0,95.0,112.0,113.0,48.0,123.0,17.0,8.0,16.0,24.0
304,0.0,1.0,3.0,5.0,22.0,9.0,2.0,4.0,6.0,58.0,43.0,10.0,7.0,37.0,21.0,24.0,17.0,34.0,11.0,41.0,204.0,128.0,197.0,53.0,8.0,92.0,13.0,28.0,192.0,51.0
353,0.0,2.0,5.0,1.0,4.0,3.0,6.0,20.0,8.0,31.0,22.0,23.0,15.0,35.0,34.0,12.0,69.0,78.0,42.0,13.0,223.0,177.0,72.0,52.0,9.0,81.0,41.0,18.0,90.0,56.0
402,0.0,2.0,29.0,1.0,7.0,3.0,19.0,28.0,48.0,32.0,6.0,8.0,36.0,9.0,14.0,16.0,99.0,69.0,63.0,96.0,162.0,175.0,138.0,47.0,43.0,356.0,17.0,4.0,202.0,49.0
451,0.0,1.0,6.0,3.0,2.0,5.0,4.0,28.0,22.0,18.0,14.0,20.0,24.0,27.0,7.0,13.0,56.0,23.0,38.0,30.0,69.0,21.0,161.0,36.0,33.0,160.0,17.0,418.0,41.0,59.0
