,YAP_pS127,P-Cadherin,alpha-Catenin,4E-BP1,NDRG1_pT346,Fibronectin,AMPK_pT172,Chk1,C-Raf(MP05-739),C-Raf(BD610151),VAV1,MSH6,ADAR1,beta-Catenin,Rb,Lck,A-Raf_pS299,IGFBP2,Bap1 c-4,IRS1,Paxillin,Stathmin,Claudin-7,Caspase-7_cleavedD198,RAD51,VEGFR2,AMPK_alpha,Porin,Beclin,Src_pY416
1867,90.0,1.0,18.0,20.0,15.0,11.0,10.0,39.0,117.0,38.0,87.0,29.0,26.0,155.0,21.0,28.0,44.0,67.0,163.0,139.0,23.0,105.0,145.0,59.0,57.0,2.0,25.0,65.0,63.0,66.0
1916,0.0,138.0,126.0,3.0,13.0,25.0,49.0,7.0,75.0,66.0,16.0,21.0,128.0,10.0,46.0,35.0,20.0,44.0,40.0,38.0,34.0,6.0,133.0,32.0,65.0,52.0,125.0,53.0,41.0,87.0
1965,0.0,12.0,71.0,15.0,34.0,9.0,133.0,60.0,122.0,123.0,10.0,43.0,14.0,1.0,7.0,44.0,18.0,55.0,131.0,42.0,67.0,35.0,84.0,77.0,65.0,87.0,134.0,89.0,19.0,52.0
2014,0.0,9.0,109.0,4.0,45.0,129.0,6.0,52.0,30.0,22.0,17.0,49.0,100.0,8.0,59.0,66.0,15.0,55.0,23.0,118.0,61.0,21.0,146.0,33.0,36.0,39.0,111.0,57.0,51.0,60.0
2063,0.0,146.0,66.0,1.0,9.0,45.0,4.0,19.0,2.0,6.0,92.0,52.0,20.0,132.0,87.0,11.0,28.0,36.0,14.0,29.0,51.0,58.0,25.0,10.0,13.0,91.0,157.0,80.0,57.0,39.0
2112,0.0,3.0,10.0,58.0,14.0,11.0,127.0,40.0,25.0,8.0,1.0,45.0,34.0,119.0,19.0,23.0,6.0,50.0,121.0,13.0,33.0,7.0,113.0,22.0,42.0,49.0,128.0,76.0,29.0,37.0
2161,0.0,141.0,124.0,7.0,15.0,24.0,67.0,108.0,74.0,40.0,56.0,29.0,57.0,2.0,31.0,30.0,129.0,18.0,16.0,147.0,45.0,58.0,136.0,62.0,70.0,39.0,41.0,47.0,22.0,49.0
2210,71.0,143.0,18.0,12.0,35.0,2.0,8.0,26.0,42.0,33.0,81.0,21.0,13.0,1.0,45.0,34.0,50.0,41.0,125.0,23.0,36.0,25.0,113.0,24.0,11.0,77.0,60.0,94.0,47.0,46.0
2259,86.0,2.0,0.0,24.0,19.0,27.0,6.0,22.0,29.0,21.0,9.0,12.0,11.0,32.0,8.0,31.0,17.0,47.0,30.0,139.0,58.0,93.0,78.0,34.0,62.0,60.0,3.0,87.0,10.0,23.0
2308,0.0,4.0,66.0,8.0,45.0,29.0,68.0,7.0,63.0,20.0,24.0,16.0,74.0,6.0,53.0,34.0,9.0,39.0,12.0,151.0,31.0,90.0,113.0,37.0,54.0,57.0,44.0,89.0,13.0,62.0
2357,0.0,8.0,11.0,20.0,14.0,15.0,126.0,48.0,24.0,7.0,1.0,44.0,130.0,120.0,34.0,36.0,3.0,146.0,124.0,145.0,31.0,25.0,26.0,32.0,35.0,52.0,127.0,28.0,40.0,54.0
2406,0.0,5.0,3.0,20.0,12.0,7.0,52.0,41.0,36.0,118.0,83.0,15.0,16.0,55.0,46.0,47.0,48.0,25.0,23.0,150.0,8.0,53.0,45.0,28.0,69.0,39.0,128.0,102.0,40.0,32.0
2455,81.0,7.0,30.0,22.0,14.0,5.0,9.0,0.0,1.0,6.0,3.0,21.0,20.0,117.0,15.0,41.0,27.0,29.0,28.0,36.0,46.0,87.0,10.0,39.0,34.0,11.0,127.0,104.0,118.0,13.0
2504,0.0,12.0,15.0,4.0,16.0,156.0,88.0,2.0,7.0,17.0,5.0,30.0,21.0,8.0,38.0,31.0,41.0,23.0,57.0,53.0,52.0,43.0,95.0,55.0,61.0,34.0,24.0,60.0,80.0,72.0
2553,3.0,1.0,130.0,9.0,43.0,24.0,129.0,65.0,12.0,5.0,0.0,18.0,4.0,11.0,34.0,28.0,61.0,22.0,38.0,41.0,48.0,94.0,31.0,46.0,32.0,60.0,58.0,82.0,55.0,33.0
2602,85.0,14.0,9.0,5.0,8.0,17.0,29.0,40.0,1.0,15.0,0.0,42.0,52.0,7.0,21.0,37.0,45.0,35.0,41.0,19.0,46.0,44.0,22.0,63.0,57.0,34.0,10.0,38.0,72.0,60.0
2651,2.0,4.0,39.0,9.0,10.0,12.0,24.0,62.0,23.0,162.0,0.0,55.0,19.0,13.0,38.0,6.0,65.0,5.0,90.0,127.0,18.0,104.0,11.0,60.0,42.0,45.0,103.0,47.0,51.0,29.0
2700,0.0,15.0,128.0,11.0,13.0,3.0,7.0,31.0,6.0,68.0,2.0,32.0,1.0,42.0,48.0,30.0,37.0,25.0,135.0,45.0,69.0,106.0,112.0,50.0,66.0,72.0,28.0,44.0,29.0,87.0
2749,7.0,1.0,15.0,11.0,17.0,18.0,13.0,116.0,65.0,4.0,0.0,58.0,2.0,124.0,29.0,41.0,36.0,21.0,59.0,62.0,39.0,76.0,27.0,57.0,24.0,102.0,48.0,30.0,72.0,33.0
2798,78.0,6.0,130.0,11.0,14.0,38.0,128.0,8.0,9.0,0.0,1.0,34.0,4.0,12.0,56.0,33.0,49.0,31.0,124.0,147.0,60.0,3.0,111.0,42.0,47.0,81.0,129.0,23.0,66.0,90.0
2847,28.0,14.0,17.0,4.0,18.0,10.0,87.0,16.0,3.0,131.0,21.0,52.0,66.0,1.0,35.0,44.0,42.0,30.0,27.0,22.0,65.0,39.0,15.0,46.0,79.0,38.0,55.0,143.0,51.0,120.0
2896,0.0,9.0,127.0,2.0,28.0,17.0,126.0,15.0,23.0,71.0,79.0,40.0,14.0,20.0,66.0,30.0,38.0,29.0,21.0,22.0,57.0,94.0,4.0,31.0,43.0,32.0,25.0,33.0,117.0,78.0
2945,18.0,137.0,22.0,10.0,2.0,7.0,123.0,6.0,1.0,11.0,76.0,27.0,50.0,14.0,31.0,52.0,17.0,36.0,116.0,20.0,56.0,21.0,106.0,49.0,48.0,53.0,124.0,16.0,35.0,45.0
2994,11.0,12.0,0.0,19.0,17.0,1.0,2.0,7.0,9.0,8.0,54.0,28.0,44.0,24.0,75.0,60.0,42.0,62.0,114.0,45.0,65.0,20.0,155.0,67.0,51.0,107.0,48.0,31.0,56.0,34.0
3043,0.0,8.0,4.0,39.0,21.0,5.0,15.0,29.0,54.0,60.0,36.0,7.0,14.0,24.0,9.0,61.0,58.0,13.0,123.0,28.0,40.0,12.0,34.0,43.0,49.0,66.0,127.0,56.0,119.0,63.0
3092,11.0,10.0,0.0,24.0,6.0,1.0,2.0,32.0,31.0,5.0,81.0,27.0,12.0,121.0,100.0,36.0,39.0,37.0,14.0,150.0,64.0,49.0,29.0,28.0,42.0,47.0,59.0,26.0,9.0,40.0
3141,0.0,1.0,2.0,29.0,6.0,31.0,84.0,15.0,17.0,58.0,106.0,5.0,10.0,159.0,40.0,158.0,36.0,162.0,148.0,160.0,76.0,25.0,23.0,24.0,27.0,68.0,3.0,71.0,37.0,39.0
3190,0.0,9.0,1.0,26.0,30.0,12.0,45.0,8.0,119.0,17.0,84.0,33.0,29.0,5.0,15.0,50.0,42.0,39.0,23.0,10.0,14.0,21.0,2.0,65.0,35.0,22.0,44.0,28.0,46.0,34.0
3239,0.0,16.0,12.0,7.0,34.0,5.0,9.0,21.0,110.0,6.0,77.0,8.0,15.0,50.0,11.0,144.0,35.0,147.0,119.0,33.0,44.0,60.0,105.0,47.0,57.0,76.0,26.0,23.0,115.0,42.0
3288,0.0,2.0,12.0,9.0,46.0,31.0,10.0,21.0,54.0,70.0,79.0,28.0,18.0,123.0,96.0,68.0,14.0,55.0,126.0,25.0,20.0,42.0,78.0,44.0,69.0,59.0,43.0,100.0,72.0,47.0
3337,4.0,56.0,0.0,27.0,13.0,5.0,7.0,14.0,26.0,15.0,2.0,18.0,17.0,1.0,69.0,67.0,31.0,55.0,128.0,51.0,20.0,106.0,116.0,29.0,57.0,41.0,131.0,94.0,36.0,48.0
3386,0.0,24.0,7.0,22.0,34.0,46.0,127.0,13.0,61.0,50.0,2.0,35.0,29.0,68.0,43.0,25.0,32.0,1.0,31.0,18.0,19.0,45.0,26.0,11.0,63.0,87.0,128.0,28.0,47.0,66.0
3435,55.0,1.0,0.0,6.0,2.0,29.0,125.0,25.0,110.0,5.0,79.0,12.0,9.0,10.0,19.0,13.0,130.0,39.0,119.0,35.0,21.0,71.0,27.0,40.0,50.0,57.0,126.0,4.0,37.0,15.0
3484,79.0,1.0,125.0,48.0,38.0,29.0,19.0,12.0,15.0,110.0,65.0,24.0,14.0,17.0,3.0,40.0,47.0,52.0,118.0,11.0,18.0,32.0,135.0,36.0,62.0,28.0,124.0,104.0,7.0,13.0
3533,0.0,24.0,1.0,8.0,16.0,3.0,9.0,6.0,20.0,112.0,26.0,12.0,4.0,53.0,14.0,50.0,37.0,45.0,5.0,41.0,49.0,13.0,72.0,38.0,19.0,105.0,126.0,33.0,48.0,29.0
3582,16.0,7.0,2.0,40.0,9.0,12.0,126.0,26.0,110.0,111.0,78.0,14.0,54.0,30.0,6.0,35.0,36.0,45.0,121.0,34.0,41.0,84.0,4.0,56.0,37.0,67.0,127.0,77.0,46.0,24.0
3631,0.0,77.0,14.0,26.0,12.0,29.0,112.0,39.0,1.0,67.0,53.0,40.0,30.0,90.0,22.0,46.0,10.0,132.0,19.0,36.0,33.0,18.0,156.0,34.0,52.0,58.0,9.0,54.0,24.0,42.0
3680,84.0,141.0,0.0,2.0,29.0,6.0,18.0,41.0,62.0,57.0,9.0,16.0,15.0,31.0,7.0,49.0,132.0,35.0,34.0,22.0,53.0,76.0,74.0,58.0,11.0,82.0,23.0,104.0,120.0,12.0
3729,7.0,142.0,0.0,23.0,12.0,2.0,15.0,17.0,1.0,37.0,81.0,28.0,129.0,76.0,4.0,21.0,55.0,39.0,121.0,45.0,64.0,89.0,163.0,24.0,41.0,10.0,126.0,61.0,26.0,94.0
3778,86.0,25.0,8.0,28.0,12.0,120.0,149.0,45.0,0.0,84.0,89.0,16.0,26.0,19.0,17.0,15.0,35.0,13.0,2.0,1.0,62.0,52.0,46.0,7.0,67.0,88.0,140.0,3.0,138.0,33.0
3827,9.0,142.0,0.0,2.0,3.0,56.0,67.0,39.0,45.0,51.0,26.0,28.0,14.0,120.0,11.0,62.0,18.0,38.0,61.0,152.0,78.0,25.0,111.0,52.0,36.0,58.0,7.0,34.0,121.0,55.0
3876,0.0,20.0,18.0,1.0,15.0,23.0,122.0,33.0,106.0,12.0,81.0,14.0,35.0,113.0,39.0,40.0,19.0,147.0,34.0,28.0,52.0,57.0,54.0,38.0,62.0,80.0,123.0,29.0,32.0,26.0
3925,12.0,45.0,3.0,8.0,4.0,44.0,15.0,19.0,147.0,52.0,0.0,24.0,32.0,10.0,18.0,48.0,74.0,46.0,56.0,50.0,28.0,110.0,20.0,68.0,54.0,51.0,16.0,92.0,33.0,113.0
3974,0.0,148.0,9.0,51.0,17.0,34.0,6.0,33.0,11.0,18.0,89.0,40.0,20.0,45.0,38.0,21.0,41.0,29.0,15.0,31.0,75.0,100.0,10.0,47.0,37.0,44.0,128.0,8.0,63.0,97.0
4023,66.0,2.0,12.0,41.0,5.0,35.0,62.0,17.0,57.0,0.0,88.0,15.0,33.0,23.0,11.0,32.0,45.0,39.0,124.0,59.0,82.0,92.0,18.0,63.0,55.0,87.0,51.0,75.0,36.0,56.0
4072,40.0,149.0,0.0,18.0,5.0,4.0,19.0,22.0,123.0,2.0,100.0,12.0,43.0,3.0,25.0,10.0,81.0,28.0,26.0,23.0,21.0,86.0,35.0,50.0,53.0,37.0,131.0,29.0,127.0,97.0
4121,24.0,4.0,0.0,5.0,14.0,45.0,10.0,13.0,41.0,72.0,22.0,32.0,68.0,42.0,8.0,48.0,53.0,38.0,51.0,43.0,1.0,105.0,79.0,25.0,70.0,33.0,56.0,49.0,50.0,100.0
4170,0.0,10.0,125.0,131.0,34.0,8.0,6.0,21.0,108.0,9.0,2.0,25.0,59.0,30.0,15.0,35.0,11.0,39.0,47.0,36.0,19.0,83.0,28.0,55.0,65.0,46.0,124.0,41.0,63.0,43.0
4219,2.0,18.0,4.0,1.0,17.0,13.0,12.0,14.0,25.0,20.0,77.0,28.0,50.0,0.0,8.0,39.0,34.0,27.0,33.0,40.0,49.0,61.0,108.0,37.0,62.0,80.0,32.0,94.0,35.0,47.0
4268,2.0,35.0,4.0,23.0,20.0,36.0,22.0,12.0,7.0,66.0,107.0,131.0,38.0,45.0,9.0,32.0,30.0,25.0,17.0,54.0,42.0,116.0,43.0,47.0,71.0,19.0,86.0,8.0,60.0,119.0
4317,6.0,4.0,0.0,3.0,48.0,34.0,14.0,8.0,60.0,19.0,5.0,152.0,54.0,1.0,11.0,51.0,62.0,33.0,31.0,64.0,61.0,78.0,57.0,59.0,53.0,47.0,10.0,85.0,49.0,72.0
4366,84.0,111.0,0.0,35.0,45.0,41.0,3.0,15.0,44.0,133.0,6.0,11.0,53.0,8.0,83.0,42.0,109.0,39.0,5.0,14.0,61.0,40.0,32.0,58.0,81.0,48.0,9.0,73.0,50.0,96.0
4415,0.0,41.0,2.0,12.0,1.0,34.0,15.0,27.0,112.0,7.0,78.0,20.0,126.0,4.0,30.0,13.0,130.0,24.0,121.0,151.0,60.0,48.0,38.0,56.0,10.0,77.0,125.0,100.0,21.0,55.0
4464,0.0,142.0,2.0,9.0,33.0,41.0,4.0,8.0,15.0,3.0,25.0,28.0,13.0,7.0,94.0,29.0,39.0,48.0,22.0,17.0,52.0,55.0,43.0,49.0,46.0,27.0,129.0,45.0,44.0,103.0
4513,0.0,11.0,41.0,16.0,27.0,1.0,8.0,22.0,6.0,66.0,23.0,46.0,43.0,126.0,12.0,30.0,59.0,42.0,2.0,57.0,48.0,37.0,7.0,71.0,34.0,107.0,21.0,32.0,45.0,83.0
4562,0.0,5.0,40.0,3.0,23.0,161.0,6.0,7.0,118.0,47.0,11.0,9.0,38.0,123.0,30.0,26.0,43.0,44.0,127.0,64.0,32.0,66.0,41.0,70.0,36.0,29.0,18.0,42.0,49.0,80.0
4611,0.0,6.0,147.0,8.0,36.0,49.0,12.0,17.0,128.0,32.0,93.0,18.0,57.0,4.0,25.0,19.0,43.0,16.0,132.0,38.0,109.0,30.0,122.0,51.0,67.0,37.0,48.0,58.0,26.0,71.0
4660,0.0,143.0,7.0,5.0,12.0,130.0,3.0,43.0,6.0,30.0,36.0,35.0,46.0,31.0,24.0,22.0,60.0,27.0,100.0,138.0,26.0,25.0,69.0,57.0,91.0,104.0,107.0,11.0,28.0,117.0
4709,0.0,20.0,2.0,8.0,5.0,11.0,129.0,38.0,31.0,62.0,12.0,22.0,42.0,121.0,49.0,24.0,60.0,19.0,135.0,39.0,7.0,37.0,17.0,40.0,63.0,85.0,130.0,48.0,28.0,93.0
4758,87.0,1.0,0.0,7.0,10.0,21.0,127.0,8.0,119.0,42.0,90.0,58.0,37.0,24.0,17.0,35.0,31.0,22.0,5.0,9.0,98.0,19.0,16.0,29.0,6.0,45.0,20.0,80.0,40.0,14.0
4807,0.0,6.0,1.0,32.0,20.0,3.0,64.0,24.0,15.0,2.0,39.0,7.0,18.0,66.0,30.0,26.0,51.0,16.0,120.0,44.0,27.0,87.0,23.0,61.0,47.0,81.0,37.0,98.0,35.0,54.0
4856,1.0,10.0,0.0,14.0,7.0,161.0,125.0,17.0,25.0,8.0,43.0,146.0,54.0,119.0,69.0,16.0,19.0,15.0,36.0,47.0,53.0,2.0,63.0,55.0,38.0,78.0,126.0,101.0,52.0,40.0
