,YAP_pS127,P-Cadherin,alpha-Catenin,4E-BP1,NDRG1_pT346,Fibronectin,AMPK_pT172,Chk1,C-Raf(MP05-739),C-Raf(BD610151),VAV1,MSH6,ADAR1,beta-Catenin,Rb,Lck,A-Raf_pS299,IGFBP2,Bap1 c-4,IRS1,Paxillin,Stathmin,Claudin-7,Caspase-7_cleavedD198,RAD51,VEGFR2,AMPK_alpha,Porin,Beclin,Src_pY416
5,57.0,5.0,2.0,15.0,0.0,51.0,10.0,27.0,26.0,121.0,1.0,19.0,6.0,87.0,48.0,53.0,12.0,46.0,20.0,135.0,11.0,21.0,151.0,56.0,17.0,40.0,111.0,41.0,44.0,18.0
54,87.0,7.0,53.0,44.0,21.0,23.0,15.0,18.0,116.0,117.0,8.0,35.0,5.0,4.0,22.0,19.0,33.0,152.0,55.0,34.0,58.0,20.0,1.0,42.0,78.0,0.0,27.0,26.0,30.0,39.0
103,82.0,10.0,21.0,2.0,31.0,77.0,9.0,20.0,17.0,24.0,0.0,23.0,26.0,4.0,50.0,48.0,40.0,47.0,41.0,14.0,34.0,5.0,114.0,53.0,103.0,49.0,13.0,107.0,74.0,45.0
152,46.0,4.0,16.0,24.0,26.0,22.0,6.0,14.0,116.0,1.0,2.0,10.0,15.0,31.0,9.0,27.0,67.0,151.0,126.0,149.0,61.0,53.0,0.0,114.0,100.0,78.0,20.0,57.0,123.0,33.0
201,6.0,7.0,4.0,13.0,29.0,18.0,126.0,106.0,112.0,0.0,10.0,24.0,25.0,118.0,43.0,42.0,32.0,145.0,37.0,48.0,55.0,12.0,3.0,40.0,53.0,14.0,127.0,38.0,51.0,39.0
250,87.0,7.0,31.0,15.0,40.0,19.0,14.0,111.0,116.0,117.0,0.0,12.0,23.0,123.0,44.0,25.0,5.0,153.0,52.0,42.0,80.0,9.0,1.0,49.0,22.0,55.0,30.0,48.0,135.0,51.0
299,26.0,8.0,128.0,31.0,12.0,32.0,7.0,44.0,30.0,18.0,0.0,13.0,27.0,119.0,56.0,37.0,16.0,62.0,22.0,25.0,36.0,5.0,2.0,53.0,106.0,28.0,127.0,45.0,50.0,47.0
348,87.0,7.0,2.0,20.0,12.0,19.0,59.0,118.0,11.0,1.0,0.0,28.0,17.0,60.0,33.0,40.0,43.0,30.0,52.0,63.0,31.0,35.0,6.0,67.0,69.0,5.0,44.0,80.0,55.0,64.0
397,35.0,2.0,14.0,5.0,17.0,8.0,12.0,13.0,18.0,65.0,4.0,7.0,32.0,9.0,49.0,40.0,19.0,29.0,10.0,162.0,28.0,6.0,0.0,48.0,60.0,55.0,44.0,76.0,147.0,37.0
446,0.0,140.0,126.0,13.0,23.0,10.0,66.0,112.0,44.0,117.0,83.0,15.0,6.0,121.0,20.0,34.0,57.0,24.0,36.0,150.0,33.0,2.0,38.0,53.0,35.0,30.0,14.0,43.0,72.0,51.0
495,95.0,13.0,15.0,17.0,23.0,36.0,0.0,7.0,1.0,11.0,5.0,8.0,16.0,71.0,35.0,44.0,31.0,41.0,20.0,6.0,34.0,101.0,122.0,40.0,55.0,50.0,135.0,51.0,47.0,26.0
544,0.0,7.0,9.0,22.0,25.0,31.0,94.0,24.0,5.0,11.0,28.0,37.0,49.0,123.0,46.0,19.0,57.0,30.0,29.0,51.0,50.0,61.0,1.0,47.0,38.0,41.0,55.0,15.0,62.0,48.0
593,0.0,143.0,129.0,19.0,13.0,9.0,3.0,36.0,8.0,10.0,89.0,41.0,48.0,72.0,46.0,7.0,12.0,28.0,20.0,11.0,44.0,95.0,115.0,29.0,52.0,49.0,25.0,15.0,35.0,54.0
642,0.0,140.0,12.0,5.0,8.0,4.0,36.0,56.0,20.0,10.0,81.0,11.0,9.0,6.0,62.0,28.0,22.0,25.0,134.0,27.0,16.0,105.0,135.0,34.0,14.0,46.0,18.0,102.0,33.0,35.0
691,8.0,10.0,1.0,132.0,15.0,25.0,0.0,18.0,12.0,19.0,27.0,13.0,37.0,31.0,20.0,61.0,67.0,43.0,51.0,148.0,7.0,14.0,111.0,49.0,36.0,4.0,21.0,102.0,65.0,47.0
740,0.0,35.0,23.0,53.0,25.0,18.0,2.0,82.0,22.0,116.0,91.0,21.0,15.0,3.0,27.0,40.0,68.0,46.0,83.0,62.0,102.0,1.0,111.0,50.0,36.0,31.0,128.0,17.0,37.0,69.0
789,0.0,6.0,5.0,10.0,14.0,22.0,7.0,43.0,1.0,111.0,32.0,12.0,128.0,116.0,55.0,46.0,17.0,26.0,20.0,23.0,34.0,37.0,67.0,33.0,51.0,39.0,125.0,28.0,56.0,49.0
838,0.0,141.0,11.0,6.0,19.0,10.0,129.0,25.0,12.0,59.0,87.0,57.0,16.0,123.0,66.0,48.0,24.0,28.0,7.0,47.0,33.0,93.0,112.0,51.0,38.0,36.0,130.0,29.0,52.0,96.0
887,0.0,15.0,17.0,8.0,45.0,5.0,12.0,31.0,4.0,27.0,19.0,64.0,40.0,2.0,28.0,38.0,35.0,43.0,134.0,23.0,39.0,57.0,14.0,53.0,37.0,24.0,9.0,13.0,32.0,94.0
936,86.0,144.0,14.0,15.0,9.0,0.0,32.0,46.0,2.0,11.0,6.0,19.0,20.0,121.0,37.0,23.0,73.0,17.0,124.0,4.0,85.0,103.0,113.0,25.0,47.0,70.0,62.0,72.0,41.0,34.0
985,88.0,12.0,35.0,134.0,23.0,13.0,0.0,30.0,14.0,46.0,1.0,20.0,43.0,3.0,45.0,64.0,8.0,49.0,38.0,163.0,70.0,98.0,25.0,31.0,9.0,63.0,2.0,18.0,42.0,22.0
1034,83.0,145.0,82.0,4.0,15.0,1.0,7.0,22.0,10.0,133.0,8.0,152.0,32.0,0.0,17.0,36.0,23.0,159.0,2.0,157.0,40.0,26.0,37.0,52.0,80.0,3.0,50.0,59.0,44.0,95.0
1083,29.0,20.0,127.0,15.0,6.0,52.0,126.0,37.0,10.0,1.0,7.0,66.0,49.0,2.0,53.0,14.0,34.0,58.0,26.0,36.0,47.0,18.0,110.0,23.0,101.0,33.0,4.0,95.0,64.0,74.0
1132,5.0,139.0,31.0,20.0,9.0,161.0,127.0,110.0,12.0,0.0,93.0,30.0,28.0,11.0,25.0,8.0,33.0,47.0,121.0,32.0,34.0,61.0,65.0,26.0,38.0,35.0,18.0,81.0,53.0,40.0
1181,89.0,10.0,57.0,9.0,12.0,13.0,80.0,136.0,8.0,5.0,1.0,48.0,59.0,7.0,47.0,21.0,93.0,27.0,20.0,30.0,24.0,17.0,37.0,14.0,25.0,91.0,81.0,43.0,56.0,35.0
1230,60.0,145.0,51.0,44.0,6.0,3.0,49.0,8.0,0.0,17.0,5.0,38.0,41.0,59.0,1.0,36.0,33.0,155.0,52.0,57.0,68.0,18.0,7.0,19.0,42.0,47.0,14.0,76.0,56.0,39.0
1279,80.0,1.0,7.0,20.0,13.0,160.0,126.0,24.0,6.0,15.0,2.0,11.0,41.0,0.0,47.0,37.0,51.0,149.0,14.0,39.0,77.0,9.0,4.0,17.0,22.0,102.0,16.0,33.0,60.0,66.0
1328,83.0,3.0,22.0,28.0,18.0,160.0,130.0,10.0,5.0,117.0,11.0,48.0,45.0,44.0,29.0,16.0,56.0,59.0,49.0,151.0,70.0,23.0,13.0,21.0,47.0,55.0,131.0,67.0,31.0,34.0
1377,0.0,145.0,22.0,15.0,19.0,32.0,163.0,44.0,5.0,41.0,1.0,53.0,76.0,2.0,52.0,26.0,18.0,157.0,131.0,37.0,42.0,35.0,72.0,23.0,39.0,69.0,6.0,10.0,70.0,60.0
1426,81.0,140.0,128.0,33.0,51.0,31.0,127.0,12.0,0.0,59.0,76.0,34.0,40.0,5.0,11.0,16.0,65.0,20.0,14.0,39.0,30.0,3.0,19.0,6.0,56.0,38.0,2.0,96.0,50.0,42.0
1475,0.0,144.0,44.0,20.0,8.0,10.0,130.0,11.0,116.0,37.0,81.0,53.0,13.0,9.0,32.0,31.0,17.0,50.0,40.0,28.0,39.0,45.0,48.0,36.0,22.0,3.0,33.0,29.0,58.0,54.0
1524,0.0,6.0,34.0,29.0,27.0,24.0,17.0,112.0,116.0,36.0,85.0,8.0,20.0,41.0,104.0,18.0,11.0,31.0,43.0,40.0,70.0,19.0,23.0,68.0,38.0,1.0,26.0,12.0,67.0,94.0
1573,2.0,6.0,44.0,26.0,40.0,13.0,54.0,133.0,65.0,137.0,99.0,63.0,45.0,127.0,64.0,17.0,33.0,61.0,22.0,46.0,42.0,113.0,16.0,71.0,14.0,0.0,20.0,48.0,76.0,105.0
1622,6.0,142.0,15.0,32.0,11.0,21.0,42.0,26.0,68.0,13.0,33.0,19.0,29.0,20.0,10.0,16.0,51.0,47.0,43.0,149.0,39.0,58.0,111.0,56.0,60.0,2.0,23.0,103.0,57.0,72.0
1671,4.0,146.0,33.0,16.0,23.0,6.0,13.0,19.0,54.0,17.0,87.0,11.0,41.0,10.0,48.0,36.0,26.0,159.0,20.0,34.0,35.0,28.0,55.0,42.0,8.0,0.0,153.0,12.0,27.0,100.0
1720,0.0,143.0,116.0,13.0,146.0,12.0,8.0,11.0,122.0,52.0,78.0,43.0,30.0,39.0,40.0,22.0,17.0,58.0,130.0,59.0,36.0,34.0,113.0,67.0,5.0,2.0,16.0,61.0,66.0,57.0
1769,1.0,3.0,0.0,5.0,9.0,6.0,8.0,21.0,57.0,19.0,32.0,37.0,63.0,127.0,54.0,39.0,23.0,82.0,30.0,51.0,35.0,55.0,50.0,59.0,38.0,15.0,18.0,60.0,43.0,20.0
1818,0.0,11.0,4.0,6.0,9.0,7.0,131.0,40.0,45.0,3.0,95.0,8.0,17.0,10.0,48.0,20.0,16.0,63.0,136.0,42.0,47.0,101.0,116.0,27.0,28.0,18.0,1.0,30.0,60.0,103.0
