,hsa-miR-367,hsa-miR-10a,hsa-miR-196b,hsa-miR-769-3p,hsa-miR-766,hsa-miR-937,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-126,hsa-miR-153,kshv-miR-K12-6-5p,hsa-miR-22,hsa-miR-520g,hsa-miR-744,hsa-miR-148a,hsa-miR-759,hsa-let-7a,hsa-miR-424,hsa-miR-369-5p,hsa-miR-671-3p,hsa-miR-671-5p,hsa-miR-299-5p,ebv-miR-BART18-3p,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-323-3p,hsa-miR-329,hsa-miR-220b,hsa-miR-147,hsa-miR-645,hsa-miR-1180,hsa-miR-133b
19,0.0,5.0,2.0,26.0,65.0,349.0,6.0,20.0,46.0,64.0,102.0,92.0,9.0,76.0,79.0,56.0,59.0,41.0,8.0,323.0,470.0,34.0,99.0,44.0,60.0,36.0,118.0,343.0,165.0,153.0
68,0.0,5.0,73.0,335.0,66.0,55.0,566.0,45.0,42.0,41.0,86.0,79.0,343.0,95.0,341.0,78.0,131.0,118.0,15.0,99.0,417.0,288.0,35.0,119.0,84.0,103.0,202.0,67.0,367.0,446.0
117,601.0,10.0,20.0,94.0,50.0,86.0,82.0,11.0,44.0,268.0,46.0,84.0,355.0,19.0,28.0,9.0,92.0,153.0,67.0,97.0,106.0,245.0,66.0,18.0,125.0,583.0,73.0,29.0,451.0,382.0
166,13.0,5.0,3.0,19.0,77.0,44.0,545.0,47.0,39.0,21.0,66.0,119.0,45.0,68.0,81.0,371.0,60.0,35.0,108.0,84.0,83.0,298.0,177.0,156.0,132.0,595.0,82.0,42.0,455.0,99.0
215,0.0,1.0,4.0,272.0,86.0,45.0,20.0,53.0,382.0,234.0,159.0,100.0,85.0,46.0,267.0,10.0,72.0,152.0,277.0,38.0,102.0,364.0,110.0,51.0,62.0,136.0,387.0,357.0,36.0,396.0
264,12.0,1.0,35.0,19.0,61.0,30.0,539.0,26.0,14.0,36.0,47.0,143.0,268.0,71.0,112.0,365.0,84.0,132.0,337.0,336.0,138.0,292.0,51.0,57.0,69.0,582.0,41.0,335.0,83.0,28.0
313,1.0,5.0,10.0,40.0,51.0,50.0,543.0,21.0,373.0,35.0,38.0,120.0,46.0,58.0,349.0,43.0,90.0,70.0,15.0,356.0,54.0,295.0,304.0,96.0,20.0,31.0,379.0,315.0,139.0,389.0
362,611.0,1.0,68.0,8.0,37.0,18.0,540.0,38.0,43.0,26.0,125.0,45.0,6.0,70.0,359.0,252.0,111.0,610.0,27.0,30.0,137.0,278.0,290.0,97.0,66.0,60.0,59.0,14.0,146.0,391.0
411,0.0,13.0,421.0,71.0,34.0,69.0,14.0,37.0,382.0,35.0,31.0,90.0,364.0,54.0,77.0,367.0,112.0,55.0,94.0,52.0,137.0,255.0,36.0,73.0,67.0,66.0,386.0,320.0,16.0,128.0
460,0.0,6.0,410.0,33.0,76.0,19.0,13.0,51.0,4.0,107.0,44.0,111.0,341.0,88.0,112.0,48.0,149.0,140.0,68.0,35.0,73.0,292.0,179.0,70.0,629.0,66.0,377.0,23.0,26.0,389.0
509,0.0,7.0,9.0,77.0,46.0,37.0,533.0,36.0,364.0,56.0,32.0,62.0,33.0,66.0,293.0,358.0,111.0,563.0,99.0,93.0,123.0,43.0,49.0,79.0,31.0,23.0,370.0,337.0,75.0,35.0
558,2.0,8.0,10.0,23.0,67.0,365.0,544.0,35.0,475.0,15.0,419.0,144.0,26.0,99.0,308.0,25.0,102.0,51.0,314.0,111.0,75.0,118.0,60.0,81.0,34.0,417.0,482.0,332.0,364.0,493.0
607,0.0,1.0,4.0,257.0,57.0,11.0,539.0,79.0,378.0,12.0,593.0,86.0,44.0,61.0,53.0,364.0,89.0,68.0,106.0,5.0,28.0,24.0,91.0,69.0,63.0,125.0,78.0,359.0,456.0,52.0
656,1.0,9.0,407.0,27.0,44.0,134.0,535.0,95.0,368.0,78.0,56.0,49.0,124.0,88.0,266.0,74.0,83.0,99.0,80.0,302.0,82.0,66.0,79.0,40.0,152.0,582.0,14.0,355.0,62.0,33.0
705,0.0,7.0,5.0,39.0,45.0,24.0,94.0,114.0,376.0,57.0,28.0,92.0,20.0,56.0,263.0,362.0,115.0,154.0,65.0,66.0,97.0,309.0,250.0,63.0,44.0,153.0,77.0,356.0,452.0,106.0
754,0.0,11.0,13.0,42.0,63.0,92.0,17.0,44.0,379.0,52.0,22.0,131.0,35.0,119.0,56.0,367.0,57.0,45.0,276.0,75.0,7.0,236.0,93.0,79.0,627.0,120.0,67.0,53.0,146.0,391.0
803,0.0,1.0,5.0,298.0,72.0,80.0,538.0,43.0,34.0,8.0,47.0,110.0,33.0,109.0,89.0,127.0,104.0,13.0,265.0,64.0,136.0,68.0,239.0,63.0,623.0,101.0,105.0,46.0,56.0,31.0
852,600.0,6.0,13.0,9.0,38.0,138.0,538.0,34.0,370.0,78.0,585.0,41.0,20.0,105.0,255.0,363.0,60.0,599.0,7.0,276.0,81.0,25.0,100.0,130.0,63.0,583.0,37.0,23.0,87.0,384.0
901,0.0,5.0,126.0,12.0,16.0,26.0,15.0,39.0,375.0,206.0,65.0,68.0,272.0,67.0,270.0,364.0,46.0,156.0,124.0,49.0,50.0,45.0,52.0,79.0,623.0,36.0,64.0,28.0,59.0,390.0
950,0.0,3.0,21.0,252.0,41.0,18.0,25.0,48.0,373.0,11.0,138.0,536.0,260.0,78.0,258.0,6.0,131.0,59.0,269.0,53.0,62.0,36.0,82.0,80.0,98.0,45.0,49.0,90.0,456.0,38.0
999,9.0,8.0,11.0,276.0,39.0,42.0,40.0,109.0,0.0,64.0,37.0,126.0,71.0,143.0,101.0,366.0,139.0,85.0,66.0,21.0,157.0,69.0,86.0,133.0,121.0,587.0,380.0,6.0,453.0,43.0
1048,608.0,11.0,416.0,353.0,31.0,60.0,42.0,118.0,377.0,139.0,12.0,25.0,34.0,146.0,48.0,364.0,86.0,84.0,152.0,360.0,49.0,66.0,280.0,102.0,627.0,590.0,382.0,321.0,41.0,391.0
1097,2.0,14.0,43.0,66.0,16.0,63.0,53.0,137.0,23.0,141.0,47.0,12.0,28.0,130.0,78.0,367.0,88.0,80.0,104.0,358.0,57.0,5.0,72.0,95.0,627.0,85.0,108.0,19.0,64.0,35.0
1146,79.0,20.0,34.0,366.0,11.0,35.0,7.0,40.0,471.0,283.0,46.0,126.0,83.0,113.0,32.0,45.0,106.0,618.0,316.0,315.0,104.0,99.0,291.0,22.0,575.0,416.0,476.0,25.0,337.0,487.0
