,guanosine,asparagine,C16:0 LPE,3-phosphoglycerate,PEP,GABA,C22:6 CE,homocysteine,alpha-glycerophosphate,2-deoxycytidine,taurodeoxycholate,sarcosine,hypoxanthine,cystathionine,niacinamide,C56:5 TAG,1-methylnicotinamide,hippurate,beta-alanine,cis/trans-hydroxyproline,SDMA/ADMA,C22:6 LPC,putrescine,inositol,N-carbamoyl-beta-alanine,creatine,cytidine,butyrylcarnitine/isobutyrylcarnitine,palmitoylcarnitine,pantothenate
21,0.0,1.0,8.0,17.0,22.0,6.0,10.0,16.0,3.0,54.0,7.0,32.0,21.0,29.0,31.0,23.0,2.0,36.0,38.0,35.0,61.0,25.0,49.0,14.0,40.0,15.0,9.0,13.0,41.0,11.0
70,1.0,0.0,21.0,18.0,40.0,25.0,34.0,30.0,4.0,5.0,9.0,17.0,7.0,29.0,23.0,11.0,2.0,16.0,28.0,50.0,13.0,10.0,3.0,39.0,54.0,48.0,38.0,22.0,15.0,49.0
119,6.0,0.0,9.0,15.0,5.0,2.0,27.0,4.0,47.0,8.0,11.0,1.0,3.0,14.0,13.0,40.0,22.0,20.0,16.0,19.0,41.0,36.0,29.0,43.0,7.0,58.0,32.0,34.0,37.0,28.0
168,26.0,0.0,4.0,1.0,18.0,3.0,13.0,9.0,16.0,30.0,10.0,7.0,17.0,34.0,14.0,21.0,19.0,11.0,31.0,6.0,12.0,38.0,28.0,5.0,29.0,22.0,37.0,40.0,45.0,59.0
217,13.0,0.0,8.0,9.0,5.0,23.0,40.0,17.0,22.0,11.0,2.0,21.0,61.0,42.0,36.0,47.0,14.0,1.0,27.0,29.0,7.0,43.0,18.0,6.0,4.0,16.0,10.0,31.0,19.0,39.0
266,23.0,0.0,1.0,9.0,10.0,5.0,2.0,37.0,12.0,8.0,30.0,7.0,6.0,18.0,35.0,17.0,19.0,15.0,26.0,11.0,3.0,21.0,16.0,39.0,66.0,42.0,28.0,27.0,20.0,34.0
315,3.0,1.0,0.0,22.0,12.0,16.0,8.0,7.0,2.0,38.0,6.0,4.0,59.0,58.0,20.0,17.0,11.0,44.0,32.0,29.0,36.0,10.0,5.0,34.0,33.0,31.0,37.0,25.0,19.0,30.0
364,19.0,7.0,30.0,0.0,4.0,3.0,9.0,2.0,50.0,36.0,8.0,6.0,55.0,34.0,46.0,13.0,20.0,25.0,16.0,37.0,1.0,45.0,29.0,21.0,12.0,33.0,11.0,17.0,47.0,35.0
413,11.0,0.0,13.0,40.0,12.0,1.0,3.0,7.0,42.0,2.0,6.0,18.0,19.0,5.0,45.0,28.0,4.0,55.0,15.0,24.0,33.0,8.0,43.0,21.0,27.0,47.0,29.0,9.0,56.0,20.0
462,23.0,3.0,8.0,5.0,1.0,6.0,10.0,22.0,13.0,16.0,18.0,25.0,2.0,26.0,27.0,15.0,4.0,31.0,35.0,55.0,0.0,9.0,48.0,60.0,33.0,49.0,38.0,7.0,34.0,40.0
511,8.0,0.0,7.0,55.0,45.0,22.0,5.0,3.0,2.0,4.0,46.0,39.0,20.0,9.0,1.0,40.0,10.0,19.0,13.0,14.0,6.0,31.0,36.0,25.0,11.0,33.0,21.0,32.0,17.0,28.0
560,19.0,10.0,1.0,26.0,5.0,38.0,3.0,6.0,9.0,30.0,47.0,33.0,8.0,2.0,16.0,21.0,35.0,4.0,23.0,14.0,0.0,15.0,25.0,41.0,12.0,43.0,18.0,42.0,53.0,60.0
609,26.0,2.0,4.0,27.0,18.0,17.0,1.0,0.0,5.0,20.0,6.0,34.0,30.0,7.0,13.0,11.0,12.0,3.0,9.0,10.0,21.0,19.0,51.0,59.0,14.0,25.0,35.0,23.0,33.0,57.0
658,37.0,19.0,1.0,27.0,2.0,7.0,0.0,4.0,3.0,12.0,18.0,20.0,9.0,10.0,34.0,41.0,39.0,17.0,11.0,26.0,35.0,42.0,21.0,22.0,55.0,16.0,14.0,6.0,23.0,5.0
707,21.0,19.0,2.0,11.0,13.0,7.0,1.0,0.0,36.0,3.0,18.0,16.0,15.0,10.0,52.0,9.0,26.0,5.0,6.0,31.0,37.0,57.0,38.0,46.0,30.0,24.0,22.0,8.0,47.0,45.0
756,12.0,4.0,1.0,30.0,7.0,6.0,5.0,13.0,24.0,3.0,17.0,39.0,34.0,11.0,9.0,37.0,21.0,2.0,15.0,47.0,0.0,20.0,23.0,27.0,51.0,33.0,55.0,10.0,32.0,46.0
805,4.0,5.0,2.0,31.0,1.0,17.0,11.0,0.0,9.0,23.0,42.0,32.0,27.0,8.0,10.0,44.0,30.0,28.0,35.0,7.0,51.0,25.0,55.0,22.0,3.0,18.0,20.0,6.0,40.0,26.0
854,5.0,2.0,3.0,21.0,9.0,13.0,1.0,6.0,26.0,17.0,0.0,25.0,27.0,4.0,38.0,16.0,45.0,10.0,8.0,20.0,35.0,60.0,11.0,42.0,54.0,28.0,7.0,29.0,43.0,18.0
903,3.0,2.0,0.0,28.0,1.0,6.0,4.0,5.0,13.0,29.0,44.0,59.0,19.0,8.0,27.0,11.0,31.0,7.0,26.0,15.0,49.0,51.0,52.0,17.0,50.0,39.0,9.0,22.0,40.0,24.0
