,TNK2_MUT,APBA1_AMP,MIEN1_AMP,MIR4728_AMP,PGAP3_AMP,GRB7_AMP,BMPR2_MUT,AATK_MUT,PNMT_AMP,JAK2_AMP,STARD3_AMP,MYEOV_AMP,CTNNA2_MUT,FTL_DEL,MTRNR2L6_DEL,CT45A3_DEL,ERBB2_AMP,IKZF3_AMP,ACACB_MUT,DEFA1_DEL,LOC647107_AMP,MIR548AI_AMP,C3orf33_AMP,CT45A1_DEL,SNAR-C3_DEL,SHANK2_AMP,OR2T27_DEL,PA2G4P4_AMP,NEUROD2_AMP,DST_MUT
32,185.0,8.0,24.0,5.0,13.0,20.0,18.0,273.0,32.0,21.0,10.0,29.0,14.0,359.0,15.0,3.0,531.0,7.0,71.0,5887.0,156.0,2306.0,202.0,2.0,468.0,78.0,46.0,322.0,33.0,882.0
81,1.0,5.0,107.0,421.0,19389.0,1280.0,35.0,9.0,781.0,15442.0,50.0,24.0,152.0,171.0,0.0,11374.0,17736.0,512.0,20.0,18.0,19.0,8.0,38.0,10365.0,489.0,17.0,160.0,43.0,14549.0,211.0
130,3.0,35.0,61.0,40.0,286.0,83.0,39.0,321.0,87.0,141.0,25.0,20.0,16737.0,369.0,8.0,736.0,7.0,11.0,50.0,0.0,21850.0,211.0,299.0,10298.0,63.0,1041.0,12.0,228.0,464.0,572.0
179,1.0,18.0,121.0,238.0,275.0,13187.0,19.0,12.0,450.0,57.0,83.0,88.0,8.0,168.0,45.0,21.0,1178.0,14103.0,377.0,9.0,25.0,710.0,432.0,179.0,18863.0,91.0,256.0,21719.0,14525.0,56.0
228,2.0,3.0,4.0,9.0,23.0,83.0,843.0,0.0,22.0,218.0,20.0,70.0,359.0,42.0,33.0,55.0,62.0,6.0,24.0,13.0,159.0,29.0,79.0,10431.0,133.0,25.0,165.0,14.0,27.0,15.0
277,18.0,1.0,130.0,400.0,93.0,566.0,2.0,49.0,85.0,1103.0,496.0,25.0,82.0,87.0,346.0,503.0,410.0,1403.0,33.0,27.0,4.0,306.0,65.0,10428.0,18943.0,43.0,3275.0,3.0,536.0,266.0
326,0.0,6.0,38.0,496.0,12.0,142.0,603.0,10.0,14909.0,162.0,92.0,14268.0,317.0,5.0,810.0,825.0,487.0,147.0,155.0,8.0,3.0,756.0,31.0,10395.0,50.0,1175.0,72.0,40.0,447.0,79.0
375,3.0,149.0,1196.0,181.0,19327.0,2416.0,40.0,27.0,1110.0,203.0,18190.0,9.0,4.0,140.0,14.0,49.0,36.0,2898.0,2.0,20.0,241.0,59.0,1.0,308.0,26.0,152.0,1452.0,21787.0,14524.0,287.0
424,117.0,276.0,13.0,314.0,20.0,36.0,17119.0,0.0,95.0,175.0,109.0,184.0,436.0,391.0,173.0,11286.0,65.0,970.0,145.0,12.0,94.0,24.0,3.0,368.0,18928.0,585.0,780.0,2.0,844.0,113.0
473,1.0,63.0,125.0,840.0,731.0,13585.0,19.0,29.0,14884.0,158.0,17940.0,14.0,177.0,54.0,35.0,390.0,34.0,551.0,166.0,243.0,162.0,2543.0,13112.0,215.0,114.0,2.0,248.0,616.0,14444.0,1343.0
522,3.0,13519.0,15.0,10.0,17.0,65.0,0.0,95.0,142.0,76.0,17994.0,41.0,75.0,28.0,18.0,8.0,393.0,161.0,720.0,6.0,694.0,16548.0,276.0,13.0,465.0,84.0,56.0,555.0,748.0,17089.0
571,0.0,13.0,9.0,18.0,21.0,34.0,15.0,51.0,67.0,206.0,118.0,170.0,159.0,31.0,116.0,63.0,309.0,59.0,25.0,4.0,3.0,400.0,33.0,156.0,18788.0,208.0,1486.0,97.0,142.0,22.0
620,7.0,3.0,4.0,6.0,41.0,100.0,14.0,102.0,59.0,8.0,380.0,188.0,950.0,81.0,0.0,57.0,2.0,1207.0,64.0,25.0,24.0,422.0,114.0,254.0,18928.0,14061.0,3929.0,75.0,1411.0,150.0
669,6.0,3.0,13.0,24.0,48.0,246.0,15.0,649.0,306.0,476.0,107.0,18.0,16699.0,9.0,4.0,25.0,13970.0,56.0,1615.0,430.0,426.0,42.0,100.0,50.0,18893.0,2.0,11474.0,21777.0,126.0,1322.0
718,9.0,0.0,105.0,71.0,64.0,146.0,251.0,236.0,190.0,121.0,18214.0,14270.0,116.0,62.0,19189.0,18.0,66.0,805.0,10.0,60.0,958.0,1674.0,96.0,13.0,793.0,1313.0,587.0,31.0,14472.0,5.0
767,1.0,17.0,77.0,148.0,87.0,309.0,12.0,0.0,131.0,405.0,739.0,29.0,2464.0,37.0,61.0,110.0,475.0,14061.0,88.0,69.0,21854.0,109.0,13196.0,18.0,1041.0,58.0,2729.0,96.0,507.0,23.0
816,12.0,22.0,4.0,28.0,33.0,56.0,47.0,166.0,101.0,17.0,357.0,11.0,20.0,537.0,18740.0,1214.0,24.0,5.0,93.0,0.0,99.0,157.0,13140.0,55.0,18830.0,35.0,244.0,84.0,664.0,727.0
865,0.0,7.0,46.0,546.0,92.0,422.0,24.0,120.0,270.0,2.0,17959.0,14187.0,2893.0,20.0,87.0,119.0,77.0,417.0,281.0,19.0,106.0,3.0,16.0,10321.0,111.0,1624.0,1194.0,189.0,14462.0,307.0
914,14.0,60.0,3.0,0.0,6.0,64.0,65.0,34.0,2.0,470.0,16.0,142.0,17.0,171.0,30.0,11332.0,5.0,36.0,35.0,49.0,87.0,56.0,626.0,2692.0,18925.0,2503.0,88.0,360.0,280.0,74.0
963,2.0,27.0,133.0,485.0,19398.0,169.0,1.0,308.0,122.0,1655.0,681.0,177.0,13.0,53.0,24.0,190.0,17669.0,13996.0,61.0,23.0,189.0,28.0,55.0,129.0,199.0,12.0,3278.0,20.0,14447.0,380.0
1012,127.0,6.0,11.0,10.0,62.0,66.0,61.0,3117.0,41.0,54.0,19.0,30.0,1.0,668.0,196.0,81.0,7.0,505.0,82.0,24.0,101.0,45.0,15.0,8.0,43.0,117.0,4701.0,319.0,51.0,31.0
1061,0.0,2.0,1.0,12.0,5.0,18.0,33.0,131.0,4.0,75.0,299.0,8.0,13.0,102.0,48.0,154.0,10.0,79.0,19.0,151.0,51.0,789.0,92.0,68.0,91.0,132.0,60.0,542.0,96.0,17102.0
1110,202.0,3.0,35.0,102.0,161.0,128.0,95.0,134.0,79.0,2.0,17966.0,34.0,5.0,16.0,21.0,71.0,814.0,14093.0,1.0,260.0,12.0,87.0,13171.0,0.0,395.0,259.0,70.0,955.0,14469.0,862.0
1159,1.0,0.0,25.0,15.0,13.0,17.0,320.0,68.0,134.0,11.0,211.0,36.0,260.0,34.0,19.0,121.0,18.0,62.0,971.0,597.0,21730.0,39.0,746.0,10.0,66.0,6.0,42.0,64.0,562.0,67.0
1208,0.0,3.0,5.0,6.0,9.0,11.0,249.0,311.0,14.0,34.0,23.0,36.0,1176.0,87.0,20.0,114.0,52.0,48.0,50.0,194.0,45.0,43.0,28.0,99.0,38.0,13.0,102.0,40.0,459.0,16653.0
1257,1.0,18.0,13.0,16.0,65.0,20.0,434.0,2.0,255.0,1540.0,9.0,8.0,64.0,42.0,154.0,27.0,80.0,162.0,96.0,114.0,51.0,363.0,141.0,33.0,135.0,7.0,0.0,86.0,102.0,29.0
1306,11.0,7.0,0.0,28.0,8.0,65.0,40.0,3.0,26.0,2470.0,17.0,15.0,13.0,54.0,202.0,11317.0,17637.0,86.0,150.0,302.0,182.0,261.0,50.0,49.0,35.0,125.0,27.0,42.0,123.0,41.0
1355,4.0,0.0,3106.0,16390.0,1492.0,13636.0,39.0,2.0,14904.0,5.0,18160.0,3.0,16.0,31.0,114.0,99.0,1470.0,14019.0,1.0,829.0,21728.0,78.0,13140.0,10381.0,18925.0,41.0,739.0,288.0,1297.0,521.0
1404,2.0,4.0,0.0,15.0,18.0,3.0,235.0,73.0,198.0,420.0,22.0,13.0,193.0,37.0,19205.0,109.0,17722.0,26.0,1.0,67.0,21779.0,32.0,60.0,7.0,101.0,174.0,65.0,57.0,46.0,50.0
1453,2.0,52.0,4.0,14.0,278.0,9.0,497.0,11.0,326.0,3.0,85.0,69.0,170.0,66.0,162.0,932.0,47.0,343.0,21.0,198.0,282.0,685.0,86.0,10342.0,31.0,82.0,1.0,380.0,401.0,17103.0
1502,4.0,544.0,35.0,6.0,40.0,88.0,299.0,25.0,73.0,46.0,10.0,152.0,3.0,16.0,8.0,11314.0,688.0,512.0,173.0,428.0,103.0,104.0,13147.0,10370.0,23.0,493.0,553.0,21795.0,14453.0,54.0
1551,0.0,6.0,3.0,5.0,147.0,82.0,393.0,26.0,53.0,14.0,108.0,17.0,8.0,59.0,31.0,11202.0,17627.0,411.0,58.0,866.0,65.0,131.0,129.0,10292.0,12.0,89.0,29.0,21867.0,62.0,4.0
1600,54.0,1.0,3.0,10.0,216.0,55.0,81.0,6.0,71.0,306.0,19.0,12.0,7.0,11.0,192.0,73.0,136.0,39.0,22.0,704.0,324.0,52.0,34.0,582.0,77.0,21.0,16.0,47.0,79.0,240.0
1649,0.0,9.0,4.0,1.0,35.0,11.0,74.0,52.0,77.0,8.0,131.0,3.0,125.0,76.0,40.0,31.0,692.0,37.0,33.0,5723.0,580.0,16380.0,630.0,13.0,12.0,45.0,21.0,241.0,105.0,518.0
1698,1.0,13404.0,6.0,32.0,1458.0,33.0,39.0,9.0,3123.0,905.0,512.0,216.0,234.0,494.0,500.0,29.0,186.0,14013.0,170.0,1237.0,598.0,5.0,66.0,73.0,117.0,52.0,3108.0,10.0,538.0,40.0
1747,7.0,1.0,2.0,0.0,46.0,8.0,6.0,5.0,11.0,30.0,3.0,4.0,12.0,26.0,916.0,65.0,82.0,19.0,76.0,1214.0,18.0,282.0,74.0,243.0,123.0,55.0,9.0,20.0,14.0,15.0
