,LUNG,STOMACH,NERVOUS,OVARY,OESOPHAGUS,HAEMATOPOIETIC,LARGE_INTESTINE,SKIN,GANGLIA,LIVER,PANCREAS,URINARY,BONE,BREAST,ENDOMETRIUM,PROSTATE,AERODIGESTIVE,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,SALIVARY,BILIARY
48,0.0,1.0,3.0,4.0,6.0,5.0,9.0,8.0,7.0,10.0,12.0,2.0,11.0,14.0,13.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
97,1.0,16.0,15.0,0.0,2.0,4.0,5.0,7.0,11.0,10.0,6.0,3.0,17.0,8.0,9.0,12.0,19.0,13.0,21.0,14.0,18.0,20.0,22.0
146,3.0,13.0,0.0,6.0,4.0,1.0,8.0,9.0,7.0,2.0,10.0,5.0,14.0,11.0,16.0,12.0,18.0,17.0,19.0,20.0,15.0,21.0,22.0
195,0.0,2.0,3.0,4.0,1.0,5.0,7.0,8.0,6.0,10.0,9.0,19.0,11.0,13.0,12.0,15.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
244,13.0,2.0,0.0,4.0,3.0,5.0,7.0,1.0,6.0,9.0,8.0,15.0,14.0,12.0,10.0,11.0,17.0,16.0,18.0,19.0,20.0,21.0,22.0
293,3.0,4.0,0.0,1.0,9.0,15.0,6.0,13.0,5.0,2.0,10.0,16.0,11.0,7.0,8.0,12.0,20.0,18.0,19.0,14.0,17.0,21.0,22.0
342,1.0,2.0,4.0,5.0,6.0,0.0,9.0,8.0,7.0,10.0,12.0,3.0,11.0,14.0,20.0,16.0,15.0,13.0,18.0,19.0,17.0,21.0,22.0
391,2.0,15.0,4.0,5.0,3.0,6.0,0.0,7.0,11.0,1.0,12.0,14.0,10.0,8.0,9.0,13.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
440,0.0,14.0,3.0,4.0,1.0,5.0,6.0,8.0,2.0,15.0,7.0,13.0,10.0,11.0,9.0,12.0,19.0,17.0,18.0,20.0,16.0,21.0,22.0
489,2.0,16.0,15.0,6.0,3.0,0.0,5.0,7.0,19.0,1.0,10.0,4.0,9.0,11.0,8.0,12.0,18.0,13.0,17.0,14.0,20.0,21.0,22.0
538,4.0,5.0,1.0,2.0,0.0,6.0,8.0,12.0,7.0,10.0,9.0,19.0,15.0,11.0,3.0,14.0,13.0,16.0,17.0,18.0,20.0,21.0,22.0
587,0.0,3.0,5.0,19.0,6.0,1.0,7.0,2.0,12.0,9.0,8.0,4.0,10.0,13.0,11.0,15.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
636,4.0,10.0,0.0,1.0,7.0,6.0,8.0,11.0,2.0,3.0,9.0,5.0,12.0,14.0,13.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
685,0.0,2.0,4.0,5.0,1.0,13.0,8.0,7.0,6.0,9.0,14.0,3.0,10.0,12.0,11.0,16.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
734,2.0,3.0,0.0,5.0,7.0,6.0,12.0,9.0,8.0,1.0,13.0,4.0,10.0,14.0,11.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
783,0.0,1.0,3.0,13.0,4.0,14.0,7.0,6.0,5.0,8.0,10.0,2.0,9.0,12.0,11.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
832,0.0,11.0,1.0,3.0,4.0,12.0,6.0,5.0,13.0,7.0,8.0,2.0,14.0,10.0,9.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
881,0.0,11.0,1.0,4.0,5.0,12.0,8.0,7.0,6.0,2.0,9.0,3.0,13.0,10.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
930,0.0,10.0,9.0,2.0,7.0,3.0,4.0,12.0,8.0,11.0,1.0,17.0,6.0,5.0,16.0,20.0,18.0,19.0,13.0,14.0,15.0,21.0,22.0
979,12.0,3.0,5.0,0.0,8.0,6.0,10.0,16.0,15.0,1.0,2.0,4.0,11.0,9.0,7.0,17.0,19.0,13.0,21.0,14.0,18.0,20.0,22.0
1028,8.0,11.0,0.0,10.0,2.0,9.0,3.0,7.0,15.0,6.0,14.0,19.0,5.0,13.0,4.0,1.0,18.0,12.0,20.0,16.0,17.0,21.0,22.0
1077,0.0,2.0,13.0,1.0,3.0,5.0,6.0,7.0,4.0,10.0,11.0,14.0,15.0,8.0,9.0,12.0,19.0,17.0,18.0,20.0,16.0,21.0,22.0
1126,2.0,14.0,5.0,6.0,3.0,7.0,8.0,0.0,4.0,11.0,9.0,13.0,20.0,1.0,10.0,12.0,18.0,16.0,17.0,19.0,15.0,21.0,22.0
