,Shc_pY317,RAD51,EGFR,C-Raf_pS338,p38_pT180_Y182,Notch1,SHP-2_pY542,P-Cadherin,HER2_pY1248,Annexin 1,PKC-delta_pS664,Syk,EGFR_pY1068,4E-BP1,Gab2,PRDX1,Smac,c-Myc,CDK1,Cyclin_D1,CD31,VAV1,HER2,MEK1_pS217_S221,MYH11,Chk2,AMPK_pT172,FoxM1,Bap1 c-4,FOXO3a
2061,3.0,4.0,1.0,12.0,0.0,8.0,11.0,10.0,14.0,5.0,6.0,21.0,13.0,22.0,19.0,27.0,16.0,36.0,20.0,17.0,34.0,7.0,24.0,32.0,55.0,29.0,2.0,126.0,25.0,41.0
2110,9.0,1.0,2.0,23.0,0.0,3.0,10.0,24.0,7.0,15.0,19.0,5.0,14.0,4.0,25.0,33.0,22.0,16.0,27.0,8.0,86.0,6.0,11.0,32.0,50.0,30.0,34.0,125.0,36.0,20.0
2159,4.0,5.0,0.0,10.0,2.0,1.0,24.0,28.0,3.0,11.0,13.0,21.0,12.0,6.0,42.0,18.0,7.0,31.0,36.0,19.0,92.0,9.0,22.0,29.0,27.0,25.0,16.0,30.0,34.0,14.0
2208,4.0,2.0,0.0,9.0,16.0,6.0,8.0,26.0,7.0,14.0,19.0,1.0,10.0,17.0,20.0,18.0,21.0,5.0,39.0,13.0,36.0,24.0,23.0,22.0,33.0,12.0,3.0,28.0,30.0,35.0
2257,1.0,5.0,0.0,16.0,3.0,11.0,13.0,2.0,7.0,24.0,20.0,14.0,23.0,38.0,43.0,37.0,6.0,36.0,41.0,18.0,89.0,4.0,22.0,17.0,25.0,9.0,10.0,21.0,105.0,12.0
2306,3.0,2.0,14.0,19.0,1.0,8.0,18.0,10.0,0.0,13.0,27.0,34.0,7.0,20.0,12.0,16.0,9.0,31.0,6.0,4.0,92.0,5.0,15.0,36.0,29.0,22.0,30.0,17.0,38.0,130.0
2355,1.0,8.0,10.0,4.0,0.0,2.0,3.0,6.0,12.0,20.0,9.0,22.0,23.0,11.0,26.0,40.0,16.0,36.0,28.0,15.0,88.0,5.0,25.0,17.0,52.0,32.0,18.0,27.0,31.0,19.0
2404,2.0,0.0,13.0,4.0,11.0,30.0,12.0,19.0,6.0,32.0,10.0,26.0,23.0,17.0,25.0,18.0,9.0,8.0,29.0,90.0,96.0,27.0,5.0,52.0,50.0,94.0,1.0,35.0,21.0,24.0
2453,5.0,4.0,1.0,0.0,51.0,21.0,14.0,20.0,8.0,9.0,38.0,16.0,17.0,30.0,6.0,2.0,10.0,11.0,24.0,29.0,28.0,19.0,7.0,23.0,32.0,26.0,13.0,3.0,34.0,12.0
2502,1.0,2.0,0.0,3.0,16.0,7.0,20.0,57.0,25.0,4.0,10.0,45.0,6.0,24.0,18.0,15.0,27.0,5.0,14.0,28.0,8.0,9.0,21.0,22.0,48.0,33.0,26.0,17.0,29.0,36.0
2551,1.0,0.0,3.0,2.0,27.0,35.0,15.0,6.0,20.0,11.0,5.0,10.0,14.0,25.0,127.0,8.0,29.0,9.0,21.0,88.0,19.0,18.0,23.0,22.0,37.0,31.0,16.0,12.0,95.0,4.0
2600,2.0,1.0,0.0,3.0,6.0,31.0,23.0,21.0,9.0,8.0,22.0,18.0,15.0,7.0,121.0,4.0,33.0,11.0,38.0,89.0,20.0,12.0,10.0,19.0,52.0,91.0,16.0,5.0,106.0,14.0
2649,1.0,3.0,0.0,4.0,24.0,45.0,40.0,28.0,9.0,8.0,16.0,44.0,19.0,42.0,30.0,2.0,17.0,18.0,10.0,36.0,34.0,11.0,5.0,32.0,25.0,12.0,33.0,13.0,23.0,6.0
2698,1.0,0.0,2.0,3.0,19.0,25.0,9.0,14.0,16.0,6.0,8.0,36.0,18.0,5.0,38.0,7.0,12.0,26.0,11.0,99.0,20.0,17.0,24.0,79.0,37.0,30.0,111.0,15.0,33.0,31.0
2747,2.0,10.0,0.0,6.0,33.0,40.0,11.0,20.0,5.0,12.0,15.0,16.0,14.0,4.0,19.0,7.0,37.0,98.0,3.0,26.0,35.0,9.0,1.0,53.0,46.0,89.0,30.0,18.0,32.0,13.0
