,AC138623.1,ZNF215,AC011242.6,SFMBT2,ITPRIPL1,C8orf31,LBX2-AS1,PGF,AEBP1,CYBA,FRMD3,SLC38A5,CNTN3,RP11-488P3.1,ZNF595,FNBP1P1,GNB4,AP000783.1,PPP1R14A,CDA,MAGEC2,RNF144A-AS1,INHBA,TSPAN12,MEIS3P1,DCP1B,EFCAB4B,RP11-301O19.1,RAC3,RP11-541N10.3
9,0.0,3.0,2.0,5.0,6.0,11.0,13.0,24.0,14.0,53.0,9.0,1.0,46.0,69.0,33.0,15.0,8.0,10.0,16.0,12.0,18.0,22.0,43.0,19.0,101.0,17.0,28.0,23.0,88.0,32.0
58,0.0,18.0,1.0,6.0,2.0,33.0,5.0,69.0,99.0,12.0,3.0,20.0,7.0,83.0,23.0,8.0,11.0,4.0,56.0,91.0,10.0,42.0,63.0,9.0,793.0,60.0,49.0,30.0,72.0,14.0
107,3.0,11.0,6.0,4.0,8.0,1.0,9.0,70.0,15.0,12.0,23.0,16.0,19.0,18.0,28.0,45.0,86.0,2.0,5.0,35.0,7.0,30.0,111.0,14.0,132.0,34.0,68.0,20.0,156.0,25.0
156,0.0,53.0,7.0,2.0,15.0,3.0,16.0,6.0,66.0,8.0,1.0,100.0,25.0,9.0,41.0,10.0,5.0,4.0,12.0,35.0,213.0,30.0,29.0,64.0,123.0,26.0,57.0,43.0,255.0,75.0
205,0.0,57.0,1.0,2.0,35.0,16.0,7.0,29.0,14.0,21.0,139.0,28.0,5.0,47.0,10.0,18.0,24.0,9.0,3.0,34.0,6.0,32.0,74.0,8.0,431.0,15.0,144.0,30.0,251.0,42.0
254,1.0,2.0,3.0,5.0,7.0,13.0,32.0,36.0,27.0,19.0,6.0,57.0,17.0,11.0,64.0,12.0,23.0,9.0,0.0,21.0,31.0,15.0,82.0,42.0,149.0,10.0,8.0,28.0,97.0,20.0
303,2.0,10.0,0.0,1.0,11.0,8.0,3.0,41.0,29.0,9.0,17.0,4.0,46.0,13.0,23.0,33.0,219.0,6.0,7.0,16.0,57.0,5.0,19.0,92.0,45.0,38.0,15.0,18.0,353.0,20.0
352,3.0,33.0,0.0,7.0,5.0,35.0,6.0,13.0,61.0,20.0,2.0,14.0,24.0,17.0,79.0,18.0,11.0,1.0,8.0,70.0,31.0,119.0,50.0,15.0,57.0,64.0,9.0,27.0,273.0,67.0
401,0.0,30.0,2.0,14.0,18.0,17.0,20.0,19.0,164.0,7.0,12.0,26.0,9.0,22.0,3.0,8.0,16.0,5.0,1.0,75.0,114.0,11.0,40.0,4.0,71.0,27.0,146.0,55.0,186.0,98.0
450,20.0,2.0,5.0,18.0,4.0,42.0,3.0,129.0,14.0,16.0,1.0,9.0,41.0,48.0,6.0,32.0,87.0,8.0,10.0,17.0,25.0,55.0,71.0,59.0,23.0,38.0,63.0,19.0,225.0,37.0
499,23.0,2.0,26.0,4.0,0.0,8.0,243.0,15.0,28.0,6.0,1.0,32.0,36.0,70.0,24.0,9.0,5.0,3.0,55.0,11.0,12.0,412.0,98.0,106.0,18.0,16.0,13.0,125.0,30.0,42.0
548,7.0,0.0,14.0,4.0,2.0,35.0,75.0,15.0,46.0,3.0,6.0,142.0,5.0,21.0,38.0,12.0,17.0,9.0,138.0,34.0,407.0,205.0,108.0,24.0,178.0,20.0,1.0,375.0,26.0,69.0
597,33.0,0.0,3.0,40.0,1.0,5.0,39.0,2.0,81.0,30.0,56.0,77.0,26.0,158.0,21.0,11.0,22.0,220.0,86.0,102.0,16.0,822.0,41.0,10.0,245.0,27.0,19.0,472.0,20.0,43.0
646,12.0,0.0,17.0,5.0,1.0,16.0,3.0,9.0,68.0,33.0,146.0,10.0,355.0,226.0,83.0,15.0,29.0,46.0,594.0,42.0,20.0,597.0,115.0,105.0,429.0,6.0,2.0,350.0,7.0,40.0
695,636.0,1.0,10.0,4.0,7.0,2.0,571.0,103.0,36.0,17.0,9.0,189.0,20.0,136.0,63.0,13.0,119.0,11.0,70.0,28.0,34.0,290.0,41.0,33.0,3.0,49.0,0.0,165.0,35.0,120.0
