,hsa-miR-142-5p,hcmv-miR-US5-1,hsa-miR-223,hsa-miR-206,hsa-miR-148a,hsa-miR-34a,hsa-miR-888,hsa-miR-199b-5p,hsa-miR-1226,hsa-miR-609,hsa-miR-190,hsa-miR-105,hsa-miR-541,hsa-miR-2052,hsa-miR-616,hsa-miR-378,hsa-miR-323-5p,hsa-miR-92a,hsa-miR-1248,hsa-miR-26a,kshv-miR-K12-7,hsa-miR-375,hsa-miR-136,hsa-miR-513a-3p,hsa-miR-921,hsa-miR-553,hsa-miR-597,hsa-miR-1297,hsa-miR-642,hsa-miR-1197
17,0.0,2.0,4.0,3.0,5.0,1.0,11.0,9.0,20.0,6.0,52.0,12.0,30.0,10.0,18.0,32.0,29.0,14.0,19.0,34.0,40.0,8.0,22.0,72.0,33.0,38.0,23.0,16.0,50.0,359.0
66,0.0,3.0,5.0,1.0,2.0,22.0,13.0,8.0,20.0,14.0,404.0,10.0,7.0,36.0,18.0,26.0,16.0,21.0,51.0,6.0,49.0,24.0,11.0,33.0,17.0,48.0,39.0,19.0,72.0,102.0
115,1.0,0.0,5.0,7.0,9.0,2.0,10.0,20.0,19.0,23.0,57.0,3.0,35.0,18.0,27.0,34.0,4.0,8.0,44.0,17.0,6.0,59.0,26.0,24.0,43.0,15.0,21.0,47.0,38.0,42.0
164,0.0,7.0,2.0,11.0,5.0,3.0,8.0,14.0,15.0,4.0,23.0,13.0,16.0,18.0,26.0,44.0,19.0,33.0,78.0,21.0,37.0,30.0,6.0,61.0,29.0,24.0,17.0,22.0,54.0,397.0
213,0.0,1.0,4.0,7.0,3.0,6.0,11.0,16.0,15.0,14.0,17.0,5.0,9.0,23.0,12.0,38.0,21.0,10.0,58.0,39.0,34.0,25.0,8.0,18.0,2.0,20.0,24.0,47.0,309.0,84.0
262,0.0,2.0,7.0,1.0,11.0,3.0,12.0,5.0,51.0,6.0,36.0,8.0,21.0,31.0,14.0,49.0,23.0,9.0,17.0,47.0,28.0,43.0,13.0,27.0,20.0,40.0,16.0,15.0,19.0,64.0
311,0.0,13.0,2.0,1.0,5.0,3.0,12.0,9.0,18.0,14.0,335.0,6.0,7.0,29.0,11.0,15.0,20.0,59.0,51.0,24.0,23.0,22.0,4.0,69.0,8.0,25.0,21.0,32.0,54.0,82.0
360,0.0,9.0,1.0,2.0,3.0,8.0,11.0,20.0,7.0,10.0,40.0,12.0,14.0,30.0,17.0,22.0,31.0,21.0,68.0,13.0,6.0,35.0,19.0,32.0,33.0,4.0,56.0,39.0,48.0,93.0
409,0.0,3.0,1.0,6.0,5.0,4.0,10.0,36.0,28.0,11.0,32.0,2.0,18.0,9.0,14.0,22.0,27.0,17.0,53.0,16.0,35.0,8.0,23.0,34.0,13.0,19.0,15.0,61.0,43.0,42.0
458,1.0,7.0,8.0,0.0,9.0,3.0,4.0,22.0,18.0,5.0,35.0,26.0,19.0,23.0,21.0,30.0,20.0,45.0,17.0,10.0,49.0,29.0,6.0,55.0,31.0,16.0,34.0,14.0,83.0,396.0
507,3.0,5.0,0.0,4.0,32.0,2.0,6.0,8.0,22.0,1.0,34.0,12.0,31.0,52.0,39.0,27.0,18.0,47.0,10.0,13.0,37.0,7.0,11.0,25.0,28.0,23.0,131.0,51.0,41.0,20.0
556,6.0,16.0,1.0,0.0,15.0,3.0,5.0,14.0,4.0,2.0,36.0,8.0,37.0,29.0,23.0,17.0,22.0,47.0,13.0,11.0,10.0,20.0,33.0,34.0,35.0,7.0,28.0,32.0,57.0,27.0
