,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,STOMACH,PLEURA,LIVER,THYROID,PROSTATE,BONE,BILIARY,NERVOUS,KIDNEY,OVARY,SOFT_TISSUE,ENDOMETRIUM,BREAST,PANCREAS,SALIVARY,URINARY,AERODIGESTIVE,OESOPHAGUS,GANGLIA,LUNG
43,1.0,2.0,3.0,0.0,5.0,4.0,7.0,8.0,6.0,10.0,13.0,12.0,14.0,11.0,16.0,17.0,9.0,22.0,19.0,18.0,21.0,20.0,15.0
92,6.0,7.0,4.0,5.0,2.0,10.0,3.0,9.0,8.0,11.0,0.0,13.0,14.0,12.0,17.0,18.0,1.0,16.0,20.0,19.0,21.0,15.0,22.0
141,0.0,3.0,6.0,13.0,2.0,8.0,5.0,9.0,4.0,11.0,1.0,12.0,14.0,7.0,15.0,16.0,10.0,21.0,17.0,18.0,20.0,19.0,22.0
190,1.0,4.0,7.0,0.0,5.0,9.0,6.0,10.0,8.0,11.0,2.0,13.0,15.0,12.0,17.0,18.0,3.0,14.0,20.0,19.0,22.0,21.0,16.0
239,0.0,1.0,3.0,11.0,4.0,2.0,7.0,8.0,6.0,9.0,5.0,10.0,13.0,12.0,17.0,18.0,14.0,15.0,16.0,19.0,21.0,20.0,22.0
288,0.0,2.0,5.0,14.0,3.0,7.0,4.0,8.0,6.0,11.0,1.0,13.0,17.0,12.0,15.0,16.0,10.0,21.0,19.0,18.0,20.0,9.0,22.0
337,0.0,3.0,6.0,14.0,4.0,7.0,12.0,8.0,5.0,10.0,1.0,13.0,17.0,11.0,15.0,16.0,2.0,21.0,19.0,18.0,20.0,9.0,22.0
386,0.0,1.0,2.0,4.0,10.0,3.0,5.0,7.0,6.0,11.0,19.0,12.0,14.0,13.0,9.0,15.0,8.0,22.0,17.0,16.0,21.0,20.0,18.0
435,1.0,4.0,7.0,0.0,3.0,8.0,6.0,9.0,5.0,10.0,2.0,12.0,14.0,11.0,15.0,16.0,17.0,13.0,19.0,18.0,21.0,20.0,22.0
484,5.0,2.0,3.0,4.0,11.0,7.0,6.0,8.0,15.0,12.0,0.0,14.0,1.0,13.0,19.0,20.0,10.0,16.0,21.0,17.0,9.0,18.0,22.0
533,3.0,0.0,1.0,20.0,4.0,7.0,6.0,8.0,5.0,11.0,9.0,10.0,12.0,13.0,16.0,17.0,18.0,14.0,15.0,19.0,22.0,21.0,2.0
582,0.0,2.0,1.0,9.0,3.0,6.0,4.0,5.0,14.0,11.0,8.0,10.0,12.0,13.0,16.0,17.0,18.0,21.0,15.0,22.0,20.0,19.0,7.0
631,0.0,1.0,2.0,16.0,7.0,3.0,5.0,6.0,11.0,8.0,9.0,10.0,20.0,4.0,13.0,14.0,15.0,21.0,12.0,22.0,18.0,17.0,19.0
680,2.0,1.0,0.0,9.0,3.0,4.0,5.0,6.0,14.0,11.0,13.0,10.0,8.0,12.0,16.0,17.0,18.0,22.0,15.0,19.0,21.0,20.0,7.0
729,0.0,1.0,2.0,14.0,3.0,5.0,6.0,7.0,12.0,9.0,4.0,10.0,11.0,22.0,13.0,17.0,18.0,8.0,16.0,19.0,21.0,20.0,15.0
778,2.0,0.0,1.0,17.0,3.0,5.0,6.0,7.0,12.0,9.0,4.0,10.0,11.0,8.0,14.0,15.0,16.0,21.0,13.0,22.0,19.0,18.0,20.0
827,0.0,2.0,1.0,19.0,3.0,4.0,5.0,6.0,13.0,7.0,8.0,9.0,10.0,11.0,15.0,16.0,17.0,12.0,14.0,18.0,21.0,20.0,22.0
876,0.0,2.0,3.0,22.0,4.0,1.0,5.0,6.0,14.0,10.0,15.0,9.0,13.0,11.0,16.0,17.0,18.0,12.0,20.0,19.0,7.0,21.0,8.0
925,0.0,1.0,2.0,11.0,8.0,5.0,6.0,7.0,12.0,9.0,3.0,10.0,4.0,22.0,18.0,14.0,19.0,17.0,13.0,20.0,15.0,21.0,16.0
974,0.0,2.0,1.0,19.0,3.0,4.0,10.0,5.0,13.0,7.0,14.0,8.0,12.0,11.0,15.0,16.0,17.0,22.0,9.0,18.0,20.0,6.0,21.0
1023,3.0,0.0,1.0,2.0,5.0,10.0,6.0,8.0,7.0,11.0,4.0,12.0,19.0,13.0,15.0,16.0,17.0,22.0,21.0,18.0,9.0,20.0,14.0
1072,1.0,2.0,4.0,0.0,7.0,3.0,5.0,6.0,8.0,9.0,12.0,10.0,11.0,16.0,19.0,13.0,14.0,18.0,21.0,20.0,15.0,22.0,17.0
1121,0.0,1.0,2.0,3.0,9.0,6.0,5.0,7.0,10.0,11.0,4.0,13.0,18.0,12.0,16.0,17.0,8.0,14.0,20.0,19.0,22.0,21.0,15.0
