,C22:6 LPE,uracil,C16:0 LPE,cis/trans-hydroxyproline,pantothenate,5-HIAA,1-methylnicotinamide,glutamine,alpha-glycerophosphocholine,leucine,asparagine,inositol,GABA,C34:4 PC,taurodeoxycholate,malondialdehyde,beta-alanine,3-phosphoglycerate,creatine,2-deoxyadenosine,alpha-glycerophosphate,dCMP,uridine,C34:2 DAG,C36:1 DAG,oxalate,hexoses (HILIC neg),DHAP/glyceraldehyde 3P,cytidine,C36:4 PC-B
27,5.0,9.0,20.0,12.0,3.0,2.0,49.0,25.0,10.0,51.0,50.0,28.0,54.0,21.0,7.0,8.0,36.0,11.0,59.0,16.0,0.0,31.0,29.0,4.0,23.0,32.0,6.0,48.0,42.0,22.0
76,1.0,25.0,7.0,58.0,5.0,59.0,14.0,6.0,2.0,12.0,4.0,9.0,61.0,22.0,23.0,56.0,18.0,43.0,16.0,30.0,24.0,48.0,54.0,31.0,33.0,27.0,49.0,32.0,34.0,10.0
125,4.0,2.0,21.0,16.0,24.0,5.0,31.0,20.0,1.0,11.0,57.0,0.0,59.0,12.0,3.0,55.0,13.0,44.0,19.0,45.0,6.0,8.0,23.0,39.0,10.0,25.0,46.0,30.0,7.0,26.0
174,5.0,2.0,1.0,0.0,6.0,14.0,34.0,58.0,19.0,15.0,7.0,4.0,60.0,24.0,54.0,56.0,9.0,42.0,64.0,21.0,25.0,29.0,53.0,13.0,27.0,49.0,45.0,22.0,30.0,3.0
223,0.0,24.0,4.0,19.0,1.0,5.0,17.0,6.0,3.0,11.0,10.0,20.0,14.0,29.0,22.0,56.0,13.0,43.0,63.0,31.0,32.0,48.0,54.0,38.0,34.0,26.0,49.0,33.0,2.0,7.0
272,8.0,3.0,4.0,7.0,25.0,2.0,16.0,0.0,12.0,58.0,57.0,1.0,60.0,36.0,9.0,56.0,6.0,44.0,64.0,17.0,24.0,48.0,53.0,28.0,22.0,5.0,31.0,11.0,13.0,42.0
321,0.0,4.0,1.0,21.0,5.0,10.0,44.0,17.0,3.0,14.0,18.0,8.0,57.0,27.0,24.0,11.0,39.0,22.0,61.0,64.0,9.0,49.0,25.0,29.0,41.0,52.0,31.0,33.0,34.0,7.0
370,5.0,4.0,32.0,3.0,6.0,0.0,18.0,20.0,17.0,59.0,15.0,29.0,60.0,35.0,2.0,57.0,8.0,44.0,19.0,33.0,25.0,48.0,54.0,9.0,27.0,30.0,49.0,10.0,11.0,24.0
419,0.0,4.0,5.0,16.0,34.0,7.0,38.0,3.0,1.0,6.0,19.0,8.0,61.0,37.0,2.0,14.0,23.0,22.0,17.0,20.0,25.0,26.0,33.0,9.0,39.0,29.0,50.0,49.0,11.0,30.0
468,1.0,0.0,6.0,2.0,4.0,57.0,45.0,7.0,33.0,10.0,56.0,55.0,59.0,18.0,11.0,15.0,44.0,38.0,61.0,22.0,21.0,50.0,25.0,26.0,41.0,30.0,27.0,24.0,23.0,8.0
517,2.0,22.0,11.0,15.0,10.0,19.0,4.0,9.0,63.0,59.0,17.0,18.0,7.0,8.0,3.0,57.0,40.0,43.0,16.0,0.0,45.0,5.0,28.0,30.0,12.0,52.0,49.0,48.0,1.0,41.0
566,7.0,6.0,9.0,21.0,32.0,56.0,2.0,11.0,60.0,54.0,13.0,1.0,57.0,14.0,23.0,12.0,17.0,44.0,62.0,0.0,3.0,26.0,5.0,34.0,30.0,31.0,29.0,47.0,25.0,27.0
615,3.0,0.0,10.0,5.0,27.0,52.0,18.0,49.0,14.0,50.0,17.0,26.0,7.0,9.0,28.0,1.0,19.0,15.0,59.0,61.0,32.0,2.0,30.0,6.0,22.0,62.0,34.0,29.0,8.0,21.0
664,8.0,4.0,0.0,3.0,7.0,60.0,11.0,23.0,63.0,22.0,59.0,13.0,5.0,12.0,33.0,57.0,25.0,24.0,19.0,2.0,45.0,10.0,32.0,1.0,26.0,55.0,48.0,28.0,27.0,36.0
713,4.0,1.0,8.0,14.0,29.0,58.0,17.0,13.0,5.0,57.0,10.0,30.0,60.0,41.0,25.0,22.0,40.0,23.0,64.0,0.0,12.0,46.0,7.0,2.0,6.0,24.0,48.0,47.0,3.0,31.0
762,2.0,32.0,31.0,16.0,30.0,58.0,4.0,12.0,1.0,57.0,19.0,13.0,9.0,11.0,27.0,7.0,14.0,3.0,64.0,29.0,23.0,25.0,10.0,22.0,8.0,51.0,26.0,46.0,6.0,41.0
811,8.0,3.0,46.0,6.0,4.0,13.0,2.0,5.0,24.0,12.0,27.0,49.0,0.0,21.0,1.0,10.0,20.0,16.0,11.0,25.0,28.0,30.0,53.0,42.0,43.0,59.0,34.0,36.0,7.0,22.0
860,1.0,4.0,0.0,13.0,24.0,56.0,32.0,12.0,60.0,55.0,8.0,9.0,16.0,5.0,23.0,54.0,15.0,22.0,62.0,36.0,35.0,31.0,2.0,10.0,28.0,50.0,29.0,30.0,47.0,25.0
909,10.0,1.0,28.0,2.0,54.0,11.0,8.0,13.0,6.0,14.0,12.0,59.0,20.0,26.0,9.0,3.0,22.0,15.0,18.0,32.0,46.0,24.0,31.0,7.0,4.0,27.0,25.0,5.0,0.0,37.0
958,3.0,0.0,37.0,16.0,32.0,15.0,2.0,17.0,1.0,58.0,5.0,13.0,6.0,36.0,22.0,4.0,12.0,21.0,64.0,19.0,23.0,24.0,35.0,30.0,26.0,31.0,25.0,9.0,7.0,29.0
1007,31.0,6.0,5.0,3.0,10.0,2.0,0.0,57.0,63.0,20.0,12.0,21.0,59.0,28.0,55.0,1.0,11.0,14.0,64.0,29.0,24.0,7.0,32.0,23.0,27.0,30.0,8.0,46.0,26.0,4.0
1056,4.0,2.0,24.0,19.0,23.0,3.0,12.0,14.0,0.0,18.0,13.0,17.0,61.0,39.0,30.0,16.0,34.0,45.0,26.0,64.0,1.0,28.0,21.0,5.0,40.0,56.0,10.0,49.0,29.0,11.0
1105,5.0,2.0,8.0,57.0,31.0,13.0,10.0,17.0,55.0,12.0,3.0,33.0,40.0,21.0,7.0,26.0,24.0,16.0,58.0,11.0,44.0,0.0,32.0,1.0,22.0,29.0,6.0,41.0,42.0,4.0
1154,0.0,10.0,6.0,12.0,33.0,2.0,18.0,51.0,22.0,9.0,3.0,50.0,8.0,21.0,27.0,63.0,7.0,15.0,11.0,17.0,28.0,5.0,29.0,42.0,43.0,31.0,26.0,39.0,4.0,1.0
1203,33.0,7.0,30.0,3.0,11.0,13.0,2.0,23.0,18.0,61.0,24.0,27.0,15.0,40.0,28.0,59.0,1.0,25.0,20.0,22.0,47.0,0.0,4.0,34.0,36.0,54.0,5.0,50.0,35.0,6.0
1252,3.0,6.0,26.0,9.0,27.0,58.0,19.0,16.0,17.0,8.0,18.0,21.0,10.0,36.0,24.0,20.0,30.0,4.0,63.0,22.0,45.0,2.0,5.0,1.0,0.0,28.0,31.0,49.0,48.0,13.0
1301,23.0,22.0,7.0,6.0,5.0,59.0,14.0,58.0,15.0,13.0,0.0,65.0,61.0,38.0,53.0,56.0,40.0,20.0,18.0,21.0,26.0,31.0,2.0,11.0,9.0,25.0,3.0,47.0,29.0,30.0
1350,8.0,1.0,0.0,12.0,26.0,11.0,36.0,14.0,63.0,59.0,3.0,22.0,16.0,37.0,25.0,21.0,23.0,13.0,20.0,54.0,45.0,6.0,4.0,5.0,32.0,27.0,7.0,49.0,48.0,31.0
1399,0.0,3.0,30.0,16.0,27.0,17.0,4.0,59.0,62.0,21.0,5.0,22.0,10.0,31.0,25.0,2.0,8.0,42.0,64.0,23.0,45.0,7.0,26.0,6.0,32.0,28.0,24.0,49.0,48.0,38.0
1448,1.0,4.0,0.0,19.0,6.0,10.0,13.0,15.0,62.0,14.0,5.0,56.0,11.0,9.0,22.0,57.0,41.0,2.0,63.0,54.0,23.0,12.0,7.0,28.0,29.0,30.0,27.0,47.0,46.0,8.0
1497,2.0,25.0,40.0,13.0,0.0,57.0,20.0,3.0,17.0,19.0,12.0,14.0,1.0,28.0,22.0,11.0,8.0,45.0,5.0,64.0,24.0,33.0,23.0,31.0,41.0,27.0,49.0,32.0,34.0,30.0
1546,10.0,29.0,37.0,50.0,0.0,12.0,21.0,6.0,20.0,17.0,25.0,27.0,16.0,11.0,4.0,31.0,34.0,18.0,5.0,3.0,45.0,39.0,15.0,42.0,13.0,30.0,36.0,9.0,40.0,22.0
