,NERVOUS,SKIN,STOMACH,BREAST,HAEMATOPOIETIC,LARGE_INTESTINE,PANCREAS,OVARY,OESOPHAGUS,GANGLIA,LIVER,ENDOMETRIUM,LUNG,URINARY,SOFT_TISSUE,AERODIGESTIVE,PLEURA,BONE,PROSTATE,THYROID,SALIVARY,KIDNEY,BILIARY
48,8.0,1.0,10.0,4.0,11.0,0.0,6.0,7.0,5.0,12.0,3.0,15.0,16.0,9.0,13.0,2.0,19.0,14.0,17.0,18.0,20.0,21.0,22.0
97,1.0,2.0,0.0,11.0,12.0,3.0,10.0,6.0,7.0,14.0,9.0,13.0,4.0,5.0,17.0,8.0,19.0,16.0,15.0,18.0,20.0,21.0,22.0
146,11.0,2.0,1.0,10.0,5.0,7.0,14.0,4.0,12.0,6.0,8.0,15.0,0.0,3.0,13.0,9.0,19.0,17.0,16.0,18.0,20.0,21.0,22.0
195,8.0,6.0,9.0,4.0,10.0,3.0,0.0,7.0,5.0,11.0,1.0,15.0,16.0,13.0,12.0,2.0,19.0,14.0,17.0,18.0,20.0,21.0,22.0
244,5.0,8.0,3.0,12.0,0.0,9.0,1.0,6.0,13.0,7.0,10.0,15.0,2.0,4.0,14.0,11.0,21.0,17.0,16.0,18.0,19.0,20.0,22.0
293,10.0,3.0,11.0,4.0,12.0,14.0,1.0,2.0,9.0,6.0,5.0,17.0,0.0,13.0,8.0,7.0,16.0,15.0,19.0,18.0,21.0,20.0,22.0
342,1.0,9.0,11.0,10.0,6.0,2.0,3.0,5.0,7.0,8.0,13.0,14.0,0.0,4.0,12.0,15.0,19.0,17.0,16.0,18.0,20.0,21.0,22.0
391,1.0,7.0,9.0,10.0,2.0,5.0,0.0,8.0,12.0,11.0,4.0,14.0,16.0,18.0,6.0,3.0,19.0,13.0,17.0,15.0,20.0,21.0,22.0
440,0.0,14.0,4.0,9.0,5.0,2.0,8.0,12.0,13.0,1.0,3.0,15.0,10.0,11.0,6.0,7.0,19.0,17.0,16.0,18.0,20.0,21.0,22.0
489,1.0,3.0,5.0,15.0,2.0,12.0,13.0,9.0,10.0,7.0,4.0,14.0,0.0,6.0,11.0,8.0,19.0,17.0,16.0,18.0,20.0,21.0,22.0
538,2.0,8.0,1.0,7.0,3.0,4.0,0.0,10.0,9.0,14.0,6.0,5.0,17.0,13.0,18.0,15.0,12.0,11.0,16.0,19.0,21.0,20.0,22.0
587,1.0,7.0,15.0,2.0,3.0,12.0,0.0,14.0,6.0,16.0,9.0,10.0,19.0,5.0,4.0,17.0,8.0,11.0,18.0,13.0,21.0,20.0,22.0
636,8.0,0.0,15.0,1.0,2.0,6.0,5.0,7.0,16.0,11.0,12.0,3.0,18.0,9.0,4.0,19.0,14.0,13.0,17.0,10.0,20.0,21.0,22.0
685,3.0,0.0,10.0,13.0,11.0,7.0,1.0,4.0,5.0,12.0,8.0,9.0,16.0,2.0,6.0,19.0,15.0,14.0,17.0,18.0,20.0,21.0,22.0
734,6.0,15.0,4.0,1.0,0.0,14.0,3.0,7.0,8.0,13.0,2.0,9.0,12.0,5.0,10.0,16.0,19.0,11.0,17.0,18.0,20.0,21.0,22.0
783,1.0,7.0,4.0,3.0,12.0,9.0,19.0,2.0,6.0,14.0,10.0,11.0,0.0,5.0,8.0,15.0,13.0,17.0,16.0,18.0,20.0,21.0,22.0
832,3.0,10.0,1.0,4.0,9.0,0.0,2.0,14.0,13.0,11.0,7.0,5.0,18.0,15.0,8.0,16.0,6.0,12.0,19.0,17.0,21.0,20.0,22.0
881,5.0,3.0,1.0,4.0,6.0,9.0,11.0,12.0,7.0,13.0,10.0,19.0,0.0,2.0,8.0,14.0,16.0,17.0,15.0,18.0,20.0,21.0,22.0
930,2.0,5.0,8.0,4.0,9.0,1.0,0.0,18.0,6.0,10.0,3.0,15.0,16.0,7.0,12.0,19.0,14.0,13.0,17.0,11.0,20.0,21.0,22.0
979,0.0,2.0,15.0,3.0,1.0,8.0,7.0,9.0,11.0,12.0,5.0,4.0,18.0,10.0,6.0,21.0,14.0,13.0,17.0,16.0,19.0,20.0,22.0
1028,9.0,1.0,11.0,0.0,8.0,4.0,7.0,13.0,12.0,6.0,3.0,18.0,16.0,10.0,5.0,2.0,15.0,14.0,17.0,20.0,19.0,21.0,22.0
1077,7.0,5.0,9.0,2.0,10.0,1.0,0.0,6.0,11.0,12.0,4.0,3.0,16.0,8.0,13.0,14.0,15.0,18.0,17.0,20.0,19.0,21.0,22.0
1126,8.0,6.0,9.0,1.0,7.0,4.0,2.0,11.0,16.0,10.0,12.0,3.0,0.0,15.0,5.0,17.0,14.0,13.0,18.0,19.0,21.0,20.0,22.0
1175,0.0,3.0,15.0,7.0,1.0,2.0,8.0,9.0,12.0,10.0,13.0,4.0,16.0,14.0,11.0,6.0,5.0,18.0,17.0,20.0,19.0,21.0,22.0
1224,11.0,0.0,15.0,3.0,9.0,1.0,2.0,10.0,8.0,12.0,5.0,4.0,17.0,16.0,6.0,7.0,14.0,13.0,18.0,19.0,21.0,20.0,22.0
1273,1.0,0.0,10.0,15.0,11.0,2.0,6.0,9.0,8.0,16.0,4.0,3.0,18.0,12.0,5.0,7.0,14.0,13.0,17.0,19.0,21.0,20.0,22.0
1322,0.0,2.0,6.0,9.0,1.0,13.0,3.0,7.0,11.0,8.0,17.0,4.0,5.0,10.0,12.0,14.0,15.0,18.0,16.0,20.0,19.0,21.0,22.0
1371,11.0,0.0,7.0,6.0,12.0,1.0,2.0,3.0,4.0,5.0,8.0,9.0,10.0,16.0,13.0,15.0,18.0,14.0,17.0,20.0,19.0,21.0,22.0
1420,13.0,2.0,3.0,11.0,0.0,1.0,14.0,5.0,4.0,6.0,9.0,10.0,12.0,17.0,7.0,8.0,15.0,18.0,16.0,20.0,19.0,21.0,22.0
1469,5.0,15.0,18.0,2.0,7.0,1.0,11.0,6.0,4.0,9.0,0.0,12.0,3.0,16.0,14.0,10.0,8.0,17.0,13.0,20.0,19.0,21.0,22.0
1518,0.0,1.0,3.0,19.0,5.0,14.0,10.0,13.0,6.0,7.0,17.0,12.0,2.0,4.0,8.0,9.0,11.0,16.0,15.0,18.0,20.0,21.0,22.0
1567,0.0,7.0,11.0,19.0,4.0,2.0,9.0,1.0,5.0,6.0,3.0,15.0,10.0,12.0,8.0,13.0,14.0,17.0,16.0,18.0,20.0,21.0,22.0
1616,8.0,0.0,9.0,11.0,1.0,5.0,7.0,13.0,12.0,10.0,4.0,2.0,16.0,14.0,6.0,3.0,15.0,19.0,17.0,18.0,20.0,21.0,22.0
1665,1.0,2.0,11.0,14.0,9.0,7.0,0.0,13.0,8.0,6.0,5.0,4.0,3.0,10.0,15.0,12.0,17.0,16.0,19.0,18.0,21.0,20.0,22.0
1714,4.0,1.0,2.0,19.0,6.0,9.0,11.0,5.0,7.0,8.0,10.0,14.0,0.0,3.0,17.0,12.0,13.0,16.0,15.0,18.0,20.0,21.0,22.0
1763,1.0,2.0,5.0,14.0,6.0,0.0,3.0,11.0,12.0,15.0,7.0,9.0,4.0,10.0,13.0,8.0,19.0,17.0,16.0,18.0,20.0,21.0,22.0
1812,2.0,6.0,9.0,10.0,7.0,3.0,0.0,8.0,15.0,5.0,1.0,18.0,16.0,12.0,11.0,4.0,14.0,13.0,17.0,20.0,19.0,21.0,22.0
1861,0.0,17.0,8.0,15.0,16.0,2.0,11.0,20.0,6.0,9.0,4.0,3.0,1.0,7.0,12.0,5.0,14.0,13.0,18.0,10.0,21.0,19.0,22.0
1910,9.0,0.0,4.0,12.0,2.0,5.0,3.0,10.0,1.0,16.0,6.0,8.0,15.0,11.0,13.0,19.0,7.0,14.0,17.0,18.0,20.0,21.0,22.0
1959,10.0,0.0,12.0,13.0,8.0,4.0,7.0,9.0,15.0,6.0,3.0,14.0,17.0,11.0,5.0,2.0,1.0,19.0,16.0,18.0,20.0,21.0,22.0
2008,2.0,0.0,9.0,8.0,3.0,7.0,13.0,11.0,4.0,14.0,6.0,16.0,17.0,10.0,5.0,1.0,19.0,15.0,18.0,12.0,20.0,21.0,22.0
