,hsa-miR-1197,hsa-miR-574-5p,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-1248,hsa-miR-1307,hsa-miR-944,hsa-miR-1245,hsa-miR-581,hsa-miR-762,hsa-miR-769-5p,hsa-miR-551b,hsa-miR-885-3p,hsa-miR-642,hsa-miR-133b,hsa-miR-220a,hsa-miR-658,hsa-miR-453,hsa-miR-582-5p,hsa-miR-601,hsa-miR-603,hsa-miR-1913,hsa-miR-654-3p,hsa-miR-1226,hsa-miR-511,hsa-miR-34c-3p,hsa-miR-647,hsa-miR-584,hsa-miR-636,hsa-miR-1301
15,4.0,3.0,15.0,0.0,14.0,5.0,2.0,38.0,21.0,7.0,8.0,10.0,50.0,1.0,43.0,81.0,51.0,33.0,39.0,42.0,20.0,28.0,56.0,95.0,89.0,133.0,32.0,93.0,27.0,6.0
64,1.0,0.0,2.0,5.0,19.0,9.0,21.0,44.0,18.0,4.0,22.0,7.0,91.0,3.0,8.0,6.0,46.0,105.0,13.0,29.0,15.0,32.0,134.0,52.0,23.0,53.0,59.0,60.0,12.0,14.0
113,2.0,11.0,3.0,1.0,91.0,6.0,10.0,26.0,13.0,15.0,12.0,8.0,62.0,0.0,14.0,39.0,18.0,27.0,4.0,7.0,16.0,22.0,57.0,41.0,59.0,20.0,42.0,86.0,25.0,9.0
162,0.0,33.0,8.0,4.0,11.0,2.0,6.0,21.0,15.0,25.0,5.0,3.0,18.0,1.0,17.0,95.0,37.0,102.0,31.0,7.0,22.0,16.0,71.0,84.0,70.0,53.0,41.0,20.0,23.0,27.0
211,2.0,9.0,4.0,0.0,18.0,13.0,16.0,93.0,10.0,23.0,19.0,6.0,60.0,1.0,22.0,28.0,31.0,34.0,5.0,12.0,44.0,49.0,79.0,17.0,115.0,82.0,76.0,170.0,3.0,11.0
260,2.0,22.0,5.0,1.0,51.0,3.0,12.0,21.0,17.0,6.0,4.0,31.0,80.0,0.0,10.0,23.0,93.0,9.0,16.0,7.0,18.0,11.0,191.0,15.0,208.0,109.0,209.0,39.0,8.0,19.0
309,0.0,12.0,15.0,2.0,21.0,1.0,9.0,6.0,19.0,8.0,10.0,5.0,44.0,3.0,16.0,88.0,33.0,43.0,11.0,4.0,18.0,7.0,121.0,45.0,111.0,81.0,64.0,115.0,13.0,27.0
358,0.0,4.0,9.0,1.0,6.0,11.0,27.0,13.0,12.0,39.0,14.0,7.0,32.0,15.0,50.0,53.0,62.0,99.0,59.0,2.0,41.0,21.0,51.0,69.0,43.0,57.0,164.0,19.0,18.0,3.0
407,2.0,7.0,14.0,1.0,8.0,4.0,3.0,13.0,67.0,12.0,11.0,5.0,28.0,0.0,9.0,17.0,30.0,46.0,33.0,6.0,29.0,35.0,38.0,130.0,99.0,127.0,62.0,100.0,19.0,18.0
456,0.0,13.0,4.0,1.0,17.0,7.0,5.0,33.0,12.0,11.0,2.0,6.0,22.0,3.0,10.0,34.0,20.0,23.0,15.0,38.0,31.0,18.0,102.0,54.0,159.0,63.0,85.0,225.0,25.0,29.0
505,1.0,0.0,16.0,3.0,4.0,28.0,11.0,14.0,6.0,2.0,7.0,45.0,64.0,9.0,13.0,8.0,26.0,33.0,17.0,76.0,18.0,73.0,51.0,61.0,77.0,32.0,60.0,125.0,53.0,99.0
554,0.0,4.0,23.0,1.0,21.0,2.0,19.0,14.0,7.0,3.0,6.0,5.0,60.0,8.0,10.0,9.0,63.0,11.0,22.0,72.0,18.0,94.0,24.0,39.0,55.0,121.0,71.0,127.0,15.0,31.0
603,0.0,1.0,11.0,15.0,59.0,9.0,8.0,7.0,13.0,14.0,17.0,5.0,43.0,3.0,6.0,23.0,18.0,22.0,20.0,83.0,2.0,116.0,19.0,29.0,25.0,21.0,12.0,86.0,114.0,31.0
652,0.0,1.0,3.0,10.0,19.0,32.0,11.0,5.0,8.0,2.0,20.0,29.0,35.0,9.0,16.0,42.0,18.0,4.0,14.0,151.0,22.0,87.0,13.0,21.0,49.0,43.0,41.0,64.0,25.0,71.0
701,0.0,1.0,2.0,10.0,26.0,8.0,7.0,21.0,5.0,6.0,15.0,20.0,71.0,32.0,9.0,3.0,28.0,17.0,35.0,62.0,22.0,89.0,16.0,11.0,12.0,43.0,46.0,56.0,171.0,75.0
750,1.0,0.0,6.0,15.0,48.0,4.0,27.0,2.0,24.0,3.0,12.0,16.0,17.0,22.0,21.0,13.0,153.0,19.0,5.0,156.0,10.0,138.0,77.0,45.0,40.0,20.0,68.0,14.0,89.0,72.0
799,0.0,1.0,6.0,9.0,22.0,13.0,8.0,7.0,17.0,12.0,84.0,27.0,20.0,3.0,18.0,11.0,51.0,4.0,21.0,43.0,127.0,54.0,15.0,10.0,5.0,125.0,39.0,25.0,70.0,131.0
848,0.0,1.0,12.0,10.0,18.0,15.0,13.0,2.0,3.0,5.0,23.0,25.0,95.0,31.0,8.0,44.0,45.0,6.0,65.0,4.0,46.0,62.0,24.0,34.0,33.0,48.0,174.0,161.0,35.0,99.0
897,0.0,1.0,16.0,31.0,6.0,7.0,11.0,3.0,19.0,2.0,15.0,81.0,30.0,8.0,4.0,24.0,36.0,18.0,27.0,63.0,22.0,146.0,26.0,13.0,38.0,37.0,41.0,50.0,66.0,156.0
946,0.0,1.0,15.0,89.0,24.0,14.0,4.0,13.0,5.0,2.0,8.0,27.0,37.0,6.0,20.0,31.0,26.0,41.0,21.0,120.0,9.0,46.0,55.0,18.0,17.0,136.0,12.0,51.0,28.0,30.0
995,3.0,7.0,19.0,13.0,0.0,10.0,20.0,1.0,16.0,14.0,2.0,33.0,11.0,158.0,15.0,37.0,28.0,9.0,63.0,4.0,58.0,51.0,12.0,42.0,23.0,31.0,24.0,5.0,100.0,26.0
1044,19.0,30.0,2.0,4.0,1.0,12.0,15.0,6.0,8.0,50.0,18.0,20.0,0.0,59.0,32.0,62.0,11.0,3.0,96.0,17.0,31.0,10.0,5.0,84.0,7.0,39.0,25.0,14.0,165.0,46.0
1093,1.0,4.0,3.0,8.0,0.0,15.0,13.0,12.0,5.0,10.0,7.0,24.0,11.0,33.0,48.0,91.0,32.0,14.0,70.0,2.0,20.0,9.0,16.0,44.0,81.0,62.0,17.0,6.0,173.0,57.0
1142,0.0,5.0,4.0,11.0,1.0,15.0,8.0,23.0,6.0,64.0,13.0,58.0,22.0,90.0,7.0,45.0,55.0,32.0,106.0,3.0,9.0,20.0,25.0,16.0,2.0,37.0,17.0,27.0,146.0,33.0
1191,0.0,11.0,18.0,9.0,6.0,7.0,13.0,1.0,4.0,33.0,42.0,14.0,2.0,8.0,20.0,88.0,55.0,10.0,91.0,12.0,110.0,36.0,15.0,22.0,5.0,82.0,40.0,3.0,44.0,155.0
1240,0.0,2.0,1.0,49.0,4.0,24.0,9.0,5.0,12.0,11.0,3.0,19.0,7.0,44.0,46.0,69.0,10.0,16.0,47.0,13.0,21.0,15.0,28.0,37.0,72.0,52.0,40.0,6.0,78.0,103.0
