,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
1141,10.0,1.0,3.0,17.0,159.0,4.0,18.0,0.0,545.0,2.0,14.0,6.0,21.0,89.0,11.0,26.0,40.0,9.0,309.0,236.0,283.0,255.0,16.0,19.0,95.0,80.0,152.0,130.0,106.0,45.0
1190,22.0,0.0,217.0,9.0,155.0,2.0,4.0,5.0,141.0,1.0,32.0,18.0,49.0,11.0,152.0,304.0,10.0,20.0,629.0,166.0,259.0,34.0,25.0,201.0,73.0,506.0,159.0,84.0,178.0,77.0
1239,1.0,0.0,19.0,16.0,49.0,77.0,15.0,2.0,13.0,3.0,60.0,146.0,21.0,28.0,68.0,6.0,12.0,9.0,216.0,331.0,23.0,515.0,7.0,26.0,57.0,217.0,35.0,203.0,239.0,84.0
1288,1.0,0.0,5.0,34.0,10.0,22.0,15.0,11.0,23.0,2.0,6.0,24.0,198.0,70.0,21.0,8.0,18.0,119.0,200.0,130.0,41.0,127.0,7.0,40.0,20.0,33.0,46.0,413.0,28.0,25.0
1337,0.0,4.0,5.0,9.0,34.0,10.0,78.0,2.0,114.0,7.0,19.0,50.0,3.0,16.0,165.0,18.0,21.0,37.0,149.0,29.0,12.0,98.0,14.0,26.0,8.0,496.0,421.0,444.0,366.0,15.0
1386,0.0,6.0,7.0,5.0,1.0,4.0,14.0,12.0,123.0,70.0,17.0,21.0,31.0,79.0,93.0,40.0,87.0,10.0,11.0,25.0,26.0,28.0,33.0,24.0,3.0,102.0,44.0,127.0,73.0,37.0
1435,11.0,4.0,23.0,0.0,24.0,26.0,12.0,2.0,78.0,87.0,8.0,60.0,10.0,100.0,185.0,380.0,106.0,3.0,121.0,9.0,44.0,518.0,14.0,98.0,27.0,128.0,59.0,285.0,92.0,1.0
1484,102.0,4.0,16.0,2.0,1.0,25.0,3.0,6.0,0.0,157.0,46.0,12.0,24.0,532.0,23.0,141.0,137.0,36.0,132.0,95.0,172.0,5.0,33.0,8.0,13.0,113.0,215.0,53.0,39.0,15.0
1533,13.0,7.0,15.0,19.0,1.0,361.0,0.0,9.0,2.0,5.0,115.0,108.0,67.0,457.0,14.0,10.0,4.0,223.0,63.0,3.0,6.0,106.0,354.0,36.0,51.0,20.0,71.0,18.0,16.0,8.0
1582,73.0,3.0,1.0,17.0,0.0,9.0,5.0,7.0,2.0,11.0,6.0,12.0,4.0,36.0,252.0,10.0,28.0,222.0,8.0,19.0,65.0,45.0,116.0,13.0,232.0,14.0,136.0,23.0,15.0,18.0
