, JAK-STAT, IL-1, MAPK_PI3K, TNFa, TLR, H2O2, Wnt, MAPK_only, PI3K_only, VEGF, TGFB
39,1.0,6.0,0.0,5.0,4.0,2.0,7.0,9.0,3.0,8.0,10.0
88,2.0,1.0,4.0,3.0,0.0,5.0,9.0,8.0,6.0,7.0,10.0
137,7.0,1.0,2.0,4.0,0.0,8.0,6.0,9.0,3.0,5.0,10.0
186,2.0,1.0,3.0,4.0,0.0,6.0,9.0,5.0,7.0,8.0,10.0
235,1.0,3.0,2.0,5.0,0.0,10.0,6.0,4.0,7.0,9.0,8.0
284,10.0,1.0,3.0,9.0,0.0,4.0,2.0,6.0,8.0,5.0,7.0
333,3.0,0.0,2.0,9.0,1.0,10.0,5.0,8.0,7.0,4.0,6.0
382,6.0,1.0,2.0,4.0,0.0,3.0,8.0,5.0,7.0,9.0,10.0
431,5.0,0.0,2.0,4.0,1.0,6.0,8.0,3.0,9.0,7.0,10.0
480,4.0,1.0,0.0,8.0,2.0,5.0,6.0,3.0,7.0,9.0,10.0
529,0.0,1.0,4.0,3.0,6.0,7.0,2.0,9.0,8.0,5.0,10.0
578,1.0,3.0,8.0,0.0,4.0,2.0,5.0,7.0,10.0,6.0,9.0
627,1.0,3.0,0.0,4.0,5.0,2.0,9.0,10.0,8.0,6.0,7.0
676,1.0,2.0,3.0,4.0,0.0,5.0,6.0,7.0,9.0,8.0,10.0
725,0.0,4.0,2.0,1.0,3.0,8.0,7.0,6.0,10.0,5.0,9.0
774,0.0,2.0,3.0,1.0,4.0,5.0,6.0,9.0,8.0,7.0,10.0
823,4.0,1.0,2.0,0.0,7.0,5.0,8.0,6.0,10.0,3.0,9.0
872,0.0,1.0,2.0,6.0,7.0,9.0,3.0,5.0,10.0,4.0,8.0
921,0.0,1.0,5.0,3.0,8.0,4.0,2.0,9.0,6.0,10.0,7.0
970,0.0,2.0,1.0,4.0,6.0,5.0,3.0,10.0,7.0,8.0,9.0
1019,7.0,2.0,10.0,0.0,3.0,5.0,6.0,8.0,1.0,4.0,9.0
1068,5.0,0.0,9.0,3.0,2.0,4.0,10.0,7.0,1.0,6.0,8.0
1117,6.0,4.0,7.0,1.0,0.0,2.0,8.0,5.0,3.0,10.0,9.0
1166,0.0,1.0,10.0,2.0,3.0,9.0,8.0,5.0,4.0,7.0,6.0
1215,1.0,4.0,6.0,5.0,0.0,7.0,2.0,8.0,3.0,9.0,10.0
1264,3.0,2.0,4.0,0.0,1.0,9.0,10.0,7.0,5.0,8.0,6.0
1313,5.0,1.0,8.0,0.0,4.0,7.0,6.0,3.0,2.0,9.0,10.0
1362,10.0,2.0,7.0,0.0,1.0,5.0,6.0,4.0,3.0,9.0,8.0
1411,8.0,3.0,1.0,0.0,2.0,7.0,10.0,6.0,5.0,4.0,9.0
