,hsa-miR-744,hsa-miR-142-5p,hsa-miR-132,hsa-miR-422a,hsa-miR-147b,hsa-miR-579,hsa-miR-875-3p,hsa-miR-590-5p,hsa-miR-1308,hsa-miR-92a,hsa-miR-1538,hsa-miR-578,hsa-miR-644,hsa-miR-1284,hsa-miR-103,hsa-miR-550,hsa-miR-148a,hsa-miR-877,hcmv-miR-US5-1,hsa-miR-125a-3p,hsa-miR-668,hsa-miR-1246,hsa-miR-155,hsa-miR-1276,hsa-miR-223,hsa-miR-491-5p,hsa-miR-130a,hsa-miR-2110,hsa-miR-342-3p,hsa-miR-302e
16,0.0,4.0,10.0,12.0,15.0,3.0,62.0,8.0,11.0,2.0,17.0,6.0,14.0,13.0,29.0,7.0,126.0,21.0,1.0,9.0,28.0,52.0,36.0,31.0,18.0,35.0,5.0,33.0,46.0,37.0
65,12.0,2.0,3.0,1.0,25.0,9.0,86.0,5.0,68.0,21.0,27.0,7.0,20.0,13.0,24.0,8.0,77.0,6.0,17.0,4.0,19.0,11.0,54.0,14.0,37.0,56.0,10.0,40.0,107.0,46.0
114,0.0,3.0,34.0,13.0,11.0,20.0,42.0,2.0,17.0,9.0,23.0,1.0,7.0,10.0,27.0,6.0,40.0,21.0,5.0,4.0,8.0,16.0,45.0,26.0,18.0,15.0,12.0,29.0,127.0,74.0
163,2.0,1.0,4.0,10.0,0.0,15.0,49.0,16.0,3.0,7.0,25.0,21.0,18.0,34.0,33.0,22.0,84.0,58.0,20.0,5.0,19.0,35.0,27.0,41.0,13.0,44.0,17.0,28.0,45.0,70.0
212,0.0,10.0,1.0,12.0,17.0,9.0,20.0,4.0,44.0,19.0,26.0,11.0,3.0,38.0,29.0,2.0,15.0,7.0,23.0,6.0,36.0,14.0,46.0,13.0,18.0,33.0,58.0,28.0,71.0,51.0
261,0.0,1.0,3.0,4.0,12.0,18.0,24.0,5.0,6.0,11.0,17.0,16.0,9.0,19.0,21.0,7.0,43.0,14.0,10.0,2.0,8.0,27.0,36.0,15.0,20.0,25.0,13.0,23.0,77.0,39.0
310,1.0,9.0,11.0,22.0,7.0,16.0,39.0,37.0,23.0,2.0,8.0,19.0,4.0,12.0,5.0,0.0,48.0,17.0,6.0,3.0,14.0,18.0,77.0,13.0,31.0,28.0,10.0,29.0,79.0,27.0
359,1.0,3.0,11.0,5.0,9.0,0.0,46.0,8.0,30.0,10.0,49.0,19.0,13.0,12.0,6.0,7.0,20.0,31.0,16.0,4.0,18.0,21.0,35.0,15.0,17.0,64.0,2.0,32.0,71.0,27.0
408,2.0,0.0,12.0,4.0,6.0,9.0,59.0,18.0,27.0,13.0,23.0,31.0,3.0,33.0,11.0,5.0,153.0,26.0,8.0,1.0,7.0,54.0,19.0,17.0,22.0,32.0,14.0,15.0,144.0,36.0
457,0.0,4.0,2.0,5.0,12.0,34.0,14.0,3.0,16.0,11.0,28.0,9.0,6.0,20.0,8.0,1.0,58.0,27.0,10.0,7.0,13.0,36.0,54.0,15.0,18.0,31.0,33.0,39.0,37.0,29.0
506,0.0,1.0,15.0,5.0,12.0,46.0,33.0,22.0,16.0,6.0,10.0,29.0,2.0,30.0,8.0,7.0,25.0,3.0,11.0,31.0,28.0,39.0,24.0,14.0,32.0,4.0,53.0,58.0,41.0,27.0
555,0.0,1.0,8.0,13.0,22.0,5.0,29.0,16.0,17.0,26.0,2.0,35.0,4.0,31.0,19.0,9.0,11.0,6.0,18.0,12.0,141.0,32.0,3.0,21.0,41.0,7.0,20.0,74.0,15.0,34.0
604,0.0,1.0,5.0,8.0,7.0,49.0,25.0,14.0,10.0,6.0,3.0,17.0,2.0,23.0,18.0,4.0,86.0,31.0,13.0,20.0,15.0,37.0,12.0,38.0,22.0,11.0,16.0,82.0,19.0,26.0
653,0.0,2.0,4.0,10.0,7.0,11.0,33.0,6.0,3.0,24.0,8.0,31.0,1.0,19.0,18.0,14.0,42.0,30.0,22.0,17.0,13.0,49.0,15.0,36.0,23.0,5.0,21.0,47.0,16.0,38.0
702,1.0,0.0,3.0,13.0,8.0,15.0,2.0,9.0,23.0,22.0,20.0,26.0,17.0,51.0,18.0,7.0,4.0,72.0,28.0,5.0,86.0,37.0,32.0,29.0,24.0,19.0,50.0,10.0,35.0,38.0
751,0.0,1.0,18.0,21.0,9.0,3.0,20.0,73.0,28.0,4.0,2.0,41.0,5.0,12.0,7.0,19.0,10.0,27.0,8.0,40.0,60.0,113.0,23.0,17.0,22.0,6.0,38.0,88.0,14.0,16.0
800,0.0,2.0,4.0,1.0,3.0,24.0,65.0,40.0,45.0,7.0,6.0,25.0,8.0,26.0,9.0,19.0,23.0,73.0,11.0,62.0,27.0,30.0,13.0,96.0,89.0,57.0,5.0,31.0,28.0,18.0
849,1.0,0.0,25.0,15.0,14.0,12.0,16.0,3.0,7.0,9.0,10.0,18.0,2.0,38.0,29.0,20.0,5.0,63.0,11.0,4.0,6.0,97.0,28.0,34.0,19.0,13.0,52.0,88.0,40.0,32.0
898,0.0,1.0,3.0,26.0,7.0,29.0,31.0,33.0,2.0,27.0,5.0,21.0,24.0,65.0,11.0,160.0,9.0,15.0,37.0,34.0,16.0,32.0,13.0,44.0,12.0,23.0,36.0,67.0,8.0,28.0
947,0.0,1.0,10.0,7.0,15.0,5.0,118.0,13.0,8.0,4.0,9.0,25.0,2.0,23.0,44.0,11.0,41.0,126.0,3.0,17.0,39.0,63.0,48.0,43.0,59.0,37.0,16.0,26.0,80.0,71.0
996,1.0,0.0,28.0,12.0,23.0,11.0,5.0,6.0,34.0,10.0,4.0,20.0,8.0,41.0,26.0,3.0,18.0,14.0,32.0,52.0,122.0,19.0,13.0,21.0,43.0,2.0,95.0,51.0,47.0,109.0
