,hsa-miR-744,hsa-miR-142-5p,hsa-miR-132,hsa-miR-422a,hsa-miR-147b,hsa-miR-579,hsa-miR-875-3p,hsa-miR-590-5p,hsa-miR-1308,hsa-miR-92a,hsa-miR-1538,hsa-miR-578,hsa-miR-644,hsa-miR-1284,hsa-miR-103,hsa-miR-550,hsa-miR-148a,hsa-miR-877,hcmv-miR-US5-1,hsa-miR-125a-3p,hsa-miR-668,hsa-miR-1246,hsa-miR-155,hsa-miR-1276,hsa-miR-223,hsa-miR-491-5p,hsa-miR-130a,hsa-miR-2110,hsa-miR-342-3p,hsa-miR-302e
1045,1.0,0.0,18.0,17.0,25.0,5.0,9.0,4.0,53.0,28.0,11.0,2.0,13.0,162.0,10.0,14.0,44.0,3.0,22.0,37.0,47.0,31.0,8.0,7.0,27.0,30.0,210.0,70.0,35.0,65.0
1094,0.0,1.0,11.0,12.0,39.0,31.0,6.0,5.0,14.0,9.0,4.0,7.0,43.0,37.0,38.0,15.0,8.0,2.0,19.0,66.0,56.0,33.0,10.0,20.0,21.0,3.0,52.0,41.0,13.0,83.0
1143,0.0,1.0,9.0,17.0,30.0,3.0,6.0,5.0,87.0,12.0,18.0,4.0,25.0,8.0,27.0,7.0,22.0,2.0,20.0,23.0,128.0,16.0,13.0,10.0,38.0,19.0,46.0,57.0,115.0,88.0
1192,2.0,0.0,8.0,15.0,18.0,11.0,9.0,1.0,46.0,6.0,4.0,12.0,30.0,14.0,42.0,5.0,20.0,3.0,22.0,128.0,89.0,13.0,28.0,44.0,55.0,23.0,101.0,82.0,81.0,108.0
1241,1.0,0.0,20.0,12.0,51.0,4.0,31.0,6.0,3.0,7.0,2.0,8.0,14.0,10.0,16.0,22.0,13.0,9.0,24.0,26.0,55.0,18.0,45.0,27.0,61.0,5.0,35.0,29.0,23.0,78.0
1290,1.0,0.0,84.0,3.0,14.0,7.0,12.0,46.0,150.0,6.0,9.0,11.0,36.0,45.0,17.0,8.0,2.0,5.0,4.0,13.0,93.0,27.0,16.0,10.0,112.0,44.0,32.0,157.0,39.0,38.0
1339,1.0,0.0,30.0,8.0,22.0,36.0,4.0,6.0,72.0,27.0,12.0,5.0,26.0,24.0,13.0,9.0,3.0,2.0,53.0,39.0,74.0,11.0,15.0,18.0,29.0,7.0,92.0,32.0,46.0,73.0
1388,1.0,0.0,15.0,4.0,27.0,12.0,17.0,9.0,29.0,7.0,6.0,2.0,42.0,10.0,35.0,36.0,3.0,8.0,19.0,39.0,66.0,16.0,24.0,11.0,43.0,5.0,63.0,49.0,25.0,122.0
1437,0.0,1.0,47.0,3.0,18.0,2.0,9.0,4.0,74.0,14.0,34.0,7.0,153.0,17.0,23.0,167.0,6.0,20.0,26.0,44.0,76.0,5.0,31.0,19.0,78.0,8.0,12.0,27.0,89.0,106.0
1486,3.0,5.0,0.0,4.0,19.0,1.0,20.0,37.0,14.0,9.0,28.0,44.0,31.0,7.0,23.0,80.0,54.0,24.0,25.0,26.0,71.0,2.0,10.0,56.0,98.0,35.0,41.0,103.0,42.0,92.0
1535,0.0,1.0,5.0,9.0,4.0,6.0,93.0,34.0,3.0,10.0,13.0,7.0,58.0,32.0,18.0,22.0,61.0,14.0,12.0,28.0,26.0,21.0,24.0,114.0,57.0,64.0,16.0,98.0,11.0,35.0
1584,0.0,4.0,2.0,3.0,8.0,1.0,11.0,19.0,7.0,13.0,6.0,10.0,16.0,18.0,22.0,36.0,23.0,15.0,28.0,9.0,25.0,20.0,91.0,131.0,69.0,41.0,21.0,137.0,5.0,39.0
1633,0.0,1.0,9.0,14.0,4.0,22.0,11.0,35.0,2.0,3.0,18.0,19.0,23.0,12.0,34.0,15.0,69.0,46.0,28.0,48.0,40.0,16.0,50.0,139.0,108.0,38.0,21.0,166.0,13.0,84.0
1682,0.0,1.0,26.0,6.0,5.0,2.0,10.0,45.0,3.0,4.0,11.0,15.0,32.0,20.0,12.0,16.0,9.0,85.0,7.0,30.0,46.0,17.0,50.0,201.0,136.0,42.0,49.0,224.0,110.0,35.0
1731,0.0,1.0,8.0,3.0,4.0,7.0,12.0,39.0,5.0,10.0,14.0,6.0,16.0,32.0,15.0,28.0,48.0,11.0,19.0,90.0,58.0,27.0,35.0,79.0,87.0,49.0,25.0,139.0,18.0,22.0
1780,0.0,2.0,7.0,1.0,4.0,3.0,32.0,65.0,17.0,14.0,37.0,27.0,44.0,20.0,40.0,9.0,54.0,64.0,6.0,11.0,74.0,13.0,38.0,76.0,95.0,31.0,18.0,15.0,26.0,62.0
1829,0.0,1.0,8.0,14.0,15.0,20.0,3.0,34.0,2.0,12.0,17.0,54.0,35.0,79.0,27.0,5.0,13.0,9.0,26.0,24.0,123.0,6.0,38.0,82.0,106.0,44.0,86.0,100.0,10.0,52.0
1878,0.0,7.0,4.0,1.0,5.0,2.0,20.0,40.0,6.0,3.0,11.0,15.0,37.0,10.0,33.0,34.0,32.0,38.0,17.0,13.0,24.0,25.0,36.0,120.0,101.0,70.0,16.0,41.0,12.0,42.0
1927,0.0,7.0,8.0,9.0,3.0,4.0,15.0,41.0,1.0,21.0,27.0,5.0,55.0,16.0,30.0,54.0,6.0,106.0,22.0,10.0,51.0,24.0,19.0,74.0,93.0,43.0,14.0,86.0,20.0,45.0
1976,0.0,1.0,12.0,5.0,3.0,22.0,2.0,148.0,7.0,23.0,29.0,9.0,81.0,13.0,21.0,69.0,16.0,17.0,10.0,45.0,68.0,54.0,43.0,71.0,35.0,8.0,149.0,26.0,27.0,44.0
2025,1.0,0.0,19.0,3.0,10.0,7.0,22.0,34.0,2.0,5.0,6.0,37.0,31.0,8.0,17.0,23.0,16.0,79.0,9.0,42.0,49.0,33.0,57.0,73.0,46.0,4.0,66.0,27.0,56.0,50.0
2074,1.0,0.0,3.0,2.0,21.0,28.0,7.0,12.0,23.0,18.0,10.0,8.0,39.0,5.0,84.0,17.0,43.0,15.0,26.0,16.0,22.0,4.0,31.0,58.0,70.0,27.0,49.0,40.0,13.0,50.0
2123,0.0,1.0,17.0,6.0,9.0,10.0,8.0,23.0,2.0,27.0,11.0,4.0,43.0,3.0,13.0,106.0,5.0,48.0,26.0,15.0,25.0,19.0,70.0,103.0,31.0,14.0,16.0,18.0,61.0,42.0
2172,0.0,1.0,9.0,4.0,3.0,7.0,26.0,14.0,2.0,36.0,17.0,19.0,15.0,10.0,41.0,50.0,34.0,35.0,13.0,5.0,21.0,39.0,27.0,67.0,32.0,8.0,47.0,23.0,62.0,68.0
2221,0.0,1.0,9.0,3.0,5.0,12.0,2.0,22.0,11.0,20.0,7.0,15.0,17.0,8.0,38.0,102.0,25.0,24.0,33.0,19.0,10.0,52.0,49.0,57.0,48.0,4.0,32.0,14.0,6.0,56.0
2270,0.0,2.0,4.0,1.0,7.0,14.0,11.0,29.0,3.0,45.0,22.0,5.0,67.0,6.0,37.0,85.0,35.0,20.0,26.0,25.0,13.0,12.0,125.0,61.0,38.0,8.0,10.0,9.0,16.0,57.0
2319,0.0,1.0,8.0,2.0,5.0,18.0,6.0,80.0,12.0,56.0,13.0,9.0,14.0,4.0,48.0,22.0,34.0,24.0,39.0,10.0,23.0,20.0,36.0,72.0,31.0,3.0,57.0,16.0,15.0,47.0
2368,0.0,1.0,21.0,2.0,5.0,32.0,30.0,18.0,25.0,11.0,16.0,14.0,52.0,3.0,19.0,49.0,10.0,13.0,15.0,7.0,6.0,12.0,124.0,55.0,20.0,8.0,73.0,4.0,65.0,50.0
2417,0.0,2.0,1.0,12.0,4.0,9.0,11.0,16.0,6.0,19.0,27.0,5.0,15.0,7.0,60.0,38.0,56.0,53.0,20.0,25.0,14.0,46.0,21.0,85.0,26.0,17.0,3.0,30.0,36.0,49.0
2466,3.0,0.0,9.0,15.0,17.0,1.0,2.0,6.0,89.0,18.0,27.0,5.0,12.0,4.0,8.0,19.0,20.0,77.0,13.0,7.0,148.0,11.0,34.0,10.0,28.0,66.0,75.0,30.0,134.0,24.0
2515,0.0,1.0,6.0,10.0,14.0,16.0,8.0,12.0,3.0,2.0,9.0,13.0,5.0,21.0,17.0,11.0,15.0,7.0,20.0,154.0,57.0,18.0,26.0,29.0,23.0,4.0,35.0,30.0,56.0,33.0
2564,0.0,1.0,4.0,10.0,12.0,2.0,6.0,7.0,9.0,16.0,11.0,5.0,8.0,3.0,21.0,50.0,13.0,23.0,37.0,41.0,52.0,18.0,26.0,15.0,19.0,14.0,40.0,28.0,22.0,43.0
2613,0.0,2.0,25.0,1.0,5.0,9.0,40.0,12.0,98.0,7.0,28.0,15.0,23.0,4.0,14.0,58.0,6.0,10.0,20.0,26.0,11.0,8.0,27.0,18.0,94.0,50.0,3.0,34.0,36.0,19.0
2662,2.0,0.0,14.0,19.0,8.0,3.0,4.0,1.0,9.0,12.0,11.0,21.0,23.0,6.0,22.0,16.0,13.0,35.0,44.0,48.0,36.0,18.0,26.0,28.0,27.0,7.0,31.0,32.0,25.0,42.0
2711,0.0,1.0,18.0,20.0,7.0,2.0,8.0,11.0,5.0,3.0,23.0,15.0,4.0,10.0,36.0,40.0,44.0,9.0,16.0,38.0,82.0,27.0,6.0,28.0,19.0,30.0,26.0,61.0,58.0,37.0
2760,0.0,2.0,8.0,18.0,21.0,1.0,12.0,7.0,6.0,15.0,16.0,34.0,4.0,42.0,13.0,11.0,31.0,19.0,30.0,23.0,24.0,39.0,5.0,14.0,10.0,86.0,149.0,70.0,75.0,17.0
2809,0.0,1.0,16.0,11.0,8.0,4.0,3.0,13.0,10.0,7.0,17.0,18.0,9.0,2.0,15.0,24.0,12.0,30.0,14.0,5.0,179.0,22.0,21.0,42.0,19.0,26.0,6.0,27.0,36.0,29.0
2858,5.0,0.0,58.0,13.0,9.0,2.0,7.0,4.0,6.0,8.0,10.0,18.0,12.0,1.0,3.0,11.0,23.0,40.0,28.0,64.0,106.0,21.0,47.0,26.0,24.0,14.0,15.0,72.0,57.0,16.0
2907,0.0,3.0,8.0,4.0,9.0,2.0,24.0,5.0,17.0,35.0,40.0,41.0,1.0,6.0,23.0,51.0,14.0,21.0,26.0,58.0,38.0,7.0,25.0,11.0,16.0,15.0,10.0,22.0,153.0,56.0
2956,0.0,5.0,1.0,12.0,16.0,8.0,13.0,6.0,7.0,10.0,4.0,2.0,11.0,3.0,15.0,17.0,21.0,48.0,14.0,9.0,27.0,67.0,23.0,53.0,31.0,42.0,59.0,97.0,72.0,18.0
3005,0.0,4.0,2.0,9.0,12.0,107.0,1.0,15.0,22.0,17.0,19.0,3.0,8.0,14.0,72.0,5.0,6.0,24.0,32.0,16.0,23.0,43.0,54.0,39.0,34.0,7.0,201.0,49.0,46.0,69.0
3054,0.0,4.0,3.0,8.0,10.0,25.0,2.0,20.0,7.0,16.0,6.0,14.0,1.0,11.0,26.0,18.0,37.0,29.0,22.0,12.0,32.0,45.0,9.0,28.0,24.0,5.0,153.0,82.0,19.0,68.0
3103,0.0,2.0,1.0,3.0,20.0,16.0,13.0,7.0,37.0,14.0,10.0,4.0,25.0,15.0,46.0,9.0,8.0,45.0,24.0,31.0,17.0,42.0,19.0,54.0,101.0,52.0,11.0,43.0,6.0,27.0
3152,2.0,1.0,0.0,6.0,13.0,8.0,3.0,4.0,33.0,18.0,10.0,7.0,11.0,28.0,44.0,9.0,19.0,41.0,12.0,5.0,55.0,27.0,48.0,20.0,34.0,39.0,174.0,26.0,47.0,62.0
3201,0.0,6.0,1.0,4.0,16.0,18.0,2.0,11.0,9.0,8.0,10.0,5.0,14.0,20.0,27.0,95.0,22.0,7.0,35.0,31.0,25.0,29.0,34.0,75.0,19.0,13.0,62.0,84.0,30.0,38.0
3250,0.0,3.0,1.0,17.0,9.0,25.0,2.0,26.0,5.0,15.0,8.0,7.0,4.0,11.0,12.0,6.0,29.0,31.0,30.0,38.0,49.0,39.0,32.0,10.0,16.0,14.0,238.0,65.0,44.0,19.0
3299,0.0,3.0,1.0,14.0,6.0,21.0,2.0,27.0,12.0,5.0,4.0,16.0,7.0,10.0,20.0,17.0,15.0,28.0,9.0,18.0,61.0,95.0,32.0,25.0,13.0,19.0,181.0,63.0,38.0,40.0
3348,0.0,3.0,1.0,11.0,13.0,4.0,8.0,7.0,33.0,15.0,2.0,5.0,6.0,18.0,50.0,22.0,19.0,42.0,29.0,160.0,63.0,99.0,17.0,16.0,23.0,10.0,156.0,168.0,20.0,26.0
3397,0.0,1.0,7.0,4.0,25.0,42.0,13.0,2.0,33.0,18.0,5.0,36.0,41.0,11.0,134.0,26.0,3.0,6.0,32.0,21.0,17.0,71.0,23.0,24.0,29.0,10.0,168.0,63.0,70.0,124.0
3446,1.0,0.0,47.0,18.0,2.0,24.0,15.0,13.0,31.0,26.0,35.0,6.0,40.0,17.0,5.0,4.0,10.0,27.0,23.0,9.0,7.0,19.0,30.0,36.0,34.0,43.0,3.0,12.0,91.0,16.0
3495,1.0,0.0,38.0,9.0,4.0,17.0,13.0,45.0,3.0,86.0,72.0,2.0,51.0,7.0,8.0,11.0,5.0,46.0,30.0,16.0,23.0,6.0,33.0,21.0,26.0,35.0,18.0,31.0,115.0,14.0
3544,0.0,2.0,23.0,24.0,10.0,5.0,9.0,6.0,3.0,15.0,8.0,12.0,39.0,7.0,14.0,1.0,17.0,64.0,21.0,4.0,31.0,57.0,30.0,76.0,28.0,41.0,11.0,22.0,53.0,18.0
3593,1.0,3.0,46.0,26.0,11.0,18.0,2.0,4.0,13.0,31.0,39.0,5.0,20.0,10.0,6.0,0.0,7.0,25.0,24.0,9.0,22.0,21.0,36.0,17.0,35.0,27.0,8.0,55.0,91.0,32.0
3642,0.0,2.0,38.0,5.0,11.0,10.0,26.0,4.0,15.0,41.0,24.0,6.0,34.0,7.0,12.0,1.0,17.0,18.0,30.0,9.0,8.0,31.0,35.0,20.0,79.0,50.0,3.0,103.0,67.0,22.0
3691,15.0,0.0,32.0,14.0,8.0,7.0,1.0,2.0,6.0,30.0,55.0,9.0,13.0,4.0,18.0,3.0,43.0,66.0,22.0,10.0,23.0,12.0,17.0,24.0,28.0,25.0,26.0,5.0,140.0,38.0
3740,2.0,0.0,17.0,45.0,6.0,9.0,26.0,3.0,8.0,44.0,16.0,21.0,24.0,12.0,5.0,1.0,7.0,22.0,35.0,4.0,29.0,34.0,25.0,20.0,27.0,11.0,68.0,37.0,131.0,28.0
3789,4.0,0.0,70.0,13.0,5.0,20.0,6.0,2.0,7.0,11.0,35.0,14.0,19.0,3.0,9.0,1.0,10.0,39.0,26.0,29.0,25.0,30.0,32.0,34.0,44.0,28.0,24.0,58.0,79.0,22.0
3838,2.0,1.0,27.0,31.0,6.0,19.0,10.0,8.0,3.0,18.0,39.0,23.0,47.0,131.0,13.0,0.0,11.0,30.0,9.0,4.0,108.0,26.0,17.0,28.0,21.0,42.0,5.0,16.0,100.0,40.0
3887,0.0,4.0,42.0,55.0,2.0,20.0,5.0,35.0,14.0,13.0,28.0,8.0,16.0,24.0,3.0,1.0,6.0,45.0,11.0,57.0,50.0,41.0,48.0,32.0,43.0,149.0,52.0,141.0,175.0,19.0
3936,5.0,1.0,6.0,4.0,8.0,13.0,0.0,21.0,3.0,16.0,17.0,49.0,31.0,37.0,7.0,23.0,67.0,2.0,15.0,22.0,73.0,11.0,9.0,29.0,48.0,41.0,32.0,45.0,12.0,27.0
3985,23.0,0.0,8.0,2.0,67.0,1.0,4.0,26.0,14.0,11.0,47.0,49.0,10.0,5.0,3.0,39.0,201.0,17.0,12.0,6.0,36.0,7.0,24.0,20.0,48.0,81.0,221.0,18.0,59.0,15.0
4034,2.0,1.0,8.0,3.0,10.0,6.0,0.0,15.0,5.0,12.0,38.0,18.0,26.0,30.0,7.0,35.0,59.0,42.0,13.0,74.0,34.0,11.0,37.0,58.0,95.0,186.0,39.0,24.0,23.0,27.0
4083,5.0,2.0,4.0,0.0,10.0,7.0,1.0,17.0,18.0,3.0,19.0,77.0,27.0,44.0,6.0,67.0,59.0,8.0,24.0,39.0,9.0,12.0,30.0,25.0,47.0,96.0,76.0,14.0,15.0,11.0
4132,8.0,0.0,39.0,9.0,11.0,29.0,1.0,25.0,24.0,5.0,46.0,53.0,60.0,21.0,3.0,4.0,30.0,2.0,12.0,52.0,20.0,14.0,97.0,16.0,65.0,35.0,140.0,15.0,13.0,26.0
4181,1.0,0.0,5.0,4.0,16.0,3.0,2.0,13.0,7.0,11.0,33.0,20.0,9.0,74.0,12.0,21.0,49.0,19.0,23.0,41.0,26.0,14.0,8.0,6.0,27.0,46.0,69.0,90.0,24.0,22.0
4230,0.0,1.0,13.0,2.0,17.0,3.0,7.0,20.0,19.0,15.0,125.0,30.0,22.0,62.0,14.0,12.0,94.0,9.0,18.0,11.0,29.0,6.0,35.0,16.0,26.0,142.0,93.0,44.0,27.0,50.0
4279,8.0,2.0,4.0,1.0,23.0,7.0,0.0,11.0,17.0,12.0,18.0,30.0,33.0,31.0,6.0,50.0,71.0,5.0,9.0,10.0,24.0,34.0,26.0,21.0,43.0,62.0,204.0,53.0,37.0,14.0
4328,1.0,0.0,3.0,4.0,6.0,5.0,2.0,26.0,11.0,15.0,9.0,21.0,17.0,24.0,7.0,33.0,62.0,8.0,32.0,31.0,22.0,13.0,10.0,18.0,29.0,52.0,119.0,34.0,28.0,20.0
4377,3.0,0.0,14.0,1.0,6.0,17.0,9.0,8.0,23.0,40.0,37.0,31.0,52.0,7.0,12.0,24.0,26.0,38.0,46.0,28.0,4.0,18.0,48.0,87.0,93.0,56.0,13.0,91.0,16.0,20.0
4426,0.0,1.0,8.0,34.0,4.0,18.0,31.0,5.0,22.0,7.0,2.0,13.0,10.0,23.0,14.0,51.0,6.0,35.0,39.0,48.0,3.0,104.0,73.0,75.0,29.0,74.0,32.0,15.0,21.0,25.0
4475,0.0,1.0,8.0,35.0,12.0,4.0,5.0,7.0,26.0,6.0,2.0,24.0,3.0,23.0,9.0,38.0,13.0,41.0,33.0,190.0,27.0,58.0,20.0,57.0,14.0,17.0,137.0,40.0,79.0,22.0
4524,1.0,0.0,4.0,33.0,6.0,19.0,10.0,3.0,9.0,15.0,2.0,27.0,12.0,8.0,11.0,42.0,29.0,7.0,46.0,50.0,21.0,68.0,22.0,69.0,17.0,61.0,203.0,34.0,5.0,24.0
4573,4.0,0.0,6.0,42.0,23.0,13.0,5.0,1.0,18.0,11.0,2.0,12.0,3.0,7.0,16.0,33.0,46.0,17.0,31.0,65.0,29.0,27.0,76.0,64.0,20.0,70.0,91.0,8.0,9.0,55.0
4622,0.0,1.0,10.0,28.0,3.0,16.0,17.0,2.0,6.0,14.0,5.0,11.0,4.0,24.0,18.0,79.0,34.0,12.0,23.0,62.0,9.0,104.0,30.0,49.0,13.0,46.0,15.0,38.0,7.0,21.0
4671,0.0,2.0,6.0,48.0,10.0,5.0,12.0,1.0,38.0,15.0,16.0,37.0,21.0,61.0,50.0,69.0,9.0,11.0,18.0,7.0,14.0,57.0,35.0,39.0,29.0,30.0,28.0,4.0,20.0,100.0
4720,0.0,4.0,14.0,24.0,10.0,13.0,28.0,9.0,1.0,5.0,3.0,58.0,2.0,21.0,23.0,66.0,69.0,11.0,40.0,43.0,19.0,79.0,60.0,205.0,15.0,45.0,16.0,12.0,8.0,38.0
4769,0.0,3.0,5.0,41.0,8.0,28.0,4.0,30.0,22.0,2.0,1.0,40.0,10.0,23.0,13.0,132.0,16.0,14.0,20.0,63.0,11.0,53.0,56.0,58.0,21.0,55.0,119.0,36.0,7.0,31.0
4818,0.0,1.0,24.0,4.0,3.0,22.0,87.0,6.0,45.0,10.0,2.0,31.0,5.0,9.0,19.0,33.0,8.0,13.0,14.0,20.0,7.0,37.0,17.0,54.0,51.0,61.0,69.0,27.0,12.0,35.0
4867,1.0,0.0,8.0,27.0,2.0,12.0,23.0,6.0,3.0,5.0,4.0,37.0,14.0,25.0,16.0,90.0,10.0,9.0,35.0,102.0,11.0,159.0,33.0,89.0,36.0,46.0,63.0,29.0,13.0,52.0
