,hsa-miR-205,hsa-miR-296-5p,hsa-miR-631,hsa-miR-31,hsa-miR-517b,hsa-miR-1910,hsa-miR-1179,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-27b,hsa-miR-1307,hsa-miR-891a,hsa-miR-219-2-3p,hsa-miR-507,hsa-miR-370,hsa-miR-136,hsa-miR-320d,hsa-miR-766,hsa-miR-944,hsa-miR-513b,hsa-miR-30a,hsa-miR-451,hsa-miR-30c,hsa-miR-563,hsa-miR-222,hsa-miR-216a,hsa-miR-1301,hsa-miR-508-3p,hsv1-miR-H8,hcmv-miR-UL70-5p,hsa-miR-650
18,2.0,0.0,8.0,12.0,1.0,11.0,254.0,170.0,5.0,479.0,62.0,244.0,34.0,292.0,32.0,79.0,71.0,97.0,67.0,28.0,324.0,461.0,81.0,25.0,3.0,59.0,6.0,348.0,130.0,42.0
67,0.0,1.0,3.0,7.0,5.0,9.0,247.0,6.0,2.0,71.0,176.0,15.0,110.0,29.0,40.0,626.0,135.0,4.0,199.0,227.0,305.0,51.0,18.0,293.0,8.0,73.0,14.0,41.0,244.0,273.0
116,0.0,1.0,5.0,115.0,4.0,31.0,2.0,47.0,15.0,267.0,24.0,60.0,74.0,419.0,183.0,296.0,17.0,280.0,26.0,291.0,246.0,184.0,8.0,7.0,18.0,72.0,32.0,70.0,144.0,71.0
165,0.0,1.0,4.0,143.0,2.0,9.0,58.0,12.0,11.0,28.0,225.0,7.0,51.0,141.0,158.0,274.0,45.0,53.0,49.0,258.0,66.0,50.0,14.0,63.0,3.0,197.0,124.0,6.0,57.0,325.0
214,0.0,1.0,6.0,71.0,5.0,354.0,4.0,200.0,3.0,226.0,14.0,409.0,48.0,11.0,51.0,26.0,38.0,357.0,184.0,54.0,19.0,295.0,13.0,24.0,32.0,44.0,483.0,601.0,271.0,234.0
263,0.0,12.0,11.0,3.0,13.0,34.0,19.0,73.0,1.0,97.0,305.0,146.0,71.0,186.0,14.0,172.0,527.0,187.0,42.0,16.0,122.0,48.0,619.0,10.0,5.0,324.0,82.0,222.0,278.0,4.0
312,1.0,0.0,36.0,553.0,11.0,30.0,27.0,210.0,25.0,51.0,57.0,71.0,9.0,69.0,169.0,264.0,308.0,66.0,44.0,465.0,13.0,134.0,219.0,236.0,147.0,56.0,20.0,43.0,21.0,77.0
361,0.0,1.0,2.0,5.0,3.0,46.0,6.0,13.0,431.0,12.0,219.0,21.0,19.0,54.0,56.0,4.0,22.0,15.0,42.0,186.0,64.0,326.0,11.0,38.0,27.0,199.0,137.0,14.0,156.0,94.0
410,1.0,0.0,10.0,4.0,6.0,34.0,617.0,180.0,17.0,19.0,348.0,2.0,56.0,37.0,402.0,121.0,151.0,183.0,18.0,287.0,26.0,42.0,58.0,79.0,91.0,13.0,388.0,32.0,584.0,194.0
459,0.0,2.0,11.0,27.0,3.0,31.0,10.0,13.0,8.0,18.0,83.0,14.0,70.0,445.0,100.0,26.0,43.0,274.0,87.0,129.0,127.0,119.0,35.0,19.0,4.0,205.0,5.0,298.0,203.0,378.0
508,0.0,89.0,4.0,44.0,2.0,5.0,112.0,114.0,3.0,8.0,1.0,102.0,9.0,243.0,266.0,24.0,82.0,502.0,153.0,29.0,289.0,64.0,74.0,7.0,193.0,35.0,202.0,108.0,302.0,62.0
557,1.0,2.0,24.0,5.0,0.0,6.0,32.0,21.0,190.0,64.0,13.0,346.0,12.0,9.0,16.0,4.0,91.0,227.0,11.0,185.0,63.0,149.0,8.0,215.0,104.0,41.0,7.0,554.0,46.0,137.0
606,0.0,7.0,10.0,3.0,1.0,2.0,51.0,30.0,5.0,4.0,105.0,6.0,41.0,82.0,224.0,15.0,144.0,445.0,32.0,313.0,28.0,31.0,90.0,62.0,123.0,23.0,35.0,148.0,107.0,24.0
655,1.0,3.0,31.0,7.0,0.0,2.0,6.0,45.0,117.0,4.0,26.0,5.0,10.0,272.0,136.0,19.0,62.0,435.0,102.0,33.0,350.0,30.0,32.0,14.0,165.0,113.0,20.0,367.0,215.0,18.0
704,0.0,3.0,1.0,11.0,2.0,10.0,148.0,8.0,147.0,29.0,53.0,7.0,206.0,34.0,203.0,36.0,4.0,63.0,12.0,30.0,417.0,299.0,20.0,96.0,488.0,101.0,335.0,521.0,41.0,69.0
753,0.0,23.0,10.0,3.0,1.0,130.0,76.0,68.0,45.0,25.0,15.0,28.0,182.0,59.0,40.0,43.0,531.0,20.0,112.0,4.0,312.0,66.0,2.0,184.0,326.0,94.0,16.0,13.0,183.0,37.0
802,0.0,57.0,11.0,4.0,2.0,217.0,62.0,22.0,489.0,1.0,13.0,7.0,67.0,19.0,289.0,14.0,202.0,12.0,65.0,20.0,344.0,66.0,49.0,17.0,46.0,119.0,5.0,38.0,10.0,47.0
851,1.0,22.0,72.0,52.0,0.0,3.0,9.0,21.0,5.0,18.0,42.0,254.0,100.0,23.0,178.0,123.0,106.0,46.0,337.0,19.0,275.0,79.0,29.0,6.0,445.0,4.0,63.0,49.0,8.0,7.0
900,0.0,6.0,1.0,89.0,5.0,17.0,4.0,49.0,300.0,11.0,43.0,94.0,40.0,424.0,100.0,10.0,36.0,118.0,276.0,55.0,84.0,510.0,14.0,27.0,222.0,178.0,201.0,2.0,181.0,15.0
949,1.0,394.0,6.0,3.0,0.0,2.0,35.0,45.0,198.0,13.0,44.0,5.0,221.0,224.0,272.0,74.0,142.0,180.0,29.0,10.0,417.0,120.0,107.0,134.0,86.0,263.0,64.0,26.0,94.0,7.0
998,0.0,2.0,4.0,3.0,9.0,6.0,43.0,211.0,166.0,34.0,11.0,1.0,25.0,308.0,183.0,28.0,174.0,21.0,7.0,17.0,36.0,22.0,66.0,15.0,234.0,171.0,47.0,175.0,24.0,486.0
1047,0.0,9.0,3.0,20.0,48.0,156.0,14.0,5.0,27.0,209.0,13.0,4.0,19.0,271.0,15.0,8.0,6.0,169.0,407.0,30.0,127.0,607.0,436.0,32.0,446.0,26.0,366.0,312.0,21.0,125.0
1096,0.0,1.0,2.0,142.0,85.0,10.0,16.0,55.0,21.0,547.0,141.0,29.0,165.0,511.0,26.0,51.0,174.0,44.0,201.0,18.0,119.0,13.0,349.0,4.0,523.0,128.0,313.0,106.0,228.0,19.0
1145,0.0,1.0,3.0,19.0,132.0,6.0,31.0,10.0,2.0,142.0,15.0,11.0,7.0,431.0,208.0,26.0,96.0,32.0,4.0,25.0,45.0,506.0,307.0,228.0,82.0,43.0,35.0,9.0,124.0,39.0
1194,0.0,1.0,2.0,8.0,132.0,26.0,5.0,111.0,65.0,76.0,87.0,219.0,40.0,23.0,117.0,56.0,126.0,233.0,41.0,51.0,16.0,207.0,13.0,135.0,78.0,164.0,257.0,67.0,72.0,34.0
1243,0.0,5.0,9.0,1.0,7.0,16.0,21.0,31.0,6.0,26.0,30.0,10.0,14.0,231.0,60.0,45.0,50.0,93.0,11.0,154.0,67.0,74.0,548.0,8.0,295.0,56.0,38.0,316.0,501.0,12.0
1292,0.0,5.0,1.0,175.0,19.0,21.0,8.0,132.0,129.0,9.0,20.0,67.0,155.0,246.0,48.0,97.0,36.0,73.0,4.0,116.0,143.0,120.0,357.0,313.0,164.0,26.0,61.0,76.0,17.0,34.0
1341,0.0,7.0,80.0,2.0,252.0,32.0,188.0,244.0,70.0,1.0,9.0,51.0,43.0,127.0,262.0,16.0,574.0,238.0,171.0,21.0,13.0,19.0,12.0,100.0,407.0,25.0,183.0,542.0,11.0,3.0
1390,0.0,2.0,9.0,1.0,6.0,5.0,59.0,307.0,3.0,30.0,43.0,14.0,4.0,13.0,46.0,7.0,57.0,189.0,93.0,144.0,84.0,71.0,554.0,122.0,380.0,113.0,129.0,17.0,225.0,50.0
1439,0.0,2.0,5.0,57.0,1.0,9.0,229.0,32.0,4.0,17.0,28.0,3.0,69.0,43.0,78.0,16.0,12.0,23.0,7.0,65.0,114.0,85.0,61.0,142.0,179.0,87.0,91.0,33.0,11.0,447.0
1488,1.0,0.0,20.0,5.0,73.0,146.0,8.0,87.0,462.0,281.0,44.0,78.0,6.0,99.0,323.0,145.0,245.0,40.0,10.0,201.0,53.0,359.0,191.0,139.0,172.0,15.0,54.0,64.0,82.0,250.0
1537,0.0,1.0,11.0,2.0,69.0,304.0,45.0,97.0,112.0,25.0,149.0,7.0,4.0,17.0,89.0,180.0,51.0,38.0,5.0,46.0,192.0,299.0,628.0,300.0,254.0,29.0,22.0,53.0,124.0,40.0
1586,4.0,0.0,83.0,1.0,21.0,163.0,50.0,111.0,9.0,32.0,10.0,6.0,8.0,362.0,127.0,41.0,14.0,317.0,36.0,94.0,70.0,208.0,86.0,11.0,20.0,28.0,2.0,48.0,332.0,3.0
1635,1.0,2.0,29.0,0.0,123.0,92.0,22.0,27.0,39.0,4.0,3.0,9.0,36.0,313.0,218.0,270.0,18.0,109.0,8.0,51.0,63.0,115.0,156.0,194.0,438.0,65.0,11.0,24.0,478.0,159.0
1684,6.0,0.0,38.0,1.0,26.0,21.0,349.0,25.0,61.0,72.0,41.0,37.0,4.0,142.0,139.0,124.0,10.0,8.0,5.0,32.0,99.0,76.0,56.0,222.0,279.0,208.0,58.0,64.0,395.0,71.0
1733,1.0,2.0,12.0,0.0,89.0,11.0,39.0,103.0,9.0,10.0,22.0,437.0,5.0,34.0,78.0,453.0,3.0,64.0,8.0,6.0,205.0,122.0,83.0,230.0,320.0,371.0,26.0,148.0,558.0,206.0
1782,0.0,1.0,9.0,11.0,3.0,12.0,113.0,104.0,59.0,28.0,38.0,2.0,26.0,87.0,25.0,185.0,18.0,50.0,216.0,84.0,35.0,119.0,36.0,411.0,76.0,125.0,41.0,595.0,14.0,108.0
1831,1.0,0.0,3.0,2.0,452.0,34.0,120.0,5.0,16.0,150.0,21.0,23.0,14.0,55.0,493.0,57.0,108.0,130.0,22.0,280.0,188.0,35.0,142.0,38.0,163.0,4.0,7.0,449.0,13.0,595.0
1880,1.0,0.0,3.0,50.0,292.0,124.0,17.0,28.0,14.0,10.0,256.0,208.0,142.0,134.0,26.0,429.0,8.0,33.0,32.0,253.0,27.0,171.0,9.0,520.0,122.0,16.0,41.0,59.0,70.0,4.0
1929,2.0,1.0,7.0,0.0,113.0,48.0,95.0,484.0,6.0,19.0,45.0,10.0,18.0,179.0,373.0,307.0,73.0,146.0,69.0,50.0,104.0,214.0,43.0,72.0,53.0,16.0,34.0,15.0,112.0,26.0
1978,0.0,4.0,1.0,12.0,96.0,5.0,2.0,20.0,24.0,14.0,10.0,227.0,285.0,7.0,61.0,44.0,11.0,432.0,122.0,73.0,205.0,380.0,164.0,84.0,80.0,146.0,386.0,151.0,8.0,169.0
2027,0.0,4.0,7.0,36.0,25.0,2.0,28.0,5.0,12.0,215.0,1.0,63.0,10.0,3.0,11.0,424.0,240.0,15.0,30.0,137.0,150.0,66.0,277.0,34.0,121.0,73.0,176.0,147.0,129.0,442.0
