,1-methylnicotinamide,C22:6 LPC,alpha-glycerophosphate,uridine,uracil,C16:0 LPE,C20:4 CE,dCMP,pantothenate,putrescine,cytidine,GABA,C36:1 DAG,serotonin,3-phosphoglycerate,C34:4 PC,inositol,UMP,sarcosine,beta-alanine,C34:2 DAG,PEP,2-deoxycytidine,oxalate,hypoxanthine,N-carbamoyl-beta-alanine,creatine,taurodeoxycholate,C36:4 PC-B,butyrylcarnitine/isobutyrylcarnitine
1985,17.0,0.0,1.0,7.0,45.0,3.0,28.0,12.0,15.0,19.0,4.0,16.0,26.0,36.0,2.0,44.0,6.0,30.0,8.0,5.0,24.0,11.0,35.0,38.0,34.0,32.0,18.0,20.0,49.0,22.0
2034,0.0,2.0,4.0,15.0,9.0,12.0,5.0,18.0,8.0,33.0,1.0,36.0,23.0,21.0,6.0,35.0,32.0,64.0,7.0,17.0,14.0,3.0,44.0,20.0,16.0,27.0,22.0,28.0,49.0,57.0
2083,0.0,2.0,10.0,1.0,14.0,31.0,4.0,15.0,16.0,26.0,6.0,20.0,7.0,58.0,22.0,8.0,24.0,3.0,30.0,25.0,11.0,12.0,53.0,18.0,17.0,21.0,23.0,50.0,34.0,29.0
2132,18.0,0.0,1.0,5.0,12.0,14.0,22.0,10.0,6.0,29.0,24.0,47.0,60.0,11.0,4.0,27.0,61.0,16.0,9.0,37.0,2.0,13.0,32.0,7.0,48.0,20.0,8.0,17.0,55.0,21.0
2181,4.0,0.0,1.0,6.0,37.0,7.0,24.0,16.0,17.0,13.0,2.0,47.0,19.0,38.0,8.0,15.0,53.0,54.0,5.0,39.0,14.0,10.0,3.0,45.0,20.0,21.0,42.0,46.0,51.0,30.0
2230,0.0,1.0,4.0,39.0,32.0,5.0,14.0,28.0,30.0,2.0,9.0,17.0,6.0,42.0,10.0,7.0,12.0,15.0,3.0,43.0,34.0,29.0,16.0,59.0,56.0,22.0,33.0,11.0,44.0,19.0
2279,1.0,5.0,8.0,12.0,22.0,3.0,19.0,17.0,2.0,15.0,13.0,55.0,36.0,27.0,7.0,14.0,25.0,37.0,0.0,10.0,6.0,4.0,18.0,52.0,58.0,20.0,16.0,26.0,29.0,48.0
2328,0.0,1.0,6.0,4.0,18.0,11.0,7.0,12.0,2.0,52.0,5.0,62.0,20.0,13.0,10.0,41.0,28.0,25.0,3.0,50.0,9.0,27.0,17.0,29.0,56.0,21.0,26.0,34.0,65.0,14.0
2377,22.0,0.0,1.0,8.0,19.0,13.0,6.0,7.0,36.0,10.0,5.0,27.0,31.0,54.0,3.0,23.0,32.0,29.0,2.0,60.0,16.0,15.0,17.0,42.0,48.0,35.0,26.0,46.0,18.0,25.0
2426,6.0,0.0,3.0,20.0,8.0,1.0,2.0,60.0,41.0,49.0,5.0,12.0,18.0,13.0,7.0,33.0,28.0,23.0,52.0,24.0,11.0,10.0,15.0,27.0,32.0,19.0,9.0,58.0,21.0,30.0
2475,8.0,3.0,9.0,0.0,49.0,15.0,22.0,61.0,1.0,28.0,2.0,23.0,6.0,33.0,7.0,25.0,32.0,30.0,41.0,16.0,17.0,5.0,19.0,11.0,21.0,46.0,14.0,13.0,27.0,20.0
2524,3.0,1.0,0.0,15.0,36.0,5.0,14.0,51.0,49.0,12.0,25.0,8.0,7.0,23.0,34.0,19.0,21.0,20.0,35.0,11.0,4.0,22.0,60.0,13.0,24.0,9.0,38.0,16.0,2.0,18.0
2573,14.0,2.0,0.0,5.0,28.0,3.0,1.0,33.0,11.0,35.0,15.0,6.0,7.0,17.0,10.0,34.0,32.0,4.0,24.0,29.0,13.0,37.0,40.0,38.0,21.0,18.0,20.0,8.0,19.0,36.0
2622,6.0,0.0,3.0,5.0,4.0,2.0,1.0,66.0,12.0,41.0,9.0,8.0,27.0,15.0,33.0,23.0,22.0,26.0,49.0,24.0,10.0,20.0,25.0,42.0,44.0,21.0,50.0,14.0,13.0,36.0
2671,6.0,2.0,4.0,3.0,15.0,0.0,1.0,43.0,11.0,54.0,20.0,21.0,9.0,24.0,17.0,33.0,10.0,39.0,27.0,34.0,5.0,12.0,31.0,45.0,58.0,22.0,23.0,7.0,38.0,14.0
2720,12.0,13.0,1.0,3.0,9.0,2.0,14.0,42.0,20.0,47.0,8.0,17.0,22.0,41.0,6.0,35.0,26.0,5.0,56.0,43.0,4.0,38.0,39.0,15.0,29.0,7.0,57.0,0.0,48.0,37.0
2769,4.0,1.0,0.0,7.0,2.0,5.0,3.0,21.0,17.0,12.0,8.0,11.0,14.0,50.0,57.0,58.0,48.0,56.0,28.0,44.0,35.0,25.0,23.0,19.0,31.0,15.0,18.0,9.0,22.0,26.0
2818,1.0,2.0,0.0,5.0,9.0,3.0,4.0,19.0,33.0,12.0,29.0,7.0,14.0,11.0,41.0,34.0,32.0,8.0,45.0,18.0,10.0,20.0,28.0,25.0,54.0,31.0,43.0,30.0,6.0,61.0
2867,13.0,14.0,2.0,15.0,9.0,0.0,1.0,35.0,11.0,16.0,44.0,10.0,8.0,36.0,6.0,27.0,33.0,3.0,56.0,7.0,59.0,20.0,47.0,17.0,30.0,21.0,24.0,26.0,32.0,25.0
2916,21.0,0.0,1.0,3.0,16.0,7.0,8.0,45.0,9.0,5.0,2.0,36.0,14.0,18.0,4.0,17.0,19.0,6.0,24.0,12.0,26.0,11.0,44.0,50.0,23.0,47.0,34.0,20.0,15.0,10.0
2965,1.0,2.0,0.0,20.0,17.0,29.0,11.0,37.0,8.0,35.0,64.0,9.0,24.0,4.0,57.0,16.0,26.0,18.0,23.0,7.0,10.0,21.0,59.0,34.0,65.0,6.0,36.0,42.0,27.0,12.0
3014,1.0,2.0,0.0,9.0,7.0,11.0,12.0,49.0,17.0,28.0,23.0,20.0,30.0,24.0,44.0,14.0,41.0,6.0,15.0,13.0,25.0,35.0,56.0,21.0,58.0,32.0,43.0,10.0,34.0,26.0
3063,2.0,1.0,0.0,3.0,5.0,26.0,20.0,40.0,10.0,18.0,22.0,21.0,13.0,31.0,14.0,11.0,17.0,6.0,48.0,15.0,61.0,58.0,8.0,46.0,24.0,32.0,9.0,4.0,49.0,12.0
3112,2.0,1.0,0.0,7.0,23.0,12.0,11.0,53.0,48.0,36.0,49.0,25.0,5.0,31.0,58.0,14.0,20.0,33.0,38.0,54.0,60.0,19.0,37.0,26.0,56.0,4.0,21.0,3.0,62.0,15.0
3161,0.0,1.0,2.0,18.0,7.0,6.0,4.0,30.0,24.0,16.0,10.0,13.0,3.0,40.0,48.0,8.0,19.0,15.0,22.0,23.0,28.0,39.0,32.0,38.0,36.0,5.0,12.0,17.0,31.0,27.0
3210,2.0,0.0,1.0,13.0,48.0,7.0,26.0,18.0,3.0,4.0,46.0,28.0,21.0,24.0,63.0,8.0,36.0,17.0,15.0,6.0,30.0,14.0,47.0,50.0,54.0,31.0,5.0,10.0,25.0,16.0
3259,0.0,1.0,2.0,8.0,27.0,42.0,20.0,29.0,58.0,28.0,7.0,32.0,5.0,6.0,15.0,10.0,48.0,12.0,23.0,11.0,59.0,53.0,17.0,26.0,4.0,55.0,30.0,3.0,24.0,36.0
3308,1.0,0.0,6.0,8.0,24.0,23.0,17.0,7.0,38.0,18.0,55.0,12.0,3.0,10.0,54.0,14.0,5.0,20.0,4.0,13.0,21.0,59.0,30.0,35.0,36.0,44.0,25.0,2.0,39.0,37.0
3357,1.0,0.0,2.0,3.0,4.0,18.0,20.0,27.0,17.0,9.0,7.0,13.0,8.0,11.0,40.0,61.0,19.0,5.0,39.0,30.0,51.0,26.0,48.0,32.0,12.0,52.0,33.0,21.0,14.0,44.0
3406,0.0,2.0,1.0,11.0,8.0,4.0,5.0,15.0,6.0,3.0,22.0,7.0,21.0,26.0,13.0,19.0,28.0,10.0,34.0,23.0,45.0,37.0,41.0,42.0,48.0,20.0,9.0,36.0,27.0,17.0
3455,2.0,1.0,8.0,0.0,21.0,6.0,24.0,25.0,28.0,19.0,40.0,42.0,30.0,27.0,12.0,3.0,26.0,31.0,23.0,17.0,15.0,46.0,4.0,10.0,14.0,20.0,13.0,5.0,34.0,18.0
3504,3.0,2.0,9.0,11.0,14.0,31.0,8.0,19.0,13.0,0.0,5.0,39.0,41.0,42.0,18.0,7.0,10.0,21.0,50.0,25.0,17.0,26.0,38.0,6.0,1.0,37.0,22.0,32.0,4.0,30.0
3553,24.0,4.0,7.0,0.0,2.0,8.0,45.0,6.0,16.0,3.0,15.0,12.0,51.0,1.0,29.0,19.0,14.0,27.0,59.0,13.0,37.0,52.0,11.0,54.0,5.0,20.0,35.0,42.0,22.0,23.0
3602,2.0,0.0,12.0,1.0,3.0,5.0,11.0,7.0,26.0,9.0,17.0,46.0,28.0,41.0,6.0,8.0,38.0,14.0,57.0,20.0,47.0,15.0,16.0,4.0,13.0,10.0,36.0,25.0,31.0,32.0
3651,11.0,0.0,3.0,5.0,14.0,1.0,15.0,8.0,10.0,6.0,35.0,58.0,42.0,38.0,22.0,2.0,36.0,30.0,28.0,4.0,39.0,53.0,7.0,12.0,25.0,17.0,9.0,54.0,26.0,37.0
3700,5.0,1.0,12.0,0.0,3.0,4.0,7.0,14.0,11.0,19.0,9.0,15.0,38.0,41.0,35.0,6.0,36.0,16.0,48.0,22.0,26.0,18.0,17.0,21.0,46.0,33.0,28.0,2.0,50.0,42.0
3749,4.0,0.0,3.0,1.0,13.0,20.0,21.0,6.0,18.0,5.0,11.0,30.0,63.0,39.0,24.0,16.0,2.0,15.0,53.0,7.0,27.0,10.0,28.0,52.0,29.0,43.0,9.0,22.0,34.0,26.0
3798,37.0,0.0,6.0,2.0,9.0,4.0,17.0,14.0,21.0,10.0,13.0,23.0,11.0,29.0,16.0,1.0,3.0,15.0,34.0,18.0,53.0,12.0,43.0,36.0,7.0,33.0,8.0,20.0,40.0,49.0
3847,33.0,2.0,1.0,0.0,32.0,12.0,6.0,3.0,34.0,4.0,37.0,17.0,19.0,9.0,54.0,26.0,28.0,16.0,45.0,47.0,30.0,7.0,10.0,40.0,13.0,8.0,5.0,21.0,24.0,48.0
3896,26.0,3.0,1.0,9.0,17.0,13.0,11.0,15.0,42.0,6.0,36.0,19.0,23.0,14.0,5.0,4.0,7.0,25.0,21.0,51.0,28.0,54.0,57.0,32.0,10.0,46.0,2.0,0.0,24.0,27.0
3945,0.0,2.0,5.0,23.0,12.0,1.0,10.0,4.0,14.0,13.0,25.0,6.0,42.0,43.0,9.0,34.0,8.0,50.0,3.0,38.0,18.0,26.0,32.0,16.0,15.0,17.0,21.0,11.0,29.0,19.0
3994,0.0,1.0,2.0,26.0,5.0,23.0,22.0,8.0,11.0,3.0,34.0,7.0,10.0,36.0,32.0,15.0,17.0,21.0,6.0,14.0,12.0,16.0,29.0,13.0,40.0,4.0,31.0,18.0,48.0,53.0
4043,0.0,3.0,5.0,12.0,9.0,15.0,29.0,2.0,13.0,1.0,4.0,22.0,11.0,37.0,14.0,16.0,39.0,19.0,32.0,6.0,23.0,24.0,41.0,8.0,20.0,17.0,33.0,55.0,43.0,18.0
4092,0.0,2.0,1.0,41.0,9.0,17.0,7.0,40.0,11.0,4.0,34.0,6.0,39.0,15.0,33.0,36.0,14.0,25.0,3.0,21.0,50.0,12.0,48.0,5.0,18.0,42.0,56.0,22.0,20.0,10.0
4141,0.0,1.0,2.0,17.0,8.0,4.0,15.0,18.0,13.0,34.0,10.0,3.0,22.0,56.0,24.0,11.0,20.0,7.0,44.0,45.0,28.0,5.0,66.0,25.0,53.0,30.0,47.0,62.0,64.0,6.0
4190,1.0,0.0,4.0,12.0,23.0,44.0,8.0,5.0,24.0,2.0,14.0,37.0,16.0,19.0,36.0,13.0,17.0,20.0,31.0,28.0,30.0,59.0,45.0,3.0,9.0,7.0,39.0,66.0,47.0,40.0
4239,3.0,0.0,2.0,13.0,6.0,5.0,4.0,11.0,17.0,1.0,27.0,10.0,19.0,14.0,29.0,35.0,23.0,30.0,16.0,25.0,33.0,12.0,59.0,9.0,37.0,20.0,48.0,63.0,65.0,15.0
4288,1.0,0.0,2.0,7.0,21.0,12.0,3.0,5.0,11.0,9.0,48.0,10.0,26.0,15.0,6.0,51.0,32.0,25.0,4.0,47.0,52.0,46.0,53.0,38.0,49.0,14.0,18.0,17.0,63.0,13.0
4337,0.0,1.0,3.0,15.0,25.0,7.0,2.0,27.0,21.0,5.0,16.0,4.0,30.0,23.0,9.0,24.0,6.0,17.0,56.0,13.0,31.0,18.0,19.0,11.0,36.0,29.0,34.0,8.0,28.0,10.0
4386,0.0,13.0,14.0,34.0,38.0,1.0,31.0,24.0,23.0,2.0,20.0,3.0,30.0,16.0,10.0,21.0,33.0,45.0,11.0,32.0,51.0,35.0,26.0,7.0,43.0,5.0,60.0,18.0,56.0,4.0
4435,5.0,1.0,0.0,16.0,15.0,14.0,12.0,4.0,36.0,35.0,22.0,11.0,17.0,9.0,18.0,51.0,2.0,25.0,34.0,47.0,13.0,23.0,21.0,8.0,61.0,53.0,19.0,55.0,29.0,20.0
4484,35.0,1.0,0.0,9.0,12.0,10.0,40.0,7.0,26.0,47.0,15.0,3.0,19.0,34.0,61.0,17.0,4.0,30.0,6.0,44.0,2.0,38.0,25.0,41.0,59.0,27.0,46.0,52.0,16.0,55.0
4533,1.0,2.0,0.0,19.0,40.0,47.0,3.0,8.0,7.0,37.0,43.0,41.0,15.0,13.0,33.0,31.0,28.0,18.0,26.0,54.0,21.0,25.0,16.0,9.0,23.0,6.0,27.0,56.0,14.0,10.0
4582,6.0,1.0,0.0,19.0,3.0,35.0,12.0,9.0,17.0,46.0,11.0,42.0,8.0,27.0,14.0,48.0,41.0,20.0,44.0,58.0,2.0,37.0,30.0,7.0,36.0,52.0,22.0,16.0,4.0,55.0
4631,4.0,1.0,0.0,3.0,9.0,38.0,49.0,8.0,10.0,14.0,28.0,18.0,13.0,35.0,46.0,47.0,7.0,37.0,5.0,24.0,52.0,31.0,19.0,6.0,17.0,41.0,15.0,44.0,16.0,2.0
4680,6.0,1.0,0.0,9.0,5.0,8.0,18.0,24.0,19.0,2.0,16.0,33.0,20.0,12.0,42.0,55.0,10.0,49.0,7.0,17.0,61.0,59.0,4.0,15.0,47.0,40.0,29.0,22.0,11.0,21.0
4729,19.0,1.0,0.0,18.0,8.0,3.0,46.0,23.0,12.0,15.0,17.0,5.0,16.0,26.0,63.0,48.0,2.0,61.0,10.0,55.0,6.0,13.0,4.0,39.0,20.0,21.0,22.0,38.0,11.0,47.0
4778,1.0,3.0,0.0,6.0,4.0,33.0,57.0,2.0,16.0,12.0,13.0,20.0,25.0,19.0,14.0,11.0,10.0,8.0,21.0,46.0,5.0,31.0,9.0,17.0,18.0,51.0,27.0,56.0,23.0,47.0
4827,2.0,0.0,1.0,21.0,29.0,15.0,28.0,10.0,5.0,24.0,16.0,50.0,17.0,9.0,55.0,26.0,14.0,8.0,18.0,19.0,3.0,31.0,43.0,7.0,4.0,37.0,49.0,46.0,6.0,65.0
4876,16.0,1.0,0.0,3.0,2.0,40.0,21.0,11.0,5.0,20.0,10.0,32.0,51.0,22.0,47.0,59.0,6.0,27.0,15.0,53.0,7.0,39.0,44.0,35.0,52.0,23.0,43.0,42.0,18.0,31.0
