,hsa-miR-222,hsa-miR-34a,hsa-miR-1302,hsa-miR-1260,hsa-miR-302f,hsa-miR-567,hsa-miR-130a,hsa-miR-1233,hsa-miR-497,hsa-miR-1298,hsa-miR-483-3p,hsa-miR-582-5p,hsa-miR-218,hsa-let-7e,hsa-miR-591,hsa-miR-587,hsa-miR-584,hsa-miR-588,hsa-miR-624,hsa-miR-581,hsa-miR-583,hsa-miR-582-3p,hsa-miR-586,hsa-miR-589,hsa-miR-580,hsa-miR-578,hsa-miR-579,hsa-miR-616,hsa-miR-576-5p,hsa-miR-577
20,4.0,0.0,8.0,1.0,19.0,7.0,22.0,6.0,3.0,5.0,546.0,42.0,37.0,38.0,92.0,66.0,45.0,68.0,48.0,49.0,43.0,44.0,52.0,67.0,50.0,53.0,65.0,80.0,59.0,56.0
69,13.0,5.0,4.0,1.0,17.0,0.0,3.0,2.0,7.0,352.0,546.0,54.0,562.0,425.0,22.0,51.0,16.0,49.0,65.0,10.0,53.0,45.0,56.0,47.0,55.0,42.0,52.0,59.0,34.0,48.0
118,0.0,16.0,25.0,19.0,23.0,30.0,48.0,1.0,42.0,3.0,7.0,17.0,561.0,425.0,26.0,49.0,52.0,50.0,73.0,13.0,53.0,54.0,62.0,63.0,55.0,57.0,56.0,68.0,59.0,58.0
167,4.0,3.0,31.0,2.0,24.0,0.0,33.0,8.0,5.0,1.0,25.0,7.0,38.0,40.0,46.0,16.0,52.0,43.0,69.0,57.0,53.0,59.0,48.0,44.0,56.0,54.0,55.0,39.0,34.0,51.0
216,0.0,32.0,2.0,7.0,609.0,5.0,354.0,1.0,8.0,14.0,22.0,27.0,561.0,424.0,94.0,51.0,49.0,52.0,181.0,28.0,48.0,46.0,50.0,72.0,44.0,42.0,43.0,20.0,40.0,41.0
265,6.0,26.0,5.0,4.0,17.0,28.0,36.0,0.0,1.0,350.0,547.0,56.0,35.0,425.0,21.0,50.0,54.0,49.0,68.0,58.0,55.0,48.0,53.0,42.0,57.0,51.0,52.0,69.0,47.0,59.0
314,1.0,12.0,3.0,0.0,18.0,39.0,29.0,415.0,34.0,352.0,548.0,11.0,43.0,425.0,26.0,60.0,52.0,46.0,71.0,58.0,61.0,56.0,51.0,49.0,59.0,57.0,50.0,41.0,54.0,55.0
363,1.0,9.0,3.0,22.0,17.0,36.0,35.0,14.0,0.0,351.0,4.0,52.0,2.0,32.0,48.0,21.0,61.0,62.0,71.0,60.0,47.0,46.0,57.0,51.0,59.0,56.0,58.0,77.0,54.0,55.0
412,0.0,512.0,4.0,9.0,609.0,1.0,8.0,413.0,5.0,3.0,28.0,55.0,560.0,29.0,27.0,48.0,49.0,45.0,77.0,57.0,50.0,56.0,59.0,42.0,58.0,60.0,40.0,37.0,51.0,20.0
461,5.0,4.0,10.0,7.0,22.0,6.0,20.0,1.0,2.0,16.0,548.0,3.0,561.0,423.0,54.0,59.0,61.0,23.0,81.0,65.0,62.0,64.0,60.0,57.0,66.0,103.0,102.0,90.0,138.0,104.0
510,0.0,2.0,3.0,11.0,612.0,17.0,352.0,1.0,41.0,35.0,42.0,30.0,33.0,43.0,57.0,61.0,63.0,60.0,22.0,31.0,64.0,66.0,62.0,59.0,67.0,69.0,68.0,27.0,104.0,102.0
559,5.0,3.0,0.0,471.0,2.0,29.0,39.0,9.0,33.0,351.0,8.0,15.0,7.0,425.0,25.0,20.0,44.0,46.0,42.0,60.0,45.0,61.0,43.0,47.0,51.0,53.0,52.0,6.0,50.0,55.0
