,hsa-miR-95,hsa-miR-96,ebv-miR-BART8,hsa-miR-548a-3p,hsa-miR-200a,hsa-miR-224,hsa-miR-545,hsa-miR-136,hsa-miR-572,hsa-miR-149,hsa-miR-129-5p,ebv-miR-BART19-5p,hsa-miR-140-5p,hsa-miR-2115,hsa-miR-1979,hsa-miR-1973,hsa-miR-1266,hsa-miR-193b,hsa-miR-1302,hsa-miR-423-3p,hsa-miR-205,hsa-miR-1306,hsa-miR-944,ebv-miR-BART7,hsa-miR-616,hsa-miR-190b,hsa-miR-1978,hsa-miR-450a,hsa-miR-663,hsv1-miR-H4-3p
14,4.0,0.0,17.0,5.0,3.0,45.0,11.0,22.0,12.0,8.0,26.0,76.0,7.0,255.0,2.0,40.0,9.0,106.0,38.0,75.0,16.0,10.0,471.0,132.0,267.0,84.0,21.0,312.0,43.0,140.0
63,4.0,3.0,1.0,0.0,385.0,36.0,167.0,53.0,329.0,82.0,48.0,13.0,14.0,52.0,194.0,17.0,21.0,64.0,176.0,216.0,5.0,31.0,40.0,12.0,32.0,218.0,23.0,609.0,43.0,173.0
112,5.0,1.0,0.0,2.0,4.0,47.0,40.0,18.0,165.0,39.0,17.0,21.0,100.0,316.0,152.0,16.0,3.0,25.0,35.0,28.0,19.0,175.0,15.0,8.0,41.0,178.0,26.0,448.0,71.0,186.0
161,5.0,2.0,4.0,3.0,0.0,42.0,16.0,26.0,14.0,20.0,12.0,54.0,47.0,80.0,18.0,40.0,1.0,33.0,55.0,11.0,6.0,65.0,64.0,8.0,32.0,77.0,43.0,156.0,436.0,140.0
210,1.0,116.0,14.0,0.0,25.0,5.0,54.0,11.0,180.0,12.0,8.0,70.0,120.0,57.0,113.0,33.0,2.0,153.0,27.0,280.0,19.0,314.0,6.0,20.0,16.0,211.0,167.0,157.0,53.0,408.0
259,22.0,0.0,2.0,23.0,1.0,3.0,235.0,90.0,17.0,4.0,15.0,14.0,16.0,35.0,67.0,450.0,9.0,548.0,41.0,32.0,12.0,291.0,206.0,6.0,256.0,401.0,29.0,73.0,84.0,170.0
308,2.0,1.0,0.0,8.0,9.0,50.0,26.0,57.0,19.0,10.0,20.0,544.0,7.0,102.0,145.0,55.0,4.0,264.0,69.0,33.0,29.0,139.0,30.0,83.0,82.0,114.0,295.0,182.0,225.0,15.0
357,0.0,2.0,1.0,91.0,3.0,15.0,71.0,21.0,20.0,22.0,45.0,73.0,16.0,12.0,146.0,290.0,6.0,535.0,57.0,103.0,173.0,338.0,18.0,4.0,142.0,61.0,114.0,259.0,413.0,11.0
406,1.0,16.0,5.0,0.0,2.0,3.0,111.0,53.0,13.0,24.0,9.0,618.0,56.0,99.0,91.0,4.0,7.0,67.0,43.0,70.0,6.0,12.0,240.0,8.0,183.0,146.0,413.0,315.0,175.0,31.0
455,4.0,2.0,1.0,0.0,3.0,48.0,109.0,67.0,7.0,27.0,65.0,23.0,37.0,82.0,11.0,16.0,8.0,618.0,108.0,151.0,41.0,278.0,119.0,6.0,316.0,228.0,349.0,110.0,358.0,235.0
504,236.0,5.0,0.0,8.0,10.0,19.0,88.0,1.0,137.0,27.0,150.0,31.0,7.0,25.0,36.0,9.0,149.0,135.0,78.0,201.0,83.0,35.0,67.0,4.0,623.0,73.0,80.0,3.0,14.0,58.0
553,6.0,13.0,11.0,18.0,2.0,27.0,47.0,9.0,36.0,16.0,1.0,0.0,44.0,60.0,5.0,117.0,225.0,7.0,49.0,25.0,42.0,33.0,29.0,83.0,566.0,98.0,68.0,4.0,12.0,112.0
602,29.0,92.0,2.0,9.0,1.0,23.0,20.0,11.0,127.0,0.0,8.0,28.0,31.0,19.0,6.0,33.0,14.0,25.0,16.0,49.0,10.0,324.0,90.0,12.0,53.0,447.0,222.0,4.0,21.0,37.0
651,186.0,92.0,18.0,31.0,11.0,14.0,99.0,8.0,125.0,6.0,69.0,16.0,34.0,2.0,9.0,3.0,150.0,0.0,267.0,200.0,44.0,22.0,107.0,222.0,24.0,277.0,181.0,27.0,35.0,146.0
700,295.0,30.0,67.0,5.0,1.0,0.0,217.0,14.0,396.0,2.0,13.0,3.0,17.0,22.0,56.0,104.0,31.0,16.0,23.0,28.0,8.0,39.0,320.0,40.0,68.0,130.0,19.0,18.0,6.0,25.0
749,8.0,1.0,184.0,159.0,7.0,6.0,35.0,2.0,516.0,69.0,33.0,113.0,4.0,18.0,21.0,9.0,93.0,30.0,48.0,25.0,43.0,3.0,564.0,134.0,14.0,448.0,41.0,0.0,12.0,16.0
798,48.0,196.0,6.0,45.0,0.0,9.0,139.0,10.0,433.0,7.0,16.0,18.0,26.0,20.0,498.0,82.0,417.0,14.0,53.0,47.0,11.0,32.0,460.0,423.0,27.0,12.0,205.0,1.0,13.0,36.0
847,194.0,35.0,0.0,297.0,18.0,2.0,188.0,20.0,17.0,4.0,7.0,3.0,15.0,10.0,28.0,108.0,207.0,8.0,21.0,281.0,23.0,5.0,12.0,265.0,16.0,39.0,11.0,13.0,118.0,64.0
896,5.0,2.0,4.0,27.0,7.0,13.0,20.0,24.0,134.0,0.0,28.0,70.0,25.0,31.0,360.0,12.0,23.0,34.0,3.0,11.0,38.0,22.0,414.0,617.0,67.0,118.0,29.0,14.0,285.0,268.0
945,4.0,0.0,5.0,160.0,19.0,9.0,46.0,201.0,12.0,90.0,14.0,54.0,10.0,11.0,223.0,22.0,3.0,123.0,45.0,6.0,41.0,15.0,436.0,17.0,82.0,136.0,21.0,241.0,106.0,299.0
994,1.0,5.0,4.0,0.0,2.0,31.0,19.0,184.0,7.0,28.0,11.0,25.0,57.0,30.0,3.0,8.0,20.0,160.0,149.0,35.0,75.0,141.0,6.0,369.0,323.0,221.0,15.0,38.0,97.0,12.0
1043,0.0,3.0,33.0,4.0,22.0,25.0,31.0,159.0,13.0,14.0,172.0,2.0,48.0,106.0,15.0,5.0,286.0,36.0,49.0,23.0,104.0,96.0,10.0,8.0,63.0,57.0,11.0,53.0,165.0,7.0
1092,10.0,0.0,1.0,12.0,8.0,77.0,140.0,20.0,11.0,18.0,3.0,5.0,35.0,111.0,4.0,2.0,80.0,137.0,38.0,142.0,24.0,9.0,19.0,186.0,242.0,97.0,14.0,30.0,352.0,7.0
1141,10.0,1.0,2.0,3.0,5.0,9.0,8.0,22.0,13.0,25.0,95.0,56.0,48.0,39.0,14.0,0.0,34.0,354.0,27.0,154.0,11.0,15.0,4.0,17.0,91.0,60.0,7.0,19.0,31.0,6.0
1190,0.0,6.0,4.0,7.0,21.0,275.0,9.0,378.0,36.0,24.0,64.0,498.0,34.0,52.0,3.0,1.0,78.0,27.0,45.0,29.0,61.0,16.0,8.0,451.0,40.0,364.0,47.0,10.0,312.0,2.0
1239,2.0,7.0,0.0,3.0,32.0,1.0,225.0,54.0,8.0,14.0,58.0,571.0,298.0,11.0,16.0,6.0,104.0,28.0,20.0,12.0,34.0,37.0,87.0,279.0,106.0,43.0,67.0,30.0,25.0,9.0
1288,0.0,72.0,6.0,7.0,26.0,2.0,9.0,1.0,4.0,10.0,15.0,223.0,74.0,5.0,79.0,20.0,21.0,120.0,8.0,22.0,85.0,87.0,65.0,58.0,30.0,97.0,552.0,95.0,18.0,3.0
1337,1.0,34.0,0.0,39.0,73.0,8.0,12.0,599.0,6.0,60.0,7.0,130.0,235.0,28.0,5.0,4.0,132.0,142.0,32.0,169.0,121.0,2.0,82.0,30.0,38.0,63.0,15.0,20.0,231.0,16.0
1386,1.0,271.0,59.0,6.0,9.0,13.0,12.0,15.0,4.0,229.0,198.0,495.0,19.0,18.0,48.0,7.0,262.0,95.0,60.0,32.0,25.0,10.0,3.0,36.0,215.0,29.0,109.0,0.0,297.0,5.0
1435,0.0,216.0,11.0,58.0,21.0,6.0,97.0,1.0,5.0,17.0,67.0,315.0,27.0,38.0,12.0,400.0,42.0,28.0,15.0,39.0,10.0,74.0,8.0,35.0,90.0,43.0,475.0,3.0,344.0,19.0
1484,1.0,0.0,10.0,19.0,36.0,8.0,52.0,335.0,16.0,177.0,98.0,15.0,43.0,26.0,94.0,3.0,317.0,59.0,363.0,138.0,38.0,9.0,18.0,33.0,30.0,2.0,5.0,107.0,123.0,44.0
1533,0.0,19.0,6.0,1.0,36.0,10.0,23.0,622.0,16.0,551.0,7.0,3.0,313.0,59.0,37.0,171.0,204.0,13.0,115.0,38.0,425.0,81.0,9.0,240.0,229.0,14.0,2.0,60.0,101.0,116.0
1582,3.0,2.0,9.0,4.0,53.0,35.0,5.0,241.0,1.0,122.0,106.0,0.0,512.0,43.0,79.0,215.0,592.0,95.0,77.0,7.0,363.0,19.0,26.0,13.0,201.0,38.0,40.0,11.0,299.0,34.0
1631,1.0,10.0,0.0,7.0,19.0,60.0,3.0,38.0,6.0,42.0,82.0,2.0,47.0,4.0,230.0,107.0,252.0,11.0,29.0,12.0,357.0,18.0,124.0,20.0,77.0,23.0,17.0,562.0,113.0,14.0
1680,0.0,240.0,2.0,1.0,10.0,82.0,4.0,39.0,18.0,15.0,54.0,3.0,9.0,14.0,193.0,8.0,297.0,131.0,194.0,31.0,353.0,336.0,13.0,161.0,335.0,16.0,75.0,48.0,105.0,60.0
1729,1.0,24.0,2.0,0.0,10.0,11.0,3.0,490.0,46.0,8.0,19.0,4.0,184.0,123.0,20.0,112.0,108.0,141.0,22.0,47.0,126.0,62.0,188.0,350.0,32.0,7.0,81.0,25.0,425.0,36.0
1778,1.0,6.0,0.0,5.0,15.0,42.0,3.0,342.0,52.0,58.0,97.0,45.0,453.0,36.0,35.0,19.0,117.0,17.0,107.0,218.0,248.0,300.0,14.0,144.0,48.0,49.0,8.0,168.0,201.0,120.0
1827,0.0,2.0,3.0,10.0,19.0,9.0,4.0,5.0,459.0,43.0,75.0,1.0,64.0,155.0,8.0,24.0,76.0,16.0,38.0,386.0,89.0,588.0,198.0,37.0,342.0,21.0,11.0,225.0,128.0,435.0
1876,0.0,24.0,5.0,9.0,3.0,2.0,1.0,16.0,36.0,88.0,279.0,6.0,106.0,38.0,112.0,104.0,28.0,39.0,298.0,23.0,307.0,362.0,26.0,480.0,210.0,14.0,30.0,95.0,92.0,234.0
1925,0.0,2.0,3.0,5.0,96.0,144.0,1.0,9.0,7.0,6.0,11.0,107.0,156.0,43.0,10.0,342.0,190.0,29.0,31.0,44.0,38.0,245.0,127.0,214.0,75.0,48.0,51.0,379.0,296.0,12.0
1974,0.0,1.0,3.0,64.0,6.0,26.0,17.0,22.0,9.0,4.0,38.0,14.0,13.0,29.0,34.0,73.0,121.0,25.0,134.0,11.0,37.0,347.0,2.0,102.0,15.0,206.0,7.0,23.0,109.0,90.0
2023,10.0,6.0,11.0,75.0,9.0,3.0,36.0,26.0,1.0,20.0,38.0,5.0,378.0,0.0,179.0,155.0,539.0,16.0,25.0,2.0,149.0,286.0,74.0,4.0,32.0,19.0,8.0,472.0,184.0,92.0
2072,1.0,2.0,7.0,56.0,144.0,3.0,25.0,0.0,5.0,185.0,6.0,14.0,23.0,22.0,142.0,242.0,19.0,77.0,11.0,282.0,606.0,366.0,43.0,117.0,15.0,10.0,197.0,138.0,607.0,268.0
2121,0.0,20.0,1.0,18.0,26.0,3.0,10.0,9.0,37.0,46.0,133.0,27.0,5.0,8.0,70.0,126.0,25.0,21.0,2.0,56.0,28.0,44.0,231.0,296.0,155.0,150.0,7.0,602.0,19.0,185.0
2170,1.0,3.0,0.0,182.0,27.0,2.0,356.0,287.0,8.0,50.0,16.0,26.0,58.0,19.0,33.0,193.0,22.0,39.0,4.0,5.0,84.0,272.0,136.0,342.0,17.0,11.0,86.0,96.0,6.0,28.0
