,4E-BP1_pS65,Rab25,FOXO3a,IRS1,4E-BP1_pT70,p21,STAT5-alpha,Akt_pS473,4E-BP1_pT37_T46,GATA3,VHL,MIG-6,Claudin-7,Src_pY416,E-Cadherin,SCD1,4E-BP1,Acetyl-a-Tubulin (Lys40),Bim(EP1036),MEK1_pS217_S221,p62 Lck ligand,ADAR1,XBP1,Syk,Smad3,14-3-3_zeta,Shc_pY317,A-Raf_pS299,INPP4B,Gab2
4,11.0,3.0,8.0,1.0,12.0,2.0,4.0,0.0,9.0,28.0,7.0,13.0,10.0,58.0,70.0,15.0,108.0,17.0,34.0,47.0,69.0,5.0,39.0,26.0,49.0,6.0,22.0,94.0,18.0,71.0
53,0.0,2.0,21.0,3.0,1.0,18.0,4.0,7.0,12.0,5.0,115.0,37.0,24.0,30.0,13.0,26.0,19.0,79.0,11.0,38.0,32.0,84.0,59.0,27.0,51.0,52.0,77.0,23.0,65.0,25.0
102,3.0,18.0,2.0,17.0,22.0,0.0,7.0,32.0,1.0,14.0,13.0,58.0,9.0,10.0,19.0,4.0,83.0,6.0,5.0,62.0,103.0,11.0,111.0,31.0,8.0,94.0,45.0,26.0,76.0,36.0
151,10.0,11.0,17.0,79.0,1.0,5.0,4.0,2.0,0.0,20.0,18.0,29.0,30.0,124.0,3.0,6.0,68.0,82.0,8.0,13.0,39.0,21.0,24.0,7.0,19.0,83.0,137.0,134.0,22.0,71.0
200,0.0,2.0,8.0,6.0,1.0,5.0,7.0,18.0,3.0,9.0,25.0,84.0,21.0,55.0,10.0,14.0,12.0,138.0,30.0,28.0,13.0,19.0,4.0,16.0,27.0,34.0,23.0,71.0,20.0,46.0
249,1.0,5.0,0.0,15.0,4.0,8.0,7.0,2.0,11.0,6.0,33.0,20.0,9.0,27.0,24.0,18.0,26.0,122.0,32.0,126.0,14.0,105.0,49.0,3.0,72.0,35.0,51.0,38.0,89.0,16.0
298,3.0,27.0,1.0,6.0,5.0,4.0,14.0,0.0,19.0,15.0,72.0,104.0,2.0,108.0,7.0,17.0,46.0,64.0,8.0,11.0,20.0,13.0,62.0,43.0,35.0,37.0,39.0,61.0,10.0,34.0
347,0.0,6.0,13.0,52.0,3.0,7.0,4.0,5.0,1.0,15.0,16.0,39.0,2.0,25.0,8.0,83.0,9.0,104.0,19.0,119.0,35.0,28.0,93.0,18.0,27.0,84.0,14.0,71.0,116.0,44.0
396,10.0,3.0,2.0,30.0,0.0,8.0,28.0,15.0,16.0,7.0,5.0,130.0,1.0,11.0,13.0,12.0,43.0,64.0,20.0,6.0,72.0,14.0,4.0,9.0,68.0,23.0,58.0,34.0,39.0,54.0
445,4.0,15.0,58.0,29.0,5.0,3.0,0.0,21.0,40.0,9.0,92.0,6.0,1.0,7.0,53.0,10.0,44.0,138.0,31.0,49.0,112.0,85.0,72.0,82.0,104.0,8.0,117.0,74.0,94.0,2.0
494,2.0,4.0,3.0,6.0,5.0,79.0,164.0,98.0,14.0,40.0,24.0,27.0,1.0,18.0,17.0,7.0,81.0,44.0,8.0,0.0,51.0,66.0,11.0,13.0,15.0,12.0,91.0,55.0,63.0,10.0
543,6.0,5.0,0.0,17.0,10.0,3.0,51.0,8.0,7.0,47.0,4.0,52.0,22.0,26.0,41.0,9.0,14.0,1.0,12.0,2.0,40.0,62.0,35.0,42.0,65.0,55.0,11.0,32.0,36.0,50.0
592,2.0,6.0,1.0,9.0,3.0,29.0,17.0,14.0,4.0,105.0,0.0,97.0,53.0,154.0,32.0,41.0,16.0,91.0,73.0,7.0,34.0,24.0,21.0,84.0,81.0,51.0,57.0,5.0,18.0,54.0
641,3.0,5.0,0.0,11.0,24.0,1.0,34.0,8.0,10.0,28.0,79.0,16.0,62.0,59.0,6.0,9.0,136.0,15.0,19.0,68.0,7.0,17.0,98.0,118.0,2.0,30.0,42.0,33.0,31.0,4.0
690,12.0,2.0,1.0,65.0,0.0,14.0,70.0,11.0,5.0,9.0,49.0,15.0,23.0,77.0,8.0,7.0,10.0,16.0,26.0,37.0,6.0,59.0,4.0,91.0,18.0,3.0,21.0,31.0,13.0,27.0
739,0.0,12.0,7.0,34.0,1.0,2.0,58.0,15.0,6.0,24.0,4.0,17.0,36.0,143.0,9.0,25.0,19.0,16.0,3.0,5.0,140.0,72.0,54.0,48.0,8.0,23.0,129.0,32.0,39.0,161.0
788,5.0,8.0,0.0,9.0,17.0,24.0,15.0,4.0,35.0,46.0,6.0,2.0,31.0,12.0,38.0,3.0,49.0,113.0,45.0,76.0,32.0,22.0,1.0,80.0,82.0,21.0,138.0,25.0,75.0,13.0
837,1.0,6.0,3.0,10.0,0.0,2.0,43.0,8.0,12.0,7.0,125.0,120.0,64.0,5.0,22.0,9.0,77.0,53.0,4.0,11.0,31.0,29.0,13.0,123.0,23.0,30.0,21.0,16.0,19.0,80.0
886,4.0,9.0,17.0,10.0,12.0,18.0,7.0,3.0,1.0,13.0,34.0,16.0,8.0,14.0,110.0,19.0,41.0,22.0,72.0,31.0,50.0,44.0,27.0,120.0,11.0,2.0,92.0,93.0,21.0,38.0
935,73.0,2.0,11.0,4.0,7.0,12.0,9.0,50.0,82.0,37.0,98.0,63.0,5.0,110.0,42.0,0.0,161.0,23.0,27.0,10.0,14.0,139.0,1.0,118.0,24.0,15.0,83.0,16.0,6.0,13.0
984,2.0,15.0,3.0,4.0,11.0,6.0,10.0,5.0,0.0,19.0,13.0,49.0,1.0,37.0,21.0,77.0,25.0,14.0,112.0,27.0,69.0,20.0,34.0,33.0,16.0,90.0,23.0,38.0,76.0,7.0
1033,11.0,37.0,1.0,3.0,14.0,2.0,4.0,8.0,5.0,22.0,30.0,9.0,17.0,18.0,86.0,129.0,75.0,7.0,80.0,42.0,67.0,16.0,6.0,58.0,93.0,38.0,23.0,66.0,43.0,12.0
1082,20.0,17.0,1.0,7.0,29.0,10.0,8.0,13.0,9.0,18.0,11.0,31.0,15.0,68.0,4.0,52.0,47.0,24.0,14.0,0.0,23.0,72.0,53.0,6.0,32.0,2.0,38.0,87.0,73.0,25.0
1131,0.0,15.0,5.0,8.0,13.0,1.0,7.0,11.0,2.0,45.0,30.0,6.0,22.0,49.0,103.0,32.0,18.0,4.0,21.0,10.0,9.0,27.0,46.0,16.0,24.0,14.0,3.0,53.0,20.0,12.0
1180,4.0,43.0,12.0,2.0,30.0,1.0,17.0,3.0,8.0,64.0,22.0,10.0,26.0,0.0,76.0,61.0,6.0,5.0,137.0,11.0,38.0,65.0,21.0,14.0,27.0,36.0,29.0,7.0,101.0,16.0
1229,0.0,138.0,3.0,16.0,13.0,14.0,10.0,1.0,17.0,5.0,9.0,20.0,21.0,69.0,12.0,25.0,27.0,7.0,26.0,18.0,109.0,24.0,61.0,19.0,41.0,72.0,30.0,67.0,136.0,8.0
1278,0.0,36.0,6.0,3.0,14.0,2.0,10.0,9.0,1.0,27.0,19.0,97.0,16.0,29.0,20.0,105.0,81.0,4.0,85.0,61.0,42.0,7.0,33.0,13.0,128.0,11.0,15.0,93.0,54.0,41.0
1327,2.0,71.0,5.0,10.0,44.0,0.0,4.0,3.0,1.0,12.0,15.0,31.0,29.0,26.0,129.0,48.0,146.0,6.0,8.0,14.0,58.0,33.0,20.0,25.0,16.0,18.0,36.0,81.0,9.0,37.0
1376,6.0,34.0,0.0,7.0,111.0,20.0,8.0,5.0,1.0,68.0,10.0,17.0,27.0,31.0,63.0,9.0,22.0,12.0,75.0,11.0,60.0,16.0,18.0,26.0,29.0,84.0,3.0,23.0,81.0,4.0
1425,20.0,10.0,5.0,25.0,14.0,22.0,12.0,4.0,7.0,45.0,2.0,8.0,3.0,34.0,16.0,72.0,33.0,57.0,18.0,9.0,117.0,36.0,32.0,28.0,37.0,44.0,17.0,80.0,15.0,6.0
1474,11.0,10.0,6.0,3.0,4.0,70.0,14.0,0.0,7.0,29.0,8.0,12.0,33.0,25.0,45.0,81.0,19.0,28.0,26.0,9.0,1.0,13.0,123.0,74.0,22.0,18.0,2.0,17.0,48.0,104.0
1523,6.0,0.0,2.0,16.0,11.0,13.0,20.0,4.0,5.0,40.0,7.0,35.0,21.0,9.0,15.0,14.0,3.0,107.0,8.0,34.0,39.0,27.0,12.0,1.0,112.0,49.0,41.0,116.0,42.0,19.0
1572,0.0,54.0,2.0,13.0,51.0,27.0,6.0,3.0,23.0,16.0,57.0,83.0,35.0,4.0,64.0,14.0,7.0,1.0,38.0,77.0,19.0,12.0,73.0,58.0,81.0,24.0,25.0,17.0,34.0,26.0
1621,101.0,69.0,1.0,2.0,16.0,11.0,0.0,6.0,33.0,9.0,25.0,46.0,137.0,3.0,97.0,14.0,47.0,99.0,52.0,10.0,7.0,21.0,103.0,94.0,138.0,85.0,50.0,53.0,20.0,136.0
1670,5.0,77.0,23.0,0.0,15.0,63.0,13.0,65.0,6.0,9.0,11.0,3.0,102.0,1.0,21.0,39.0,7.0,30.0,32.0,8.0,2.0,4.0,130.0,107.0,35.0,106.0,17.0,59.0,62.0,47.0
1719,58.0,108.0,6.0,0.0,3.0,15.0,5.0,10.0,20.0,22.0,39.0,65.0,72.0,1.0,70.0,13.0,4.0,60.0,28.0,24.0,9.0,2.0,52.0,59.0,113.0,77.0,48.0,56.0,152.0,131.0
1768,3.0,51.0,1.0,0.0,8.0,18.0,7.0,4.0,13.0,9.0,32.0,22.0,138.0,10.0,64.0,44.0,6.0,2.0,5.0,54.0,67.0,11.0,94.0,76.0,48.0,73.0,12.0,26.0,52.0,107.0
1817,28.0,23.0,5.0,6.0,10.0,68.0,1.0,21.0,59.0,12.0,43.0,13.0,100.0,19.0,61.0,11.0,4.0,14.0,96.0,30.0,0.0,2.0,81.0,58.0,127.0,8.0,75.0,82.0,70.0,20.0
1866,0.0,37.0,5.0,4.0,14.0,6.0,15.0,40.0,3.0,27.0,7.0,47.0,62.0,1.0,129.0,29.0,17.0,90.0,18.0,33.0,10.0,2.0,53.0,63.0,98.0,41.0,45.0,114.0,26.0,140.0
1915,17.0,6.0,3.0,11.0,14.0,34.0,1.0,75.0,21.0,12.0,83.0,33.0,15.0,18.0,5.0,76.0,8.0,73.0,95.0,0.0,10.0,20.0,59.0,50.0,132.0,22.0,32.0,68.0,31.0,67.0
1964,10.0,42.0,4.0,2.0,13.0,43.0,1.0,0.0,18.0,62.0,15.0,59.0,67.0,24.0,61.0,8.0,79.0,38.0,36.0,47.0,3.0,19.0,150.0,31.0,9.0,6.0,20.0,53.0,60.0,14.0
2013,7.0,17.0,10.0,0.0,18.0,62.0,11.0,19.0,8.0,14.0,13.0,51.0,15.0,3.0,12.0,2.0,32.0,25.0,28.0,96.0,53.0,4.0,73.0,42.0,22.0,82.0,24.0,16.0,5.0,50.0
2062,7.0,6.0,3.0,2.0,39.0,0.0,9.0,121.0,12.0,14.0,36.0,16.0,8.0,19.0,10.0,4.0,79.0,18.0,17.0,28.0,13.0,109.0,27.0,20.0,85.0,34.0,5.0,31.0,35.0,64.0
2111,7.0,13.0,1.0,0.0,19.0,8.0,6.0,12.0,14.0,53.0,9.0,10.0,17.0,5.0,87.0,4.0,118.0,102.0,103.0,36.0,3.0,18.0,32.0,79.0,97.0,11.0,2.0,58.0,31.0,16.0
2160,1.0,11.0,14.0,2.0,3.0,0.0,22.0,6.0,7.0,23.0,18.0,77.0,5.0,19.0,55.0,4.0,85.0,80.0,24.0,41.0,12.0,72.0,8.0,117.0,66.0,29.0,21.0,16.0,49.0,78.0
2209,11.0,5.0,15.0,0.0,3.0,19.0,1.0,26.0,12.0,18.0,7.0,35.0,30.0,16.0,87.0,13.0,40.0,86.0,62.0,55.0,4.0,21.0,49.0,115.0,132.0,41.0,10.0,2.0,45.0,61.0
