,NERVOUS,SKIN,OESOPHAGUS,BONE,BREAST,LUNG,HAEMATOPOIETIC,LARGE_INTESTINE,PANCREAS,STOMACH,URINARY,OVARY,GANGLIA,ENDOMETRIUM,AERODIGESTIVE,PROSTATE,LIVER,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
47,0.0,2.0,4.0,17.0,6.0,8.0,7.0,10.0,9.0,11.0,12.0,13.0,14.0,5.0,15.0,16.0,3.0,18.0,19.0,20.0,1.0,21.0,22.0
96,0.0,3.0,4.0,16.0,7.0,9.0,6.0,11.0,8.0,10.0,5.0,12.0,1.0,21.0,13.0,14.0,17.0,18.0,19.0,20.0,2.0,15.0,22.0
145,0.0,3.0,4.0,16.0,6.0,9.0,7.0,12.0,8.0,13.0,10.0,11.0,1.0,5.0,14.0,15.0,17.0,18.0,2.0,19.0,20.0,21.0,22.0
194,1.0,3.0,0.0,15.0,6.0,5.0,4.0,8.0,7.0,10.0,9.0,11.0,2.0,13.0,12.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
243,0.0,4.0,3.0,16.0,6.0,8.0,7.0,12.0,10.0,13.0,9.0,11.0,1.0,5.0,14.0,15.0,17.0,18.0,19.0,20.0,2.0,21.0,22.0
292,0.0,2.0,3.0,16.0,6.0,8.0,5.0,11.0,7.0,12.0,9.0,10.0,13.0,4.0,14.0,15.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
341,0.0,3.0,4.0,5.0,7.0,10.0,9.0,12.0,8.0,11.0,14.0,13.0,15.0,6.0,16.0,17.0,18.0,19.0,1.0,20.0,2.0,21.0,22.0
390,0.0,3.0,4.0,16.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,1.0,5.0,14.0,15.0,17.0,18.0,2.0,19.0,20.0,21.0,22.0
439,0.0,3.0,4.0,17.0,6.0,7.0,5.0,8.0,10.0,11.0,9.0,12.0,13.0,21.0,14.0,15.0,18.0,19.0,2.0,20.0,1.0,16.0,22.0
488,0.0,1.0,4.0,17.0,5.0,8.0,7.0,9.0,11.0,10.0,6.0,12.0,13.0,21.0,14.0,15.0,18.0,19.0,2.0,20.0,3.0,16.0,22.0
537,1.0,3.0,4.0,2.0,5.0,7.0,9.0,8.0,6.0,11.0,12.0,10.0,0.0,21.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
586,0.0,2.0,4.0,3.0,5.0,8.0,6.0,9.0,7.0,11.0,20.0,10.0,12.0,21.0,13.0,14.0,16.0,17.0,1.0,18.0,19.0,15.0,22.0
635,0.0,2.0,3.0,15.0,4.0,6.0,7.0,8.0,5.0,10.0,20.0,9.0,11.0,13.0,12.0,14.0,16.0,17.0,1.0,18.0,19.0,21.0,22.0
684,0.0,2.0,3.0,4.0,5.0,9.0,7.0,8.0,6.0,20.0,19.0,10.0,11.0,13.0,12.0,14.0,15.0,16.0,1.0,17.0,18.0,21.0,22.0
733,0.0,2.0,5.0,3.0,6.0,11.0,8.0,7.0,10.0,20.0,12.0,9.0,1.0,21.0,13.0,14.0,16.0,17.0,4.0,18.0,19.0,15.0,22.0
782,0.0,4.0,1.0,5.0,7.0,10.0,6.0,8.0,9.0,12.0,20.0,11.0,2.0,21.0,13.0,14.0,16.0,17.0,3.0,18.0,19.0,15.0,22.0
831,0.0,2.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,20.0,10.0,11.0,1.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
