,hsa-miR-329,ebv-miR-BART7,hsa-miR-762,hsa-miR-137,hsa-miR-584,hsa-miR-627,hsa-miR-630,hsa-miR-103,hsa-miR-1197,hsa-miR-588,hsa-miR-589,hsa-miR-586,hsa-miR-587,hsa-miR-583,hsa-miR-582-5p,hsa-miR-580,hsa-miR-582-3p,hsa-miR-581,hsa-miR-579,hsa-miR-578,hsa-miR-577,hsa-miR-576-5p,hsa-miR-590-3p,hsa-miR-576-3p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-590-5p,hsa-miR-592,hsa-miR-573,hsa-miR-616
1735,1.0,5.0,0.0,327.0,19.0,3.0,37.0,426.0,419.0,44.0,80.0,49.0,42.0,20.0,47.0,64.0,43.0,50.0,52.0,24.0,56.0,58.0,67.0,59.0,62.0,90.0,92.0,89.0,63.0,7.0
1784,5.0,9.0,0.0,330.0,55.0,27.0,8.0,429.0,32.0,18.0,46.0,54.0,53.0,56.0,57.0,60.0,62.0,59.0,49.0,58.0,52.0,51.0,45.0,50.0,61.0,41.0,48.0,40.0,42.0,28.0
1833,3.0,0.0,21.0,37.0,61.0,26.0,43.0,36.0,39.0,48.0,46.0,52.0,51.0,53.0,55.0,58.0,56.0,57.0,59.0,7.0,50.0,54.0,49.0,60.0,45.0,87.0,44.0,8.0,47.0,73.0
1882,30.0,10.0,15.0,331.0,16.0,47.0,24.0,43.0,41.0,98.0,97.0,72.0,99.0,33.0,51.0,58.0,53.0,55.0,21.0,62.0,70.0,64.0,96.0,66.0,48.0,93.0,94.0,91.0,67.0,50.0
1931,3.0,17.0,0.0,331.0,29.0,37.0,67.0,430.0,439.0,11.0,54.0,51.0,47.0,48.0,58.0,59.0,64.0,55.0,62.0,61.0,60.0,57.0,53.0,56.0,63.0,49.0,52.0,26.0,50.0,77.0
1980,604.0,19.0,314.0,337.0,54.0,77.0,80.0,430.0,440.0,47.0,57.0,52.0,48.0,46.0,63.0,59.0,61.0,65.0,64.0,50.0,49.0,101.0,60.0,139.0,103.0,62.0,56.0,58.0,156.0,68.0
2029,19.0,3.0,26.0,38.0,55.0,75.0,0.0,429.0,30.0,47.0,45.0,13.0,52.0,59.0,49.0,56.0,58.0,57.0,54.0,53.0,51.0,50.0,60.0,48.0,46.0,62.0,96.0,81.0,153.0,66.0
2078,0.0,3.0,311.0,346.0,16.0,32.0,29.0,31.0,40.0,48.0,47.0,52.0,51.0,11.0,53.0,55.0,59.0,58.0,50.0,46.0,61.0,57.0,45.0,54.0,44.0,63.0,97.0,82.0,35.0,67.0
2127,3.0,13.0,19.0,327.0,62.0,161.0,20.0,42.0,421.0,55.0,53.0,74.0,51.0,63.0,65.0,69.0,66.0,68.0,70.0,71.0,72.0,73.0,52.0,168.0,110.0,58.0,49.0,50.0,109.0,24.0
2176,9.0,1.0,20.0,343.0,25.0,38.0,37.0,33.0,438.0,42.0,47.0,43.0,50.0,46.0,48.0,52.0,44.0,65.0,54.0,55.0,56.0,57.0,66.0,58.0,59.0,95.0,82.0,94.0,60.0,31.0
2225,0.0,2.0,314.0,331.0,46.0,45.0,63.0,34.0,440.0,48.0,49.0,53.0,54.0,68.0,55.0,59.0,57.0,58.0,60.0,61.0,64.0,66.0,52.0,67.0,86.0,69.0,56.0,85.0,138.0,81.0
2274,1.0,0.0,289.0,33.0,57.0,71.0,30.0,31.0,41.0,59.0,58.0,47.0,53.0,48.0,44.0,51.0,39.0,49.0,54.0,55.0,60.0,46.0,56.0,45.0,96.0,50.0,52.0,78.0,163.0,26.0
2323,1.0,0.0,22.0,342.0,52.0,3.0,32.0,427.0,42.0,44.0,49.0,51.0,63.0,55.0,56.0,50.0,60.0,62.0,54.0,61.0,59.0,58.0,47.0,57.0,64.0,45.0,46.0,48.0,53.0,76.0
2372,1.0,0.0,312.0,5.0,50.0,43.0,34.0,2.0,422.0,68.0,95.0,57.0,96.0,49.0,47.0,45.0,46.0,51.0,52.0,21.0,54.0,58.0,67.0,59.0,62.0,93.0,94.0,92.0,63.0,83.0
2421,28.0,13.0,0.0,336.0,18.0,59.0,66.0,42.0,32.0,72.0,99.0,70.0,100.0,51.0,48.0,47.0,49.0,54.0,69.0,57.0,58.0,60.0,71.0,61.0,63.0,95.0,96.0,93.0,65.0,45.0
2470,0.0,11.0,312.0,363.0,61.0,55.0,35.0,430.0,37.0,23.0,57.0,75.0,60.0,64.0,65.0,68.0,66.0,67.0,69.0,70.0,71.0,72.0,56.0,73.0,74.0,53.0,54.0,52.0,102.0,85.0
2519,556.0,11.0,30.0,336.0,20.0,52.0,146.0,430.0,422.0,0.0,83.0,49.0,50.0,51.0,44.0,53.0,66.0,54.0,55.0,57.0,58.0,59.0,69.0,60.0,61.0,93.0,96.0,92.0,62.0,94.0
2568,1.0,16.0,314.0,32.0,17.0,33.0,30.0,431.0,44.0,0.0,48.0,62.0,51.0,57.0,60.0,56.0,53.0,54.0,50.0,63.0,58.0,61.0,92.0,59.0,55.0,85.0,65.0,86.0,52.0,70.0
2617,2.0,15.0,35.0,329.0,62.0,78.0,75.0,40.0,41.0,59.0,30.0,32.0,31.0,63.0,64.0,67.0,65.0,66.0,68.0,69.0,70.0,106.0,56.0,107.0,142.0,48.0,47.0,55.0,143.0,86.0
2666,40.0,14.0,18.0,34.0,58.0,2.0,143.0,32.0,422.0,15.0,52.0,59.0,55.0,57.0,56.0,47.0,53.0,51.0,48.0,44.0,60.0,54.0,49.0,50.0,46.0,63.0,80.0,83.0,45.0,68.0
2715,2.0,0.0,314.0,26.0,70.0,64.0,34.0,39.0,38.0,12.0,94.0,96.0,95.0,71.0,69.0,49.0,57.0,51.0,46.0,68.0,56.0,55.0,93.0,58.0,59.0,90.0,91.0,9.0,60.0,99.0
2764,620.0,184.0,306.0,40.0,57.0,66.0,0.0,33.0,436.0,2.0,51.0,61.0,14.0,59.0,45.0,47.0,53.0,48.0,54.0,56.0,58.0,55.0,50.0,60.0,52.0,49.0,46.0,39.0,87.0,42.0
2813,28.0,1.0,2.0,345.0,22.0,57.0,68.0,430.0,43.0,53.0,51.0,69.0,55.0,59.0,60.0,65.0,61.0,63.0,25.0,56.0,67.0,66.0,50.0,54.0,84.0,62.0,47.0,17.0,156.0,71.0
2862,608.0,1.0,311.0,330.0,62.0,34.0,30.0,33.0,438.0,17.0,54.0,60.0,57.0,63.0,61.0,65.0,58.0,55.0,48.0,49.0,64.0,56.0,53.0,59.0,52.0,50.0,51.0,4.0,98.0,78.0
2911,4.0,21.0,311.0,26.0,49.0,75.0,39.0,30.0,38.0,46.0,43.0,48.0,47.0,59.0,55.0,53.0,56.0,42.0,52.0,8.0,54.0,60.0,50.0,44.0,58.0,62.0,79.0,82.0,57.0,67.0
2960,31.0,36.0,310.0,331.0,54.0,3.0,67.0,430.0,420.0,26.0,25.0,53.0,52.0,56.0,57.0,61.0,58.0,59.0,62.0,64.0,66.0,153.0,48.0,96.0,151.0,55.0,49.0,81.0,32.0,89.0
3009,45.0,0.0,314.0,333.0,52.0,77.0,31.0,431.0,1.0,49.0,13.0,51.0,63.0,53.0,54.0,56.0,55.0,64.0,57.0,58.0,59.0,60.0,46.0,61.0,62.0,47.0,48.0,82.0,100.0,22.0
3058,606.0,1.0,310.0,21.0,47.0,30.0,37.0,430.0,38.0,15.0,64.0,46.0,45.0,49.0,50.0,54.0,63.0,53.0,19.0,57.0,23.0,61.0,94.0,62.0,81.0,65.0,66.0,92.0,134.0,83.0
3107,592.0,5.0,310.0,332.0,8.0,3.0,30.0,430.0,422.0,18.0,68.0,70.0,45.0,71.0,58.0,105.0,52.0,74.0,155.0,107.0,106.0,142.0,67.0,143.0,144.0,64.0,66.0,63.0,145.0,26.0
3156,4.0,0.0,312.0,27.0,17.0,61.0,35.0,430.0,41.0,89.0,13.0,92.0,91.0,71.0,70.0,51.0,69.0,49.0,54.0,23.0,59.0,64.0,87.0,65.0,68.0,85.0,86.0,95.0,155.0,93.0
3205,31.0,2.0,22.0,336.0,49.0,68.0,65.0,43.0,4.0,1.0,46.0,50.0,47.0,52.0,54.0,51.0,57.0,58.0,44.0,56.0,55.0,53.0,59.0,60.0,48.0,78.0,61.0,63.0,45.0,34.0
3254,31.0,1.0,312.0,44.0,3.0,73.0,76.0,430.0,420.0,50.0,18.0,52.0,51.0,53.0,49.0,57.0,55.0,56.0,58.0,59.0,60.0,86.0,61.0,137.0,101.0,48.0,46.0,47.0,154.0,43.0
3303,30.0,0.0,43.0,38.0,3.0,1.0,67.0,430.0,420.0,52.0,51.0,54.0,53.0,55.0,56.0,59.0,57.0,58.0,60.0,61.0,62.0,92.0,19.0,98.0,154.0,49.0,63.0,47.0,100.0,77.0
3352,27.0,0.0,308.0,329.0,45.0,2.0,62.0,39.0,420.0,96.0,67.0,49.0,66.0,50.0,43.0,23.0,65.0,52.0,24.0,55.0,56.0,57.0,95.0,58.0,25.0,93.0,94.0,92.0,61.0,91.0
3401,13.0,2.0,310.0,332.0,69.0,22.0,4.0,430.0,42.0,66.0,1.0,68.0,67.0,70.0,74.0,108.0,107.0,157.0,143.0,144.0,145.0,146.0,64.0,147.0,148.0,61.0,63.0,57.0,149.0,28.0
3450,35.0,2.0,313.0,42.0,13.0,0.0,79.0,430.0,420.0,4.0,63.0,49.0,48.0,62.0,61.0,52.0,60.0,57.0,47.0,54.0,56.0,58.0,81.0,59.0,55.0,84.0,65.0,85.0,53.0,46.0
3499,607.0,4.0,310.0,329.0,57.0,2.0,31.0,430.0,38.0,19.0,60.0,59.0,61.0,56.0,47.0,44.0,54.0,52.0,58.0,55.0,53.0,51.0,46.0,50.0,49.0,17.0,45.0,87.0,48.0,37.0
3548,0.0,10.0,18.0,26.0,2.0,4.0,43.0,36.0,33.0,20.0,44.0,49.0,48.0,64.0,52.0,56.0,54.0,55.0,24.0,59.0,60.0,61.0,45.0,62.0,63.0,51.0,46.0,65.0,154.0,78.0
3597,0.0,20.0,8.0,361.0,19.0,30.0,2.0,428.0,39.0,60.0,50.0,52.0,51.0,53.0,55.0,45.0,58.0,54.0,59.0,43.0,57.0,56.0,48.0,61.0,49.0,44.0,47.0,90.0,46.0,27.0
3646,608.0,187.0,311.0,26.0,0.0,83.0,20.0,430.0,42.0,30.0,66.0,69.0,68.0,72.0,47.0,109.0,60.0,76.0,173.0,111.0,144.0,147.0,65.0,149.0,150.0,74.0,63.0,61.0,151.0,107.0
3695,1.0,188.0,4.0,28.0,20.0,44.0,47.0,430.0,422.0,17.0,70.0,60.0,83.0,51.0,52.0,57.0,53.0,54.0,61.0,63.0,64.0,66.0,96.0,56.0,55.0,15.0,95.0,91.0,84.0,94.0
3744,6.0,4.0,22.0,16.0,1.0,74.0,27.0,428.0,35.0,66.0,50.0,52.0,51.0,55.0,56.0,59.0,57.0,58.0,60.0,61.0,62.0,63.0,39.0,64.0,65.0,41.0,40.0,21.0,137.0,24.0
3793,4.0,1.0,9.0,32.0,13.0,31.0,3.0,38.0,30.0,63.0,49.0,53.0,51.0,55.0,56.0,59.0,57.0,58.0,60.0,62.0,46.0,61.0,47.0,54.0,52.0,22.0,50.0,64.0,45.0,70.0
3842,0.0,32.0,312.0,28.0,18.0,60.0,42.0,39.0,423.0,59.0,99.0,49.0,48.0,50.0,51.0,58.0,55.0,56.0,61.0,63.0,65.0,67.0,71.0,47.0,62.0,95.0,70.0,11.0,68.0,92.0
3891,33.0,190.0,311.0,344.0,22.0,42.0,0.0,430.0,423.0,70.0,69.0,50.0,98.0,48.0,51.0,49.0,47.0,46.0,24.0,67.0,54.0,68.0,96.0,56.0,57.0,94.0,95.0,93.0,58.0,85.0
3940,28.0,5.0,312.0,25.0,43.0,56.0,37.0,4.0,439.0,17.0,69.0,49.0,54.0,44.0,45.0,50.0,46.0,48.0,66.0,52.0,55.0,57.0,96.0,58.0,59.0,68.0,95.0,93.0,60.0,35.0
3989,0.0,187.0,32.0,329.0,63.0,22.0,77.0,429.0,438.0,60.0,59.0,62.0,61.0,33.0,65.0,68.0,66.0,67.0,70.0,71.0,75.0,106.0,57.0,108.0,143.0,49.0,72.0,45.0,144.0,92.0
4038,30.0,0.0,313.0,344.0,46.0,1.0,41.0,35.0,439.0,12.0,69.0,51.0,83.0,45.0,48.0,47.0,49.0,50.0,53.0,55.0,56.0,59.0,94.0,60.0,61.0,92.0,93.0,8.0,62.0,88.0
4087,11.0,3.0,313.0,9.0,71.0,35.0,147.0,33.0,437.0,96.0,94.0,100.0,72.0,69.0,43.0,48.0,44.0,46.0,49.0,52.0,53.0,54.0,93.0,55.0,56.0,89.0,91.0,86.0,58.0,87.0
4136,11.0,0.0,33.0,19.0,67.0,82.0,21.0,2.0,423.0,64.0,63.0,66.0,65.0,68.0,69.0,72.0,70.0,71.0,100.0,109.0,147.0,148.0,62.0,149.0,151.0,60.0,61.0,58.0,153.0,91.0
4185,0.0,9.0,310.0,331.0,50.0,55.0,41.0,1.0,422.0,57.0,69.0,54.0,52.0,53.0,46.0,59.0,24.0,58.0,60.0,62.0,63.0,65.0,71.0,66.0,82.0,94.0,95.0,16.0,97.0,33.0
4234,27.0,0.0,311.0,41.0,16.0,31.0,43.0,2.0,422.0,46.0,50.0,62.0,47.0,52.0,53.0,56.0,54.0,55.0,58.0,63.0,59.0,60.0,45.0,51.0,61.0,49.0,48.0,80.0,57.0,75.0
4283,17.0,14.0,315.0,34.0,59.0,69.0,38.0,43.0,421.0,29.0,28.0,58.0,57.0,62.0,63.0,66.0,64.0,65.0,68.0,70.0,33.0,74.0,54.0,104.0,108.0,52.0,53.0,50.0,141.0,81.0
4332,2.0,0.0,313.0,23.0,12.0,40.0,3.0,38.0,34.0,90.0,89.0,94.0,93.0,82.0,67.0,49.0,47.0,48.0,31.0,51.0,54.0,56.0,88.0,57.0,60.0,86.0,87.0,7.0,61.0,46.0
4381,1.0,15.0,312.0,38.0,61.0,75.0,40.0,37.0,423.0,52.0,51.0,4.0,60.0,59.0,58.0,55.0,57.0,56.0,54.0,53.0,50.0,49.0,62.0,47.0,48.0,99.0,46.0,65.0,100.0,66.0
4430,0.0,186.0,4.0,25.0,64.0,40.0,172.0,32.0,419.0,93.0,92.0,66.0,65.0,48.0,45.0,46.0,49.0,44.0,47.0,20.0,21.0,52.0,90.0,54.0,55.0,9.0,87.0,85.0,56.0,1.0
4479,1.0,188.0,0.0,30.0,64.0,78.0,144.0,33.0,41.0,52.0,46.0,63.0,53.0,55.0,56.0,58.0,62.0,47.0,48.0,50.0,57.0,54.0,82.0,61.0,60.0,85.0,66.0,24.0,59.0,38.0
4528,1.0,38.0,5.0,14.0,92.0,277.0,8.0,43.0,40.0,96.0,97.0,76.0,95.0,54.0,52.0,45.0,56.0,44.0,46.0,47.0,57.0,49.0,98.0,50.0,51.0,100.0,99.0,102.0,36.0,3.0
4577,3.0,9.0,6.0,4.0,45.0,36.0,22.0,428.0,421.0,80.0,67.0,47.0,48.0,46.0,49.0,50.0,44.0,43.0,65.0,53.0,21.0,55.0,93.0,56.0,57.0,15.0,91.0,90.0,60.0,41.0
4626,25.0,188.0,13.0,22.0,48.0,66.0,23.0,37.0,36.0,68.0,82.0,47.0,61.0,49.0,50.0,58.0,51.0,57.0,62.0,63.0,65.0,67.0,94.0,55.0,46.0,92.0,96.0,91.0,135.0,38.0
4675,0.0,2.0,30.0,17.0,62.0,20.0,19.0,430.0,40.0,58.0,32.0,61.0,59.0,63.0,64.0,67.0,65.0,66.0,68.0,103.0,105.0,155.0,43.0,141.0,142.0,46.0,44.0,54.0,144.0,22.0
4724,0.0,19.0,3.0,18.0,66.0,6.0,27.0,426.0,35.0,20.0,48.0,52.0,60.0,65.0,64.0,68.0,63.0,62.0,61.0,59.0,58.0,57.0,43.0,56.0,55.0,44.0,50.0,4.0,54.0,7.0
4773,0.0,13.0,22.0,2.0,70.0,74.0,34.0,38.0,421.0,47.0,43.0,56.0,69.0,19.0,59.0,18.0,60.0,61.0,63.0,64.0,66.0,67.0,45.0,68.0,165.0,48.0,46.0,25.0,142.0,31.0
4822,0.0,2.0,31.0,18.0,70.0,112.0,106.0,206.0,44.0,37.0,74.0,71.0,38.0,39.0,68.0,65.0,67.0,66.0,64.0,63.0,97.0,40.0,75.0,116.0,117.0,77.0,76.0,62.0,168.0,35.0
4871,0.0,11.0,19.0,3.0,21.0,41.0,1.0,32.0,420.0,68.0,93.0,69.0,17.0,49.0,44.0,47.0,51.0,43.0,48.0,50.0,66.0,54.0,92.0,55.0,53.0,90.0,91.0,89.0,58.0,33.0
