,hsa-miR-329,ebv-miR-BART7,hsa-miR-762,hsa-miR-137,hsa-miR-584,hsa-miR-627,hsa-miR-630,hsa-miR-103,hsa-miR-1197,hsa-miR-588,hsa-miR-589,hsa-miR-586,hsa-miR-587,hsa-miR-583,hsa-miR-582-5p,hsa-miR-580,hsa-miR-582-3p,hsa-miR-581,hsa-miR-579,hsa-miR-578,hsa-miR-577,hsa-miR-576-5p,hsa-miR-590-3p,hsa-miR-576-3p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-590-5p,hsa-miR-592,hsa-miR-573,hsa-miR-616
20,0.0,1.0,311.0,330.0,21.0,28.0,67.0,429.0,40.0,47.0,45.0,63.0,23.0,49.0,50.0,53.0,51.0,52.0,54.0,55.0,57.0,58.0,46.0,59.0,60.0,64.0,56.0,90.0,61.0,77.0
69,24.0,12.0,2.0,21.0,3.0,28.0,176.0,429.0,419.0,5.0,93.0,97.0,96.0,99.0,73.0,53.0,86.0,71.0,54.0,55.0,51.0,49.0,92.0,70.0,57.0,89.0,90.0,88.0,63.0,58.0
118,18.0,20.0,313.0,330.0,10.0,3.0,66.0,430.0,42.0,59.0,53.0,46.0,60.0,56.0,50.0,54.0,58.0,47.0,37.0,57.0,55.0,61.0,52.0,51.0,97.0,48.0,49.0,27.0,135.0,43.0
167,1.0,0.0,310.0,29.0,5.0,3.0,62.0,4.0,420.0,68.0,96.0,47.0,51.0,48.0,49.0,53.0,50.0,45.0,67.0,56.0,60.0,61.0,70.0,63.0,64.0,69.0,95.0,92.0,65.0,35.0
216,1.0,4.0,309.0,328.0,14.0,40.0,66.0,2.0,420.0,61.0,48.0,50.0,51.0,54.0,57.0,45.0,60.0,53.0,58.0,56.0,55.0,52.0,59.0,46.0,49.0,79.0,62.0,64.0,47.0,37.0
265,3.0,17.0,24.0,37.0,25.0,69.0,66.0,1.0,422.0,20.0,48.0,46.0,50.0,53.0,55.0,51.0,57.0,58.0,52.0,60.0,59.0,56.0,49.0,54.0,61.0,79.0,62.0,64.0,47.0,38.0
314,0.0,4.0,312.0,26.0,46.0,39.0,51.0,2.0,439.0,16.0,50.0,48.0,47.0,66.0,52.0,57.0,55.0,56.0,58.0,59.0,61.0,62.0,54.0,63.0,64.0,83.0,67.0,69.0,137.0,6.0
363,5.0,0.0,310.0,330.0,24.0,4.0,62.0,430.0,36.0,1.0,48.0,44.0,45.0,52.0,54.0,57.0,53.0,56.0,58.0,59.0,27.0,61.0,55.0,28.0,63.0,82.0,67.0,18.0,64.0,38.0
412,4.0,28.0,0.0,330.0,61.0,43.0,172.0,32.0,44.0,23.0,45.0,20.0,46.0,51.0,52.0,62.0,54.0,56.0,60.0,50.0,59.0,58.0,98.0,57.0,55.0,83.0,64.0,84.0,53.0,34.0
461,0.0,17.0,313.0,334.0,60.0,67.0,32.0,430.0,440.0,49.0,50.0,48.0,57.0,42.0,56.0,41.0,55.0,62.0,51.0,61.0,47.0,54.0,52.0,97.0,156.0,59.0,53.0,58.0,99.0,1.0
510,0.0,1.0,22.0,364.0,37.0,35.0,72.0,31.0,40.0,55.0,59.0,47.0,57.0,58.0,60.0,51.0,53.0,52.0,48.0,29.0,159.0,102.0,46.0,157.0,156.0,56.0,61.0,54.0,155.0,81.0
559,1.0,13.0,3.0,29.0,45.0,40.0,55.0,431.0,34.0,7.0,68.0,44.0,97.0,49.0,52.0,56.0,53.0,54.0,59.0,60.0,63.0,65.0,95.0,43.0,50.0,90.0,94.0,88.0,46.0,93.0
608,28.0,185.0,6.0,3.0,5.0,73.0,76.0,27.0,39.0,49.0,48.0,60.0,45.0,52.0,51.0,56.0,54.0,55.0,57.0,59.0,58.0,53.0,47.0,46.0,50.0,44.0,43.0,97.0,89.0,0.0
657,25.0,4.0,311.0,347.0,19.0,35.0,2.0,36.0,3.0,17.0,82.0,48.0,47.0,51.0,52.0,55.0,53.0,66.0,57.0,58.0,62.0,64.0,69.0,65.0,45.0,93.0,95.0,92.0,63.0,96.0
706,1.0,9.0,10.0,27.0,20.0,3.0,62.0,430.0,44.0,68.0,84.0,47.0,48.0,51.0,52.0,55.0,67.0,54.0,58.0,59.0,60.0,61.0,70.0,65.0,66.0,98.0,69.0,97.0,138.0,79.0
755,1.0,0.0,2.0,342.0,12.0,4.0,77.0,428.0,38.0,20.0,47.0,51.0,60.0,57.0,58.0,43.0,59.0,52.0,56.0,49.0,50.0,54.0,45.0,61.0,55.0,79.0,46.0,63.0,48.0,40.0
804,0.0,188.0,22.0,345.0,2.0,43.0,32.0,29.0,439.0,45.0,46.0,60.0,44.0,51.0,53.0,56.0,54.0,55.0,57.0,59.0,52.0,58.0,61.0,49.0,50.0,63.0,97.0,6.0,47.0,67.0
853,2.0,17.0,312.0,330.0,18.0,75.0,25.0,29.0,39.0,44.0,45.0,47.0,59.0,48.0,49.0,52.0,50.0,51.0,53.0,54.0,55.0,56.0,60.0,57.0,58.0,62.0,79.0,82.0,98.0,67.0
902,0.0,190.0,25.0,3.0,51.0,73.0,76.0,44.0,1.0,19.0,45.0,48.0,49.0,52.0,53.0,59.0,54.0,56.0,55.0,50.0,58.0,47.0,46.0,99.0,155.0,79.0,57.0,61.0,101.0,65.0
951,41.0,189.0,7.0,28.0,15.0,2.0,66.0,429.0,419.0,49.0,46.0,51.0,62.0,50.0,52.0,55.0,53.0,54.0,57.0,58.0,59.0,60.0,47.0,61.0,45.0,65.0,80.0,23.0,56.0,42.0
1000,4.0,0.0,27.0,34.0,30.0,80.0,76.0,429.0,43.0,29.0,28.0,63.0,62.0,65.0,68.0,69.0,70.0,59.0,66.0,60.0,56.0,140.0,71.0,173.0,145.0,58.0,72.0,55.0,147.0,22.0
1049,0.0,3.0,312.0,30.0,17.0,56.0,60.0,4.0,34.0,97.0,68.0,50.0,10.0,47.0,51.0,67.0,45.0,66.0,55.0,58.0,28.0,29.0,96.0,63.0,64.0,94.0,95.0,92.0,65.0,90.0
1098,3.0,20.0,309.0,36.0,30.0,76.0,37.0,42.0,420.0,1.0,55.0,67.0,68.0,65.0,70.0,59.0,61.0,60.0,58.0,56.0,34.0,104.0,54.0,140.0,141.0,52.0,53.0,50.0,143.0,24.0
1147,1.0,39.0,312.0,22.0,48.0,44.0,61.0,34.0,439.0,45.0,25.0,47.0,46.0,49.0,52.0,55.0,53.0,54.0,56.0,57.0,59.0,60.0,69.0,62.0,64.0,95.0,70.0,94.0,65.0,77.0
1196,1.0,187.0,311.0,31.0,15.0,5.0,87.0,7.0,32.0,47.0,24.0,51.0,49.0,54.0,55.0,52.0,56.0,50.0,60.0,59.0,57.0,53.0,44.0,61.0,46.0,58.0,48.0,62.0,45.0,77.0
1245,1.0,7.0,311.0,329.0,52.0,38.0,146.0,428.0,418.0,41.0,42.0,46.0,47.0,53.0,56.0,40.0,57.0,58.0,55.0,54.0,51.0,50.0,43.0,49.0,48.0,62.0,78.0,81.0,59.0,66.0
1294,19.0,31.0,314.0,336.0,21.0,62.0,68.0,430.0,420.0,1.0,72.0,50.0,58.0,47.0,49.0,53.0,51.0,52.0,69.0,57.0,60.0,61.0,98.0,64.0,65.0,71.0,97.0,95.0,67.0,94.0
1343,32.0,7.0,20.0,28.0,27.0,98.0,53.0,430.0,38.0,23.0,52.0,60.0,59.0,63.0,64.0,46.0,65.0,66.0,67.0,62.0,58.0,56.0,50.0,48.0,84.0,47.0,49.0,68.0,155.0,43.0
1392,0.0,1.0,28.0,3.0,56.0,4.0,74.0,33.0,6.0,26.0,47.0,14.0,15.0,49.0,44.0,42.0,59.0,53.0,48.0,57.0,58.0,55.0,43.0,54.0,52.0,88.0,41.0,61.0,51.0,39.0
1441,31.0,0.0,313.0,25.0,29.0,34.0,61.0,430.0,41.0,6.0,68.0,82.0,69.0,53.0,47.0,51.0,46.0,45.0,66.0,54.0,55.0,56.0,94.0,57.0,58.0,92.0,93.0,91.0,62.0,2.0
1490,2.0,5.0,1.0,334.0,6.0,33.0,63.0,429.0,422.0,0.0,53.0,48.0,13.0,50.0,54.0,44.0,56.0,58.0,57.0,55.0,52.0,51.0,59.0,47.0,45.0,46.0,49.0,25.0,94.0,74.0
1539,0.0,18.0,41.0,35.0,42.0,32.0,68.0,431.0,440.0,56.0,49.0,59.0,57.0,40.0,62.0,63.0,61.0,58.0,52.0,51.0,48.0,47.0,60.0,97.0,164.0,55.0,64.0,54.0,99.0,46.0
1588,26.0,186.0,0.0,327.0,18.0,48.0,63.0,428.0,33.0,17.0,68.0,49.0,50.0,20.0,47.0,54.0,24.0,67.0,56.0,57.0,58.0,59.0,98.0,60.0,61.0,94.0,95.0,93.0,62.0,35.0
1637,607.0,4.0,1.0,33.0,11.0,6.0,31.0,36.0,440.0,20.0,47.0,53.0,61.0,54.0,55.0,62.0,56.0,57.0,59.0,51.0,60.0,58.0,45.0,52.0,43.0,49.0,50.0,44.0,48.0,67.0
1686,1.0,5.0,27.0,330.0,56.0,4.0,8.0,41.0,33.0,18.0,61.0,55.0,54.0,57.0,58.0,50.0,62.0,60.0,53.0,52.0,51.0,48.0,49.0,44.0,96.0,46.0,45.0,47.0,133.0,72.0
