,C36:1 DAG,C34:2 DAG,creatine,cotinine,C18:0 LPC,niacinamide,taurodeoxycholate,carnitine,malondialdehyde,hypoxanthine,homocysteine,C16:0 LPE,C56:5 TAG,N-carbamoyl-beta-alanine,hippurate,alpha-glycerophosphate,serotonin,C22:6 LPE,GABA,inositol,C36:4 PC-B,1-methylnicotinamide,dCMP,hexoses (HILIC neg),C56:3 TAG,3-phosphoglycerate,palmitoylcarnitine,PEP,pyroglutamic acid,alpha-hydroxybutyrate
21,0.0,2.0,5.0,6.0,7.0,18.0,10.0,4.0,3.0,9.0,13.0,43.0,38.0,57.0,1.0,11.0,47.0,31.0,19.0,32.0,22.0,35.0,14.0,39.0,49.0,61.0,21.0,8.0,34.0,30.0
70,0.0,3.0,5.0,1.0,4.0,21.0,29.0,11.0,23.0,8.0,25.0,19.0,22.0,38.0,17.0,15.0,32.0,20.0,36.0,13.0,16.0,44.0,18.0,12.0,6.0,31.0,43.0,34.0,64.0,46.0
119,1.0,3.0,5.0,0.0,51.0,18.0,15.0,8.0,4.0,6.0,29.0,14.0,11.0,47.0,2.0,45.0,30.0,9.0,13.0,16.0,22.0,26.0,35.0,10.0,7.0,36.0,42.0,56.0,20.0,49.0
168,0.0,4.0,9.0,8.0,2.0,3.0,21.0,6.0,5.0,1.0,27.0,18.0,16.0,26.0,12.0,30.0,43.0,7.0,22.0,57.0,10.0,50.0,62.0,11.0,25.0,29.0,49.0,64.0,35.0,58.0
217,11.0,0.0,9.0,5.0,4.0,21.0,12.0,14.0,13.0,7.0,26.0,1.0,36.0,16.0,3.0,42.0,23.0,10.0,44.0,6.0,45.0,62.0,33.0,2.0,39.0,64.0,31.0,55.0,25.0,18.0
266,1.0,2.0,8.0,6.0,7.0,11.0,27.0,25.0,0.0,3.0,16.0,17.0,5.0,24.0,53.0,9.0,30.0,4.0,29.0,42.0,55.0,47.0,39.0,52.0,21.0,10.0,58.0,38.0,18.0,37.0
315,0.0,3.0,2.0,1.0,4.0,19.0,24.0,25.0,13.0,11.0,28.0,9.0,8.0,29.0,7.0,22.0,27.0,14.0,15.0,16.0,5.0,48.0,45.0,6.0,31.0,40.0,18.0,65.0,46.0,50.0
364,0.0,2.0,16.0,1.0,7.0,8.0,5.0,29.0,4.0,10.0,37.0,30.0,9.0,63.0,3.0,25.0,12.0,15.0,41.0,13.0,65.0,32.0,45.0,20.0,18.0,64.0,6.0,59.0,19.0,38.0
413,0.0,4.0,11.0,1.0,14.0,3.0,16.0,5.0,2.0,8.0,10.0,17.0,30.0,41.0,12.0,42.0,50.0,7.0,19.0,43.0,58.0,45.0,51.0,22.0,24.0,27.0,9.0,34.0,6.0,49.0
462,0.0,3.0,22.0,16.0,17.0,14.0,1.0,52.0,20.0,10.0,65.0,61.0,4.0,19.0,2.0,12.0,36.0,49.0,28.0,7.0,21.0,29.0,34.0,11.0,30.0,8.0,6.0,63.0,13.0,15.0
511,8.0,0.0,1.0,2.0,13.0,3.0,41.0,36.0,12.0,15.0,24.0,7.0,21.0,19.0,46.0,17.0,20.0,44.0,39.0,53.0,22.0,26.0,6.0,29.0,30.0,10.0,43.0,16.0,11.0,5.0
560,11.0,1.0,0.0,4.0,2.0,12.0,16.0,10.0,6.0,51.0,15.0,21.0,37.0,23.0,40.0,22.0,8.0,9.0,29.0,46.0,17.0,27.0,13.0,57.0,39.0,28.0,34.0,20.0,3.0,5.0
609,6.0,2.0,1.0,0.0,13.0,37.0,23.0,17.0,3.0,10.0,11.0,5.0,9.0,54.0,18.0,47.0,12.0,41.0,61.0,31.0,38.0,14.0,35.0,49.0,56.0,34.0,39.0,20.0,24.0,4.0
658,5.0,1.0,2.0,0.0,7.0,11.0,13.0,10.0,6.0,17.0,18.0,3.0,49.0,42.0,23.0,4.0,8.0,43.0,20.0,22.0,24.0,54.0,38.0,33.0,44.0,27.0,19.0,40.0,12.0,16.0
707,0.0,15.0,4.0,3.0,14.0,2.0,22.0,12.0,1.0,31.0,11.0,16.0,20.0,21.0,39.0,8.0,61.0,10.0,32.0,42.0,41.0,46.0,5.0,35.0,18.0,7.0,28.0,17.0,6.0,13.0
756,6.0,7.0,1.0,0.0,4.0,10.0,25.0,5.0,21.0,2.0,11.0,8.0,39.0,54.0,50.0,19.0,3.0,12.0,9.0,18.0,49.0,40.0,20.0,56.0,23.0,14.0,22.0,32.0,34.0,15.0
805,5.0,20.0,3.0,0.0,2.0,9.0,10.0,56.0,1.0,7.0,25.0,11.0,22.0,57.0,61.0,19.0,45.0,4.0,13.0,29.0,24.0,52.0,60.0,8.0,6.0,12.0,48.0,23.0,27.0,32.0
854,1.0,3.0,0.0,5.0,11.0,12.0,4.0,7.0,18.0,8.0,25.0,31.0,2.0,13.0,30.0,19.0,42.0,39.0,16.0,38.0,48.0,35.0,10.0,36.0,53.0,9.0,37.0,14.0,54.0,21.0
903,3.0,15.0,0.0,1.0,6.0,4.0,20.0,12.0,18.0,37.0,9.0,42.0,24.0,17.0,45.0,25.0,13.0,41.0,46.0,22.0,28.0,39.0,16.0,14.0,5.0,34.0,44.0,7.0,2.0,8.0
952,3.0,29.0,10.0,0.0,1.0,2.0,11.0,7.0,4.0,38.0,8.0,5.0,15.0,19.0,28.0,41.0,37.0,22.0,16.0,56.0,18.0,21.0,13.0,6.0,50.0,25.0,42.0,17.0,23.0,27.0
1001,11.0,4.0,0.0,3.0,5.0,63.0,27.0,1.0,14.0,6.0,35.0,29.0,12.0,28.0,20.0,16.0,13.0,47.0,17.0,44.0,10.0,7.0,51.0,64.0,55.0,23.0,32.0,2.0,59.0,8.0
1050,1.0,16.0,0.0,4.0,17.0,3.0,64.0,22.0,28.0,2.0,34.0,19.0,9.0,18.0,7.0,25.0,15.0,24.0,41.0,33.0,12.0,6.0,5.0,49.0,53.0,21.0,47.0,11.0,62.0,8.0
1099,1.0,5.0,0.0,2.0,3.0,7.0,38.0,4.0,21.0,44.0,29.0,22.0,30.0,10.0,6.0,15.0,37.0,48.0,39.0,16.0,14.0,13.0,45.0,27.0,26.0,40.0,56.0,20.0,49.0,12.0
1148,0.0,5.0,1.0,20.0,2.0,10.0,13.0,15.0,24.0,3.0,11.0,33.0,58.0,8.0,29.0,40.0,4.0,62.0,43.0,12.0,51.0,9.0,38.0,14.0,59.0,26.0,57.0,6.0,35.0,7.0
1197,13.0,47.0,0.0,1.0,4.0,9.0,8.0,20.0,10.0,7.0,30.0,21.0,15.0,35.0,64.0,28.0,40.0,22.0,11.0,3.0,19.0,53.0,50.0,55.0,26.0,29.0,16.0,17.0,48.0,14.0
1246,6.0,8.0,1.0,0.0,15.0,10.0,26.0,2.0,23.0,9.0,22.0,42.0,44.0,33.0,11.0,32.0,19.0,21.0,61.0,52.0,31.0,57.0,58.0,5.0,7.0,34.0,35.0,50.0,65.0,3.0
1295,2.0,10.0,0.0,1.0,14.0,11.0,23.0,27.0,6.0,9.0,42.0,16.0,60.0,3.0,38.0,22.0,4.0,19.0,51.0,15.0,30.0,5.0,52.0,28.0,8.0,13.0,53.0,24.0,48.0,29.0
1344,2.0,0.0,1.0,10.0,51.0,4.0,21.0,5.0,22.0,6.0,17.0,18.0,49.0,8.0,16.0,32.0,14.0,24.0,37.0,23.0,35.0,13.0,63.0,42.0,7.0,33.0,64.0,11.0,27.0,19.0
1393,4.0,3.0,0.0,15.0,51.0,20.0,6.0,45.0,9.0,2.0,17.0,7.0,53.0,10.0,1.0,31.0,26.0,16.0,41.0,32.0,66.0,12.0,38.0,60.0,14.0,46.0,39.0,11.0,62.0,25.0
1442,3.0,2.0,0.0,14.0,11.0,1.0,17.0,12.0,28.0,4.0,13.0,22.0,35.0,7.0,43.0,41.0,60.0,20.0,54.0,27.0,66.0,30.0,8.0,42.0,5.0,25.0,37.0,6.0,59.0,10.0
1491,2.0,10.0,6.0,18.0,1.0,43.0,31.0,0.0,13.0,28.0,8.0,11.0,57.0,40.0,12.0,29.0,36.0,17.0,39.0,15.0,44.0,3.0,34.0,32.0,4.0,19.0,5.0,45.0,21.0,30.0
1540,9.0,4.0,14.0,8.0,0.0,2.0,7.0,1.0,5.0,15.0,6.0,19.0,35.0,33.0,48.0,43.0,23.0,42.0,17.0,49.0,13.0,10.0,12.0,3.0,30.0,11.0,26.0,22.0,38.0,37.0
1589,11.0,1.0,6.0,13.0,0.0,14.0,8.0,2.0,5.0,41.0,33.0,47.0,7.0,15.0,36.0,21.0,28.0,26.0,12.0,27.0,59.0,16.0,17.0,3.0,37.0,25.0,52.0,34.0,4.0,46.0
1638,2.0,5.0,13.0,6.0,0.0,3.0,17.0,10.0,16.0,49.0,32.0,12.0,35.0,30.0,47.0,54.0,38.0,50.0,31.0,27.0,8.0,24.0,9.0,20.0,43.0,1.0,7.0,29.0,18.0,65.0
1687,0.0,4.0,7.0,3.0,1.0,15.0,9.0,5.0,26.0,2.0,8.0,18.0,16.0,12.0,34.0,42.0,25.0,28.0,10.0,11.0,40.0,27.0,19.0,49.0,21.0,22.0,29.0,13.0,35.0,32.0
1736,3.0,4.0,2.0,9.0,1.0,17.0,21.0,0.0,19.0,6.0,7.0,27.0,8.0,12.0,35.0,13.0,20.0,34.0,41.0,11.0,31.0,29.0,14.0,48.0,39.0,10.0,18.0,46.0,28.0,44.0
1785,1.0,14.0,7.0,29.0,2.0,4.0,60.0,0.0,51.0,8.0,10.0,56.0,21.0,3.0,17.0,59.0,22.0,34.0,18.0,16.0,9.0,31.0,42.0,19.0,15.0,5.0,6.0,54.0,43.0,25.0
1834,0.0,1.0,3.0,9.0,2.0,6.0,11.0,10.0,8.0,21.0,32.0,26.0,7.0,4.0,57.0,34.0,64.0,44.0,12.0,23.0,53.0,35.0,27.0,18.0,13.0,5.0,33.0,22.0,15.0,38.0
1883,0.0,11.0,7.0,3.0,1.0,20.0,2.0,40.0,16.0,6.0,9.0,28.0,5.0,22.0,44.0,29.0,38.0,8.0,4.0,56.0,42.0,59.0,13.0,25.0,27.0,10.0,34.0,39.0,23.0,55.0
1932,7.0,1.0,14.0,8.0,6.0,0.0,27.0,11.0,28.0,23.0,10.0,29.0,31.0,3.0,54.0,34.0,20.0,26.0,39.0,51.0,9.0,15.0,12.0,43.0,13.0,2.0,17.0,5.0,45.0,33.0
1981,0.0,1.0,2.0,37.0,3.0,10.0,9.0,8.0,28.0,20.0,19.0,40.0,5.0,54.0,59.0,16.0,4.0,48.0,18.0,13.0,51.0,26.0,52.0,7.0,42.0,17.0,34.0,35.0,50.0,14.0
