,ZBTB20_AMP,GBP3_DEL,ADAM6_AMP,SIRPB1_AMP,BRAF_MUT,GSTT1_AMP,CFHR1_AMP,LOC391322_AMP,KIAA1217_DEL,CFHR3_AMP,KIAA0125_AMP,CNTNAP3B_DEL,USP32P2_DEL,DOCK10_AMP,OR51A2_DEL,FAM75A6_DEL,TPTE_DEL,NSF_AMP,SLC25A37_DEL,TTTY22_DEL,UGT2B28_DEL,DDT_DEL,FAM21A_DEL,CADM2_DEL,GSTTP1_DEL,NRG3_DEL,HERC2P2_AMP,LCE1D_AMP,ARL17A_DEL,LGALS9C_DEL
3557,10.0,13.0,0.0,11.0,17.0,21.0,9.0,20.0,80.0,14.0,1.0,37.0,2.0,16.0,7.0,73.0,12.0,3.0,41.0,63.0,90.0,30.0,23.0,81.0,387.0,213.0,15.0,29.0,74.0,8.0
3606,15.0,10.0,1.0,5.0,197.0,34.0,0.0,35.0,65.0,3.0,2.0,16.0,11.0,7.0,9.0,29.0,13.0,22.0,23.0,17.0,72.0,43.0,28.0,49.0,786.0,37.0,4.0,42.0,40.0,33.0
3655,21.0,14.0,0.0,15.0,17.0,2.0,7.0,3.0,18.0,12.0,1.0,6.0,8.0,5.0,57.0,9.0,37.0,51.0,23.0,25.0,353.0,42.0,10.0,138.0,49.0,50.0,4.0,201.0,20.0,19.0
3704,6.0,2.0,1.0,4.0,25.0,17.0,3.0,16.0,7.0,5.0,0.0,34.0,15.0,12.0,24.0,69.0,11.0,22.0,89.0,19.0,265.0,31.0,9.0,45.0,74.0,76.0,10.0,14.0,58.0,28.0
3753,2.0,25.0,1.0,74.0,39.0,284.0,3.0,283.0,67.0,5.0,0.0,16.0,4.0,8.0,34.0,17.0,37.0,7.0,98.0,97.0,28.0,44.0,23.0,63.0,121.0,68.0,6.0,75.0,137.0,9.0
3802,1.0,2.0,21.0,11.0,15.0,34.0,3.0,33.0,45.0,5.0,26.0,17.0,12.0,0.0,20.0,28.0,8.0,96.0,50.0,32.0,97.0,79.0,6.0,75.0,36.0,91.0,9.0,18.0,23.0,4.0
3851,4.0,9.0,1.0,11.0,21.0,91.0,2.0,92.0,7.0,8.0,0.0,20.0,153.0,40.0,10.0,37.0,42.0,26.0,32.0,30.0,38.0,64.0,55.0,156.0,969.0,128.0,3.0,28.0,35.0,3006.0
3900,3.0,2.0,1.0,17.0,116.0,13.0,4.0,14.0,15.0,11.0,0.0,16.0,30.0,40.0,12.0,22.0,10.0,88.0,25.0,65.0,136.0,61.0,182.0,294.0,177.0,27.0,6.0,20.0,8.0,66.0
3949,14.0,1.0,0.0,7.0,11.0,5.0,22.0,6.0,4.0,24.0,3.0,2.0,13.0,15.0,8.0,9.0,21.0,34.0,50.0,25.0,26.0,28.0,128.0,32.0,12.0,353.0,57.0,71.0,112.0,64.0
3998,0.0,12.0,7.0,74.0,4.0,17.0,2.0,18.0,9.0,3.0,8.0,10.0,20.0,6.0,68.0,11.0,19.0,31.0,21.0,16.0,38.0,34.0,1.0,47.0,5.0,111.0,107.0,25.0,284.0,15.0
4047,22.0,3.0,2.0,5.0,6.0,16.0,32.0,17.0,8.0,24.0,4.0,0.0,9.0,34.0,42.0,1.0,14.0,81.0,19.0,29.0,23.0,68.0,7.0,18.0,15.0,153.0,66.0,79.0,101.0,35.0
4096,3.0,0.0,17.0,10.0,11.0,8.0,88.0,7.0,23.0,24.0,19.0,1.0,20.0,4.0,15.0,5.0,9.0,103.0,6.0,21.0,68.0,36.0,40.0,37.0,29.0,122.0,692.0,92.0,537.0,50.0
4145,12.0,3.0,23.0,7.0,19.0,0.0,20.0,1.0,10.0,11.0,18.0,8.0,28.0,47.0,24.0,16.0,9.0,854.0,13.0,54.0,14.0,32.0,35.0,60.0,25.0,413.0,38.0,34.0,48.0,152.0
4194,43.0,4.0,0.0,2.0,9.0,6.0,22.0,5.0,8.0,13.0,1.0,3.0,39.0,26.0,18.0,7.0,28.0,239.0,11.0,56.0,25.0,58.0,14.0,17.0,16.0,122.0,147.0,50.0,114.0,210.0
4243,17.0,0.0,27.0,6.0,7.0,3.0,8.0,4.0,10.0,5.0,31.0,1.0,14.0,50.0,43.0,2.0,15.0,109.0,23.0,42.0,16.0,24.0,118.0,37.0,26.0,130.0,243.0,36.0,21.0,57.0
4292,9.0,5.0,1.0,10.0,0.0,7.0,35.0,6.0,3.0,19.0,4.0,2.0,21.0,26.0,51.0,8.0,16.0,49.0,18.0,34.0,27.0,58.0,75.0,37.0,20.0,1008.0,43.0,15.0,125.0,73.0
4341,20.0,1.0,4.0,14.0,13.0,10.0,64.0,11.0,0.0,36.0,9.0,2.0,32.0,12.0,6.0,5.0,7.0,60.0,8.0,241.0,15.0,28.0,61.0,124.0,3.0,263.0,238.0,16.0,58.0,133.0
4390,22.0,6.0,8.0,5.0,16.0,2.0,7.0,1.0,12.0,4.0,11.0,0.0,13.0,15.0,54.0,3.0,36.0,203.0,37.0,23.0,41.0,31.0,9.0,21.0,19.0,172.0,75.0,68.0,277.0,44.0
4439,0.0,10.0,9.0,5.0,1.0,50.0,22.0,49.0,20.0,23.0,16.0,52.0,27.0,4.0,32.0,110.0,25.0,75.0,21.0,12.0,18.0,80.0,13.0,28.0,8.0,37.0,48.0,38.0,293.0,34.0
4488,0.0,13.0,6.0,28.0,23.0,7.0,2.0,8.0,456.0,4.0,26.0,16.0,64.0,3.0,37.0,19.0,14.0,32.0,31.0,1.0,119.0,116.0,12.0,55.0,5.0,197.0,79.0,303.0,127.0,65.0
4537,0.0,15.0,26.0,1.0,7.0,46.0,6.0,47.0,28.0,5.0,35.0,53.0,8.0,19.0,23.0,127.0,12.0,67.0,13.0,32.0,55.0,30.0,52.0,39.0,3.0,68.0,84.0,74.0,193.0,10.0
4586,0.0,28.0,47.0,5.0,2.0,39.0,9.0,40.0,680.0,8.0,101.0,121.0,103.0,29.0,106.0,328.0,3.0,82.0,7.0,65.0,22.0,38.0,210.0,61.0,1.0,25.0,6.0,90.0,139.0,132.0
4635,10.0,6.0,24.0,23.0,20.0,5.0,7.0,4.0,954.0,45.0,43.0,62.0,8.0,27.0,19.0,160.0,15.0,178.0,55.0,26.0,14.0,33.0,359.0,57.0,0.0,68.0,11.0,153.0,179.0,9.0
4684,7.0,3.0,75.0,13.0,0.0,21.0,101.0,20.0,22.0,47.0,256.0,530.0,49.0,1.0,209.0,3154.0,2.0,106.0,25.0,12.0,37.0,52.0,40.0,90.0,5.0,41.0,9.0,547.0,117.0,36.0
4733,0.0,1.0,11.0,28.0,81.0,22.0,13.0,23.0,556.0,15.0,31.0,48.0,67.0,19.0,40.0,92.0,41.0,321.0,25.0,26.0,100.0,24.0,402.0,34.0,7.0,16.0,21.0,274.0,76.0,71.0
4782,20.0,18.0,48.0,10.0,6.0,13.0,70.0,14.0,39.0,66.0,126.0,35.0,24.0,5.0,26.0,72.0,1.0,446.0,37.0,153.0,34.0,28.0,61.0,46.0,0.0,23.0,86.0,79.0,184.0,44.0
4831,0.0,5.0,36.0,19.0,1.0,49.0,9.0,50.0,11.0,12.0,83.0,113.0,18.0,7.0,34.0,252.0,4.0,165.0,154.0,6.0,105.0,37.0,74.0,32.0,2.0,51.0,48.0,46.0,27.0,25.0
4880,0.0,6.0,30.0,22.0,11.0,73.0,18.0,74.0,61.0,23.0,82.0,9.0,17.0,26.0,43.0,16.0,320.0,44.0,5.0,15.0,24.0,38.0,46.0,68.0,2.0,20.0,1496.0,105.0,3.0,19.0
