,hsa-miR-363,hsa-miR-129-5p,hsa-miR-99a,hsa-miR-484,hsa-miR-22,hsa-miR-607,hsa-miR-320d,hsa-miR-142-5p,hsa-miR-491-3p,hsa-miR-589,hsa-miR-583,hsa-miR-588,hsa-miR-586,hsa-miR-587,hsa-miR-581,hsa-miR-584,hsa-miR-582-5p,hsa-miR-590-3p,hsa-miR-582-3p,hsa-miR-579,hsa-miR-577,hsa-miR-580,hsa-miR-578,hsa-miR-590-5p,hsa-miR-576-5p,hsa-miR-576-3p,hsa-let-7a,hsa-miR-591,hsa-miR-592,hsa-miR-623
20,499.0,457.0,1.0,28.0,564.0,0.0,601.0,25.0,40.0,96.0,49.0,97.0,71.0,99.0,58.0,85.0,50.0,95.0,53.0,60.0,66.0,59.0,65.0,94.0,47.0,64.0,328.0,93.0,92.0,56.0
69,514.0,440.0,2.0,45.0,564.0,1.0,600.0,336.0,39.0,95.0,55.0,49.0,53.0,50.0,65.0,54.0,59.0,68.0,62.0,66.0,52.0,46.0,57.0,94.0,63.0,27.0,98.0,93.0,92.0,69.0
118,17.0,3.0,2.0,5.0,565.0,96.0,602.0,42.0,537.0,46.0,54.0,45.0,49.0,47.0,59.0,52.0,55.0,50.0,58.0,60.0,56.0,62.0,57.0,98.0,51.0,53.0,63.0,64.0,83.0,32.0
167,514.0,18.0,2.0,6.0,563.0,75.0,601.0,332.0,536.0,53.0,17.0,48.0,42.0,46.0,20.0,50.0,47.0,64.0,49.0,54.0,23.0,51.0,56.0,96.0,57.0,58.0,173.0,95.0,94.0,30.0
216,7.0,43.0,2.0,25.0,578.0,34.0,8.0,20.0,545.0,36.0,78.0,75.0,37.0,74.0,68.0,72.0,71.0,77.0,69.0,66.0,38.0,67.0,65.0,63.0,115.0,117.0,5.0,70.0,62.0,109.0
265,18.0,24.0,23.0,6.0,567.0,40.0,602.0,332.0,533.0,88.0,20.0,91.0,68.0,92.0,43.0,81.0,55.0,87.0,50.0,49.0,53.0,46.0,65.0,86.0,66.0,56.0,7.0,84.0,83.0,4.0
314,496.0,401.0,6.0,550.0,567.0,96.0,601.0,2.0,518.0,69.0,62.0,53.0,65.0,66.0,57.0,63.0,59.0,60.0,58.0,55.0,12.0,56.0,54.0,43.0,152.0,103.0,323.0,50.0,48.0,0.0
363,14.0,402.0,0.0,548.0,568.0,29.0,600.0,344.0,536.0,54.0,63.0,58.0,61.0,59.0,68.0,62.0,65.0,44.0,66.0,74.0,105.0,70.0,104.0,45.0,106.0,142.0,11.0,46.0,55.0,1.0
412,495.0,402.0,7.0,44.0,30.0,4.0,601.0,333.0,36.0,88.0,17.0,62.0,49.0,48.0,60.0,53.0,57.0,64.0,58.0,56.0,55.0,59.0,52.0,82.0,54.0,61.0,63.0,83.0,84.0,37.0
461,556.0,482.0,3.0,1.0,8.0,32.0,619.0,459.0,546.0,33.0,34.0,73.0,71.0,72.0,66.0,70.0,68.0,75.0,67.0,64.0,62.0,65.0,63.0,76.0,114.0,115.0,5.0,61.0,60.0,108.0
510,13.0,2.0,16.0,4.0,22.0,82.0,3.0,0.0,42.0,7.0,50.0,47.0,46.0,48.0,53.0,60.0,51.0,61.0,52.0,54.0,56.0,49.0,55.0,80.0,57.0,58.0,62.0,63.0,83.0,33.0
559,19.0,36.0,0.0,26.0,25.0,92.0,603.0,28.0,1.0,58.0,12.0,59.0,57.0,55.0,41.0,13.0,45.0,50.0,46.0,54.0,56.0,53.0,44.0,49.0,52.0,51.0,5.0,47.0,77.0,71.0
608,3.0,457.0,25.0,44.0,0.0,74.0,600.0,334.0,534.0,20.0,61.0,49.0,54.0,52.0,65.0,67.0,62.0,46.0,63.0,58.0,56.0,66.0,57.0,95.0,53.0,50.0,16.0,69.0,30.0,48.0
657,18.0,0.0,10.0,5.0,1.0,90.0,3.0,40.0,2.0,50.0,13.0,52.0,56.0,61.0,47.0,57.0,42.0,49.0,43.0,59.0,54.0,58.0,55.0,48.0,53.0,51.0,173.0,45.0,44.0,70.0
706,511.0,6.0,1.0,4.0,47.0,94.0,597.0,46.0,28.0,16.0,57.0,62.0,60.0,54.0,26.0,58.0,56.0,51.0,50.0,53.0,59.0,61.0,43.0,48.0,55.0,49.0,13.0,52.0,63.0,73.0
755,4.0,18.0,1.0,21.0,11.0,34.0,620.0,0.0,22.0,78.0,35.0,77.0,75.0,76.0,70.0,74.0,72.0,63.0,71.0,68.0,66.0,69.0,67.0,62.0,65.0,36.0,2.0,79.0,53.0,111.0
804,3.0,12.0,1.0,5.0,25.0,14.0,601.0,28.0,0.0,49.0,7.0,52.0,55.0,54.0,60.0,57.0,59.0,48.0,50.0,56.0,51.0,58.0,53.0,45.0,61.0,44.0,62.0,47.0,24.0,70.0
853,21.0,18.0,1.0,35.0,2.0,75.0,8.0,17.0,34.0,73.0,68.0,72.0,4.0,71.0,65.0,69.0,67.0,74.0,66.0,63.0,61.0,64.0,62.0,59.0,60.0,95.0,6.0,58.0,57.0,109.0
902,20.0,17.0,0.0,26.0,568.0,7.0,43.0,41.0,40.0,62.0,55.0,51.0,53.0,52.0,4.0,63.0,57.0,64.0,60.0,54.0,59.0,2.0,61.0,81.0,58.0,56.0,65.0,66.0,96.0,70.0
951,24.0,457.0,195.0,0.0,11.0,92.0,3.0,28.0,41.0,17.0,48.0,50.0,56.0,53.0,6.0,59.0,10.0,47.0,60.0,52.0,58.0,51.0,54.0,46.0,43.0,57.0,61.0,45.0,12.0,77.0
1000,18.0,0.0,28.0,549.0,565.0,96.0,38.0,2.0,42.0,48.0,63.0,53.0,65.0,64.0,62.0,60.0,54.0,50.0,56.0,58.0,55.0,59.0,57.0,61.0,52.0,49.0,66.0,101.0,67.0,75.0
1049,513.0,11.0,200.0,26.0,1.0,15.0,39.0,47.0,46.0,13.0,49.0,59.0,27.0,50.0,42.0,63.0,60.0,62.0,55.0,48.0,57.0,54.0,58.0,61.0,89.0,98.0,64.0,56.0,53.0,74.0
1098,20.0,456.0,0.0,7.0,24.0,1.0,36.0,335.0,43.0,48.0,62.0,49.0,51.0,61.0,39.0,52.0,53.0,46.0,54.0,56.0,58.0,55.0,57.0,47.0,59.0,60.0,50.0,27.0,98.0,70.0
1147,25.0,456.0,201.0,547.0,560.0,95.0,597.0,333.0,0.0,63.0,59.0,54.0,57.0,56.0,5.0,58.0,61.0,50.0,62.0,55.0,45.0,60.0,53.0,46.0,52.0,48.0,64.0,47.0,49.0,72.0
