,hsa-miR-135b,hsa-miR-1269,hsa-miR-1308,hsa-miR-361-5p,hsa-miR-1203,hsa-miR-449b,hsa-miR-2114,hsa-miR-662,hsa-miR-27b,hsa-miR-638,hsa-miR-603,hsa-miR-607,hsa-miR-1256,hsa-miR-938,hsa-miR-620,hsa-miR-384,hsa-miR-223,hsa-miR-568,hsa-miR-548a-3p,hsa-miR-1271,hsa-miR-523,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-129-3p,hsa-miR-548b-3p,hsa-miR-219-1-3p,hsa-miR-423-5p,hsa-miR-155,hsa-miR-326,hsv1-miR-H7,hsa-miR-650
15,26.0,75.0,50.0,22.0,32.0,27.0,13.0,18.0,3.0,0.0,23.0,19.0,8.0,63.0,4.0,10.0,25.0,79.0,35.0,12.0,15.0,37.0,28.0,47.0,67.0,6.0,2.0,16.0,9.0,146.0
64,9.0,12.0,1.0,5.0,8.0,26.0,53.0,28.0,3.0,0.0,21.0,13.0,7.0,31.0,2.0,14.0,30.0,54.0,20.0,35.0,43.0,41.0,15.0,42.0,23.0,48.0,4.0,22.0,24.0,10.0
113,0.0,7.0,4.0,18.0,30.0,17.0,16.0,3.0,1.0,2.0,22.0,13.0,8.0,39.0,9.0,20.0,42.0,98.0,40.0,11.0,21.0,60.0,28.0,62.0,144.0,51.0,15.0,23.0,123.0,25.0
162,2.0,12.0,4.0,8.0,30.0,36.0,6.0,28.0,0.0,3.0,13.0,1.0,14.0,15.0,5.0,11.0,49.0,9.0,22.0,20.0,32.0,61.0,10.0,60.0,19.0,16.0,7.0,18.0,42.0,39.0
211,0.0,28.0,6.0,14.0,18.0,8.0,10.0,4.0,2.0,3.0,26.0,11.0,21.0,15.0,7.0,1.0,59.0,115.0,5.0,37.0,16.0,48.0,27.0,84.0,31.0,17.0,9.0,25.0,68.0,30.0
260,13.0,10.0,17.0,26.0,105.0,79.0,5.0,16.0,1.0,2.0,60.0,12.0,3.0,73.0,0.0,32.0,33.0,27.0,18.0,21.0,9.0,24.0,4.0,45.0,48.0,42.0,8.0,7.0,117.0,54.0
309,9.0,3.0,4.0,8.0,15.0,13.0,7.0,26.0,6.0,1.0,213.0,64.0,32.0,72.0,5.0,43.0,21.0,10.0,25.0,62.0,14.0,39.0,0.0,2.0,31.0,37.0,24.0,12.0,17.0,97.0
358,3.0,50.0,1.0,80.0,6.0,34.0,32.0,29.0,0.0,2.0,65.0,12.0,97.0,17.0,14.0,23.0,8.0,31.0,9.0,47.0,10.0,21.0,13.0,39.0,5.0,11.0,7.0,37.0,36.0,4.0
407,1.0,8.0,6.0,30.0,51.0,12.0,13.0,24.0,2.0,0.0,34.0,7.0,21.0,18.0,4.0,3.0,23.0,11.0,15.0,27.0,20.0,40.0,41.0,37.0,80.0,26.0,19.0,33.0,16.0,36.0
456,1.0,7.0,18.0,40.0,10.0,35.0,5.0,2.0,6.0,0.0,41.0,27.0,21.0,29.0,53.0,31.0,187.0,3.0,30.0,12.0,82.0,15.0,4.0,62.0,61.0,11.0,13.0,33.0,9.0,22.0
505,0.0,8.0,26.0,59.0,15.0,35.0,55.0,33.0,75.0,40.0,51.0,17.0,39.0,28.0,7.0,9.0,2.0,4.0,6.0,88.0,68.0,21.0,64.0,1.0,38.0,10.0,12.0,63.0,99.0,30.0
554,3.0,0.0,38.0,18.0,23.0,170.0,1.0,12.0,62.0,7.0,2.0,52.0,14.0,48.0,17.0,15.0,8.0,5.0,4.0,10.0,24.0,13.0,28.0,20.0,16.0,25.0,11.0,66.0,37.0,82.0
603,15.0,1.0,2.0,28.0,0.0,132.0,7.0,21.0,13.0,9.0,33.0,34.0,49.0,10.0,12.0,3.0,5.0,23.0,6.0,30.0,18.0,19.0,25.0,40.0,24.0,37.0,41.0,109.0,38.0,22.0
652,17.0,13.0,14.0,29.0,2.0,23.0,3.0,12.0,20.0,50.0,8.0,18.0,24.0,7.0,9.0,16.0,0.0,32.0,5.0,82.0,31.0,11.0,30.0,22.0,4.0,19.0,10.0,33.0,84.0,34.0
701,8.0,1.0,43.0,3.0,17.0,32.0,10.0,6.0,18.0,16.0,5.0,24.0,4.0,34.0,2.0,7.0,0.0,45.0,59.0,19.0,15.0,33.0,170.0,67.0,66.0,28.0,14.0,27.0,54.0,53.0
750,3.0,5.0,14.0,15.0,8.0,40.0,4.0,12.0,61.0,13.0,52.0,18.0,2.0,17.0,6.0,33.0,0.0,41.0,1.0,76.0,101.0,7.0,65.0,39.0,10.0,63.0,9.0,49.0,67.0,51.0
799,6.0,0.0,28.0,10.0,7.0,67.0,13.0,11.0,39.0,59.0,26.0,8.0,12.0,22.0,1.0,2.0,14.0,47.0,5.0,9.0,15.0,21.0,36.0,42.0,31.0,91.0,20.0,73.0,214.0,156.0
848,6.0,15.0,52.0,8.0,2.0,93.0,12.0,3.0,28.0,23.0,30.0,19.0,0.0,14.0,25.0,11.0,1.0,69.0,7.0,33.0,26.0,17.0,76.0,51.0,10.0,20.0,4.0,16.0,32.0,155.0
897,0.0,29.0,2.0,58.0,42.0,37.0,1.0,38.0,31.0,24.0,6.0,8.0,10.0,12.0,4.0,17.0,7.0,22.0,3.0,25.0,16.0,13.0,62.0,26.0,5.0,19.0,23.0,18.0,85.0,67.0
946,1.0,5.0,26.0,11.0,15.0,33.0,53.0,12.0,7.0,23.0,9.0,4.0,8.0,41.0,10.0,17.0,2.0,21.0,0.0,14.0,13.0,16.0,50.0,52.0,19.0,36.0,3.0,29.0,80.0,30.0
995,0.0,4.0,3.0,12.0,1.0,11.0,20.0,60.0,14.0,8.0,7.0,9.0,143.0,6.0,18.0,40.0,5.0,70.0,23.0,44.0,21.0,64.0,16.0,10.0,28.0,30.0,26.0,105.0,17.0,2.0
1044,2.0,12.0,10.0,1.0,0.0,15.0,27.0,23.0,39.0,18.0,3.0,8.0,5.0,7.0,20.0,117.0,9.0,74.0,14.0,4.0,17.0,26.0,19.0,6.0,69.0,46.0,45.0,11.0,35.0,31.0
1093,0.0,29.0,21.0,1.0,3.0,6.0,5.0,9.0,90.0,7.0,11.0,16.0,2.0,12.0,42.0,82.0,25.0,104.0,13.0,8.0,28.0,73.0,41.0,4.0,55.0,54.0,60.0,24.0,26.0,144.0
1142,2.0,10.0,4.0,27.0,19.0,5.0,8.0,69.0,1.0,16.0,101.0,67.0,25.0,23.0,7.0,116.0,30.0,26.0,24.0,3.0,28.0,110.0,11.0,0.0,22.0,14.0,145.0,50.0,39.0,36.0
1191,3.0,13.0,32.0,1.0,2.0,19.0,6.0,17.0,50.0,5.0,10.0,22.0,0.0,4.0,9.0,143.0,24.0,30.0,122.0,8.0,34.0,46.0,35.0,12.0,44.0,27.0,25.0,15.0,21.0,36.0
