,hsa-miR-147b,hsa-miR-222,hsa-miR-205,hsa-miR-135b,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-517b,hsa-miR-30c,hsa-miR-497,hsa-miR-662,hsa-miR-153,hsa-miR-432,hsa-miR-1259,hsa-miR-510,hsa-miR-448,hsa-miR-548a-3p,hsa-miR-450b-3p,hsa-miR-200a,hsa-miR-196b,hsa-miR-631,ebv-miR-BART18-3p,hsa-miR-219-2-3p,hsa-miR-296-5p,hsa-miR-1279,hsa-miR-1277,hsa-miR-1254,ebv-miR-BART7,kshv-miR-K12-4-3p,hsa-miR-10b,hsa-miR-520a-5p
509,0.0,5.0,11.0,158.0,77.0,1.0,50.0,598.0,18.0,97.0,55.0,88.0,21.0,145.0,52.0,119.0,27.0,137.0,85.0,68.0,251.0,114.0,41.0,102.0,122.0,498.0,46.0,103.0,459.0,87.0
558,385.0,27.0,20.0,151.0,56.0,87.0,86.0,97.0,509.0,53.0,66.0,38.0,69.0,145.0,83.0,57.0,23.0,164.0,68.0,76.0,124.0,135.0,582.0,28.0,491.0,440.0,101.0,39.0,46.0,564.0
607,3.0,1.0,20.0,492.0,27.0,42.0,91.0,119.0,514.0,33.0,473.0,138.0,446.0,76.0,28.0,105.0,23.0,136.0,383.0,37.0,262.0,420.0,52.0,2.0,72.0,480.0,79.0,21.0,321.0,113.0
656,1.0,7.0,6.0,382.0,123.0,88.0,143.0,625.0,135.0,124.0,35.0,125.0,62.0,114.0,72.0,78.0,18.0,397.0,406.0,80.0,244.0,83.0,568.0,141.0,480.0,461.0,76.0,270.0,59.0,70.0
705,0.0,2.0,8.0,382.0,49.0,36.0,140.0,598.0,529.0,93.0,364.0,87.0,28.0,53.0,88.0,92.0,14.0,400.0,405.0,90.0,54.0,585.0,571.0,103.0,482.0,118.0,64.0,25.0,73.0,138.0
754,3.0,582.0,7.0,386.0,59.0,43.0,76.0,626.0,28.0,103.0,372.0,85.0,25.0,122.0,57.0,80.0,36.0,163.0,1.0,44.0,65.0,585.0,571.0,114.0,53.0,143.0,95.0,112.0,456.0,139.0
803,1.0,6.0,7.0,128.0,59.0,26.0,58.0,624.0,52.0,84.0,426.0,13.0,36.0,74.0,27.0,145.0,43.0,142.0,23.0,137.0,76.0,125.0,569.0,117.0,56.0,144.0,115.0,42.0,150.0,102.0
852,4.0,5.0,17.0,39.0,60.0,48.0,98.0,62.0,26.0,49.0,374.0,20.0,467.0,139.0,68.0,118.0,46.0,126.0,71.0,99.0,77.0,590.0,28.0,486.0,67.0,438.0,108.0,251.0,130.0,50.0
901,1.0,109.0,11.0,20.0,38.0,28.0,59.0,135.0,620.0,75.0,69.0,54.0,84.0,130.0,72.0,111.0,36.0,153.0,49.0,174.0,64.0,14.0,71.0,58.0,261.0,82.0,100.0,42.0,319.0,138.0
950,0.0,5.0,15.0,150.0,46.0,86.0,105.0,572.0,507.0,78.0,95.0,107.0,40.0,79.0,522.0,81.0,35.0,414.0,58.0,55.0,64.0,590.0,111.0,122.0,66.0,149.0,80.0,47.0,31.0,165.0
999,12.0,5.0,39.0,6.0,40.0,73.0,516.0,429.0,3.0,48.0,9.0,27.0,67.0,122.0,618.0,84.0,51.0,150.0,87.0,116.0,29.0,400.0,443.0,584.0,572.0,100.0,99.0,298.0,86.0,153.0
1048,63.0,20.0,82.0,6.0,57.0,28.0,30.0,21.0,53.0,96.0,7.0,9.0,5.0,49.0,514.0,86.0,145.0,81.0,42.0,118.0,33.0,585.0,572.0,38.0,10.0,126.0,92.0,273.0,132.0,72.0
1097,7.0,16.0,408.0,9.0,79.0,67.0,26.0,596.0,46.0,59.0,151.0,70.0,495.0,132.0,78.0,82.0,39.0,410.0,418.0,83.0,77.0,35.0,577.0,93.0,484.0,107.0,117.0,147.0,51.0,548.0
1146,382.0,30.0,46.0,151.0,54.0,20.0,38.0,73.0,76.0,71.0,12.0,23.0,51.0,74.0,147.0,47.0,102.0,107.0,29.0,92.0,334.0,59.0,576.0,40.0,486.0,79.0,115.0,134.0,460.0,135.0
