,Bax,C-Raf_pS338,SHP-2_pY542,c-Kit,Bim(EP1036),CDK1,PKC-alpha,p53,p38_pT180_Y182,VHL,Lck,p14 Arf(BetA300-340A),ACC_pS79,Annexin 1,AMPK_alpha,4E-BP1_pT70,p21,Akt_pS473,Transglutaminase,PI3K-p85,PI3K-p110-alpha,PEA15_pS116,PDK1,NF2,PEA15,PDK1_pS241,p70S6K_pT389,Paxillin,PDCD4,PAI-1
6,4.0,12.0,13.0,102.0,3.0,11.0,38.0,2.0,24.0,8.0,32.0,34.0,20.0,1.0,29.0,31.0,54.0,0.0,33.0,30.0,41.0,39.0,45.0,57.0,42.0,58.0,18.0,47.0,46.0,48.0
55,109.0,13.0,0.0,11.0,102.0,96.0,25.0,9.0,7.0,34.0,3.0,2.0,118.0,39.0,123.0,45.0,44.0,121.0,35.0,77.0,46.0,50.0,47.0,36.0,48.0,49.0,56.0,52.0,60.0,15.0
104,7.0,18.0,12.0,15.0,105.0,98.0,45.0,0.0,54.0,2.0,1.0,41.0,28.0,36.0,5.0,32.0,34.0,40.0,67.0,46.0,43.0,44.0,59.0,86.0,22.0,25.0,52.0,49.0,48.0,50.0
153,35.0,9.0,0.0,2.0,6.0,11.0,78.0,62.0,21.0,39.0,1.0,22.0,120.0,5.0,36.0,117.0,54.0,38.0,40.0,63.0,50.0,47.0,41.0,23.0,46.0,17.0,42.0,43.0,18.0,44.0
202,2.0,0.0,32.0,108.0,6.0,5.0,19.0,23.0,60.0,41.0,140.0,25.0,3.0,35.0,123.0,37.0,63.0,121.0,33.0,65.0,89.0,66.0,44.0,58.0,90.0,59.0,21.0,48.0,47.0,49.0
251,36.0,20.0,4.0,33.0,40.0,15.0,52.0,1.0,22.0,31.0,2.0,102.0,38.0,5.0,37.0,91.0,103.0,0.0,79.0,25.0,53.0,68.0,58.0,137.0,56.0,57.0,64.0,24.0,59.0,61.0
300,1.0,9.0,18.0,13.0,6.0,106.0,38.0,34.0,4.0,15.0,3.0,2.0,10.0,8.0,28.0,115.0,48.0,26.0,66.0,37.0,25.0,40.0,39.0,45.0,36.0,35.0,53.0,42.0,49.0,56.0
349,0.0,18.0,1.0,15.0,102.0,108.0,8.0,5.0,3.0,26.0,35.0,6.0,30.0,4.0,36.0,28.0,53.0,122.0,65.0,41.0,44.0,43.0,32.0,27.0,40.0,42.0,10.0,46.0,56.0,47.0
398,6.0,9.0,2.0,8.0,30.0,31.0,1.0,19.0,20.0,4.0,26.0,23.0,116.0,7.0,123.0,114.0,22.0,34.0,38.0,88.0,63.0,62.0,18.0,25.0,61.0,51.0,44.0,48.0,45.0,47.0
447,28.0,14.0,12.0,13.0,11.0,97.0,42.0,5.0,54.0,2.0,38.0,30.0,4.0,36.0,6.0,117.0,27.0,122.0,66.0,46.0,45.0,57.0,16.0,85.0,48.0,47.0,56.0,51.0,50.0,52.0
496,27.0,1.0,6.0,14.0,104.0,18.0,0.0,38.0,41.0,10.0,145.0,30.0,3.0,123.0,32.0,4.0,51.0,121.0,35.0,2.0,42.0,43.0,47.0,44.0,45.0,46.0,56.0,49.0,58.0,52.0
