,Bax,C-Raf_pS338,SHP-2_pY542,c-Kit,Bim(EP1036),CDK1,PKC-alpha,p53,p38_pT180_Y182,VHL,Lck,p14 Arf(BetA300-340A),ACC_pS79,Annexin 1,AMPK_alpha,4E-BP1_pT70,p21,Akt_pS473,Transglutaminase,PI3K-p85,PI3K-p110-alpha,PEA15_pS116,PDK1,NF2,PEA15,PDK1_pS241,p70S6K_pT389,Paxillin,PDCD4,PAI-1
545,1.0,6.0,12.0,109.0,14.0,110.0,3.0,9.0,8.0,64.0,141.0,36.0,0.0,38.0,123.0,28.0,52.0,121.0,35.0,10.0,91.0,59.0,41.0,55.0,44.0,45.0,13.0,42.0,43.0,58.0
594,2.0,1.0,79.0,15.0,12.0,18.0,42.0,11.0,52.0,27.0,145.0,34.0,28.0,123.0,121.0,0.0,36.0,120.0,35.0,40.0,39.0,41.0,46.0,57.0,58.0,45.0,50.0,48.0,47.0,10.0
643,1.0,6.0,2.0,11.0,103.0,16.0,20.0,23.0,45.0,30.0,8.0,51.0,31.0,36.0,37.0,116.0,33.0,121.0,0.0,19.0,46.0,48.0,14.0,28.0,49.0,52.0,9.0,55.0,56.0,53.0
692,9.0,20.0,13.0,25.0,14.0,99.0,45.0,34.0,56.0,4.0,0.0,3.0,118.0,10.0,36.0,5.0,29.0,123.0,68.0,47.0,49.0,50.0,39.0,94.0,51.0,58.0,57.0,46.0,54.0,52.0
741,7.0,19.0,91.0,16.0,14.0,99.0,33.0,53.0,6.0,1.0,35.0,3.0,28.0,5.0,123.0,2.0,56.0,128.0,68.0,15.0,43.0,58.0,48.0,84.0,46.0,47.0,51.0,59.0,49.0,10.0
790,2.0,13.0,78.0,22.0,5.0,16.0,19.0,21.0,30.0,27.0,0.0,34.0,118.0,39.0,37.0,28.0,32.0,41.0,65.0,18.0,50.0,59.0,53.0,94.0,51.0,52.0,4.0,56.0,55.0,49.0
839,7.0,0.0,13.0,18.0,102.0,97.0,40.0,25.0,34.0,2.0,136.0,39.0,4.0,30.0,32.0,3.0,54.0,122.0,35.0,5.0,43.0,42.0,22.0,85.0,41.0,57.0,29.0,46.0,45.0,47.0
888,0.0,7.0,10.0,17.0,15.0,5.0,2.0,37.0,32.0,69.0,6.0,3.0,118.0,9.0,126.0,1.0,30.0,124.0,35.0,4.0,42.0,46.0,49.0,82.0,47.0,48.0,44.0,53.0,25.0,14.0
937,0.0,13.0,82.0,10.0,108.0,16.0,2.0,49.0,50.0,3.0,37.0,1.0,39.0,118.0,38.0,35.0,32.0,120.0,71.0,44.0,61.0,51.0,56.0,98.0,52.0,55.0,54.0,58.0,57.0,60.0
986,1.0,8.0,74.0,14.0,12.0,0.0,10.0,27.0,51.0,3.0,139.0,43.0,6.0,9.0,35.0,116.0,32.0,2.0,64.0,41.0,40.0,42.0,16.0,29.0,53.0,45.0,37.0,48.0,13.0,49.0
1035,1.0,7.0,10.0,14.0,6.0,5.0,0.0,28.0,37.0,26.0,8.0,52.0,4.0,39.0,124.0,117.0,54.0,32.0,29.0,46.0,41.0,42.0,59.0,40.0,44.0,45.0,58.0,48.0,49.0,51.0
1084,1.0,102.0,68.0,7.0,4.0,14.0,92.0,53.0,27.0,40.0,5.0,9.0,119.0,3.0,39.0,36.0,17.0,123.0,49.0,67.0,93.0,65.0,47.0,28.0,57.0,50.0,24.0,48.0,51.0,21.0
1133,24.0,15.0,93.0,107.0,12.0,16.0,0.0,38.0,3.0,40.0,28.0,42.0,33.0,36.0,31.0,125.0,30.0,34.0,69.0,46.0,60.0,61.0,52.0,2.0,49.0,50.0,59.0,54.0,53.0,55.0
1182,0.0,7.0,77.0,13.0,10.0,18.0,26.0,39.0,2.0,3.0,145.0,28.0,5.0,40.0,27.0,35.0,29.0,122.0,31.0,45.0,44.0,41.0,57.0,32.0,46.0,42.0,47.0,52.0,48.0,8.0
1231,1.0,10.0,83.0,3.0,105.0,5.0,22.0,39.0,4.0,2.0,138.0,49.0,32.0,38.0,29.0,124.0,51.0,36.0,34.0,61.0,60.0,44.0,52.0,14.0,59.0,57.0,58.0,62.0,28.0,0.0
1280,0.0,17.0,93.0,21.0,7.0,31.0,2.0,39.0,38.0,27.0,137.0,56.0,121.0,3.0,34.0,118.0,29.0,125.0,30.0,43.0,42.0,41.0,46.0,83.0,44.0,45.0,12.0,48.0,59.0,49.0
1329,0.0,10.0,40.0,18.0,102.0,2.0,17.0,50.0,6.0,35.0,3.0,54.0,117.0,124.0,37.0,32.0,4.0,38.0,48.0,63.0,64.0,90.0,43.0,25.0,62.0,61.0,23.0,45.0,41.0,46.0
1378,0.0,8.0,1.0,109.0,16.0,10.0,17.0,3.0,21.0,38.0,22.0,24.0,32.0,5.0,35.0,2.0,23.0,123.0,34.0,63.0,54.0,45.0,47.0,26.0,44.0,46.0,52.0,49.0,48.0,43.0
1427,7.0,20.0,77.0,17.0,15.0,21.0,0.0,35.0,33.0,2.0,140.0,55.0,27.0,6.0,8.0,118.0,4.0,123.0,69.0,39.0,41.0,40.0,45.0,94.0,42.0,57.0,50.0,47.0,46.0,48.0
1476,6.0,8.0,1.0,21.0,17.0,100.0,41.0,0.0,32.0,7.0,141.0,59.0,5.0,2.0,3.0,123.0,58.0,4.0,70.0,16.0,45.0,60.0,49.0,95.0,47.0,48.0,54.0,50.0,46.0,51.0
1525,1.0,0.0,9.0,15.0,101.0,2.0,10.0,51.0,23.0,26.0,138.0,35.0,28.0,36.0,33.0,115.0,31.0,32.0,29.0,74.0,41.0,43.0,57.0,47.0,46.0,58.0,48.0,19.0,53.0,49.0
1574,0.0,4.0,1.0,14.0,10.0,20.0,23.0,38.0,53.0,33.0,37.0,42.0,27.0,36.0,2.0,32.0,28.0,128.0,68.0,43.0,46.0,58.0,51.0,94.0,59.0,17.0,56.0,55.0,52.0,6.0
1623,0.0,4.0,28.0,1.0,27.0,12.0,3.0,24.0,58.0,34.0,138.0,26.0,35.0,124.0,33.0,115.0,51.0,121.0,32.0,42.0,43.0,44.0,47.0,41.0,45.0,46.0,55.0,50.0,48.0,22.0
1672,0.0,23.0,1.0,4.0,102.0,128.0,89.0,13.0,42.0,3.0,141.0,35.0,28.0,34.0,7.0,27.0,51.0,121.0,65.0,60.0,90.0,58.0,40.0,54.0,47.0,24.0,45.0,39.0,38.0,57.0
1721,1.0,2.0,6.0,9.0,104.0,130.0,90.0,15.0,20.0,29.0,22.0,56.0,33.0,31.0,34.0,39.0,55.0,0.0,35.0,91.0,63.0,61.0,43.0,25.0,46.0,44.0,26.0,42.0,5.0,47.0
1770,0.0,4.0,3.0,103.0,30.0,2.0,14.0,20.0,60.0,34.0,140.0,24.0,1.0,6.0,32.0,36.0,53.0,121.0,33.0,88.0,62.0,76.0,41.0,56.0,61.0,17.0,46.0,42.0,19.0,43.0
1819,3.0,1.0,0.0,102.0,99.0,16.0,13.0,20.0,21.0,2.0,26.0,25.0,5.0,40.0,123.0,4.0,24.0,121.0,41.0,14.0,88.0,89.0,90.0,57.0,63.0,64.0,61.0,45.0,47.0,44.0
1868,6.0,2.0,3.0,15.0,104.0,31.0,43.0,38.0,37.0,1.0,139.0,58.0,28.0,36.0,4.0,41.0,42.0,33.0,69.0,22.0,44.0,59.0,49.0,95.0,48.0,19.0,55.0,51.0,50.0,52.0
1917,0.0,3.0,14.0,17.0,106.0,99.0,15.0,38.0,60.0,32.0,137.0,41.0,4.0,35.0,1.0,30.0,53.0,33.0,71.0,44.0,45.0,47.0,50.0,95.0,43.0,61.0,57.0,62.0,51.0,52.0
1966,0.0,7.0,90.0,8.0,13.0,15.0,18.0,44.0,2.0,34.0,145.0,48.0,28.0,4.0,5.0,33.0,32.0,9.0,74.0,40.0,16.0,43.0,22.0,83.0,56.0,45.0,52.0,47.0,46.0,49.0
2015,1.0,25.0,10.0,24.0,11.0,17.0,4.0,39.0,38.0,31.0,0.0,7.0,5.0,35.0,122.0,116.0,55.0,32.0,30.0,45.0,41.0,59.0,47.0,85.0,48.0,50.0,60.0,52.0,51.0,53.0
2064,0.0,1.0,78.0,11.0,4.0,16.0,44.0,41.0,36.0,27.0,38.0,42.0,29.0,5.0,118.0,3.0,32.0,28.0,68.0,43.0,46.0,47.0,50.0,155.0,59.0,49.0,56.0,52.0,48.0,10.0
2113,0.0,8.0,77.0,14.0,99.0,19.0,40.0,57.0,5.0,30.0,145.0,28.0,4.0,35.0,32.0,36.0,7.0,1.0,68.0,39.0,45.0,42.0,25.0,46.0,58.0,51.0,49.0,54.0,52.0,12.0
2162,6.0,2.0,76.0,102.0,27.0,1.0,9.0,46.0,45.0,16.0,19.0,12.0,10.0,8.0,124.0,117.0,51.0,31.0,66.0,44.0,37.0,39.0,42.0,47.0,40.0,41.0,36.0,48.0,56.0,49.0
2211,0.0,14.0,92.0,108.0,13.0,3.0,19.0,11.0,21.0,36.0,138.0,47.0,5.0,4.0,32.0,24.0,53.0,35.0,28.0,45.0,39.0,44.0,46.0,88.0,37.0,57.0,23.0,49.0,48.0,50.0
2260,2.0,0.0,14.0,106.0,22.0,38.0,5.0,17.0,16.0,3.0,141.0,25.0,27.0,6.0,34.0,4.0,24.0,31.0,64.0,58.0,88.0,56.0,39.0,8.0,44.0,42.0,20.0,45.0,41.0,40.0
2309,15.0,0.0,94.0,105.0,14.0,1.0,6.0,55.0,56.0,2.0,24.0,27.0,4.0,5.0,119.0,28.0,3.0,7.0,77.0,41.0,43.0,59.0,47.0,20.0,45.0,46.0,53.0,49.0,48.0,50.0
2358,0.0,8.0,47.0,2.0,100.0,26.0,10.0,21.0,5.0,28.0,140.0,53.0,6.0,9.0,121.0,29.0,52.0,27.0,34.0,16.0,87.0,88.0,19.0,56.0,64.0,62.0,44.0,40.0,39.0,41.0
2407,1.0,13.0,9.0,102.0,10.0,3.0,26.0,6.0,5.0,38.0,33.0,28.0,34.0,42.0,32.0,36.0,29.0,0.0,68.0,92.0,57.0,45.0,49.0,46.0,43.0,44.0,54.0,48.0,25.0,51.0
2456,9.0,11.0,18.0,2.0,103.0,97.0,60.0,51.0,1.0,39.0,31.0,7.0,5.0,32.0,123.0,117.0,55.0,121.0,24.0,52.0,30.0,41.0,44.0,58.0,45.0,42.0,13.0,43.0,40.0,59.0
2505,0.0,5.0,76.0,15.0,98.0,104.0,38.0,12.0,11.0,27.0,31.0,7.0,33.0,36.0,123.0,4.0,34.0,10.0,32.0,39.0,41.0,42.0,45.0,26.0,43.0,44.0,54.0,51.0,46.0,52.0
2554,1.0,11.0,8.0,3.0,9.0,98.0,64.0,4.0,22.0,38.0,139.0,58.0,33.0,7.0,39.0,118.0,24.0,123.0,37.0,93.0,63.0,45.0,6.0,80.0,47.0,44.0,52.0,42.0,46.0,62.0
2603,31.0,26.0,15.0,13.0,102.0,18.0,92.0,0.0,41.0,37.0,36.0,53.0,118.0,126.0,124.0,32.0,34.0,122.0,67.0,8.0,24.0,45.0,47.0,44.0,43.0,46.0,54.0,59.0,48.0,51.0
2652,6.0,1.0,15.0,99.0,96.0,107.0,12.0,3.0,50.0,27.0,36.0,52.0,29.0,35.0,34.0,2.0,47.0,126.0,65.0,75.0,59.0,45.0,43.0,55.0,42.0,46.0,19.0,41.0,44.0,40.0
2701,27.0,16.0,12.0,103.0,100.0,3.0,43.0,0.0,48.0,29.0,7.0,51.0,118.0,36.0,8.0,1.0,6.0,122.0,4.0,44.0,21.0,47.0,58.0,46.0,49.0,52.0,25.0,55.0,41.0,53.0
2750,2.0,5.0,64.0,100.0,97.0,126.0,9.0,7.0,48.0,33.0,23.0,22.0,116.0,8.0,32.0,29.0,52.0,121.0,34.0,87.0,27.0,61.0,60.0,24.0,62.0,75.0,39.0,41.0,44.0,42.0
2799,0.0,11.0,34.0,13.0,1.0,99.0,94.0,59.0,2.0,35.0,29.0,66.0,37.0,39.0,118.0,36.0,65.0,3.0,91.0,71.0,95.0,70.0,23.0,33.0,68.0,47.0,28.0,50.0,49.0,51.0
2848,5.0,103.0,90.0,101.0,97.0,1.0,55.0,14.0,13.0,30.0,0.0,36.0,117.0,2.0,32.0,28.0,48.0,33.0,63.0,8.0,45.0,23.0,43.0,49.0,41.0,42.0,3.0,47.0,56.0,50.0
2897,2.0,17.0,9.0,102.0,22.0,0.0,45.0,23.0,40.0,26.0,5.0,42.0,4.0,125.0,124.0,28.0,57.0,35.0,66.0,46.0,58.0,48.0,15.0,25.0,49.0,50.0,6.0,52.0,51.0,13.0
2946,0.0,18.0,4.0,15.0,1.0,33.0,13.0,54.0,55.0,27.0,140.0,26.0,31.0,2.0,37.0,29.0,58.0,5.0,69.0,9.0,34.0,60.0,47.0,6.0,46.0,19.0,52.0,49.0,48.0,45.0
2995,0.0,15.0,4.0,12.0,10.0,20.0,8.0,7.0,55.0,2.0,24.0,57.0,30.0,39.0,38.0,28.0,34.0,123.0,35.0,26.0,46.0,45.0,49.0,23.0,44.0,60.0,48.0,51.0,50.0,14.0
3044,11.0,23.0,0.0,18.0,17.0,14.0,37.0,3.0,22.0,25.0,9.0,30.0,117.0,7.0,32.0,6.0,10.0,1.0,29.0,41.0,21.0,38.0,36.0,52.0,39.0,19.0,42.0,43.0,54.0,44.0
3093,1.0,25.0,0.0,12.0,9.0,4.0,45.0,31.0,55.0,39.0,145.0,37.0,30.0,36.0,5.0,41.0,28.0,2.0,40.0,44.0,15.0,42.0,19.0,35.0,47.0,58.0,57.0,50.0,49.0,52.0
3142,5.0,3.0,1.0,11.0,9.0,18.0,92.0,27.0,39.0,38.0,145.0,4.0,32.0,33.0,30.0,36.0,49.0,0.0,29.0,60.0,16.0,42.0,48.0,45.0,43.0,46.0,56.0,50.0,47.0,51.0
3191,24.0,13.0,9.0,12.0,5.0,17.0,2.0,39.0,50.0,27.0,138.0,3.0,29.0,36.0,125.0,117.0,30.0,0.0,31.0,46.0,47.0,58.0,15.0,41.0,48.0,52.0,44.0,56.0,55.0,57.0
3240,0.0,5.0,2.0,4.0,20.0,24.0,19.0,54.0,51.0,35.0,137.0,44.0,1.0,31.0,124.0,118.0,36.0,6.0,68.0,40.0,41.0,42.0,50.0,39.0,57.0,47.0,46.0,53.0,52.0,56.0
3289,3.0,102.0,14.0,13.0,10.0,20.0,7.0,28.0,2.0,6.0,136.0,30.0,29.0,0.0,121.0,32.0,36.0,31.0,69.0,48.0,19.0,47.0,9.0,86.0,51.0,52.0,57.0,56.0,55.0,59.0
3338,0.0,18.0,6.0,12.0,8.0,109.0,9.0,14.0,15.0,22.0,138.0,50.0,26.0,3.0,33.0,24.0,49.0,121.0,31.0,36.0,37.0,41.0,40.0,21.0,38.0,39.0,42.0,43.0,54.0,44.0
3387,19.0,18.0,0.0,10.0,100.0,20.0,48.0,3.0,50.0,31.0,6.0,1.0,34.0,4.0,124.0,117.0,29.0,122.0,67.0,37.0,38.0,42.0,43.0,55.0,41.0,40.0,47.0,57.0,39.0,45.0
3436,29.0,0.0,13.0,102.0,105.0,5.0,8.0,25.0,6.0,37.0,39.0,35.0,27.0,38.0,124.0,31.0,28.0,122.0,3.0,10.0,44.0,43.0,47.0,94.0,46.0,57.0,12.0,50.0,48.0,51.0
3485,1.0,101.0,8.0,105.0,17.0,97.0,7.0,5.0,24.0,38.0,0.0,59.0,6.0,37.0,33.0,39.0,58.0,36.0,29.0,93.0,63.0,45.0,46.0,94.0,18.0,43.0,48.0,40.0,41.0,47.0
3534,3.0,99.0,78.0,101.0,40.0,9.0,15.0,26.0,0.0,6.0,4.0,28.0,37.0,5.0,116.0,123.0,59.0,118.0,35.0,92.0,93.0,67.0,49.0,33.0,94.0,66.0,47.0,44.0,48.0,20.0
3583,4.0,9.0,39.0,102.0,104.0,0.0,6.0,23.0,25.0,35.0,24.0,60.0,34.0,36.0,117.0,125.0,27.0,119.0,7.0,48.0,44.0,41.0,46.0,81.0,42.0,45.0,53.0,43.0,47.0,63.0
3632,2.0,101.0,22.0,104.0,107.0,1.0,35.0,7.0,4.0,28.0,0.0,56.0,31.0,38.0,3.0,29.0,55.0,121.0,39.0,36.0,46.0,45.0,43.0,155.0,44.0,47.0,51.0,49.0,58.0,18.0
3681,30.0,105.0,67.0,109.0,99.0,1.0,8.0,48.0,5.0,34.0,0.0,3.0,36.0,33.0,7.0,116.0,55.0,29.0,37.0,91.0,61.0,60.0,43.0,23.0,45.0,44.0,38.0,42.0,47.0,46.0
3730,27.0,15.0,26.0,12.0,3.0,6.0,40.0,53.0,0.0,33.0,28.0,32.0,4.0,5.0,124.0,116.0,39.0,8.0,67.0,22.0,41.0,42.0,48.0,44.0,56.0,46.0,54.0,52.0,14.0,2.0
3779,0.0,104.0,27.0,107.0,11.0,2.0,1.0,39.0,23.0,36.0,7.0,5.0,31.0,3.0,4.0,115.0,25.0,34.0,47.0,63.0,89.0,61.0,42.0,8.0,50.0,44.0,45.0,37.0,40.0,38.0
3828,1.0,9.0,0.0,7.0,103.0,2.0,3.0,19.0,22.0,41.0,23.0,57.0,121.0,32.0,33.0,118.0,25.0,35.0,37.0,63.0,56.0,43.0,29.0,79.0,44.0,46.0,54.0,4.0,49.0,51.0
3877,2.0,10.0,40.0,103.0,3.0,4.0,6.0,19.0,21.0,36.0,24.0,1.0,118.0,31.0,41.0,116.0,58.0,30.0,5.0,65.0,78.0,63.0,47.0,61.0,52.0,48.0,62.0,43.0,42.0,44.0
3926,0.0,7.0,10.0,11.0,6.0,28.0,62.0,5.0,52.0,4.0,24.0,58.0,117.0,1.0,122.0,35.0,57.0,2.0,82.0,76.0,61.0,51.0,42.0,3.0,39.0,40.0,23.0,45.0,43.0,46.0
3975,1.0,0.0,12.0,22.0,7.0,6.0,42.0,38.0,58.0,2.0,138.0,26.0,39.0,35.0,33.0,28.0,29.0,31.0,68.0,40.0,41.0,45.0,49.0,84.0,59.0,48.0,50.0,51.0,47.0,52.0
4024,4.0,2.0,31.0,1.0,7.0,5.0,65.0,25.0,27.0,37.0,26.0,29.0,35.0,6.0,33.0,3.0,59.0,40.0,41.0,16.0,53.0,48.0,50.0,11.0,45.0,42.0,64.0,47.0,46.0,21.0
4073,1.0,128.0,25.0,37.0,5.0,6.0,50.0,26.0,0.0,20.0,149.0,11.0,39.0,3.0,60.0,2.0,101.0,40.0,79.0,28.0,29.0,53.0,55.0,136.0,54.0,30.0,61.0,31.0,56.0,58.0
4122,5.0,15.0,2.0,104.0,10.0,17.0,24.0,62.0,26.0,31.0,136.0,57.0,32.0,3.0,4.0,1.0,36.0,43.0,38.0,27.0,45.0,46.0,49.0,86.0,47.0,48.0,59.0,52.0,50.0,54.0
4171,7.0,21.0,18.0,102.0,4.0,23.0,57.0,3.0,1.0,25.0,30.0,32.0,117.0,2.0,34.0,115.0,52.0,122.0,31.0,54.0,42.0,41.0,45.0,26.0,46.0,43.0,10.0,56.0,40.0,49.0
4220,8.0,96.0,20.0,99.0,16.0,9.0,56.0,57.0,50.0,27.0,34.0,29.0,118.0,3.0,124.0,0.0,25.0,122.0,68.0,41.0,44.0,46.0,53.0,26.0,47.0,48.0,52.0,40.0,54.0,49.0
4269,3.0,5.0,67.0,11.0,106.0,6.0,20.0,0.0,26.0,35.0,1.0,60.0,34.0,8.0,9.0,32.0,59.0,36.0,90.0,40.0,45.0,38.0,43.0,155.0,39.0,41.0,52.0,46.0,44.0,61.0
4318,3.0,6.0,28.0,103.0,17.0,12.0,88.0,0.0,22.0,39.0,2.0,26.0,30.0,8.0,31.0,5.0,53.0,32.0,33.0,89.0,90.0,77.0,19.0,57.0,62.0,50.0,41.0,20.0,46.0,44.0
4367,30.0,4.0,12.0,16.0,14.0,0.0,1.0,6.0,5.0,7.0,31.0,57.0,118.0,3.0,34.0,32.0,48.0,121.0,67.0,44.0,47.0,45.0,25.0,42.0,24.0,49.0,58.0,51.0,50.0,54.0
4416,0.0,15.0,6.0,13.0,108.0,1.0,87.0,4.0,49.0,35.0,23.0,25.0,33.0,30.0,31.0,37.0,9.0,122.0,48.0,88.0,89.0,63.0,46.0,57.0,90.0,62.0,3.0,43.0,45.0,42.0
4465,5.0,99.0,77.0,14.0,103.0,20.0,40.0,2.0,38.0,36.0,29.0,28.0,4.0,31.0,123.0,8.0,0.0,121.0,66.0,41.0,42.0,44.0,49.0,45.0,57.0,58.0,19.0,52.0,50.0,54.0
4514,0.0,3.0,28.0,2.0,27.0,110.0,8.0,20.0,52.0,58.0,22.0,24.0,6.0,36.0,9.0,32.0,23.0,122.0,41.0,92.0,89.0,90.0,50.0,25.0,66.0,65.0,19.0,43.0,42.0,44.0
4563,33.0,106.0,49.0,1.0,17.0,110.0,5.0,19.0,20.0,39.0,2.0,24.0,35.0,40.0,34.0,36.0,23.0,122.0,37.0,13.0,90.0,64.0,47.0,58.0,77.0,62.0,61.0,15.0,43.0,48.0
4612,1.0,8.0,35.0,101.0,16.0,2.0,90.0,20.0,59.0,41.0,22.0,25.0,36.0,31.0,125.0,37.0,23.0,123.0,33.0,11.0,91.0,64.0,44.0,43.0,65.0,93.0,6.0,48.0,45.0,49.0
4661,6.0,16.0,12.0,15.0,13.0,106.0,27.0,10.0,26.0,32.0,7.0,33.0,118.0,41.0,35.0,116.0,5.0,122.0,67.0,11.0,46.0,45.0,42.0,43.0,44.0,48.0,55.0,50.0,59.0,52.0
4710,112.0,15.0,12.0,9.0,104.0,8.0,2.0,45.0,40.0,4.0,36.0,28.0,121.0,125.0,34.0,118.0,35.0,124.0,31.0,42.0,43.0,46.0,51.0,17.0,57.0,50.0,1.0,56.0,55.0,39.0
4759,24.0,1.0,78.0,8.0,14.0,17.0,21.0,56.0,55.0,35.0,5.0,26.0,0.0,36.0,122.0,33.0,9.0,28.0,69.0,39.0,38.0,40.0,46.0,18.0,41.0,57.0,25.0,48.0,47.0,50.0
4808,35.0,16.0,14.0,13.0,10.0,21.0,9.0,41.0,57.0,29.0,0.0,28.0,1.0,39.0,38.0,31.0,33.0,37.0,3.0,17.0,61.0,50.0,53.0,130.0,51.0,52.0,24.0,49.0,54.0,55.0
4857,6.0,16.0,89.0,1.0,34.0,3.0,44.0,4.0,21.0,2.0,0.0,20.0,37.0,144.0,100.0,40.0,163.0,38.0,28.0,22.0,66.0,51.0,55.0,135.0,53.0,54.0,7.0,57.0,56.0,58.0
