,LPA_AMP,OR2T11_AMP,ZNF705G_AMP,MUC20_AMP,DAP3_AMP,MSTO2P_AMP,LOC100506776_DEL,CDC73_AMP,HLA-H_DEL,OR2T10_AMP,LOC440300_DEL,LOC388152_DEL,LOC100505679_DEL,GALNTL6_DEL,CES1_AMP,CES1P1_DEL,HLA-DQB1_DEL,SMARCA2_DEL,LOC348120_AMP,MLIP_DEL,MIR570_AMP,PCCB_DEL,LCE3C_DEL,RBFOX1_DEL,BTNL8_DEL,OR2T34_AMP,KIAA1217_DEL,BTNL3_DEL,LOC642423_DEL,TAG_DEL
31,0.0,3.0,1.0,44.0,5.0,4.0,8.0,2.0,13.0,9.0,23.0,24.0,35.0,21.0,10.0,14.0,15.0,6.0,41.0,104.0,21170.0,33.0,242.0,79.0,7.0,28.0,26.0,30.0,20.0,11.0
80,0.0,3.0,2.0,1.0,5.0,4.0,8.0,22.0,10.0,7.0,17.0,16.0,21.0,141.0,19.0,29.0,51.0,6.0,89.0,48.0,13.0,49.0,64.0,285.0,9.0,86.0,12.0,27.0,31.0,33.0
129,1.0,0.0,3.0,8.0,5.0,4.0,6.0,2.0,16.0,10.0,35.0,34.0,41.0,37.0,13.0,11.0,7.0,21.0,26.0,15.0,38.0,22.0,66.0,1723.0,101.0,14.0,9.0,2473.0,68.0,19.0
178,0.0,2.0,1.0,19.0,5.0,6.0,7.0,4.0,21.0,15.0,32.0,31.0,33.0,17.0,60.0,311.0,11.0,23.0,156.0,12.0,182.0,42.0,1494.0,44.0,22.0,25.0,9.0,99.0,43.0,24.0
227,1.0,4.0,0.0,7.0,2.0,3.0,5.0,6.0,17.0,29.0,22.0,21.0,25.0,50.0,43.0,26.0,10.0,8.0,66.0,99.0,32.0,11.0,51.0,58.0,13.0,52.0,18.0,41.0,34.0,23.0
276,0.0,3.0,4.0,11.0,1.0,2.0,9.0,5.0,34.0,17.0,15.0,14.0,12.0,138.0,6.0,62.0,10.0,22.0,71.0,137.0,93.0,112.0,47.0,327.0,8.0,30.0,26.0,16.0,27.0,24.0
325,6.0,3.0,2.0,15.0,1.0,0.0,5.0,4.0,7.0,8.0,62.0,61.0,65.0,18.0,13.0,21.0,16.0,12.0,17.0,33.0,136.0,30.0,35.0,208.0,79.0,63.0,29.0,1578.0,127.0,36.0
374,2.0,0.0,1.0,9.0,6.0,5.0,7.0,3.0,14.0,4.0,24.0,23.0,32.0,63.0,8.0,29.0,15.0,11.0,41.0,307.0,65.0,53.0,1385.0,456.0,27.0,19.0,10.0,114.0,39.0,36.0
423,0.0,2.0,1.0,19.0,4.0,3.0,15.0,8.0,28.0,10.0,26.0,27.0,31.0,20.0,16.0,97.0,44.0,13.0,17.0,21.0,65.0,47.0,98.0,697.0,5.0,23.0,12.0,11.0,45.0,67.0
472,1.0,0.0,2.0,6.0,4.0,5.0,7.0,8.0,12.0,3.0,30.0,29.0,32.0,111.0,10.0,18.0,9.0,44.0,99.0,42.0,14.0,35.0,31.0,614.0,11.0,13.0,67.0,40.0,39.0,26.0
521,1.0,2.0,0.0,13.0,21.0,20.0,6.0,3.0,7.0,5.0,11.0,10.0,12.0,18.0,66.0,17.0,64.0,15.0,868.0,4.0,35.0,52.0,8.0,90.0,31.0,38.0,179.0,32.0,28.0,96.0
