,Akt_pS473,RAD51,GATA3,MSH6,Chk1,Stathmin,Heregulin,PRAS40_pT246,VAV1,Caspase-7_cleavedD198,NDRG1_pT346,Lck,Tuberin_pT1462,p27_pT157,Chk1_pS345,MAPK_pT202_Y204,Bcl-2,VHL,Rictor_pT1135,Bax,PKC-alpha,HER3,A-Raf_pS299,GSK3_pS9,Akt,CDK1,p62 Lck ligand,Porin,XBP1,NF-kB-p65_pS536
0,0.0,1.0,9.0,4.0,2.0,21.0,3.0,36.0,10.0,15.0,8.0,11.0,39.0,12.0,7.0,6.0,18.0,47.0,17.0,85.0,128.0,43.0,22.0,67.0,33.0,50.0,101.0,93.0,114.0,130.0
49,0.0,8.0,28.0,7.0,2.0,5.0,1.0,3.0,13.0,10.0,4.0,6.0,9.0,17.0,35.0,15.0,110.0,38.0,25.0,11.0,137.0,39.0,23.0,136.0,76.0,21.0,66.0,101.0,32.0,48.0
98,0.0,1.0,2.0,20.0,11.0,3.0,5.0,4.0,67.0,9.0,6.0,8.0,15.0,28.0,30.0,7.0,107.0,18.0,31.0,101.0,43.0,16.0,26.0,149.0,123.0,22.0,143.0,117.0,71.0,53.0
147,0.0,1.0,4.0,71.0,5.0,123.0,2.0,9.0,8.0,12.0,3.0,7.0,17.0,51.0,22.0,6.0,33.0,78.0,14.0,10.0,156.0,108.0,36.0,87.0,61.0,11.0,43.0,25.0,46.0,153.0
196,1.0,2.0,8.0,0.0,7.0,19.0,4.0,11.0,14.0,5.0,3.0,24.0,13.0,41.0,37.0,21.0,23.0,12.0,112.0,6.0,38.0,39.0,17.0,30.0,36.0,98.0,78.0,105.0,46.0,99.0
245,0.0,5.0,48.0,2.0,35.0,10.0,1.0,4.0,8.0,9.0,3.0,12.0,17.0,31.0,15.0,73.0,39.0,19.0,33.0,32.0,43.0,36.0,18.0,78.0,87.0,41.0,69.0,140.0,6.0,122.0
294,0.0,1.0,4.0,18.0,8.0,13.0,2.0,3.0,20.0,5.0,7.0,14.0,161.0,23.0,57.0,6.0,22.0,10.0,29.0,91.0,141.0,69.0,11.0,40.0,15.0,162.0,72.0,76.0,70.0,47.0
343,0.0,1.0,6.0,3.0,2.0,5.0,7.0,8.0,34.0,15.0,14.0,9.0,24.0,39.0,65.0,4.0,70.0,18.0,23.0,35.0,36.0,29.0,11.0,12.0,62.0,57.0,78.0,138.0,61.0,92.0
392,0.0,2.0,1.0,3.0,10.0,21.0,5.0,6.0,8.0,12.0,11.0,4.0,17.0,38.0,13.0,15.0,156.0,22.0,30.0,36.0,39.0,23.0,24.0,28.0,35.0,9.0,33.0,79.0,143.0,105.0
441,0.0,5.0,6.0,4.0,7.0,10.0,3.0,2.0,8.0,1.0,9.0,12.0,34.0,66.0,15.0,13.0,39.0,18.0,14.0,19.0,21.0,24.0,37.0,75.0,50.0,22.0,63.0,93.0,140.0,54.0
490,0.0,4.0,3.0,7.0,2.0,9.0,5.0,14.0,1.0,10.0,33.0,17.0,15.0,28.0,8.0,6.0,43.0,101.0,59.0,37.0,72.0,105.0,34.0,11.0,41.0,26.0,30.0,22.0,45.0,74.0
539,0.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0,48.0,8.0,11.0,30.0,22.0,40.0,10.0,12.0,110.0,50.0,47.0,13.0,29.0,34.0,87.0,9.0,32.0,17.0,35.0,60.0,51.0,43.0
588,0.0,5.0,2.0,1.0,3.0,4.0,7.0,6.0,11.0,26.0,14.0,8.0,18.0,12.0,25.0,9.0,126.0,58.0,19.0,64.0,50.0,74.0,56.0,20.0,10.0,16.0,94.0,100.0,54.0,123.0
637,0.0,1.0,9.0,3.0,2.0,4.0,5.0,14.0,6.0,45.0,20.0,22.0,8.0,25.0,7.0,23.0,34.0,18.0,21.0,31.0,19.0,102.0,49.0,17.0,24.0,39.0,98.0,55.0,12.0,62.0
686,0.0,1.0,2.0,3.0,5.0,8.0,7.0,18.0,15.0,19.0,6.0,21.0,4.0,11.0,16.0,10.0,12.0,22.0,37.0,55.0,14.0,29.0,40.0,9.0,27.0,17.0,146.0,13.0,25.0,101.0
735,0.0,3.0,1.0,5.0,20.0,4.0,23.0,75.0,15.0,9.0,16.0,7.0,6.0,32.0,2.0,10.0,27.0,137.0,70.0,51.0,22.0,88.0,113.0,17.0,44.0,85.0,25.0,13.0,28.0,104.0
784,0.0,4.0,3.0,1.0,2.0,7.0,8.0,32.0,31.0,44.0,21.0,12.0,5.0,6.0,9.0,38.0,27.0,13.0,50.0,17.0,11.0,40.0,72.0,23.0,43.0,19.0,10.0,14.0,118.0,104.0
833,0.0,2.0,1.0,10.0,3.0,7.0,12.0,4.0,8.0,75.0,14.0,18.0,5.0,38.0,24.0,16.0,97.0,26.0,56.0,66.0,11.0,101.0,149.0,99.0,133.0,34.0,25.0,65.0,15.0,19.0
882,0.0,1.0,2.0,3.0,44.0,7.0,13.0,5.0,27.0,6.0,9.0,17.0,4.0,31.0,26.0,55.0,87.0,35.0,40.0,34.0,21.0,30.0,63.0,77.0,51.0,8.0,12.0,49.0,28.0,25.0
931,0.0,2.0,1.0,4.0,3.0,8.0,9.0,17.0,25.0,12.0,6.0,66.0,16.0,5.0,13.0,23.0,120.0,33.0,94.0,133.0,11.0,30.0,100.0,10.0,46.0,28.0,85.0,61.0,35.0,117.0
