,HAEMATOPOIETIC,AERODIGESTIVE,OESOPHAGUS,SOFT_TISSUE,STOMACH,ENDOMETRIUM,LARGE_INTESTINE,LIVER,GANGLIA,PROSTATE,PANCREAS,BILIARY,THYROID,SALIVARY,URINARY,LUNG,SKIN,BONE,PLEURA,BREAST,NERVOUS,KIDNEY,OVARY
45,0.0,1.0,4.0,2.0,3.0,6.0,5.0,14.0,7.0,8.0,9.0,11.0,13.0,12.0,17.0,15.0,18.0,19.0,10.0,21.0,16.0,20.0,22.0
94,0.0,1.0,3.0,2.0,4.0,7.0,6.0,12.0,5.0,16.0,13.0,8.0,10.0,11.0,9.0,18.0,14.0,20.0,17.0,15.0,19.0,21.0,22.0
143,0.0,3.0,2.0,1.0,4.0,7.0,5.0,15.0,8.0,9.0,6.0,11.0,13.0,12.0,14.0,17.0,18.0,21.0,10.0,19.0,16.0,20.0,22.0
192,0.0,1.0,3.0,2.0,4.0,9.0,7.0,10.0,6.0,5.0,8.0,11.0,12.0,13.0,17.0,15.0,18.0,19.0,14.0,16.0,20.0,21.0,22.0
241,0.0,1.0,2.0,3.0,4.0,13.0,9.0,5.0,8.0,14.0,12.0,6.0,10.0,11.0,7.0,16.0,20.0,19.0,15.0,17.0,18.0,21.0,22.0
290,0.0,1.0,2.0,3.0,14.0,4.0,5.0,15.0,6.0,8.0,9.0,11.0,7.0,12.0,13.0,18.0,21.0,17.0,10.0,19.0,16.0,20.0,22.0
339,0.0,1.0,2.0,3.0,14.0,8.0,4.0,10.0,5.0,6.0,7.0,16.0,12.0,15.0,13.0,11.0,18.0,19.0,9.0,20.0,17.0,21.0,22.0
388,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,7.0,9.0,16.0,11.0,12.0,14.0,13.0,15.0,17.0,19.0,10.0,18.0,20.0,21.0,22.0
437,0.0,1.0,2.0,3.0,4.0,10.0,8.0,17.0,7.0,6.0,5.0,12.0,14.0,13.0,15.0,16.0,18.0,21.0,11.0,9.0,19.0,20.0,22.0
486,0.0,1.0,3.0,2.0,4.0,6.0,9.0,5.0,7.0,8.0,10.0,12.0,14.0,13.0,16.0,17.0,19.0,21.0,11.0,18.0,15.0,20.0,22.0
535,0.0,1.0,5.0,2.0,3.0,10.0,9.0,4.0,6.0,8.0,7.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,11.0,22.0,19.0,20.0,21.0
584,0.0,1.0,2.0,4.0,3.0,6.0,9.0,5.0,7.0,8.0,10.0,12.0,14.0,13.0,15.0,17.0,18.0,16.0,11.0,19.0,20.0,21.0,22.0
633,0.0,1.0,2.0,4.0,3.0,6.0,9.0,5.0,8.0,7.0,10.0,17.0,14.0,13.0,16.0,12.0,18.0,19.0,11.0,20.0,21.0,15.0,22.0
682,0.0,2.0,1.0,4.0,5.0,6.0,9.0,3.0,7.0,8.0,10.0,12.0,14.0,13.0,15.0,17.0,16.0,18.0,11.0,19.0,22.0,20.0,21.0
