,cytidine,1-methylnicotinamide,C16:0 LPE,pantothenate,uracil,pyroglutamic acid,cystathionine,valerylcarnitine,2-deoxyadenosine,C36:1 DAG,2-deoxycytidine,guanosine,alpha-glycerophosphate,adenosine,butyrylcarnitine/isobutyrylcarnitine,3-phosphoglycerate,sarcosine,PEP,C34:4 PC,serotonin,niacinamide,palmitoylcarnitine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,uridine,isocitrate,GABA,C18:0 LPC,C22:6 CE,creatinine
21,1.0,0.0,4.0,5.0,6.0,21.0,28.0,26.0,24.0,8.0,11.0,33.0,19.0,17.0,20.0,3.0,25.0,9.0,16.0,40.0,18.0,23.0,14.0,2.0,10.0,31.0,12.0,7.0,27.0,13.0
70,4.0,2.0,0.0,6.0,1.0,3.0,11.0,16.0,26.0,44.0,29.0,5.0,23.0,13.0,32.0,9.0,31.0,22.0,37.0,38.0,45.0,35.0,12.0,59.0,34.0,43.0,28.0,7.0,33.0,10.0
119,1.0,4.0,8.0,2.0,3.0,9.0,14.0,22.0,60.0,16.0,56.0,0.0,23.0,17.0,11.0,19.0,13.0,6.0,44.0,32.0,25.0,21.0,27.0,20.0,35.0,15.0,49.0,5.0,7.0,12.0
168,2.0,0.0,3.0,7.0,5.0,10.0,4.0,17.0,21.0,51.0,8.0,1.0,38.0,55.0,28.0,12.0,20.0,13.0,24.0,6.0,56.0,22.0,53.0,19.0,30.0,23.0,32.0,9.0,29.0,48.0
217,0.0,2.0,18.0,11.0,3.0,10.0,8.0,25.0,17.0,4.0,26.0,1.0,32.0,14.0,7.0,13.0,21.0,12.0,15.0,22.0,40.0,33.0,16.0,6.0,9.0,30.0,20.0,5.0,36.0,47.0
266,0.0,1.0,15.0,2.0,3.0,13.0,22.0,30.0,20.0,6.0,37.0,4.0,35.0,19.0,42.0,12.0,31.0,10.0,57.0,17.0,45.0,9.0,24.0,5.0,14.0,25.0,8.0,18.0,43.0,7.0
315,1.0,4.0,8.0,2.0,3.0,13.0,9.0,40.0,22.0,38.0,42.0,11.0,33.0,19.0,29.0,18.0,5.0,6.0,30.0,14.0,10.0,0.0,31.0,7.0,26.0,15.0,16.0,24.0,12.0,32.0
364,4.0,5.0,1.0,0.0,2.0,10.0,11.0,20.0,13.0,9.0,28.0,7.0,14.0,24.0,33.0,18.0,23.0,6.0,31.0,17.0,15.0,3.0,40.0,34.0,19.0,43.0,41.0,25.0,21.0,22.0
413,6.0,5.0,9.0,1.0,2.0,35.0,7.0,29.0,47.0,3.0,22.0,8.0,34.0,36.0,16.0,11.0,13.0,23.0,15.0,30.0,21.0,0.0,44.0,24.0,4.0,54.0,10.0,26.0,40.0,14.0
462,2.0,0.0,1.0,6.0,4.0,8.0,7.0,37.0,33.0,30.0,27.0,9.0,17.0,61.0,15.0,24.0,23.0,32.0,21.0,11.0,49.0,13.0,28.0,16.0,3.0,31.0,5.0,10.0,18.0,26.0
511,2.0,3.0,23.0,10.0,0.0,1.0,12.0,4.0,13.0,43.0,8.0,11.0,5.0,15.0,16.0,19.0,27.0,35.0,31.0,6.0,18.0,7.0,44.0,34.0,39.0,24.0,17.0,26.0,45.0,58.0
560,2.0,1.0,44.0,3.0,14.0,4.0,10.0,48.0,11.0,7.0,17.0,37.0,13.0,5.0,20.0,6.0,0.0,9.0,12.0,22.0,29.0,26.0,21.0,49.0,24.0,27.0,19.0,35.0,57.0,39.0
609,0.0,2.0,5.0,14.0,10.0,1.0,7.0,31.0,6.0,15.0,24.0,42.0,8.0,30.0,19.0,4.0,3.0,41.0,52.0,32.0,16.0,9.0,22.0,46.0,21.0,18.0,11.0,13.0,43.0,12.0
658,0.0,10.0,14.0,11.0,6.0,5.0,44.0,2.0,17.0,9.0,15.0,21.0,13.0,1.0,48.0,24.0,8.0,30.0,39.0,50.0,20.0,12.0,7.0,55.0,4.0,29.0,49.0,3.0,42.0,25.0
707,0.0,6.0,2.0,4.0,18.0,12.0,15.0,10.0,39.0,14.0,9.0,40.0,37.0,3.0,21.0,1.0,20.0,13.0,34.0,31.0,25.0,35.0,23.0,19.0,43.0,26.0,60.0,5.0,8.0,49.0
756,2.0,3.0,1.0,4.0,22.0,8.0,24.0,6.0,5.0,16.0,30.0,19.0,0.0,7.0,50.0,21.0,54.0,37.0,29.0,9.0,41.0,11.0,17.0,51.0,42.0,53.0,14.0,32.0,45.0,15.0
805,13.0,1.0,5.0,0.0,3.0,7.0,9.0,2.0,15.0,20.0,18.0,4.0,10.0,14.0,37.0,11.0,16.0,21.0,19.0,23.0,17.0,55.0,8.0,25.0,36.0,45.0,30.0,28.0,49.0,6.0
854,1.0,0.0,2.0,8.0,15.0,6.0,55.0,17.0,9.0,5.0,3.0,19.0,13.0,12.0,16.0,23.0,11.0,35.0,46.0,7.0,4.0,36.0,10.0,26.0,25.0,57.0,30.0,28.0,29.0,27.0
903,5.0,7.0,1.0,2.0,4.0,0.0,31.0,10.0,33.0,11.0,23.0,18.0,3.0,14.0,21.0,9.0,6.0,17.0,36.0,26.0,15.0,20.0,16.0,39.0,22.0,46.0,13.0,24.0,27.0,8.0
952,0.0,4.0,23.0,3.0,1.0,7.0,26.0,5.0,21.0,20.0,8.0,9.0,25.0,19.0,35.0,15.0,39.0,53.0,27.0,17.0,51.0,2.0,12.0,50.0,58.0,22.0,6.0,13.0,40.0,10.0
1001,4.0,1.0,2.0,5.0,14.0,0.0,24.0,15.0,13.0,43.0,34.0,9.0,6.0,26.0,39.0,20.0,16.0,21.0,8.0,35.0,3.0,62.0,18.0,11.0,51.0,7.0,50.0,37.0,10.0,38.0
1050,0.0,3.0,1.0,2.0,18.0,4.0,41.0,8.0,19.0,43.0,45.0,22.0,34.0,29.0,24.0,6.0,13.0,51.0,11.0,12.0,5.0,39.0,15.0,9.0,31.0,14.0,26.0,17.0,32.0,10.0
1099,0.0,1.0,3.0,11.0,10.0,2.0,23.0,27.0,56.0,43.0,29.0,5.0,55.0,17.0,30.0,21.0,4.0,45.0,18.0,7.0,6.0,12.0,19.0,25.0,44.0,9.0,49.0,36.0,26.0,39.0
1148,1.0,2.0,0.0,8.0,17.0,3.0,5.0,47.0,22.0,12.0,7.0,10.0,32.0,40.0,50.0,39.0,9.0,33.0,30.0,36.0,4.0,14.0,24.0,16.0,11.0,31.0,29.0,57.0,26.0,15.0
1197,0.0,1.0,12.0,2.0,7.0,3.0,6.0,61.0,5.0,17.0,25.0,11.0,10.0,41.0,22.0,31.0,4.0,26.0,24.0,16.0,15.0,48.0,34.0,9.0,43.0,13.0,8.0,39.0,30.0,20.0
1246,2.0,3.0,1.0,13.0,20.0,0.0,18.0,28.0,26.0,4.0,47.0,7.0,8.0,30.0,34.0,17.0,22.0,35.0,37.0,12.0,24.0,57.0,23.0,10.0,40.0,39.0,6.0,29.0,15.0,56.0
1295,4.0,0.0,3.0,5.0,2.0,10.0,18.0,23.0,13.0,43.0,50.0,7.0,12.0,22.0,34.0,47.0,6.0,54.0,25.0,8.0,20.0,37.0,45.0,1.0,58.0,17.0,28.0,30.0,40.0,35.0
1344,2.0,1.0,0.0,6.0,3.0,4.0,35.0,29.0,16.0,18.0,54.0,27.0,40.0,14.0,22.0,21.0,10.0,39.0,7.0,17.0,19.0,26.0,49.0,8.0,25.0,59.0,9.0,45.0,31.0,57.0
