,Bax,Caspase-7_cleavedD198,GAPDH,XBP1,YB-1_pS102,HER3,Notch1,CD49b,FRA1,ASNS,CDK1,p38_pT180_Y182,PEA15_pS116,RAD51,HSP70,PDCD4,14-3-3_zeta,G6PD,MEK1_pS217_S221,Beclin,Src_pY527,ACVRL1,FoxM1,PAI-1,NDRG1_pT346,Annexin 1,Chk2,PRAS40_pT246,MDMX_MDM4(BetIHC-00108),HER2
2,0.0,2.0,7.0,3.0,21.0,15.0,8.0,1.0,10.0,20.0,4.0,12.0,9.0,6.0,34.0,18.0,16.0,5.0,50.0,22.0,44.0,40.0,26.0,23.0,24.0,30.0,31.0,14.0,43.0,27.0
51,0.0,1.0,14.0,5.0,9.0,7.0,8.0,4.0,2.0,13.0,3.0,26.0,12.0,11.0,10.0,45.0,18.0,6.0,47.0,24.0,21.0,35.0,20.0,42.0,28.0,22.0,29.0,33.0,43.0,27.0
100,0.0,1.0,3.0,5.0,6.0,9.0,12.0,10.0,8.0,13.0,7.0,17.0,18.0,2.0,16.0,33.0,30.0,4.0,44.0,26.0,42.0,80.0,14.0,31.0,77.0,20.0,41.0,23.0,102.0,35.0
149,0.0,1.0,2.0,3.0,7.0,37.0,9.0,5.0,10.0,12.0,4.0,8.0,11.0,14.0,19.0,21.0,25.0,13.0,29.0,15.0,57.0,39.0,22.0,30.0,28.0,6.0,51.0,26.0,55.0,48.0
198,0.0,4.0,8.0,1.0,9.0,10.0,5.0,14.0,2.0,13.0,3.0,28.0,19.0,6.0,37.0,21.0,24.0,12.0,46.0,7.0,35.0,25.0,18.0,70.0,43.0,20.0,23.0,16.0,58.0,68.0
247,0.0,1.0,10.0,3.0,11.0,5.0,9.0,8.0,6.0,7.0,2.0,19.0,12.0,13.0,28.0,35.0,24.0,16.0,39.0,21.0,46.0,25.0,4.0,34.0,33.0,31.0,92.0,29.0,43.0,36.0
296,1.0,4.0,0.0,3.0,11.0,8.0,7.0,5.0,18.0,9.0,2.0,28.0,13.0,6.0,12.0,21.0,10.0,19.0,55.0,14.0,39.0,25.0,20.0,41.0,45.0,22.0,47.0,38.0,82.0,36.0
345,1.0,4.0,2.0,3.0,7.0,8.0,14.0,0.0,9.0,13.0,5.0,12.0,15.0,18.0,21.0,40.0,10.0,6.0,47.0,20.0,33.0,48.0,11.0,61.0,17.0,32.0,75.0,44.0,69.0,24.0
394,0.0,2.0,3.0,1.0,6.0,15.0,17.0,4.0,16.0,8.0,5.0,12.0,11.0,18.0,41.0,19.0,9.0,10.0,53.0,29.0,59.0,68.0,20.0,51.0,32.0,47.0,14.0,24.0,25.0,30.0
443,0.0,1.0,4.0,3.0,19.0,6.0,24.0,7.0,17.0,8.0,9.0,57.0,5.0,10.0,34.0,11.0,18.0,2.0,33.0,15.0,49.0,43.0,13.0,12.0,39.0,27.0,35.0,16.0,77.0,51.0
492,3.0,2.0,5.0,0.0,4.0,8.0,16.0,38.0,1.0,37.0,7.0,14.0,32.0,30.0,28.0,45.0,21.0,11.0,18.0,19.0,29.0,86.0,10.0,56.0,47.0,27.0,17.0,33.0,46.0,50.0
541,0.0,4.0,24.0,3.0,2.0,17.0,7.0,9.0,1.0,39.0,10.0,5.0,23.0,18.0,31.0,15.0,12.0,19.0,6.0,16.0,26.0,81.0,27.0,28.0,22.0,44.0,57.0,30.0,21.0,50.0
