,hsa-miR-518b,hsa-miR-329,hsa-miR-28-3p,hsa-miR-1539,hsa-miR-1246,hsa-miR-30c,hsa-miR-1180,hsa-miR-671-5p,hsa-miR-216a,hsa-miR-339-5p,hsa-miR-615-3p,hsa-miR-9,hsa-miR-671-3p,hsa-miR-139-5p,hsa-miR-582-5p,hsa-miR-934,hsa-miR-1256,hsa-miR-103,hsa-miR-1185,hsa-miR-30e,hsa-miR-375,hsa-miR-582-3p,hsa-miR-1975,hsa-miR-384,hsa-miR-323-3p,hsa-miR-101,hsa-miR-662,hsa-miR-320d,hsa-miR-2053,hsa-miR-505
1146,8.0,18.0,60.0,39.0,395.0,20.0,540.0,14.0,26.0,96.0,159.0,356.0,35.0,23.0,221.0,152.0,12.0,19.0,516.0,25.0,625.0,223.0,85.0,32.0,593.0,22.0,333.0,72.0,393.0,117.0
1195,20.0,26.0,32.0,62.0,51.0,86.0,14.0,27.0,39.0,108.0,109.0,351.0,320.0,44.0,161.0,79.0,22.0,36.0,60.0,585.0,106.0,176.0,128.0,613.0,580.0,141.0,94.0,70.0,129.0,16.0
1244,22.0,9.0,98.0,74.0,26.0,627.0,107.0,3.0,35.0,90.0,167.0,290.0,114.0,37.0,20.0,158.0,66.0,85.0,63.0,625.0,103.0,240.0,416.0,564.0,19.0,149.0,88.0,78.0,170.0,51.0
1293,11.0,13.0,100.0,33.0,442.0,35.0,43.0,80.0,45.0,66.0,30.0,347.0,324.0,38.0,55.0,105.0,24.0,147.0,69.0,96.0,92.0,202.0,116.0,602.0,581.0,2.0,103.0,102.0,414.0,134.0
1342,17.0,23.0,1.0,25.0,19.0,571.0,102.0,96.0,57.0,64.0,126.0,311.0,73.0,52.0,60.0,120.0,112.0,152.0,459.0,47.0,161.0,235.0,117.0,600.0,581.0,22.0,355.0,135.0,15.0,72.0
1391,18.0,27.0,63.0,490.0,22.0,595.0,48.0,87.0,152.0,33.0,121.0,59.0,101.0,68.0,156.0,90.0,85.0,180.0,556.0,593.0,72.0,35.0,97.0,620.0,589.0,117.0,336.0,26.0,390.0,54.0
1440,67.0,77.0,3.0,12.0,97.0,110.0,452.0,22.0,34.0,109.0,182.0,266.0,358.0,46.0,85.0,260.0,52.0,457.0,108.0,13.0,112.0,211.0,21.0,563.0,627.0,458.0,155.0,69.0,156.0,121.0
1489,119.0,89.0,23.0,38.0,35.0,568.0,32.0,19.0,63.0,97.0,9.0,263.0,22.0,100.0,28.0,145.0,169.0,123.0,105.0,596.0,48.0,234.0,8.0,68.0,156.0,94.0,70.0,93.0,415.0,140.0
1538,46.0,82.0,114.0,27.0,165.0,23.0,115.0,66.0,104.0,37.0,36.0,25.0,116.0,143.0,63.0,120.0,171.0,131.0,105.0,73.0,629.0,2.0,124.0,50.0,32.0,468.0,369.0,57.0,117.0,515.0
1587,61.0,56.0,35.0,29.0,463.0,41.0,63.0,70.0,115.0,54.0,189.0,23.0,38.0,110.0,75.0,18.0,11.0,116.0,33.0,1.0,609.0,34.0,52.0,101.0,156.0,277.0,352.0,15.0,20.0,88.0
1636,71.0,132.0,8.0,14.0,90.0,52.0,458.0,79.0,32.0,110.0,73.0,12.0,41.0,92.0,63.0,58.0,59.0,160.0,115.0,569.0,70.0,131.0,16.0,36.0,35.0,463.0,313.0,27.0,39.0,69.0
1685,23.0,447.0,52.0,64.0,26.0,137.0,89.0,10.0,28.0,24.0,48.0,8.0,67.0,125.0,49.0,81.0,202.0,92.0,70.0,101.0,512.0,66.0,129.0,594.0,113.0,304.0,124.0,57.0,107.0,613.0
1734,16.0,86.0,13.0,15.0,444.0,10.0,38.0,100.0,119.0,90.0,194.0,2.0,20.0,104.0,49.0,55.0,77.0,142.0,64.0,596.0,136.0,47.0,418.0,24.0,54.0,118.0,31.0,21.0,408.0,502.0
1783,52.0,122.0,158.0,8.0,441.0,120.0,35.0,108.0,30.0,46.0,71.0,159.0,23.0,166.0,29.0,131.0,53.0,460.0,67.0,3.0,603.0,27.0,14.0,18.0,105.0,68.0,126.0,133.0,125.0,502.0
1832,615.0,22.0,156.0,67.0,228.0,25.0,70.0,9.0,165.0,68.0,84.0,357.0,57.0,102.0,60.0,94.0,91.0,348.0,122.0,100.0,457.0,256.0,538.0,452.0,88.0,344.0,96.0,78.0,39.0,184.0
1881,32.0,25.0,13.0,117.0,451.0,573.0,60.0,85.0,136.0,75.0,227.0,53.0,26.0,71.0,66.0,80.0,149.0,114.0,95.0,20.0,123.0,140.0,428.0,49.0,84.0,34.0,127.0,76.0,18.0,113.0
1930,28.0,5.0,55.0,57.0,47.0,44.0,105.0,150.0,20.0,49.0,114.0,54.0,144.0,40.0,35.0,69.0,100.0,62.0,76.0,11.0,52.0,231.0,8.0,528.0,75.0,43.0,88.0,37.0,408.0,42.0
1979,25.0,19.0,28.0,35.0,47.0,50.0,118.0,87.0,416.0,129.0,10.0,132.0,375.0,107.0,172.0,51.0,52.0,144.0,109.0,429.0,74.0,41.0,37.0,627.0,423.0,29.0,85.0,33.0,447.0,108.0
2028,19.0,63.0,102.0,376.0,11.0,98.0,52.0,299.0,97.0,42.0,41.0,33.0,300.0,35.0,84.0,34.0,37.0,461.0,139.0,598.0,51.0,21.0,132.0,601.0,55.0,91.0,105.0,627.0,409.0,96.0
2077,21.0,62.0,78.0,51.0,23.0,119.0,95.0,45.0,113.0,107.0,177.0,342.0,308.0,134.0,170.0,169.0,40.0,462.0,39.0,33.0,16.0,60.0,415.0,564.0,102.0,88.0,84.0,626.0,406.0,143.0
2126,17.0,26.0,0.0,145.0,13.0,4.0,39.0,29.0,46.0,103.0,165.0,68.0,348.0,62.0,123.0,47.0,34.0,459.0,56.0,595.0,35.0,87.0,54.0,599.0,115.0,25.0,112.0,14.0,411.0,66.0
2175,26.0,20.0,127.0,57.0,464.0,5.0,512.0,106.0,105.0,92.0,13.0,34.0,109.0,176.0,95.0,128.0,79.0,9.0,80.0,6.0,63.0,83.0,38.0,55.0,153.0,177.0,60.0,94.0,409.0,58.0
2224,70.0,46.0,126.0,40.0,22.0,84.0,121.0,74.0,108.0,51.0,227.0,47.0,313.0,27.0,13.0,37.0,50.0,460.0,79.0,77.0,38.0,64.0,424.0,601.0,105.0,98.0,97.0,21.0,9.0,110.0
2273,47.0,12.0,40.0,380.0,31.0,28.0,82.0,309.0,116.0,91.0,117.0,105.0,72.0,150.0,60.0,71.0,84.0,461.0,120.0,42.0,34.0,111.0,144.0,81.0,99.0,462.0,18.0,571.0,35.0,85.0
2322,61.0,41.0,10.0,89.0,18.0,37.0,49.0,48.0,158.0,134.0,185.0,340.0,24.0,120.0,11.0,17.0,44.0,42.0,132.0,66.0,28.0,126.0,414.0,7.0,102.0,172.0,56.0,624.0,45.0,117.0
2371,65.0,156.0,573.0,94.0,84.0,41.0,43.0,72.0,36.0,47.0,159.0,305.0,336.0,68.0,124.0,78.0,109.0,29.0,102.0,598.0,20.0,28.0,415.0,105.0,45.0,152.0,66.0,56.0,1.0,89.0
2420,40.0,78.0,578.0,379.0,97.0,21.0,68.0,93.0,35.0,43.0,236.0,71.0,336.0,150.0,104.0,87.0,105.0,460.0,62.0,90.0,129.0,23.0,134.0,600.0,65.0,106.0,18.0,628.0,412.0,77.0
2469,20.0,13.0,8.0,32.0,4.0,157.0,54.0,52.0,119.0,34.0,264.0,18.0,176.0,38.0,82.0,29.0,117.0,329.0,100.0,14.0,74.0,94.0,154.0,171.0,113.0,73.0,124.0,90.0,479.0,623.0
2518,30.0,78.0,586.0,84.0,117.0,55.0,62.0,96.0,71.0,152.0,203.0,276.0,370.0,21.0,142.0,82.0,119.0,145.0,146.0,571.0,605.0,228.0,425.0,14.0,155.0,164.0,112.0,40.0,122.0,150.0
2567,38.0,18.0,15.0,370.0,33.0,143.0,42.0,124.0,86.0,65.0,43.0,44.0,329.0,89.0,199.0,111.0,434.0,460.0,9.0,0.0,126.0,30.0,78.0,526.0,618.0,114.0,299.0,619.0,117.0,134.0
2616,15.0,5.0,58.0,452.0,4.0,51.0,49.0,35.0,17.0,53.0,23.0,92.0,328.0,38.0,68.0,44.0,73.0,37.0,34.0,47.0,128.0,27.0,93.0,583.0,83.0,110.0,186.0,444.0,501.0,605.0
2665,4.0,67.0,69.0,44.0,37.0,111.0,103.0,39.0,160.0,24.0,179.0,33.0,50.0,166.0,48.0,176.0,66.0,315.0,85.0,35.0,159.0,259.0,478.0,73.0,107.0,161.0,14.0,416.0,407.0,80.0
2714,9.0,0.0,135.0,49.0,121.0,66.0,60.0,29.0,126.0,140.0,65.0,376.0,52.0,169.0,46.0,124.0,78.0,108.0,34.0,5.0,81.0,131.0,30.0,574.0,431.0,28.0,263.0,38.0,95.0,149.0
2763,14.0,19.0,114.0,71.0,18.0,1.0,59.0,51.0,155.0,27.0,90.0,7.0,330.0,161.0,74.0,24.0,68.0,6.0,45.0,12.0,89.0,105.0,80.0,527.0,56.0,55.0,145.0,628.0,84.0,141.0
2812,20.0,1.0,2.0,88.0,19.0,100.0,158.0,30.0,590.0,103.0,329.0,67.0,352.0,91.0,69.0,96.0,92.0,455.0,55.0,625.0,117.0,51.0,409.0,520.0,620.0,34.0,38.0,50.0,72.0,155.0
2861,3.0,59.0,19.0,13.0,105.0,31.0,34.0,46.0,89.0,42.0,7.0,102.0,316.0,134.0,128.0,52.0,33.0,97.0,118.0,6.0,614.0,199.0,381.0,22.0,127.0,72.0,108.0,580.0,372.0,511.0
2910,74.0,95.0,47.0,365.0,8.0,127.0,78.0,48.0,104.0,42.0,107.0,340.0,60.0,384.0,40.0,46.0,102.0,455.0,26.0,105.0,564.0,77.0,63.0,526.0,627.0,456.0,274.0,30.0,136.0,560.0
2959,16.0,24.0,80.0,87.0,13.0,21.0,63.0,328.0,69.0,96.0,116.0,359.0,4.0,42.0,14.0,144.0,78.0,0.0,62.0,23.0,20.0,118.0,60.0,47.0,136.0,40.0,19.0,32.0,38.0,533.0
3008,12.0,8.0,11.0,24.0,57.0,597.0,17.0,38.0,62.0,40.0,28.0,23.0,130.0,137.0,48.0,13.0,122.0,455.0,449.0,97.0,43.0,221.0,27.0,565.0,123.0,25.0,92.0,625.0,406.0,528.0
3057,102.0,49.0,11.0,10.0,91.0,106.0,18.0,61.0,27.0,90.0,31.0,47.0,153.0,140.0,57.0,44.0,72.0,87.0,128.0,95.0,62.0,70.0,84.0,63.0,119.0,126.0,77.0,71.0,88.0,55.0
3106,15.0,13.0,5.0,88.0,29.0,155.0,19.0,61.0,46.0,47.0,27.0,346.0,38.0,99.0,63.0,79.0,105.0,21.0,156.0,54.0,72.0,67.0,39.0,68.0,162.0,150.0,112.0,599.0,157.0,505.0
3155,21.0,38.0,18.0,32.0,61.0,627.0,39.0,60.0,103.0,14.0,105.0,305.0,9.0,35.0,27.0,120.0,64.0,458.0,450.0,625.0,51.0,224.0,414.0,74.0,75.0,459.0,90.0,624.0,112.0,500.0
3204,14.0,11.0,7.0,138.0,33.0,126.0,59.0,77.0,23.0,69.0,30.0,49.0,107.0,133.0,45.0,131.0,79.0,113.0,93.0,6.0,65.0,31.0,9.0,53.0,623.0,73.0,66.0,20.0,97.0,530.0
3253,42.0,47.0,11.0,55.0,437.0,76.0,10.0,100.0,13.0,46.0,19.0,70.0,69.0,37.0,75.0,143.0,146.0,15.0,113.0,44.0,96.0,124.0,2.0,8.0,27.0,138.0,92.0,117.0,17.0,500.0
3302,39.0,55.0,6.0,8.0,158.0,57.0,453.0,61.0,12.0,34.0,36.0,249.0,66.0,60.0,133.0,149.0,125.0,89.0,122.0,595.0,107.0,53.0,4.0,157.0,31.0,458.0,128.0,628.0,59.0,504.0
3351,156.0,142.0,11.0,52.0,124.0,83.0,12.0,59.0,15.0,103.0,122.0,80.0,44.0,95.0,71.0,97.0,138.0,128.0,41.0,3.0,57.0,85.0,21.0,33.0,56.0,136.0,81.0,32.0,65.0,501.0
3400,71.0,78.0,11.0,1.0,55.0,10.0,31.0,300.0,8.0,59.0,24.0,338.0,139.0,90.0,13.0,88.0,149.0,96.0,57.0,19.0,22.0,47.0,28.0,103.0,73.0,122.0,45.0,50.0,97.0,500.0
3449,40.0,9.0,21.0,30.0,77.0,50.0,17.0,67.0,13.0,98.0,74.0,87.0,230.0,63.0,36.0,68.0,55.0,59.0,95.0,566.0,75.0,177.0,418.0,8.0,69.0,4.0,106.0,47.0,7.0,45.0
3498,23.0,52.0,26.0,76.0,443.0,7.0,65.0,101.0,21.0,106.0,141.0,19.0,92.0,84.0,42.0,97.0,436.0,2.0,95.0,105.0,611.0,119.0,12.0,606.0,32.0,462.0,278.0,571.0,82.0,99.0
3547,36.0,39.0,102.0,17.0,183.0,10.0,157.0,47.0,25.0,74.0,11.0,78.0,356.0,42.0,123.0,166.0,95.0,38.0,40.0,445.0,35.0,136.0,56.0,581.0,72.0,106.0,82.0,440.0,13.0,604.0
3596,14.0,3.0,9.0,44.0,178.0,4.0,91.0,77.0,118.0,60.0,136.0,74.0,32.0,61.0,133.0,76.0,101.0,273.0,117.0,439.0,585.0,249.0,138.0,23.0,33.0,2.0,171.0,126.0,98.0,571.0
