,PTEN,MEK1_pS217_S221,Cyclin_D1,GAPDH,Bcl-2,Rab25,FOXO3a,FoxM1,GSK3_pS9,GSK-3-BETA,CDK1,IRS1,HER3,GATA3,MIG-6,VAV1,Smad3,Src_pY527,Transglutaminase,p38_pT180_Y182,HSP70,Bax,p27_pT157,N-Cadherin,Chk1,G6PD,FRA1,TIGAR,Rb_pS807_S811,JNK_pT183_Y185
2,4.0,6.0,18.0,0.0,7.0,14.0,2.0,11.0,21.0,17.0,5.0,3.0,1.0,24.0,13.0,44.0,20.0,19.0,12.0,26.0,30.0,8.0,9.0,27.0,37.0,15.0,40.0,10.0,46.0,48.0
51,4.0,7.0,17.0,3.0,0.0,5.0,12.0,1.0,10.0,8.0,13.0,20.0,2.0,6.0,38.0,35.0,14.0,18.0,11.0,15.0,22.0,25.0,27.0,16.0,9.0,47.0,29.0,46.0,77.0,51.0
100,1.0,3.0,2.0,7.0,0.0,5.0,20.0,8.0,18.0,25.0,6.0,14.0,4.0,35.0,11.0,43.0,10.0,12.0,9.0,16.0,30.0,17.0,13.0,21.0,23.0,42.0,15.0,26.0,54.0,41.0
149,1.0,2.0,3.0,8.0,0.0,19.0,10.0,4.0,7.0,5.0,14.0,11.0,15.0,12.0,16.0,33.0,13.0,9.0,20.0,23.0,28.0,6.0,24.0,41.0,17.0,27.0,29.0,50.0,32.0,42.0
198,3.0,1.0,5.0,2.0,0.0,12.0,19.0,4.0,17.0,7.0,8.0,25.0,6.0,14.0,51.0,29.0,22.0,30.0,10.0,9.0,18.0,11.0,13.0,24.0,15.0,40.0,52.0,34.0,62.0,37.0
247,3.0,5.0,1.0,2.0,0.0,7.0,18.0,12.0,17.0,9.0,6.0,10.0,4.0,22.0,39.0,32.0,11.0,37.0,19.0,13.0,15.0,40.0,30.0,16.0,8.0,31.0,21.0,24.0,50.0,57.0
296,0.0,3.0,13.0,2.0,1.0,26.0,10.0,4.0,24.0,15.0,9.0,16.0,5.0,23.0,25.0,86.0,7.0,22.0,19.0,6.0,50.0,20.0,12.0,8.0,17.0,29.0,31.0,32.0,51.0,30.0
345,1.0,4.0,6.0,3.0,0.0,10.0,9.0,5.0,7.0,18.0,14.0,34.0,2.0,19.0,11.0,49.0,12.0,16.0,25.0,13.0,36.0,21.0,8.0,23.0,20.0,127.0,17.0,29.0,55.0,33.0
394,2.0,5.0,4.0,6.0,0.0,11.0,9.0,3.0,31.0,14.0,7.0,10.0,1.0,17.0,18.0,50.0,41.0,8.0,30.0,26.0,72.0,20.0,12.0,22.0,32.0,46.0,28.0,25.0,71.0,55.0
443,0.0,8.0,9.0,6.0,5.0,14.0,2.0,30.0,16.0,10.0,18.0,7.0,4.0,12.0,23.0,17.0,11.0,19.0,13.0,1.0,39.0,21.0,15.0,24.0,3.0,22.0,29.0,28.0,66.0,34.0
492,0.0,8.0,2.0,26.0,11.0,1.0,5.0,31.0,4.0,15.0,21.0,6.0,9.0,7.0,13.0,10.0,18.0,39.0,36.0,19.0,28.0,22.0,12.0,3.0,20.0,59.0,43.0,42.0,48.0,62.0
