,hsa-miR-148a,hsa-miR-581,hsa-miR-29c,hsa-miR-604,hsa-miR-378,hsa-miR-125a-3p,hsa-miR-331-5p,hsa-miR-34a,hsa-miR-609,hsa-miR-449b,hsa-miR-142-5p,hsv1-miR-H4-3p,hsa-miR-563,hsa-miR-220a,hsa-miR-615-3p,hsa-miR-187,hsa-miR-300,ebv-miR-BART15,kshv-miR-K12-7,hsa-miR-935,hsa-miR-1538,hcmv-miR-US25-1,hsa-miR-1911,hsa-miR-766,hsv1-miR-H2-3p,hsa-miR-27b,hsa-miR-662,hsa-miR-558,hsa-miR-557,hsa-miR-649
16,0.0,32.0,3.0,11.0,10.0,82.0,7.0,6.0,56.0,8.0,1.0,4.0,16.0,23.0,2.0,17.0,33.0,5.0,24.0,18.0,13.0,25.0,12.0,9.0,53.0,14.0,50.0,42.0,34.0,47.0
65,2.0,19.0,1.0,5.0,11.0,42.0,13.0,25.0,0.0,3.0,24.0,4.0,23.0,32.0,20.0,50.0,16.0,21.0,54.0,8.0,12.0,7.0,9.0,10.0,165.0,41.0,44.0,28.0,67.0,35.0
114,1.0,11.0,0.0,16.0,4.0,88.0,3.0,20.0,8.0,6.0,2.0,21.0,31.0,64.0,14.0,13.0,10.0,15.0,23.0,18.0,9.0,19.0,7.0,5.0,74.0,162.0,34.0,113.0,45.0,36.0
163,0.0,7.0,8.0,6.0,15.0,101.0,5.0,3.0,1.0,10.0,12.0,26.0,16.0,70.0,2.0,18.0,9.0,11.0,78.0,25.0,4.0,33.0,39.0,21.0,19.0,94.0,17.0,23.0,20.0,75.0
212,0.0,6.0,3.0,18.0,12.0,24.0,1.0,2.0,7.0,4.0,5.0,8.0,15.0,35.0,9.0,27.0,39.0,10.0,41.0,14.0,17.0,16.0,33.0,38.0,45.0,44.0,28.0,29.0,42.0,99.0
261,0.0,15.0,2.0,39.0,13.0,70.0,7.0,1.0,14.0,16.0,10.0,18.0,6.0,74.0,4.0,9.0,3.0,12.0,124.0,5.0,22.0,40.0,17.0,11.0,135.0,87.0,8.0,35.0,23.0,29.0
310,2.0,11.0,1.0,7.0,35.0,115.0,3.0,9.0,5.0,15.0,4.0,6.0,0.0,54.0,8.0,10.0,20.0,13.0,71.0,23.0,14.0,21.0,56.0,30.0,61.0,51.0,12.0,16.0,26.0,24.0
359,2.0,8.0,1.0,6.0,25.0,86.0,5.0,13.0,11.0,3.0,20.0,4.0,38.0,36.0,34.0,14.0,31.0,18.0,62.0,43.0,15.0,12.0,48.0,22.0,77.0,24.0,0.0,81.0,73.0,26.0
408,1.0,28.0,2.0,18.0,11.0,24.0,0.0,27.0,6.0,10.0,13.0,22.0,3.0,65.0,5.0,7.0,4.0,31.0,50.0,34.0,9.0,19.0,44.0,12.0,88.0,93.0,20.0,29.0,26.0,30.0
457,4.0,3.0,2.0,18.0,25.0,91.0,15.0,0.0,36.0,1.0,20.0,8.0,11.0,46.0,26.0,9.0,50.0,6.0,19.0,40.0,33.0,42.0,7.0,13.0,145.0,32.0,5.0,10.0,41.0,122.0
