,GALC_DEL,DLG2_DEL,FAM75A6_AMP,FLNA_MUT,NLGN1_DEL,MYO3B_MUT,IFNA7_DEL,CASP1_DEL,LOC283585_DEL,TRIML2_DEL,CNTNAP3B_AMP,IFNA17_DEL,ETS1_DEL,NRXN3_DEL,IFNA16_DEL,GSTM1_DEL,GOLGA8DP_DEL,JAK2_AMP,SORL1_DEL,HSF2BP_DEL,LILRA3_DEL,IFNA4_DEL,KLHL9_DEL,IFNA22P_DEL,SOS1_MUT,PVRL1_DEL,TEX14_MUT,PTEN_DEL,IFNA21_DEL,SHANK2-AS1_AMP
4144,6734.0,325.0,27.0,4.0,956.0,2227.0,796.0,7735.0,218.0,15.0,23.0,512.0,444.0,237.0,6.0,2894.0,28.0,2140.0,24.0,2401.0,1007.0,5028.0,67.0,43.0,783.0,1873.0,1115.0,2317.0,1065.0,442.0
4193,7018.0,75.0,1001.0,1991.0,6742.0,0.0,9.0,57.0,74.0,5126.0,33.0,10.0,31.0,280.0,35.0,972.0,18517.0,69.0,13.0,50.0,2076.0,3.0,43.0,93.0,16913.0,357.0,16714.0,15.0,2478.0,16050.0
4242,2.0,32.0,14.0,563.0,13.0,24.0,3914.0,7736.0,70.0,2177.0,322.0,1494.0,339.0,270.0,93.0,2822.0,20.0,427.0,37.0,2384.0,26.0,3917.0,12394.0,479.0,760.0,2303.0,16486.0,717.0,3939.0,2747.0
4291,0.0,725.0,5.0,301.0,91.0,57.0,3873.0,8.0,1.0,429.0,43.0,59.0,42.0,55.0,3947.0,2998.0,4.0,15085.0,309.0,19971.0,110.0,11.0,112.0,3941.0,999.0,12611.0,523.0,12691.0,2586.0,16094.0
4340,2.0,90.0,15618.0,0.0,6.0,35.0,1484.0,51.0,53.0,54.0,2199.0,4.0,582.0,1011.0,3994.0,1095.0,387.0,15124.0,200.0,2299.0,175.0,3964.0,22.0,133.0,2097.0,12516.0,314.0,750.0,3989.0,16050.0
4389,190.0,10.0,0.0,16633.0,2.0,168.0,301.0,20.0,887.0,531.0,1219.0,9.0,73.0,3291.0,53.0,2778.0,24.0,15027.0,370.0,802.0,978.0,450.0,3.0,30.0,16911.0,11857.0,2216.0,1.0,118.0,16152.0
4438,9.0,4891.0,61.0,126.0,1904.0,0.0,136.0,9577.0,113.0,66.0,24088.0,17.0,1022.0,890.0,1557.0,109.0,745.0,455.0,1764.0,1370.0,1933.0,2769.0,31.0,776.0,3.0,163.0,23.0,12731.0,317.0,49.0
4487,65.0,62.0,21.0,0.0,2.0,16612.0,3037.0,7718.0,6049.0,1951.0,24066.0,96.0,5481.0,1638.0,2988.0,500.0,73.0,392.0,8142.0,19957.0,10.0,2817.0,805.0,809.0,39.0,1112.0,1553.0,1398.0,56.0,16161.0
4536,207.0,7.0,0.0,1.0,14.0,203.0,4438.0,2113.0,287.0,5170.0,360.0,4449.0,81.0,150.0,5.0,1032.0,18645.0,131.0,166.0,689.0,19944.0,2513.0,2134.0,1695.0,16892.0,12023.0,38.0,1223.0,323.0,451.0
4585,149.0,114.0,32.0,2.0,538.0,2571.0,63.0,25.0,652.0,529.0,184.0,366.0,1226.0,9217.0,2938.0,6389.0,18531.0,313.0,8125.0,1925.0,298.0,3600.0,1302.0,38.0,2263.0,368.0,39.0,12728.0,1090.0,0.0
4634,6291.0,1906.0,210.0,16663.0,14.0,596.0,4287.0,508.0,18.0,866.0,24068.0,1061.0,5269.0,4243.0,48.0,3328.0,18518.0,255.0,767.0,19.0,20185.0,1633.0,128.0,122.0,75.0,12158.0,52.0,11573.0,4713.0,64.0
4683,6.0,1447.0,72.0,27.0,87.0,2.0,564.0,212.0,73.0,51.0,360.0,3990.0,4869.0,9192.0,725.0,153.0,36.0,178.0,146.0,2172.0,20070.0,3896.0,74.0,2627.0,39.0,333.0,160.0,12697.0,3994.0,218.0
4732,7051.0,43.0,15544.0,26.0,68.0,28.0,3640.0,15.0,169.0,5166.0,80.0,11.0,644.0,21.0,2808.0,532.0,745.0,1835.0,133.0,20210.0,2244.0,45.0,380.0,12.0,16937.0,252.0,22.0,930.0,3659.0,52.0
4781,603.0,509.0,0.0,1.0,72.0,16555.0,416.0,2172.0,28.0,66.0,30.0,4289.0,5679.0,9228.0,55.0,3293.0,1874.0,92.0,266.0,12.0,19951.0,24.0,1242.0,4300.0,16897.0,12506.0,16473.0,12721.0,4294.0,6.0
4830,7008.0,0.0,5.0,1.0,30.0,1014.0,339.0,7693.0,6262.0,5075.0,24077.0,4.0,4900.0,2.0,2680.0,2891.0,18569.0,740.0,257.0,15.0,20069.0,90.0,12462.0,3640.0,1067.0,961.0,577.0,12733.0,3634.0,9.0
4879,225.0,3.0,242.0,5.0,0.0,624.0,58.0,13.0,239.0,53.0,23664.0,101.0,5201.0,32.0,2558.0,2074.0,19652.0,2.0,4.0,21071.0,21033.0,754.0,21.0,38.0,117.0,2174.0,18.0,7.0,4515.0,171.0
