,GALC_DEL,DLG2_DEL,FAM75A6_AMP,FLNA_MUT,NLGN1_DEL,MYO3B_MUT,IFNA7_DEL,CASP1_DEL,LOC283585_DEL,TRIML2_DEL,CNTNAP3B_AMP,IFNA17_DEL,ETS1_DEL,NRXN3_DEL,IFNA16_DEL,GSTM1_DEL,GOLGA8DP_DEL,JAK2_AMP,SORL1_DEL,HSF2BP_DEL,LILRA3_DEL,IFNA4_DEL,KLHL9_DEL,IFNA22P_DEL,SOS1_MUT,PVRL1_DEL,TEX14_MUT,PTEN_DEL,IFNA21_DEL,SHANK2-AS1_AMP
1449,27.0,4530.0,479.0,2078.0,6864.0,16562.0,670.0,7701.0,131.0,5119.0,24088.0,383.0,4878.0,14.0,81.0,1.0,23.0,457.0,8131.0,19949.0,20194.0,3893.0,12474.0,3914.0,16903.0,12514.0,10.0,12740.0,299.0,707.0
1498,6997.0,30.0,40.0,50.0,6792.0,2080.0,19.0,7682.0,186.0,231.0,23840.0,3737.0,4894.0,9213.0,44.0,3495.0,18619.0,533.0,8136.0,19978.0,514.0,1849.0,61.0,181.0,16907.0,12562.0,494.0,12720.0,3739.0,48.0
1547,1.0,11.0,7.0,43.0,7627.0,2.0,1340.0,7799.0,374.0,32.0,40.0,5076.0,7115.0,395.0,445.0,2845.0,18628.0,15105.0,9848.0,243.0,154.0,538.0,2796.0,2287.0,21.0,1298.0,12.0,9626.0,2804.0,862.0
1596,21.0,11.0,24.0,36.0,916.0,4.0,242.0,66.0,194.0,431.0,2.0,4845.0,7252.0,1.0,974.0,97.0,489.0,15076.0,8098.0,123.0,442.0,41.0,737.0,35.0,815.0,8314.0,673.0,11857.0,4843.0,2644.0
1645,627.0,4.0,0.0,1812.0,6868.0,16593.0,1011.0,9549.0,16.0,4886.0,61.0,155.0,21.0,8.0,123.0,3396.0,38.0,15029.0,29.0,19961.0,209.0,1726.0,151.0,686.0,783.0,12616.0,25.0,12677.0,117.0,791.0
1694,14.0,0.0,627.0,801.0,643.0,38.0,134.0,9601.0,6291.0,28.0,110.0,4401.0,1241.0,84.0,13.0,78.0,96.0,945.0,8183.0,11.0,108.0,4384.0,64.0,385.0,16921.0,12539.0,34.0,67.0,439.0,307.0
1743,42.0,5260.0,61.0,2517.0,558.0,11.0,274.0,9553.0,44.0,846.0,0.0,2702.0,1648.0,30.0,3061.0,268.0,18633.0,15097.0,1288.0,2185.0,58.0,2709.0,476.0,2434.0,25.0,226.0,2.0,245.0,127.0,27.0
1792,7008.0,30.0,156.0,248.0,86.0,16587.0,3943.0,9572.0,6277.0,5136.0,2.0,1242.0,315.0,2153.0,363.0,1.0,172.0,34.0,12.0,6.0,8.0,188.0,365.0,3965.0,16965.0,83.0,0.0,301.0,3969.0,16053.0
1841,1146.0,6586.0,13.0,29.0,613.0,7.0,2476.0,1402.0,6980.0,90.0,645.0,129.0,5560.0,9431.0,108.0,2782.0,62.0,5.0,12610.0,2726.0,899.0,3699.0,193.0,3644.0,6.0,191.0,0.0,220.0,82.0,23866.0
1890,6075.0,1218.0,0.0,1657.0,885.0,1289.0,3932.0,9309.0,2286.0,4885.0,41.0,1057.0,393.0,9193.0,88.0,257.0,13.0,233.0,8123.0,128.0,4.0,1966.0,738.0,542.0,625.0,348.0,6.0,47.0,2666.0,15999.0
1939,13.0,1462.0,176.0,16699.0,6836.0,381.0,1177.0,7679.0,92.0,4859.0,143.0,252.0,4880.0,54.0,620.0,450.0,18622.0,241.0,114.0,552.0,120.0,4233.0,12477.0,4225.0,23.0,12485.0,27.0,420.0,2551.0,16040.0
1988,6.0,143.0,15645.0,2.0,78.0,16554.0,3764.0,287.0,668.0,7108.0,1179.0,106.0,7123.0,86.0,334.0,6596.0,18510.0,914.0,0.0,2712.0,12.0,30.0,459.0,3762.0,1647.0,12551.0,68.0,306.0,8.0,447.0
2037,66.0,125.0,1283.0,1107.0,2.0,307.0,2690.0,9554.0,6556.0,12.0,2025.0,4247.0,13.0,9195.0,1454.0,3318.0,18644.0,15078.0,0.0,2007.0,1630.0,37.0,11.0,1781.0,16928.0,845.0,56.0,201.0,786.0,16153.0
