,niacinamide,GABA,C56:5 TAG,beta-alanine,serotonin,pantothenate,adenosine,C18:0 LPE,isocitrate,DHAP/glyceraldehyde 3P,alpha-glycerophosphate,UMP,putrescine,inositol,alpha-glycerophosphocholine,dCMP,C18:0 LPC,glutamine,C22:6 LPE,cystathionine,oxalate,cis/trans-hydroxyproline,C34:2 DAG,phosphocreatine,C34:4 PC,C36:4 PC-B,malondialdehyde,valerylcarnitine,cytidine,acetylcholine
23,2.0,0.0,1.0,5.0,7.0,3.0,10.0,12.0,9.0,4.0,14.0,11.0,6.0,17.0,18.0,16.0,22.0,37.0,20.0,13.0,21.0,23.0,31.0,8.0,19.0,15.0,25.0,27.0,33.0,51.0
72,4.0,0.0,1.0,2.0,10.0,3.0,5.0,18.0,12.0,8.0,17.0,16.0,9.0,19.0,20.0,11.0,13.0,28.0,23.0,24.0,15.0,22.0,30.0,14.0,7.0,6.0,38.0,39.0,25.0,57.0
121,3.0,0.0,1.0,4.0,16.0,11.0,10.0,9.0,5.0,2.0,22.0,7.0,13.0,17.0,29.0,21.0,12.0,15.0,20.0,6.0,24.0,18.0,28.0,14.0,19.0,8.0,23.0,49.0,27.0,61.0
170,3.0,0.0,1.0,8.0,6.0,2.0,5.0,11.0,14.0,7.0,13.0,19.0,4.0,16.0,10.0,17.0,15.0,20.0,29.0,9.0,25.0,21.0,28.0,26.0,18.0,12.0,24.0,22.0,27.0,45.0
219,3.0,0.0,1.0,4.0,10.0,9.0,19.0,12.0,2.0,5.0,15.0,18.0,7.0,13.0,16.0,14.0,17.0,8.0,29.0,20.0,21.0,26.0,23.0,22.0,6.0,11.0,28.0,27.0,24.0,37.0
268,4.0,0.0,1.0,3.0,8.0,12.0,5.0,9.0,7.0,2.0,11.0,6.0,20.0,21.0,22.0,19.0,16.0,18.0,24.0,14.0,17.0,28.0,25.0,10.0,13.0,15.0,29.0,30.0,23.0,50.0
317,1.0,0.0,4.0,2.0,12.0,8.0,5.0,6.0,7.0,3.0,16.0,11.0,10.0,17.0,20.0,19.0,27.0,15.0,25.0,9.0,21.0,18.0,32.0,30.0,14.0,13.0,26.0,22.0,24.0,41.0
366,2.0,0.0,1.0,3.0,5.0,8.0,14.0,6.0,11.0,4.0,13.0,12.0,10.0,30.0,17.0,21.0,16.0,15.0,25.0,9.0,27.0,29.0,40.0,19.0,20.0,7.0,31.0,37.0,41.0,49.0
415,1.0,0.0,2.0,3.0,9.0,5.0,16.0,10.0,14.0,11.0,20.0,8.0,4.0,15.0,19.0,18.0,26.0,12.0,28.0,7.0,23.0,32.0,22.0,17.0,6.0,13.0,38.0,39.0,24.0,33.0
464,7.0,0.0,1.0,3.0,6.0,2.0,5.0,17.0,20.0,13.0,24.0,4.0,14.0,8.0,10.0,18.0,16.0,9.0,21.0,11.0,15.0,23.0,45.0,12.0,27.0,19.0,26.0,30.0,38.0,29.0
513,0.0,1.0,3.0,5.0,6.0,23.0,4.0,17.0,22.0,7.0,12.0,13.0,14.0,20.0,29.0,10.0,18.0,28.0,2.0,19.0,16.0,25.0,8.0,26.0,21.0,9.0,11.0,31.0,40.0,15.0
562,0.0,3.0,2.0,14.0,4.0,22.0,1.0,9.0,6.0,10.0,11.0,15.0,8.0,13.0,16.0,17.0,21.0,23.0,12.0,7.0,20.0,5.0,35.0,28.0,18.0,19.0,24.0,27.0,34.0,32.0
611,1.0,0.0,3.0,5.0,4.0,14.0,2.0,8.0,11.0,10.0,6.0,18.0,7.0,15.0,26.0,13.0,17.0,19.0,9.0,20.0,21.0,30.0,12.0,22.0,27.0,33.0,25.0,28.0,24.0,23.0
660,0.0,1.0,2.0,13.0,8.0,10.0,4.0,14.0,24.0,16.0,5.0,18.0,11.0,25.0,22.0,6.0,15.0,34.0,9.0,12.0,19.0,3.0,33.0,7.0,27.0,20.0,17.0,36.0,30.0,21.0
709,0.0,1.0,4.0,6.0,16.0,5.0,2.0,17.0,20.0,13.0,8.0,11.0,7.0,10.0,14.0,15.0,9.0,28.0,3.0,29.0,12.0,24.0,30.0,23.0,31.0,21.0,18.0,19.0,40.0,38.0
758,0.0,1.0,2.0,9.0,6.0,3.0,7.0,18.0,14.0,26.0,24.0,29.0,5.0,25.0,12.0,8.0,15.0,20.0,4.0,27.0,16.0,11.0,10.0,13.0,32.0,23.0,17.0,28.0,21.0,30.0
807,1.0,0.0,4.0,2.0,8.0,13.0,3.0,21.0,24.0,22.0,6.0,12.0,5.0,9.0,18.0,16.0,7.0,35.0,14.0,11.0,29.0,17.0,34.0,23.0,19.0,15.0,25.0,33.0,28.0,32.0
856,0.0,1.0,2.0,4.0,11.0,8.0,3.0,9.0,16.0,7.0,13.0,26.0,14.0,25.0,6.0,12.0,23.0,17.0,5.0,20.0,22.0,10.0,28.0,33.0,30.0,21.0,15.0,40.0,37.0,36.0
905,0.0,1.0,2.0,12.0,3.0,4.0,7.0,5.0,10.0,19.0,14.0,18.0,9.0,21.0,15.0,6.0,11.0,13.0,8.0,16.0,38.0,26.0,20.0,17.0,22.0,29.0,45.0,33.0,40.0,34.0
954,0.0,1.0,2.0,12.0,5.0,9.0,4.0,6.0,24.0,11.0,26.0,15.0,3.0,7.0,13.0,18.0,21.0,34.0,16.0,23.0,20.0,19.0,35.0,10.0,8.0,17.0,28.0,22.0,58.0,14.0
1003,1.0,2.0,0.0,15.0,13.0,10.0,5.0,3.0,21.0,7.0,9.0,6.0,18.0,27.0,8.0,19.0,16.0,12.0,4.0,23.0,26.0,20.0,11.0,25.0,17.0,14.0,30.0,22.0,28.0,49.0
1052,1.0,0.0,2.0,4.0,16.0,3.0,11.0,26.0,10.0,17.0,15.0,9.0,8.0,19.0,7.0,31.0,5.0,20.0,6.0,21.0,28.0,32.0,13.0,12.0,24.0,25.0,22.0,14.0,18.0,27.0
1101,2.0,1.0,0.0,3.0,7.0,9.0,5.0,6.0,8.0,11.0,18.0,12.0,17.0,16.0,4.0,15.0,10.0,19.0,14.0,23.0,21.0,22.0,13.0,29.0,24.0,40.0,31.0,27.0,39.0,20.0
1150,2.0,0.0,1.0,10.0,8.0,4.0,15.0,3.0,6.0,14.0,16.0,9.0,13.0,11.0,17.0,19.0,22.0,21.0,5.0,18.0,20.0,12.0,7.0,25.0,27.0,36.0,28.0,30.0,23.0,37.0
1199,0.0,2.0,1.0,6.0,5.0,28.0,4.0,8.0,3.0,10.0,12.0,15.0,29.0,19.0,7.0,21.0,13.0,24.0,9.0,22.0,25.0,23.0,11.0,18.0,20.0,17.0,37.0,40.0,32.0,27.0
1248,2.0,0.0,1.0,3.0,6.0,5.0,14.0,4.0,7.0,12.0,11.0,17.0,19.0,31.0,16.0,9.0,8.0,28.0,10.0,30.0,23.0,22.0,13.0,15.0,21.0,29.0,18.0,20.0,41.0,35.0
1297,0.0,1.0,2.0,3.0,5.0,9.0,14.0,4.0,11.0,16.0,10.0,12.0,19.0,15.0,7.0,20.0,13.0,31.0,8.0,17.0,24.0,18.0,6.0,23.0,39.0,29.0,27.0,22.0,26.0,35.0
1346,0.0,1.0,2.0,4.0,7.0,13.0,11.0,3.0,10.0,5.0,21.0,19.0,6.0,25.0,15.0,24.0,23.0,9.0,8.0,20.0,14.0,18.0,12.0,31.0,36.0,30.0,17.0,22.0,16.0,37.0
1395,2.0,0.0,1.0,3.0,8.0,6.0,12.0,10.0,14.0,16.0,20.0,9.0,18.0,11.0,4.0,5.0,17.0,15.0,7.0,22.0,23.0,19.0,13.0,21.0,26.0,29.0,31.0,32.0,24.0,25.0
1444,0.0,1.0,2.0,3.0,5.0,9.0,8.0,4.0,7.0,24.0,19.0,10.0,6.0,31.0,12.0,16.0,13.0,15.0,11.0,14.0,18.0,22.0,17.0,23.0,26.0,28.0,21.0,39.0,29.0,20.0
1493,1.0,0.0,2.0,8.0,3.0,6.0,16.0,26.0,14.0,9.0,7.0,4.0,12.0,28.0,5.0,30.0,10.0,31.0,17.0,11.0,15.0,34.0,35.0,18.0,23.0,21.0,46.0,19.0,29.0,40.0
1542,1.0,0.0,3.0,5.0,2.0,4.0,8.0,7.0,18.0,12.0,10.0,6.0,14.0,19.0,9.0,15.0,16.0,21.0,27.0,13.0,17.0,36.0,20.0,22.0,37.0,26.0,31.0,23.0,40.0,33.0
1591,0.0,1.0,2.0,3.0,7.0,6.0,8.0,14.0,13.0,4.0,12.0,10.0,15.0,37.0,5.0,23.0,24.0,16.0,9.0,11.0,17.0,18.0,33.0,28.0,35.0,22.0,19.0,26.0,38.0,25.0
1640,1.0,0.0,3.0,5.0,6.0,2.0,13.0,9.0,8.0,4.0,11.0,12.0,17.0,15.0,7.0,29.0,25.0,21.0,20.0,10.0,14.0,36.0,30.0,24.0,40.0,38.0,32.0,23.0,33.0,27.0
1689,0.0,1.0,2.0,15.0,3.0,4.0,8.0,14.0,6.0,5.0,16.0,7.0,19.0,25.0,13.0,24.0,17.0,18.0,12.0,10.0,11.0,34.0,29.0,20.0,39.0,21.0,41.0,9.0,35.0,22.0
1738,0.0,1.0,2.0,7.0,9.0,4.0,5.0,12.0,14.0,6.0,20.0,11.0,16.0,15.0,3.0,10.0,17.0,18.0,21.0,8.0,13.0,19.0,29.0,27.0,39.0,24.0,30.0,25.0,31.0,41.0
1787,1.0,0.0,2.0,4.0,7.0,8.0,11.0,5.0,12.0,3.0,14.0,10.0,18.0,32.0,9.0,13.0,16.0,20.0,26.0,15.0,6.0,23.0,49.0,19.0,25.0,24.0,39.0,29.0,33.0,27.0
1836,2.0,1.0,0.0,3.0,14.0,4.0,9.0,7.0,8.0,5.0,10.0,12.0,11.0,19.0,6.0,22.0,24.0,17.0,21.0,13.0,20.0,23.0,46.0,18.0,27.0,15.0,38.0,16.0,33.0,29.0
1885,0.0,1.0,2.0,5.0,7.0,6.0,20.0,14.0,9.0,4.0,12.0,10.0,11.0,17.0,3.0,16.0,21.0,18.0,23.0,8.0,19.0,27.0,26.0,15.0,32.0,25.0,24.0,22.0,38.0,29.0
