,hsa-miR-130a,hsa-miR-222,hsa-let-7c,hsa-miR-497,hsa-miR-34a,hsa-miR-582-5p,hsa-miR-9,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-218,hsa-miR-345,hsa-miR-149,hsa-miR-99a,hsa-miR-195,hsa-miR-331-3p,hsa-miR-1260,hsa-miR-615-3p,hsa-miR-302f,hsa-miR-1302,hsa-miR-135b,hsa-miR-129-3p,hsa-miR-450a,hsa-miR-483-3p,hsa-let-7e,hsa-miR-29b,hsa-miR-631,hsa-miR-324-5p,hsa-miR-128,hsa-miR-214,hsa-miR-342-3p,hsa-miR-95
14,6.0,7.0,0.0,2.0,8.0,20.0,12.0,37.0,3.0,101.0,30.0,17.0,1.0,56.0,4.0,15.0,161.0,170.0,119.0,10.0,38.0,99.0,88.0,65.0,90.0,68.0,32.0,11.0,341.0,55.0
63,0.0,1.0,6.0,2.0,11.0,4.0,33.0,19.0,12.0,82.0,35.0,16.0,3.0,69.0,8.0,15.0,24.0,175.0,101.0,86.0,84.0,89.0,71.0,121.0,51.0,93.0,27.0,97.0,22.0,544.0
112,8.0,0.0,7.0,1.0,31.0,5.0,21.0,3.0,6.0,57.0,53.0,63.0,11.0,16.0,17.0,4.0,62.0,14.0,37.0,24.0,551.0,29.0,276.0,22.0,18.0,98.0,33.0,72.0,19.0,185.0
161,6.0,2.0,7.0,0.0,4.0,42.0,14.0,16.0,1.0,22.0,58.0,81.0,57.0,173.0,12.0,21.0,191.0,18.0,199.0,309.0,220.0,10.0,61.0,67.0,41.0,34.0,28.0,97.0,50.0,610.0
210,6.0,3.0,4.0,1.0,8.0,12.0,0.0,9.0,2.0,33.0,32.0,31.0,7.0,100.0,13.0,11.0,227.0,29.0,121.0,10.0,54.0,26.0,20.0,14.0,140.0,355.0,88.0,136.0,19.0,96.0
259,5.0,0.0,2.0,1.0,14.0,13.0,6.0,8.0,4.0,102.0,10.0,98.0,15.0,26.0,3.0,9.0,69.0,33.0,97.0,129.0,79.0,91.0,7.0,172.0,40.0,62.0,21.0,276.0,58.0,283.0
308,1.0,0.0,6.0,3.0,9.0,2.0,37.0,5.0,23.0,17.0,43.0,180.0,22.0,14.0,4.0,19.0,15.0,46.0,339.0,67.0,27.0,228.0,62.0,20.0,24.0,29.0,498.0,10.0,102.0,7.0
357,2.0,5.0,7.0,0.0,20.0,23.0,6.0,38.0,1.0,29.0,4.0,12.0,3.0,244.0,61.0,14.0,64.0,628.0,454.0,8.0,11.0,13.0,221.0,421.0,114.0,24.0,564.0,26.0,78.0,98.0
406,3.0,0.0,1.0,5.0,6.0,9.0,18.0,34.0,29.0,20.0,4.0,128.0,12.0,25.0,2.0,16.0,32.0,516.0,248.0,55.0,7.0,22.0,8.0,140.0,23.0,143.0,24.0,17.0,519.0,100.0
455,5.0,8.0,3.0,0.0,19.0,1.0,29.0,13.0,6.0,4.0,7.0,45.0,2.0,18.0,12.0,25.0,126.0,157.0,164.0,121.0,14.0,15.0,279.0,92.0,10.0,536.0,129.0,59.0,21.0,144.0
