,SLCO4A1_AMP,GID8_AMP,EP300_MUT,MIR1-1_AMP,C20orf151_AMP,LOC100506384_AMP,TSSC1_DEL,NTSR1_AMP,CHRNA4_AMP,PCK1_AMP,SLMO2-ATP5E_AMP,MMP2_MUT,NBN_MUT,KCNG1_AMP,FAM92A1P2_DEL,OGFR_AMP,ATP9A_AMP,MSH3_MUT,ZNF521_MUT,DIDO1_AMP,PPP1R3D_AMP,LINC00029_AMP,NEU3_AMP,GTPBP5_AMP,PSPC1_DEL,C20orf20_AMP,XRRA1_AMP,C20orf166-AS1_AMP,FAM74A1_AMP,DPH3P1_AMP
32,1.0,6.0,34.0,21.0,3.0,14.0,9034.0,7.0,25.0,2.0,27.0,152.0,29.0,26.0,32.0,46.0,110.0,43.0,5.0,78.0,8.0,57.0,16762.0,4.0,38.0,48.0,17266.0,97.0,180.0,22.0
81,43.0,7.0,75.0,21.0,15.0,126.0,4.0,24.0,19.0,13.0,23.0,54.0,8.0,12.0,456.0,97.0,98.0,178.0,1.0,81.0,164.0,80.0,14204.0,396.0,0.0,3.0,17354.0,18172.0,73.0,6068.0
130,4.0,15.0,34.0,5.0,0.0,18.0,8.0,7.0,148.0,2.0,28.0,1.0,138.0,14.0,3722.0,83.0,87.0,40.0,27.0,71.0,109.0,86.0,216.0,19.0,190.0,85.0,246.0,84.0,385.0,16118.0
179,1.0,11.0,0.0,13.0,3.0,19.0,18.0,87.0,25.0,34.0,27.0,439.0,12.0,15.0,2.0,48.0,43.0,75.0,178.0,76.0,21.0,86.0,18256.0,8.0,61.0,32.0,17541.0,108.0,15796.0,3385.0
228,1.0,2.0,35.0,10.0,7.0,11.0,30.0,27.0,12.0,4.0,19.0,17.0,9091.0,125.0,42.0,29.0,108.0,344.0,405.0,65.0,110.0,46.0,24095.0,16915.0,13.0,75.0,156.0,87.0,22.0,865.0
277,11.0,13.0,32.0,3.0,1.0,17.0,271.0,26.0,28.0,14.0,18.0,4.0,0.0,37.0,15.0,27.0,67.0,2.0,50.0,49.0,16.0,71.0,44.0,9.0,36.0,7.0,190.0,86.0,650.0,5391.0
326,5.0,2.0,0.0,123.0,167.0,163.0,118.0,165.0,133.0,272.0,20457.0,531.0,66.0,54.0,235.0,32.0,31.0,29.0,1.0,61.0,16233.0,44.0,13.0,18462.0,384.0,15794.0,20.0,164.0,385.0,3989.0
375,2.0,4.0,12.0,3.0,0.0,15.0,87.0,26.0,24.0,5.0,25.0,16.0,139.0,6.0,328.0,83.0,121.0,32.0,385.0,71.0,187.0,82.0,35.0,19.0,290.0,48.0,239.0,40.0,14.0,163.0
424,1.0,8.0,43.0,18.0,3.0,14.0,33.0,30.0,108.0,13.0,22.0,34.0,4.0,28.0,25.0,27.0,10.0,75.0,59.0,1875.0,16.0,67.0,18201.0,21.0,12555.0,66.0,17555.0,77.0,11.0,464.0
473,2.0,3.0,0.0,18.0,4.0,116.0,15.0,14522.0,10.0,11.0,30.0,220.0,24.0,159.0,26.0,79.0,160.0,59.0,6.0,43.0,161.0,80.0,17944.0,21.0,34.0,7.0,55.0,96.0,15479.0,16041.0
522,2.0,7.0,357.0,10.0,0.0,16.0,3.0,38.0,22.0,5.0,18.0,78.0,31.0,20.0,236.0,61.0,67.0,296.0,16769.0,73.0,1.0,1298.0,18159.0,110.0,26.0,84.0,223.0,54.0,105.0,180.0
571,26.0,18.0,23.0,15516.0,17560.0,13.0,7.0,164.0,45.0,46.0,16450.0,1004.0,474.0,36.0,63.0,79.0,40.0,48.0,350.0,17961.0,123.0,53.0,125.0,161.0,196.0,22111.0,187.0,162.0,6.0,16076.0
620,2.0,11.0,4.0,5.0,3.0,23.0,1.0,61.0,30.0,10.0,31.0,8.0,27.0,53.0,60.0,84.0,271.0,37.0,0.0,33.0,24.0,107.0,250.0,46.0,18.0,81.0,17544.0,106.0,38.0,83.0
669,20.0,3.0,203.0,25.0,0.0,13.0,150.0,28.0,45.0,7.0,24.0,66.0,10.0,224.0,5348.0,136.0,32.0,174.0,2.0,14.0,135.0,60.0,17237.0,165.0,5.0,19.0,9.0,132.0,12.0,134.0
718,5.0,9.0,82.0,52.0,64.0,27.0,3.0,54.0,18035.0,352.0,61.0,18.0,53.0,304.0,66.0,170.0,59.0,102.0,11.0,281.0,205.0,30.0,62.0,46.0,10768.0,24.0,19.0,208.0,276.0,199.0
767,12.0,20.0,32.0,7.0,10.0,25.0,2.0,58.0,51.0,17.0,14.0,5.0,105.0,13.0,63.0,160.0,157.0,78.0,1305.0,131.0,22340.0,102.0,34.0,42.0,33.0,161.0,278.0,191.0,6.0,162.0
816,2.0,3.0,50.0,7.0,1.0,18.0,11.0,57.0,39.0,12.0,25.0,13.0,90.0,42.0,79.0,99.0,185.0,265.0,4.0,83.0,29.0,100.0,518.0,26.0,27.0,101.0,36.0,127.0,0.0,22.0
865,2.0,3.0,406.0,12.0,13.0,0.0,7.0,19.0,46.0,21.0,11.0,74.0,5.0,298.0,3810.0,145.0,16.0,176.0,2802.0,124.0,33.0,147.0,60.0,39.0,315.0,22132.0,8.0,173.0,1.0,146.0
914,0.0,4.0,346.0,3.0,2.0,95.0,54.0,314.0,20.0,23.0,124.0,675.0,1.0,19.0,47.0,93.0,125.0,37.0,10.0,78.0,118.0,77.0,210.0,14101.0,306.0,91.0,17526.0,121.0,6.0,92.0
963,13.0,11.0,1.0,36.0,4.0,14.0,3.0,132.0,44.0,26.0,28.0,0.0,244.0,188.0,42.0,117.0,101.0,40.0,16833.0,102.0,131.0,116.0,203.0,27.0,50.0,32.0,515.0,59.0,29.0,18.0
