,Bax,Caspase-7_cleavedD198,HER3,Notch1,YB-1_pS102,CD49b,XBP1,GAPDH,14-3-3_zeta,Bap1 c-4,MEK1_pS217_S221,CDK1,Chk2,G6PD,ASNS,PRAS40_pT246,PDCD4,p38_pT180_Y182,FRA1,FoxM1,HER2,Beclin,ACVRL1,PAI-1,NDRG1_pT346,RAD51,C-Raf(BD610151),Smad4,PEA15_pS116,Src_pY527
1,0.0,10.0,7.0,2.0,33.0,1.0,9.0,15.0,21.0,4.0,57.0,6.0,31.0,3.0,38.0,5.0,19.0,22.0,30.0,13.0,28.0,29.0,26.0,12.0,62.0,18.0,35.0,47.0,11.0,79.0
50,0.0,1.0,5.0,12.0,9.0,6.0,21.0,31.0,20.0,2.0,47.0,4.0,13.0,3.0,16.0,14.0,61.0,66.0,7.0,35.0,23.0,50.0,18.0,36.0,45.0,17.0,22.0,38.0,10.0,48.0
99,0.0,3.0,2.0,11.0,4.0,1.0,12.0,7.0,25.0,16.0,67.0,17.0,18.0,6.0,15.0,22.0,32.0,52.0,8.0,14.0,47.0,50.0,90.0,41.0,79.0,10.0,54.0,35.0,31.0,64.0
148,0.0,1.0,40.0,6.0,3.0,2.0,10.0,7.0,31.0,25.0,32.0,12.0,18.0,27.0,23.0,26.0,39.0,9.0,8.0,24.0,58.0,17.0,34.0,42.0,29.0,44.0,22.0,52.0,19.0,99.0
197,0.0,15.0,7.0,2.0,13.0,9.0,1.0,22.0,16.0,18.0,49.0,3.0,10.0,12.0,36.0,6.0,33.0,51.0,4.0,20.0,47.0,26.0,19.0,68.0,52.0,28.0,21.0,11.0,17.0,62.0
246,0.0,1.0,5.0,2.0,3.0,6.0,11.0,35.0,21.0,15.0,51.0,10.0,49.0,20.0,4.0,14.0,50.0,46.0,7.0,9.0,29.0,26.0,18.0,17.0,55.0,31.0,19.0,8.0,32.0,82.0
295,0.0,5.0,11.0,9.0,8.0,3.0,12.0,2.0,14.0,20.0,61.0,1.0,46.0,22.0,24.0,33.0,34.0,51.0,13.0,25.0,43.0,17.0,23.0,28.0,49.0,10.0,31.0,7.0,6.0,92.0
344,1.0,2.0,16.0,11.0,7.0,0.0,5.0,3.0,12.0,6.0,40.0,9.0,50.0,4.0,20.0,34.0,74.0,18.0,21.0,17.0,14.0,25.0,48.0,59.0,15.0,54.0,56.0,24.0,44.0,52.0
393,0.0,5.0,9.0,36.0,1.0,10.0,2.0,7.0,6.0,20.0,61.0,11.0,3.0,4.0,15.0,29.0,23.0,27.0,21.0,13.0,16.0,32.0,35.0,59.0,37.0,53.0,17.0,19.0,22.0,62.0
442,0.0,3.0,5.0,26.0,24.0,4.0,6.0,23.0,10.0,2.0,20.0,14.0,19.0,1.0,13.0,8.0,16.0,83.0,25.0,33.0,34.0,29.0,32.0,9.0,56.0,18.0,28.0,22.0,15.0,101.0
491,3.0,2.0,4.0,9.0,1.0,26.0,0.0,6.0,25.0,8.0,22.0,7.0,14.0,10.0,49.0,30.0,48.0,23.0,11.0,15.0,47.0,29.0,76.0,74.0,43.0,50.0,56.0,57.0,68.0,35.0
540,0.0,4.0,11.0,5.0,1.0,12.0,7.0,51.0,2.0,17.0,6.0,16.0,42.0,21.0,53.0,9.0,20.0,3.0,10.0,28.0,14.0,24.0,90.0,45.0,19.0,35.0,13.0,64.0,72.0,30.0
589,3.0,6.0,5.0,12.0,0.0,14.0,24.0,1.0,9.0,21.0,23.0,4.0,27.0,17.0,60.0,11.0,51.0,2.0,8.0,66.0,10.0,16.0,59.0,62.0,30.0,15.0,68.0,26.0,45.0,35.0
638,0.0,30.0,5.0,1.0,2.0,8.0,6.0,16.0,10.0,21.0,7.0,14.0,3.0,9.0,92.0,11.0,29.0,4.0,13.0,40.0,18.0,20.0,51.0,46.0,12.0,24.0,65.0,44.0,41.0,34.0
687,4.0,7.0,3.0,0.0,1.0,25.0,9.0,13.0,16.0,53.0,15.0,8.0,38.0,6.0,87.0,5.0,35.0,11.0,26.0,12.0,23.0,10.0,49.0,65.0,2.0,51.0,37.0,30.0,78.0,41.0
736,2.0,11.0,7.0,4.0,6.0,15.0,1.0,29.0,23.0,13.0,20.0,8.0,14.0,0.0,95.0,5.0,33.0,3.0,38.0,19.0,35.0,18.0,32.0,44.0,26.0,56.0,55.0,42.0,40.0,34.0
785,0.0,6.0,2.0,4.0,11.0,22.0,5.0,57.0,1.0,16.0,9.0,15.0,7.0,3.0,58.0,19.0,25.0,13.0,10.0,28.0,12.0,38.0,23.0,47.0,20.0,32.0,77.0,73.0,88.0,27.0
