,Porin,Caspase-7_cleavedD198,C-Raf_pS338,STAT5-alpha,IRS1,Beclin,Acetyl-a-Tubulin (Lys40),p90RSK_pT359_S363,P-Cadherin,CD49b,Cyclin_E2,GATA3,IGFBP2,FRA1,Claudin-7,4E-BP1_pT37_T46,PAI-1,Rb_pS807_S811,ETS-1,HSP70,G6PD,PRDX1,Bcl-2,Bap1 c-4,CD31,NDRG1_pT346,PI3K-p110-alpha,C-Raf(BD610151),Src_pY416,PEA15_pS116
3,0.0,13.0,10.0,1.0,20.0,7.0,16.0,21.0,6.0,18.0,4.0,15.0,41.0,17.0,2.0,14.0,19.0,12.0,123.0,25.0,11.0,65.0,28.0,98.0,27.0,31.0,5.0,91.0,3.0,23.0
52,0.0,2.0,9.0,16.0,15.0,8.0,5.0,24.0,1.0,10.0,25.0,20.0,12.0,4.0,7.0,26.0,49.0,22.0,21.0,118.0,120.0,33.0,39.0,11.0,3.0,43.0,6.0,109.0,30.0,13.0
101,0.0,10.0,6.0,3.0,7.0,1.0,19.0,18.0,11.0,5.0,20.0,13.0,14.0,126.0,4.0,123.0,43.0,16.0,22.0,8.0,125.0,55.0,29.0,15.0,2.0,24.0,26.0,21.0,12.0,28.0
150,0.0,3.0,2.0,7.0,12.0,9.0,18.0,36.0,1.0,91.0,8.0,27.0,17.0,6.0,4.0,15.0,43.0,10.0,120.0,5.0,34.0,30.0,40.0,31.0,33.0,22.0,16.0,25.0,13.0,19.0
199,0.0,3.0,5.0,2.0,26.0,16.0,4.0,18.0,1.0,19.0,10.0,30.0,12.0,15.0,9.0,102.0,31.0,11.0,20.0,7.0,25.0,21.0,36.0,91.0,8.0,47.0,61.0,37.0,13.0,64.0
248,0.0,6.0,4.0,3.0,34.0,9.0,12.0,2.0,1.0,22.0,10.0,30.0,7.0,18.0,5.0,28.0,33.0,11.0,38.0,31.0,29.0,8.0,26.0,105.0,16.0,20.0,17.0,15.0,14.0,13.0
297,0.0,3.0,6.0,24.0,30.0,1.0,2.0,4.0,8.0,5.0,31.0,7.0,121.0,20.0,9.0,33.0,23.0,10.0,17.0,15.0,11.0,32.0,98.0,114.0,12.0,52.0,13.0,21.0,19.0,68.0
346,0.0,1.0,10.0,12.0,21.0,5.0,4.0,17.0,3.0,8.0,7.0,6.0,9.0,15.0,22.0,18.0,41.0,72.0,11.0,16.0,126.0,19.0,20.0,26.0,33.0,53.0,24.0,29.0,2.0,27.0
395,3.0,19.0,12.0,1.0,25.0,4.0,2.0,0.0,6.0,18.0,23.0,119.0,16.0,8.0,7.0,20.0,36.0,17.0,5.0,10.0,29.0,28.0,21.0,38.0,15.0,30.0,9.0,91.0,14.0,27.0
444,0.0,8.0,4.0,2.0,10.0,11.0,6.0,7.0,1.0,15.0,26.0,115.0,16.0,5.0,3.0,12.0,17.0,23.0,18.0,29.0,124.0,52.0,30.0,25.0,92.0,19.0,28.0,27.0,13.0,83.0
493,5.0,3.0,1.0,2.0,0.0,4.0,9.0,14.0,11.0,8.0,23.0,6.0,7.0,10.0,35.0,21.0,47.0,16.0,26.0,36.0,128.0,15.0,13.0,104.0,17.0,19.0,12.0,40.0,18.0,43.0
542,3.0,1.0,7.0,9.0,2.0,5.0,12.0,17.0,15.0,4.0,24.0,0.0,13.0,20.0,25.0,19.0,38.0,29.0,21.0,23.0,27.0,16.0,11.0,85.0,98.0,28.0,8.0,102.0,60.0,52.0
591,1.0,6.0,2.0,4.0,0.0,5.0,10.0,15.0,17.0,7.0,12.0,3.0,20.0,22.0,14.0,28.0,26.0,70.0,8.0,21.0,11.0,78.0,24.0,16.0,25.0,9.0,13.0,111.0,31.0,39.0
