,hsa-miR-548d-5p,hsa-miR-96,hsa-miR-320b,ebv-miR-BART12,hsa-miR-563,hsa-miR-136,hsa-miR-1,hsa-miR-548d-3p,hsa-miR-625,hsa-miR-567,hsa-miR-518c,hsa-miR-663b,hsa-miR-424,hsa-miR-214,hsa-miR-323-5p,hsa-miR-508-3p,hsa-miR-1178,hsa-miR-515-3p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-224,hsa-miR-186,hsa-miR-361-5p,hcmv-miR-UL148D,ebv-miR-BART9,hsa-miR-335,ebv-miR-BART21-5p,hsa-miR-519e,hsa-miR-198,hsa-miR-654-5p
19,16.0,138.0,22.0,39.0,220.0,34.0,32.0,92.0,147.0,218.0,45.0,306.0,24.0,593.0,77.0,19.0,56.0,156.0,81.0,47.0,130.0,35.0,610.0,161.0,23.0,82.0,46.0,84.0,109.0,113.0
68,34.0,60.0,15.0,37.0,10.0,49.0,462.0,70.0,55.0,119.0,99.0,94.0,137.0,95.0,72.0,38.0,52.0,71.0,145.0,92.0,100.0,51.0,118.0,198.0,159.0,41.0,210.0,164.0,83.0,306.0
117,28.0,16.0,568.0,37.0,95.0,59.0,36.0,93.0,1.0,14.0,91.0,39.0,161.0,402.0,30.0,53.0,38.0,557.0,147.0,71.0,56.0,87.0,612.0,44.0,318.0,626.0,131.0,89.0,102.0,345.0
166,12.0,123.0,68.0,44.0,78.0,112.0,136.0,61.0,296.0,2.0,50.0,137.0,39.0,19.0,101.0,530.0,451.0,7.0,46.0,77.0,116.0,55.0,608.0,31.0,74.0,34.0,236.0,97.0,115.0,113.0
215,10.0,28.0,6.0,39.0,31.0,111.0,461.0,135.0,21.0,118.0,51.0,109.0,59.0,406.0,44.0,18.0,454.0,67.0,58.0,79.0,113.0,26.0,616.0,19.0,107.0,127.0,138.0,65.0,110.0,106.0
264,28.0,72.0,12.0,15.0,27.0,86.0,59.0,136.0,175.0,225.0,25.0,49.0,103.0,66.0,101.0,61.0,81.0,17.0,116.0,122.0,148.0,53.0,92.0,11.0,104.0,132.0,153.0,137.0,108.0,67.0
313,61.0,18.0,31.0,30.0,40.0,21.0,458.0,129.0,313.0,79.0,73.0,98.0,54.0,592.0,108.0,500.0,145.0,16.0,104.0,43.0,74.0,51.0,94.0,9.0,36.0,70.0,327.0,139.0,410.0,72.0
362,60.0,84.0,13.0,62.0,10.0,393.0,459.0,115.0,328.0,11.0,74.0,24.0,528.0,432.0,51.0,34.0,81.0,558.0,22.0,91.0,118.0,135.0,86.0,269.0,63.0,28.0,85.0,44.0,36.0,315.0
411,11.0,83.0,31.0,95.0,12.0,110.0,21.0,125.0,10.0,222.0,39.0,319.0,128.0,428.0,44.0,34.0,16.0,20.0,43.0,121.0,96.0,134.0,65.0,77.0,111.0,105.0,115.0,74.0,118.0,116.0
460,29.0,27.0,36.0,67.0,18.0,50.0,31.0,49.0,26.0,203.0,37.0,39.0,523.0,88.0,65.0,557.0,453.0,72.0,91.0,199.0,16.0,115.0,614.0,54.0,123.0,144.0,78.0,62.0,117.0,151.0
509,13.0,53.0,72.0,54.0,141.0,15.0,14.0,34.0,162.0,39.0,89.0,19.0,603.0,144.0,135.0,508.0,353.0,532.0,104.0,90.0,36.0,102.0,82.0,93.0,247.0,1.0,253.0,553.0,103.0,142.0
558,19.0,42.0,44.0,123.0,50.0,16.0,29.0,86.0,73.0,74.0,39.0,348.0,6.0,27.0,136.0,67.0,157.0,553.0,51.0,33.0,583.0,80.0,609.0,339.0,269.0,25.0,57.0,83.0,135.0,148.0
607,17.0,387.0,418.0,87.0,96.0,5.0,58.0,64.0,25.0,248.0,89.0,30.0,1.0,97.0,114.0,84.0,46.0,26.0,63.0,15.0,19.0,75.0,445.0,102.0,296.0,110.0,119.0,537.0,155.0,61.0
656,9.0,88.0,65.0,128.0,46.0,16.0,12.0,93.0,325.0,207.0,41.0,32.0,40.0,124.0,113.0,530.0,45.0,109.0,229.0,51.0,94.0,56.0,83.0,15.0,235.0,48.0,122.0,31.0,52.0,302.0
705,24.0,41.0,79.0,87.0,151.0,16.0,38.0,74.0,187.0,177.0,109.0,46.0,126.0,116.0,77.0,52.0,568.0,557.0,37.0,67.0,9.0,100.0,96.0,54.0,152.0,627.0,106.0,547.0,144.0,124.0
754,8.0,64.0,596.0,151.0,39.0,16.0,119.0,34.0,329.0,1.0,94.0,132.0,144.0,429.0,104.0,101.0,138.0,45.0,121.0,150.0,14.0,143.0,607.0,106.0,248.0,105.0,80.0,19.0,22.0,146.0
803,28.0,11.0,623.0,91.0,50.0,14.0,456.0,74.0,318.0,211.0,112.0,94.0,76.0,98.0,73.0,560.0,80.0,550.0,242.0,64.0,15.0,84.0,605.0,58.0,360.0,37.0,132.0,134.0,44.0,85.0
852,18.0,22.0,597.0,33.0,91.0,31.0,136.0,62.0,174.0,2.0,37.0,20.0,21.0,26.0,150.0,558.0,141.0,552.0,43.0,39.0,40.0,122.0,610.0,98.0,234.0,88.0,58.0,541.0,53.0,78.0
901,11.0,64.0,628.0,120.0,31.0,154.0,455.0,41.0,20.0,15.0,34.0,50.0,88.0,592.0,87.0,35.0,85.0,96.0,97.0,42.0,68.0,74.0,608.0,266.0,69.0,28.0,152.0,542.0,134.0,104.0
950,22.0,100.0,620.0,133.0,57.0,12.0,136.0,76.0,289.0,157.0,50.0,5.0,84.0,591.0,89.0,54.0,92.0,545.0,68.0,125.0,580.0,74.0,563.0,20.0,107.0,34.0,232.0,534.0,39.0,49.0
999,6.0,62.0,46.0,111.0,80.0,382.0,37.0,26.0,103.0,3.0,141.0,21.0,75.0,9.0,53.0,560.0,66.0,552.0,110.0,87.0,121.0,158.0,79.0,34.0,256.0,615.0,36.0,99.0,143.0,151.0
1048,26.0,21.0,52.0,30.0,94.0,19.0,465.0,91.0,14.0,51.0,559.0,124.0,17.0,137.0,43.0,134.0,146.0,549.0,245.0,98.0,112.0,158.0,615.0,335.0,58.0,69.0,143.0,109.0,23.0,89.0
1097,17.0,4.0,61.0,12.0,107.0,445.0,304.0,80.0,6.0,20.0,41.0,335.0,60.0,57.0,137.0,89.0,97.0,511.0,145.0,127.0,120.0,28.0,31.0,266.0,115.0,584.0,75.0,53.0,32.0,123.0
1146,94.0,16.0,396.0,19.0,97.0,38.0,320.0,87.0,103.0,26.0,132.0,54.0,149.0,98.0,71.0,608.0,89.0,95.0,105.0,139.0,117.0,72.0,425.0,32.0,283.0,48.0,137.0,57.0,29.0,53.0
1195,12.0,28.0,71.0,136.0,33.0,166.0,15.0,37.0,39.0,17.0,51.0,238.0,168.0,19.0,54.0,34.0,83.0,1.0,150.0,35.0,125.0,64.0,3.0,241.0,97.0,615.0,95.0,142.0,18.0,60.0
1244,10.0,42.0,6.0,99.0,20.0,98.0,7.0,35.0,68.0,63.0,75.0,3.0,102.0,41.0,49.0,100.0,54.0,551.0,115.0,193.0,44.0,117.0,103.0,154.0,272.0,617.0,109.0,134.0,105.0,273.0
1293,31.0,8.0,624.0,3.0,69.0,145.0,455.0,58.0,16.0,1.0,75.0,73.0,114.0,44.0,77.0,555.0,126.0,35.0,108.0,91.0,81.0,361.0,601.0,225.0,227.0,629.0,53.0,88.0,405.0,107.0
1342,47.0,8.0,408.0,21.0,115.0,75.0,322.0,41.0,46.0,148.0,538.0,95.0,106.0,114.0,55.0,614.0,116.0,603.0,66.0,43.0,94.0,147.0,160.0,38.0,33.0,426.0,120.0,101.0,58.0,156.0
1391,7.0,13.0,49.0,11.0,103.0,140.0,276.0,41.0,106.0,15.0,521.0,8.0,79.0,42.0,78.0,568.0,152.0,526.0,120.0,259.0,123.0,130.0,595.0,66.0,44.0,85.0,65.0,90.0,502.0,69.0
1440,13.0,55.0,567.0,15.0,28.0,163.0,31.0,41.0,115.0,2.0,52.0,99.0,69.0,140.0,92.0,528.0,128.0,555.0,38.0,16.0,83.0,151.0,9.0,85.0,118.0,8.0,141.0,544.0,416.0,139.0
1489,50.0,25.0,629.0,49.0,131.0,395.0,8.0,109.0,15.0,70.0,94.0,149.0,42.0,30.0,126.0,86.0,59.0,561.0,128.0,130.0,129.0,81.0,96.0,142.0,34.0,624.0,90.0,164.0,120.0,88.0
1538,11.0,62.0,598.0,26.0,9.0,171.0,47.0,46.0,17.0,16.0,40.0,306.0,86.0,500.0,127.0,30.0,156.0,559.0,100.0,99.0,106.0,77.0,613.0,268.0,170.0,132.0,243.0,119.0,75.0,311.0
1587,19.0,29.0,0.0,107.0,11.0,384.0,57.0,129.0,315.0,5.0,48.0,125.0,143.0,30.0,101.0,40.0,78.0,93.0,104.0,21.0,119.0,66.0,45.0,310.0,278.0,629.0,60.0,100.0,138.0,77.0
1636,14.0,74.0,8.0,88.0,46.0,124.0,283.0,49.0,117.0,48.0,87.0,12.0,165.0,105.0,62.0,56.0,38.0,572.0,41.0,121.0,139.0,126.0,513.0,281.0,17.0,60.0,120.0,81.0,73.0,115.0
1685,17.0,35.0,21.0,110.0,80.0,384.0,145.0,67.0,82.0,25.0,116.0,128.0,122.0,14.0,102.0,109.0,455.0,553.0,166.0,57.0,148.0,139.0,50.0,356.0,123.0,27.0,133.0,65.0,94.0,137.0
1734,8.0,141.0,92.0,36.0,57.0,25.0,459.0,73.0,44.0,132.0,21.0,303.0,29.0,83.0,91.0,28.0,454.0,7.0,79.0,201.0,80.0,23.0,606.0,65.0,139.0,619.0,63.0,33.0,16.0,62.0
1783,22.0,74.0,425.0,56.0,46.0,99.0,322.0,35.0,15.0,25.0,98.0,0.0,97.0,1.0,104.0,49.0,129.0,526.0,44.0,170.0,401.0,125.0,55.0,29.0,273.0,597.0,27.0,20.0,112.0,84.0
1832,49.0,42.0,10.0,18.0,153.0,86.0,174.0,67.0,26.0,19.0,64.0,65.0,151.0,83.0,119.0,28.0,79.0,517.0,144.0,103.0,433.0,163.0,39.0,267.0,154.0,114.0,96.0,73.0,403.0,343.0
1881,38.0,108.0,6.0,33.0,27.0,128.0,12.0,68.0,117.0,79.0,78.0,348.0,59.0,403.0,105.0,55.0,67.0,1.0,71.0,42.0,110.0,36.0,95.0,272.0,274.0,509.0,11.0,32.0,86.0,152.0
1930,12.0,32.0,401.0,146.0,65.0,153.0,122.0,58.0,24.0,59.0,86.0,22.0,73.0,505.0,93.0,38.0,133.0,570.0,138.0,268.0,98.0,120.0,53.0,9.0,147.0,79.0,295.0,44.0,480.0,124.0
1979,7.0,25.0,624.0,139.0,20.0,132.0,30.0,21.0,76.0,16.0,74.0,27.0,517.0,584.0,83.0,148.0,108.0,18.0,32.0,88.0,100.0,65.0,4.0,69.0,127.0,615.0,73.0,97.0,126.0,114.0
2028,29.0,34.0,2.0,111.0,11.0,60.0,49.0,41.0,182.0,213.0,91.0,90.0,615.0,435.0,92.0,518.0,42.0,3.0,113.0,243.0,425.0,478.0,64.0,258.0,30.0,98.0,127.0,377.0,21.0,122.0
2077,24.0,14.0,11.0,18.0,17.0,157.0,10.0,65.0,32.0,0.0,63.0,123.0,43.0,134.0,152.0,552.0,127.0,41.0,92.0,226.0,69.0,34.0,100.0,289.0,291.0,615.0,88.0,139.0,53.0,156.0
2126,10.0,16.0,37.0,26.0,35.0,387.0,460.0,31.0,40.0,18.0,24.0,163.0,88.0,590.0,59.0,531.0,80.0,41.0,60.0,101.0,65.0,136.0,13.0,241.0,243.0,617.0,248.0,50.0,139.0,68.0
