,ELOVL6_DEL,RAD50_MUT,TP53_MUT,ITPR2_MUT,THSD4_AMP,AGMO_AMP,MIR491_DEL,OR8B2_DEL,BARX2_DEL,FLJ39051_DEL,HEPACAM_DEL,CCDC146_AMP,MLLT3_DEL,KCNJ5_DEL,TEK_MUT,OR8B8_DEL,COL23A1_DEL,PRKY_DEL,LOC283174_DEL,TRIM49_DEL,TTTY22_DEL,EPHA5_MUT,MIR4474_DEL,NCAPD3_DEL,TTTY12_DEL,PATE4_DEL,HYLS1_DEL,PTPLAD2_DEL,PHTF2_AMP,FOCAD_DEL
32,8417.0,12.0,225.0,6.0,266.0,238.0,174.0,5.0,13.0,148.0,28.0,1531.0,0.0,26.0,27.0,23.0,121.0,160.0,30.0,2.0,7.0,2624.0,1103.0,67.0,10395.0,19.0,40.0,124.0,540.0,118.0
81,9.0,1.0,109.0,26.0,7.0,22.0,8998.0,31.0,36.0,28.0,25.0,1895.0,3508.0,13.0,17078.0,49.0,2.0,883.0,37.0,6.0,4.0,111.0,205.0,18.0,91.0,38.0,55.0,678.0,95.0,386.0
130,75.0,15.0,0.0,49.0,1.0,572.0,25.0,3.0,154.0,77.0,23.0,350.0,22.0,43.0,2453.0,85.0,33.0,26.0,38.0,57.0,148.0,94.0,71.0,7.0,398.0,174.0,47.0,349.0,68.0,100.0
179,65.0,1.0,15.0,0.0,16.0,14.0,20.0,11.0,53.0,32.0,13.0,200.0,5.0,251.0,930.0,132.0,63.0,326.0,71.0,12827.0,18.0,95.0,232.0,426.0,477.0,74.0,97.0,2.0,2273.0,17.0
228,7700.0,114.0,2494.0,1.0,2.0,1293.0,4.0,231.0,206.0,105.0,46.0,47.0,3.0,25.0,14.0,232.0,71.0,1286.0,56.0,51.0,85.0,1164.0,79.0,59.0,781.0,54.0,28.0,16.0,373.0,5.0
277,11.0,2.0,18.0,16.0,22.0,425.0,392.0,9.0,36.0,187.0,12.0,28.0,538.0,183.0,68.0,19.0,13.0,25.0,30.0,5.0,37.0,2183.0,825.0,44.0,1356.0,185.0,31.0,427.0,22475.0,53.0
326,339.0,6.0,8.0,0.0,40.0,3.0,506.0,10.0,62.0,17.0,33.0,122.0,289.0,104.0,13237.0,166.0,46.0,968.0,204.0,5.0,24.0,23.0,71.0,201.0,67.0,38.0,48.0,73.0,15.0,58.0
375,203.0,21.0,9.0,103.0,19.0,825.0,3.0,24.0,40.0,11.0,42.0,235.0,88.0,170.0,18.0,41.0,151.0,343.0,48.0,1.0,10.0,1089.0,258.0,8.0,1466.0,47.0,63.0,50.0,309.0,319.0
424,692.0,23.0,70.0,4.0,40.0,9.0,49.0,28.0,105.0,7.0,42.0,27.0,2869.0,12.0,17201.0,187.0,243.0,387.0,30.0,37.0,0.0,1419.0,132.0,15.0,9953.0,17.0,36.0,401.0,14.0,79.0
473,11.0,40.0,30.0,0.0,3.0,111.0,123.0,48.0,190.0,222.0,13.0,22521.0,47.0,187.0,17112.0,209.0,1.0,760.0,54.0,14.0,156.0,3511.0,269.0,55.0,11691.0,10.0,285.0,11405.0,22746.0,395.0
