,Akt_pS473,CDK1,Smad3,c-Jun_pS73,YB-1_pS102,PRAS40_pT246,PRDX1,HER3,PKC-pan_BetaII_pS660,FRA1,Raptor,Heregulin,JNK2,MEK1_pS217_S221,Cyclin_E1,Acetyl-a-Tubulin (Lys40),beta Actin,TFRC,Annexin 1,MAPK_pT202_Y204,Annexin_VII,AR,p21,Src_pY416,4E-BP1_pS65,p62 Lck ligand,PDK1_pS241,Paxillin,PDCD4,p90RSK_pT573
6,4.0,27.0,8.0,102.0,26.0,2.0,82.0,135.0,3.0,24.0,14.0,23.0,10.0,13.0,154.0,30.0,21.0,34.0,1.0,9.0,32.0,0.0,22.0,31.0,114.0,39.0,7.0,42.0,46.0,36.0
55,1.0,5.0,0.0,18.0,7.0,14.0,85.0,19.0,15.0,16.0,3.0,20.0,24.0,26.0,152.0,6.0,29.0,39.0,32.0,25.0,127.0,33.0,58.0,38.0,40.0,50.0,56.0,44.0,43.0,46.0
104,2.0,1.0,37.0,5.0,164.0,84.0,27.0,21.0,16.0,19.0,3.0,136.0,140.0,26.0,152.0,36.0,8.0,31.0,7.0,25.0,33.0,0.0,57.0,72.0,115.0,47.0,18.0,40.0,39.0,42.0
153,24.0,4.0,22.0,12.0,6.0,1.0,19.0,5.0,90.0,17.0,16.0,136.0,29.0,26.0,156.0,28.0,8.0,69.0,0.0,2.0,112.0,3.0,34.0,37.0,115.0,54.0,41.0,49.0,57.0,48.0
202,8.0,17.0,1.0,9.0,164.0,20.0,18.0,135.0,6.0,161.0,88.0,10.0,35.0,37.0,151.0,30.0,7.0,32.0,5.0,25.0,2.0,29.0,50.0,21.0,33.0,54.0,41.0,47.0,59.0,51.0
251,11.0,4.0,12.0,0.0,1.0,2.0,3.0,6.0,14.0,23.0,85.0,34.0,13.0,27.0,153.0,30.0,22.0,64.0,10.0,29.0,9.0,32.0,43.0,7.0,16.0,48.0,41.0,40.0,36.0,45.0
300,0.0,10.0,7.0,16.0,2.0,1.0,21.0,19.0,33.0,23.0,5.0,137.0,27.0,35.0,154.0,31.0,101.0,32.0,9.0,29.0,124.0,30.0,50.0,26.0,114.0,57.0,36.0,38.0,39.0,40.0
349,6.0,10.0,0.0,16.0,11.0,1.0,82.0,140.0,19.0,20.0,9.0,24.0,27.0,28.0,153.0,34.0,103.0,47.0,36.0,5.0,2.0,3.0,4.0,39.0,116.0,43.0,91.0,65.0,93.0,46.0
398,37.0,1.0,0.0,3.0,16.0,8.0,14.0,133.0,7.0,160.0,10.0,134.0,23.0,26.0,15.0,120.0,28.0,36.0,6.0,25.0,34.0,33.0,54.0,76.0,35.0,48.0,62.0,39.0,43.0,44.0
447,4.0,3.0,9.0,16.0,18.0,6.0,5.0,24.0,88.0,22.0,15.0,25.0,10.0,11.0,151.0,128.0,29.0,81.0,7.0,136.0,8.0,113.0,56.0,1.0,33.0,47.0,51.0,40.0,43.0,37.0
496,0.0,2.0,1.0,3.0,27.0,25.0,15.0,20.0,19.0,5.0,77.0,21.0,24.0,17.0,26.0,119.0,98.0,10.0,33.0,140.0,29.0,6.0,22.0,35.0,114.0,45.0,39.0,37.0,36.0,41.0
545,5.0,12.0,6.0,10.0,0.0,2.0,15.0,136.0,18.0,28.0,77.0,9.0,16.0,94.0,154.0,40.0,99.0,64.0,124.0,142.0,4.0,3.0,17.0,30.0,115.0,43.0,66.0,47.0,51.0,23.0
594,1.0,13.0,8.0,15.0,2.0,28.0,79.0,19.0,35.0,162.0,82.0,4.0,6.0,9.0,154.0,11.0,18.0,68.0,30.0,7.0,29.0,0.0,31.0,72.0,114.0,3.0,37.0,56.0,40.0,43.0
643,8.0,2.0,29.0,13.0,164.0,85.0,4.0,25.0,6.0,26.0,0.0,10.0,11.0,143.0,5.0,120.0,99.0,30.0,123.0,27.0,1.0,35.0,54.0,32.0,36.0,39.0,7.0,19.0,45.0,41.0
692,0.0,7.0,2.0,102.0,17.0,80.0,22.0,14.0,78.0,5.0,4.0,1.0,29.0,28.0,156.0,121.0,16.0,30.0,6.0,134.0,36.0,34.0,35.0,59.0,116.0,51.0,40.0,44.0,55.0,48.0
741,4.0,2.0,6.0,21.0,28.0,17.0,86.0,27.0,20.0,24.0,12.0,0.0,16.0,143.0,18.0,5.0,105.0,33.0,34.0,13.0,35.0,3.0,62.0,74.0,38.0,54.0,42.0,47.0,46.0,26.0
790,0.0,20.0,5.0,1.0,164.0,15.0,6.0,133.0,9.0,23.0,89.0,4.0,31.0,36.0,8.0,120.0,10.0,33.0,34.0,139.0,124.0,2.0,32.0,92.0,7.0,59.0,51.0,11.0,53.0,57.0
839,4.0,8.0,5.0,2.0,1.0,12.0,11.0,21.0,14.0,18.0,76.0,3.0,23.0,25.0,13.0,127.0,103.0,36.0,33.0,24.0,31.0,0.0,57.0,39.0,114.0,44.0,53.0,49.0,43.0,45.0
888,0.0,7.0,1.0,9.0,27.0,26.0,81.0,134.0,16.0,22.0,12.0,135.0,25.0,17.0,19.0,5.0,100.0,30.0,8.0,2.0,37.0,29.0,3.0,33.0,31.0,46.0,62.0,39.0,38.0,43.0
937,38.0,13.0,6.0,1.0,0.0,4.0,83.0,133.0,21.0,23.0,79.0,8.0,16.0,142.0,5.0,33.0,19.0,78.0,30.0,15.0,3.0,2.0,55.0,35.0,39.0,62.0,25.0,47.0,44.0,42.0
986,3.0,0.0,1.0,31.0,32.0,13.0,12.0,24.0,14.0,146.0,8.0,25.0,27.0,29.0,154.0,118.0,43.0,2.0,5.0,28.0,4.0,35.0,26.0,40.0,113.0,46.0,85.0,88.0,87.0,77.0
1035,32.0,15.0,8.0,101.0,2.0,20.0,19.0,1.0,23.0,148.0,13.0,17.0,24.0,142.0,22.0,127.0,104.0,7.0,4.0,140.0,31.0,0.0,27.0,34.0,115.0,44.0,92.0,46.0,49.0,47.0
1084,1.0,7.0,0.0,23.0,164.0,15.0,8.0,2.0,16.0,39.0,3.0,11.0,38.0,143.0,29.0,6.0,12.0,4.0,33.0,140.0,32.0,31.0,5.0,24.0,34.0,49.0,40.0,42.0,43.0,60.0
1133,8.0,0.0,1.0,2.0,29.0,23.0,24.0,15.0,22.0,6.0,64.0,27.0,145.0,16.0,12.0,35.0,28.0,3.0,32.0,17.0,36.0,158.0,20.0,4.0,31.0,57.0,49.0,52.0,51.0,54.0
1182,1.0,3.0,29.0,4.0,34.0,0.0,26.0,156.0,25.0,13.0,28.0,15.0,11.0,32.0,8.0,48.0,129.0,5.0,37.0,147.0,36.0,7.0,2.0,86.0,39.0,64.0,56.0,59.0,58.0,61.0
1231,8.0,1.0,0.0,109.0,164.0,2.0,21.0,4.0,22.0,148.0,92.0,138.0,28.0,94.0,152.0,31.0,11.0,9.0,7.0,33.0,32.0,125.0,35.0,27.0,3.0,14.0,20.0,43.0,40.0,47.0
1280,6.0,4.0,1.0,8.0,0.0,85.0,16.0,22.0,17.0,18.0,5.0,23.0,25.0,133.0,152.0,34.0,30.0,7.0,125.0,26.0,41.0,33.0,27.0,37.0,2.0,21.0,92.0,46.0,65.0,42.0
1329,0.0,11.0,1.0,2.0,3.0,42.0,25.0,19.0,8.0,133.0,65.0,154.0,18.0,21.0,108.0,35.0,30.0,4.0,34.0,146.0,33.0,32.0,22.0,6.0,36.0,58.0,23.0,53.0,52.0,55.0
1378,32.0,3.0,1.0,11.0,0.0,8.0,82.0,22.0,7.0,161.0,92.0,135.0,17.0,144.0,6.0,38.0,29.0,5.0,125.0,12.0,4.0,35.0,28.0,37.0,36.0,48.0,9.0,18.0,42.0,45.0
1427,4.0,2.0,8.0,0.0,164.0,11.0,5.0,132.0,6.0,161.0,75.0,7.0,138.0,143.0,152.0,37.0,28.0,1.0,32.0,140.0,31.0,34.0,25.0,33.0,114.0,61.0,17.0,19.0,42.0,41.0
1476,33.0,0.0,9.0,12.0,1.0,20.0,19.0,7.0,21.0,3.0,16.0,24.0,35.0,144.0,154.0,30.0,99.0,39.0,5.0,141.0,124.0,37.0,4.0,26.0,28.0,13.0,41.0,57.0,47.0,54.0
1525,0.0,1.0,38.0,99.0,15.0,10.0,4.0,2.0,12.0,16.0,6.0,135.0,21.0,25.0,163.0,36.0,103.0,64.0,5.0,23.0,125.0,33.0,53.0,31.0,114.0,19.0,92.0,39.0,42.0,43.0
1574,0.0,3.0,1.0,30.0,4.0,48.0,21.0,2.0,20.0,163.0,7.0,152.0,10.0,141.0,108.0,47.0,131.0,26.0,32.0,144.0,97.0,34.0,6.0,25.0,35.0,59.0,50.0,29.0,53.0,56.0
1623,1.0,0.0,8.0,5.0,28.0,13.0,6.0,20.0,14.0,16.0,10.0,21.0,23.0,143.0,154.0,126.0,9.0,32.0,7.0,25.0,111.0,35.0,50.0,77.0,113.0,18.0,26.0,48.0,61.0,43.0
1672,38.0,1.0,3.0,10.0,8.0,18.0,16.0,4.0,7.0,21.0,0.0,25.0,27.0,144.0,19.0,6.0,109.0,36.0,2.0,28.0,126.0,33.0,26.0,5.0,35.0,24.0,20.0,46.0,51.0,43.0
1721,4.0,0.0,1.0,2.0,164.0,90.0,13.0,3.0,14.0,6.0,5.0,135.0,26.0,19.0,155.0,32.0,108.0,33.0,7.0,142.0,124.0,125.0,8.0,35.0,113.0,44.0,20.0,39.0,64.0,41.0
1770,31.0,2.0,5.0,102.0,164.0,8.0,79.0,3.0,23.0,147.0,0.0,18.0,30.0,25.0,154.0,35.0,19.0,32.0,4.0,141.0,33.0,34.0,1.0,59.0,115.0,44.0,36.0,39.0,37.0,55.0
1819,6.0,7.0,3.0,1.0,0.0,36.0,8.0,2.0,24.0,4.0,17.0,134.0,29.0,143.0,153.0,27.0,99.0,32.0,5.0,140.0,34.0,35.0,26.0,19.0,10.0,16.0,41.0,52.0,54.0,50.0
1868,3.0,1.0,0.0,4.0,16.0,15.0,14.0,7.0,27.0,17.0,6.0,135.0,25.0,91.0,155.0,8.0,97.0,31.0,10.0,141.0,9.0,122.0,48.0,33.0,112.0,39.0,87.0,60.0,88.0,35.0
1917,4.0,0.0,7.0,1.0,26.0,83.0,5.0,9.0,22.0,10.0,2.0,24.0,139.0,11.0,152.0,29.0,101.0,6.0,3.0,141.0,35.0,32.0,13.0,34.0,114.0,47.0,23.0,41.0,39.0,44.0
1966,0.0,4.0,27.0,44.0,34.0,7.0,23.0,154.0,52.0,131.0,83.0,17.0,8.0,13.0,111.0,1.0,2.0,3.0,39.0,9.0,99.0,142.0,32.0,29.0,36.0,20.0,19.0,57.0,56.0,59.0
2015,0.0,4.0,1.0,2.0,27.0,18.0,87.0,22.0,90.0,161.0,26.0,23.0,24.0,9.0,151.0,30.0,11.0,35.0,7.0,10.0,6.0,5.0,25.0,33.0,37.0,38.0,45.0,21.0,43.0,41.0
2064,0.0,1.0,2.0,5.0,164.0,84.0,7.0,134.0,20.0,160.0,77.0,135.0,4.0,18.0,149.0,30.0,19.0,36.0,32.0,141.0,9.0,8.0,24.0,33.0,3.0,22.0,21.0,43.0,44.0,41.0
2113,0.0,1.0,20.0,12.0,2.0,61.0,91.0,134.0,37.0,24.0,60.0,25.0,36.0,30.0,152.0,120.0,104.0,34.0,35.0,139.0,4.0,3.0,59.0,38.0,29.0,10.0,17.0,57.0,56.0,53.0
2162,4.0,1.0,11.0,16.0,0.0,18.0,10.0,140.0,60.0,162.0,84.0,139.0,34.0,133.0,153.0,5.0,13.0,65.0,3.0,135.0,126.0,2.0,47.0,7.0,116.0,58.0,44.0,46.0,57.0,49.0
2211,7.0,2.0,4.0,31.0,1.0,24.0,25.0,5.0,22.0,133.0,67.0,11.0,6.0,14.0,109.0,33.0,128.0,29.0,8.0,13.0,39.0,0.0,19.0,83.0,36.0,60.0,52.0,55.0,54.0,57.0
2260,1.0,6.0,0.0,5.0,2.0,60.0,23.0,26.0,34.0,20.0,83.0,25.0,9.0,141.0,151.0,7.0,3.0,69.0,32.0,145.0,37.0,4.0,57.0,27.0,28.0,36.0,19.0,14.0,52.0,56.0
2309,0.0,5.0,2.0,9.0,164.0,23.0,28.0,17.0,20.0,12.0,60.0,133.0,1.0,26.0,29.0,127.0,4.0,70.0,126.0,140.0,35.0,6.0,7.0,8.0,25.0,18.0,31.0,45.0,44.0,59.0
2358,32.0,3.0,7.0,13.0,26.0,62.0,92.0,36.0,0.0,160.0,61.0,9.0,1.0,5.0,150.0,4.0,11.0,34.0,127.0,138.0,35.0,40.0,30.0,39.0,29.0,38.0,21.0,56.0,55.0,54.0
2407,0.0,5.0,7.0,3.0,26.0,87.0,6.0,24.0,19.0,148.0,79.0,10.0,9.0,8.0,153.0,32.0,2.0,28.0,122.0,15.0,123.0,4.0,1.0,29.0,34.0,38.0,62.0,43.0,44.0,45.0
2456,1.0,14.0,85.0,19.0,30.0,8.0,23.0,151.0,22.0,162.0,64.0,13.0,6.0,4.0,106.0,0.0,29.0,76.0,139.0,142.0,7.0,3.0,28.0,26.0,82.0,20.0,47.0,50.0,49.0,52.0
2505,0.0,13.0,29.0,20.0,33.0,25.0,2.0,4.0,24.0,9.0,6.0,3.0,8.0,11.0,7.0,1.0,35.0,80.0,135.0,147.0,141.0,37.0,132.0,86.0,38.0,21.0,23.0,57.0,56.0,59.0
2554,5.0,3.0,29.0,34.0,1.0,22.0,23.0,6.0,49.0,16.0,67.0,2.0,150.0,145.0,113.0,36.0,127.0,31.0,38.0,149.0,144.0,0.0,101.0,30.0,40.0,21.0,56.0,59.0,58.0,61.0
2603,0.0,9.0,23.0,6.0,2.0,3.0,33.0,18.0,27.0,24.0,11.0,19.0,35.0,141.0,31.0,1.0,20.0,29.0,124.0,138.0,8.0,7.0,34.0,36.0,32.0,15.0,40.0,43.0,41.0,46.0
2652,0.0,8.0,27.0,5.0,26.0,80.0,23.0,135.0,83.0,162.0,70.0,136.0,9.0,20.0,11.0,1.0,99.0,30.0,31.0,142.0,32.0,33.0,60.0,4.0,112.0,10.0,62.0,37.0,36.0,39.0
2701,11.0,2.0,13.0,10.0,29.0,24.0,82.0,15.0,5.0,162.0,75.0,16.0,20.0,141.0,22.0,1.0,98.0,9.0,30.0,26.0,7.0,6.0,50.0,71.0,0.0,14.0,8.0,36.0,35.0,38.0
2750,3.0,10.0,88.0,32.0,8.0,5.0,41.0,154.0,4.0,16.0,25.0,6.0,0.0,143.0,2.0,9.0,36.0,79.0,134.0,146.0,34.0,152.0,19.0,1.0,87.0,22.0,52.0,55.0,54.0,57.0
2799,0.0,9.0,21.0,17.0,2.0,4.0,5.0,135.0,88.0,161.0,80.0,3.0,33.0,26.0,23.0,11.0,96.0,8.0,31.0,27.0,7.0,34.0,51.0,69.0,113.0,44.0,22.0,36.0,35.0,41.0
2848,5.0,8.0,2.0,102.0,31.0,16.0,15.0,7.0,20.0,161.0,75.0,29.0,21.0,12.0,17.0,1.0,30.0,0.0,4.0,139.0,124.0,3.0,26.0,34.0,37.0,27.0,6.0,42.0,41.0,44.0
2897,2.0,129.0,70.0,9.0,0.0,8.0,3.0,133.0,90.0,6.0,77.0,10.0,145.0,16.0,17.0,7.0,104.0,5.0,34.0,28.0,4.0,1.0,56.0,30.0,115.0,22.0,41.0,38.0,39.0,19.0
2946,5.0,3.0,0.0,1.0,27.0,18.0,17.0,25.0,4.0,20.0,28.0,134.0,6.0,143.0,16.0,127.0,99.0,40.0,34.0,140.0,32.0,35.0,19.0,75.0,36.0,24.0,45.0,21.0,41.0,44.0
2995,2.0,3.0,0.0,14.0,164.0,10.0,13.0,21.0,5.0,15.0,19.0,11.0,33.0,29.0,32.0,1.0,104.0,35.0,36.0,142.0,124.0,38.0,34.0,7.0,27.0,50.0,40.0,42.0,41.0,47.0
3044,0.0,8.0,5.0,15.0,28.0,23.0,83.0,10.0,6.0,7.0,20.0,133.0,12.0,143.0,1.0,30.0,13.0,4.0,32.0,140.0,124.0,33.0,19.0,36.0,35.0,25.0,11.0,26.0,41.0,45.0
3093,1.0,5.0,0.0,6.0,2.0,16.0,4.0,10.0,14.0,148.0,84.0,7.0,12.0,23.0,3.0,33.0,100.0,34.0,9.0,32.0,126.0,28.0,36.0,8.0,114.0,51.0,39.0,56.0,44.0,46.0
3142,7.0,0.0,5.0,1.0,2.0,22.0,4.0,136.0,79.0,21.0,17.0,27.0,3.0,143.0,23.0,9.0,10.0,33.0,6.0,28.0,30.0,125.0,38.0,36.0,19.0,14.0,39.0,57.0,45.0,18.0
3191,1.0,30.0,0.0,5.0,11.0,9.0,10.0,24.0,84.0,20.0,16.0,132.0,4.0,142.0,28.0,36.0,98.0,7.0,2.0,139.0,35.0,33.0,25.0,34.0,31.0,61.0,45.0,21.0,43.0,39.0
3240,7.0,2.0,8.0,0.0,1.0,19.0,4.0,134.0,20.0,161.0,83.0,135.0,141.0,18.0,27.0,6.0,21.0,30.0,34.0,24.0,32.0,3.0,54.0,66.0,38.0,62.0,23.0,17.0,40.0,44.0
3289,4.0,1.0,5.0,7.0,0.0,18.0,26.0,2.0,19.0,148.0,27.0,24.0,139.0,143.0,16.0,33.0,104.0,36.0,3.0,140.0,37.0,124.0,57.0,39.0,30.0,46.0,91.0,20.0,66.0,42.0
3338,1.0,4.0,3.0,0.0,17.0,30.0,16.0,23.0,31.0,2.0,32.0,24.0,27.0,136.0,10.0,40.0,35.0,41.0,36.0,139.0,34.0,33.0,29.0,39.0,6.0,26.0,53.0,47.0,48.0,45.0
3387,7.0,2.0,6.0,12.0,164.0,1.0,5.0,4.0,89.0,161.0,19.0,25.0,3.0,35.0,152.0,17.0,10.0,28.0,0.0,36.0,32.0,33.0,53.0,31.0,114.0,48.0,21.0,39.0,37.0,45.0
3436,7.0,22.0,8.0,15.0,164.0,2.0,16.0,5.0,38.0,3.0,21.0,31.0,141.0,28.0,39.0,127.0,10.0,36.0,37.0,142.0,6.0,124.0,55.0,76.0,115.0,14.0,44.0,45.0,42.0,49.0
3485,1.0,5.0,10.0,15.0,24.0,19.0,80.0,139.0,12.0,21.0,20.0,0.0,39.0,26.0,18.0,30.0,11.0,35.0,34.0,29.0,2.0,124.0,31.0,77.0,36.0,53.0,45.0,47.0,42.0,50.0
3534,6.0,0.0,1.0,7.0,164.0,86.0,18.0,12.0,21.0,162.0,79.0,11.0,37.0,141.0,20.0,31.0,2.0,3.0,38.0,32.0,39.0,40.0,25.0,23.0,114.0,14.0,19.0,48.0,47.0,50.0
3583,7.0,8.0,6.0,1.0,2.0,24.0,86.0,32.0,26.0,22.0,17.0,133.0,139.0,3.0,25.0,9.0,5.0,63.0,111.0,33.0,38.0,37.0,57.0,70.0,114.0,18.0,27.0,47.0,45.0,51.0
3632,8.0,2.0,9.0,1.0,164.0,19.0,84.0,10.0,23.0,25.0,0.0,18.0,140.0,11.0,26.0,7.0,6.0,5.0,37.0,17.0,4.0,125.0,20.0,36.0,29.0,49.0,46.0,42.0,44.0,40.0
3681,27.0,8.0,1.0,5.0,14.0,21.0,20.0,4.0,23.0,19.0,16.0,2.0,139.0,143.0,152.0,6.0,12.0,36.0,39.0,140.0,3.0,35.0,54.0,76.0,33.0,13.0,43.0,49.0,40.0,51.0
3730,29.0,20.0,7.0,6.0,1.0,13.0,62.0,143.0,28.0,4.0,19.0,3.0,27.0,135.0,150.0,121.0,26.0,0.0,10.0,34.0,9.0,8.0,47.0,32.0,16.0,25.0,59.0,50.0,49.0,52.0
