,hsa-miR-125a-3p,hsa-miR-10b,hsa-miR-934,hsa-miR-483-3p,hsa-miR-361-5p,hsa-miR-645,hsa-miR-555,hsa-miR-34a,hsa-miR-662,hsa-miR-484,hsa-miR-124,hsa-miR-620,hsa-miR-146b-3p,hsa-miR-491-5p,hsa-miR-582-5p,hsa-miR-548c-5p,hsa-miR-1259,hsa-miR-453,hsa-miR-891a,hsa-miR-143,hsa-miR-550,hsa-miR-326,hsa-miR-1913,hsa-miR-578,hsa-miR-1185,hsa-miR-499-3p,hsa-miR-1248,hsa-miR-937,hsa-miR-147b,hsa-miR-1977
15,0.0,5.0,7.0,3.0,9.0,28.0,57.0,1.0,4.0,19.0,20.0,10.0,61.0,2.0,17.0,26.0,38.0,30.0,11.0,99.0,109.0,78.0,157.0,33.0,87.0,97.0,42.0,35.0,69.0,74.0
64,0.0,3.0,1.0,9.0,26.0,2.0,60.0,5.0,14.0,7.0,28.0,75.0,58.0,141.0,173.0,16.0,134.0,21.0,69.0,61.0,74.0,25.0,30.0,109.0,43.0,83.0,15.0,31.0,27.0,317.0
113,0.0,15.0,22.0,27.0,2.0,3.0,25.0,12.0,4.0,17.0,18.0,61.0,28.0,109.0,30.0,1.0,168.0,9.0,16.0,8.0,75.0,11.0,36.0,52.0,54.0,206.0,26.0,46.0,132.0,140.0
162,9.0,2.0,8.0,0.0,6.0,32.0,22.0,3.0,233.0,55.0,11.0,21.0,19.0,77.0,48.0,16.0,15.0,31.0,20.0,54.0,144.0,12.0,69.0,29.0,24.0,103.0,26.0,23.0,67.0,101.0
211,0.0,6.0,2.0,1.0,16.0,11.0,28.0,43.0,62.0,25.0,44.0,77.0,3.0,52.0,4.0,49.0,33.0,15.0,24.0,64.0,84.0,20.0,36.0,260.0,205.0,59.0,7.0,106.0,65.0,177.0
260,0.0,3.0,6.0,18.0,8.0,14.0,21.0,41.0,7.0,16.0,22.0,33.0,29.0,80.0,57.0,2.0,101.0,46.0,5.0,47.0,341.0,4.0,30.0,77.0,50.0,76.0,25.0,82.0,59.0,52.0
309,0.0,72.0,3.0,31.0,9.0,5.0,41.0,30.0,2.0,27.0,15.0,6.0,40.0,28.0,51.0,7.0,23.0,8.0,18.0,32.0,90.0,4.0,21.0,67.0,59.0,101.0,54.0,35.0,10.0,17.0
358,0.0,1.0,18.0,6.0,21.0,4.0,47.0,2.0,12.0,5.0,25.0,60.0,34.0,83.0,65.0,30.0,101.0,63.0,15.0,64.0,103.0,3.0,31.0,33.0,84.0,85.0,20.0,52.0,75.0,97.0
407,4.0,11.0,0.0,7.0,2.0,47.0,14.0,16.0,21.0,8.0,50.0,23.0,10.0,154.0,25.0,52.0,261.0,17.0,9.0,3.0,85.0,1.0,42.0,77.0,37.0,196.0,24.0,148.0,59.0,56.0
456,1.0,12.0,10.0,15.0,2.0,0.0,34.0,35.0,9.0,20.0,7.0,64.0,25.0,41.0,150.0,4.0,51.0,13.0,11.0,40.0,59.0,3.0,18.0,73.0,48.0,68.0,71.0,5.0,57.0,106.0
505,15.0,0.0,8.0,20.0,14.0,120.0,5.0,1.0,154.0,4.0,30.0,25.0,108.0,85.0,19.0,10.0,22.0,137.0,17.0,33.0,155.0,119.0,28.0,2.0,54.0,100.0,102.0,205.0,51.0,9.0
554,0.0,2.0,30.0,5.0,3.0,42.0,6.0,4.0,118.0,20.0,14.0,119.0,10.0,258.0,88.0,17.0,7.0,40.0,146.0,56.0,16.0,99.0,86.0,36.0,43.0,18.0,133.0,70.0,159.0,22.0
603,9.0,0.0,2.0,4.0,5.0,66.0,1.0,7.0,82.0,17.0,25.0,10.0,78.0,14.0,36.0,27.0,15.0,79.0,16.0,6.0,31.0,183.0,34.0,21.0,112.0,80.0,50.0,86.0,40.0,3.0
652,0.0,2.0,32.0,5.0,1.0,82.0,16.0,3.0,205.0,11.0,20.0,4.0,53.0,68.0,141.0,17.0,8.0,10.0,38.0,96.0,33.0,41.0,136.0,242.0,89.0,26.0,37.0,84.0,42.0,12.0
701,0.0,19.0,9.0,17.0,15.0,23.0,30.0,21.0,115.0,33.0,7.0,4.0,12.0,61.0,39.0,20.0,26.0,52.0,6.0,3.0,11.0,302.0,67.0,27.0,2.0,45.0,138.0,18.0,44.0,16.0
750,0.0,5.0,8.0,4.0,38.0,18.0,1.0,11.0,96.0,14.0,12.0,53.0,22.0,122.0,68.0,3.0,6.0,36.0,47.0,24.0,304.0,89.0,245.0,16.0,79.0,19.0,213.0,80.0,118.0,17.0
799,3.0,1.0,4.0,0.0,2.0,24.0,9.0,16.0,68.0,15.0,25.0,26.0,13.0,156.0,21.0,37.0,6.0,117.0,63.0,27.0,49.0,146.0,17.0,123.0,96.0,44.0,46.0,161.0,59.0,18.0
848,6.0,0.0,10.0,2.0,45.0,38.0,37.0,4.0,134.0,9.0,1.0,116.0,72.0,165.0,33.0,83.0,5.0,29.0,47.0,89.0,3.0,96.0,82.0,7.0,145.0,41.0,77.0,57.0,27.0,172.0
897,2.0,7.0,0.0,10.0,13.0,18.0,9.0,32.0,56.0,37.0,21.0,22.0,16.0,95.0,41.0,33.0,1.0,98.0,11.0,51.0,28.0,43.0,25.0,5.0,20.0,50.0,89.0,12.0,166.0,4.0
946,6.0,3.0,18.0,2.0,0.0,15.0,1.0,7.0,21.0,17.0,9.0,105.0,50.0,80.0,16.0,20.0,8.0,41.0,10.0,67.0,5.0,35.0,37.0,13.0,47.0,4.0,152.0,62.0,132.0,36.0
995,19.0,60.0,1.0,21.0,7.0,4.0,2.0,6.0,0.0,29.0,14.0,12.0,18.0,36.0,100.0,30.0,39.0,63.0,20.0,15.0,11.0,34.0,48.0,3.0,31.0,57.0,25.0,24.0,8.0,199.0
1044,21.0,26.0,16.0,3.0,1.0,17.0,6.0,5.0,2.0,45.0,15.0,44.0,34.0,0.0,23.0,4.0,14.0,52.0,64.0,40.0,42.0,29.0,18.0,7.0,84.0,24.0,31.0,92.0,54.0,27.0
1093,115.0,105.0,13.0,9.0,0.0,5.0,8.0,10.0,1.0,7.0,14.0,59.0,27.0,2.0,131.0,26.0,31.0,17.0,32.0,77.0,11.0,19.0,41.0,6.0,12.0,81.0,111.0,99.0,24.0,43.0
