,hsa-miR-142-5p,hsa-let-7e,hsa-miR-21,hsa-miR-22,hsa-miR-193a-5p,hsa-miR-574-5p,hsa-miR-224,hsa-miR-24,hsa-miR-206,hsa-miR-30a,hsa-miR-223,hsa-miR-548m,hsa-miR-92a,hsa-miR-2115,hsa-miR-31,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-744,hsa-miR-10a,hsa-miR-34a,hsa-miR-545,hsa-miR-422a,hsa-miR-1269,hsa-miR-147b,hsa-miR-626,hsa-miR-675,hsa-miR-766,hsa-miR-151-3p,hsa-miR-135b,hsa-miR-155
2811,0.0,1.0,20.0,2.0,3.0,4.0,5.0,83.0,12.0,31.0,7.0,17.0,6.0,11.0,79.0,19.0,22.0,25.0,28.0,183.0,23.0,8.0,15.0,74.0,91.0,18.0,43.0,282.0,70.0,86.0
2860,0.0,1.0,4.0,16.0,10.0,5.0,9.0,26.0,15.0,305.0,13.0,7.0,3.0,2.0,6.0,27.0,11.0,151.0,54.0,223.0,14.0,29.0,229.0,47.0,201.0,45.0,28.0,12.0,78.0,30.0
2909,0.0,2.0,5.0,9.0,13.0,23.0,4.0,40.0,1.0,3.0,11.0,7.0,14.0,16.0,10.0,38.0,53.0,143.0,70.0,120.0,74.0,132.0,83.0,44.0,67.0,124.0,50.0,117.0,52.0,15.0
2958,0.0,2.0,1.0,9.0,17.0,11.0,4.0,24.0,3.0,20.0,18.0,5.0,19.0,21.0,44.0,102.0,14.0,32.0,42.0,6.0,12.0,22.0,10.0,536.0,112.0,60.0,7.0,15.0,62.0,55.0
3007,1.0,0.0,4.0,3.0,12.0,2.0,5.0,11.0,14.0,15.0,17.0,9.0,30.0,7.0,8.0,20.0,33.0,19.0,10.0,21.0,13.0,93.0,16.0,82.0,282.0,300.0,116.0,37.0,75.0,131.0
3056,0.0,2.0,1.0,6.0,61.0,7.0,4.0,71.0,19.0,3.0,13.0,10.0,5.0,28.0,14.0,8.0,67.0,96.0,35.0,20.0,86.0,30.0,9.0,33.0,593.0,542.0,21.0,53.0,42.0,15.0
3105,1.0,0.0,3.0,2.0,11.0,13.0,4.0,70.0,6.0,35.0,19.0,7.0,17.0,29.0,14.0,23.0,22.0,18.0,15.0,9.0,43.0,37.0,8.0,26.0,191.0,124.0,396.0,90.0,373.0,53.0
3154,1.0,0.0,3.0,2.0,5.0,15.0,8.0,11.0,7.0,10.0,9.0,25.0,111.0,18.0,4.0,27.0,21.0,16.0,6.0,17.0,82.0,12.0,14.0,23.0,68.0,91.0,54.0,31.0,50.0,42.0
3203,2.0,0.0,3.0,1.0,6.0,10.0,4.0,21.0,11.0,24.0,19.0,16.0,5.0,7.0,48.0,12.0,80.0,13.0,36.0,9.0,20.0,75.0,8.0,108.0,199.0,31.0,23.0,33.0,58.0,25.0
3252,0.0,1.0,8.0,6.0,49.0,4.0,3.0,15.0,174.0,64.0,11.0,32.0,21.0,36.0,12.0,14.0,22.0,9.0,26.0,2.0,63.0,52.0,7.0,25.0,614.0,29.0,30.0,132.0,31.0,38.0
