,BRAF_MUT,BRAF.V600E_MUT,KRAS_MUT,KRAS.G12_13_MUT,TTN_MUT,BRAF.MC_MUT,FAM21A_DEL,HLA-H_DEL,KIAA1217_DEL,MIR548AI_DEL,NRAS_MUT,CDC73_AMP,RHD_DEL,TNK2_MUT,HLA-DRB1_AMP,FAM35B_DEL,UNC13C_MUT,SORD_AMP,ZNF423_MUT,NBPF16_DEL,LINC00226_AMP,FAM66A_DEL,LGALS9C_DEL,MITF_AMP,LOC728875_DEL,MACROD2_AMP,DMBT1_DEL,RBFOX1_DEL,ATG10_DEL,SNTG2_DEL
30,0.0,1.0,4.0,5.0,2.0,7.0,3.0,6.0,13.0,46.0,15.0,9.0,11.0,24.0,20.0,450.0,25.0,17.0,14.0,54.0,21.0,3796.0,31.0,29.0,40.0,10.0,45.0,28.0,16.0,49.0
79,0.0,2.0,3.0,7.0,8.0,9.0,23.0,1.0,10.0,4.0,5.0,28.0,40.0,24.0,32.0,97.0,14.0,35.0,19.0,166.0,18.0,835.0,12.0,26.0,2285.0,22.0,17.0,13.0,141.0,27.0
128,0.0,3.0,1.0,4.0,2.0,10.0,5.0,8.0,12.0,7.0,6.0,13.0,28.0,33.0,14.0,44.0,38.0,19.0,11.0,139.0,27.0,525.0,336.0,63.0,48.0,35.0,9.0,46.0,29.0,167.0
177,0.0,1.0,2.0,5.0,3.0,4.0,7.0,11.0,6.0,10.0,8.0,16.0,9.0,25.0,27.0,21.0,35.0,130.0,17.0,55.0,13.0,51.0,28.0,15.0,12.0,45.0,18.0,20.0,39.0,41.0
226,0.0,2.0,1.0,3.0,8.0,9.0,4.0,7.0,6.0,57.0,5.0,14.0,70.0,22.0,11.0,151.0,13.0,220.0,66.0,49.0,29.0,28.0,46.0,73.0,20.0,21.0,47.0,19.0,23.0,39.0
275,0.0,3.0,1.0,4.0,2.0,8.0,10.0,6.0,12.0,42.0,9.0,13.0,5.0,172.0,11.0,136.0,19.0,53.0,112.0,89.0,39.0,44.0,20.0,26.0,7.0,23.0,48.0,24.0,22.0,79.0
324,0.0,1.0,2.0,4.0,3.0,5.0,9.0,7.0,6.0,12.0,8.0,24.0,10.0,41.0,21.0,342.0,47.0,44.0,23.0,32.0,45.0,56.0,14.0,19.0,15.0,36.0,199.0,114.0,55.0,17.0
373,0.0,3.0,1.0,2.0,4.0,9.0,16.0,20.0,51.0,380.0,5.0,21.0,6.0,34.0,8.0,39.0,12.0,22395.0,17.0,29.0,19.0,52.0,33.0,90.0,7.0,26.0,14.0,11.0,46.0,44.0
422,0.0,1.0,2.0,3.0,6.0,5.0,4.0,7.0,8.0,28.0,11.0,10.0,9.0,17.0,20.0,42.0,12.0,1583.0,27.0,23.0,19.0,22.0,24.0,15.0,293.0,62.0,553.0,72.0,14.0,77.0
471,0.0,1.0,4.0,7.0,2.0,3.0,6.0,5.0,16.0,10.0,13.0,11.0,9.0,50.0,30.0,17.0,21.0,18.0,20.0,44.0,100.0,478.0,236.0,12.0,28.0,56.0,54.0,32.0,23.0,34.0
520,0.0,2.0,4.0,5.0,3.0,6.0,21.0,1.0,103.0,11.0,37.0,26.0,15.0,30.0,9.0,119.0,42.0,63.0,24.0,193.0,8.0,111.0,553.0,107.0,49.0,67.0,7.0,41.0,109.0,29.0
569,0.0,3.0,1.0,2.0,45.0,15.0,4.0,5.0,28.0,6.0,13.0,8.0,34.0,27.0,16.0,21.0,82.0,11.0,52.0,69.0,17.0,58.0,1628.0,1116.0,54.0,41.0,20.0,12.0,98.0,111.0
618,0.0,1.0,4.0,6.0,47.0,10.0,2.0,3.0,7.0,5.0,13.0,65.0,79.0,21.0,25.0,18.0,159.0,31.0,34.0,50.0,42.0,183.0,28.0,207.0,41.0,54.0,23.0,66.0,117.0,32.0
667,0.0,2.0,1.0,3.0,34.0,7.0,5.0,4.0,8.0,11.0,6.0,36.0,12.0,29.0,91.0,75.0,83.0,339.0,13.0,61.0,50.0,101.0,37.0,67.0,9.0,542.0,16.0,31.0,45.0,131.0
716,0.0,1.0,2.0,4.0,44.0,6.0,23.0,3.0,8.0,5.0,17.0,19.0,7.0,37.0,27.0,21.0,84.0,1794.0,11.0,72.0,13.0,39.0,627.0,86.0,10.0,68.0,40.0,64.0,70.0,47.0
765,0.0,1.0,2.0,4.0,8.0,6.0,12.0,5.0,7.0,11.0,10.0,20.0,13.0,17.0,89.0,19.0,99.0,30.0,25.0,41.0,3.0,42.0,31.0,146.0,86.0,54.0,32.0,24.0,28.0,33.0
814,0.0,3.0,1.0,4.0,9.0,8.0,5.0,2.0,14.0,7.0,16.0,19.0,6.0,32.0,64.0,23.0,46.0,273.0,34.0,49.0,25.0,66.0,33.0,240.0,21.0,69.0,53.0,91.0,107.0,30.0
863,0.0,3.0,2.0,4.0,10.0,11.0,7.0,5.0,1.0,8.0,6.0,439.0,57.0,39.0,9.0,32.0,628.0,53.0,29.0,13.0,35.0,44.0,43.0,125.0,25.0,689.0,22.0,55.0,27.0,129.0
912,0.0,2.0,1.0,3.0,5.0,11.0,6.0,8.0,4.0,30.0,7.0,33.0,9.0,27.0,114.0,37.0,31.0,109.0,20.0,18.0,10.0,23.0,36.0,471.0,32.0,42.0,26.0,34.0,39.0,35.0
961,0.0,1.0,5.0,6.0,253.0,9.0,3.0,2.0,10.0,4.0,7.0,53.0,13.0,17.0,32.0,8.0,88.0,40.0,18.0,12.0,42.0,14.0,131.0,142.0,66.0,63.0,57.0,25.0,407.0,19.0
