,C-Raf_pS338,Beclin,RAD51,HSP70,Rb_pS807_S811,G6PD,Akt,CDK1,MSH6,beta-Catenin_pT41_S45,TTF1,Caspase-7_cleavedD198,MIG-6,Fibronectin,4E-BP1_pT70,MDM2_pS166,beta-Catenin,VAV1,SHP-2_pY542,AMPK_pT172,Src,p90RSK_pT359_S363,Heregulin,IGFBP2,YAP_pS127,PEA15,eEF2,Src_pY416,4E-BP1_pT37_T46,Paxillin
0,2.0,1.0,0.0,24.0,3.0,25.0,5.0,6.0,51.0,26.0,22.0,37.0,8.0,65.0,33.0,158.0,50.0,7.0,10.0,23.0,18.0,63.0,39.0,12.0,145.0,88.0,89.0,129.0,49.0,4.0
49,6.0,1.0,0.0,2.0,4.0,7.0,51.0,13.0,5.0,15.0,53.0,27.0,35.0,9.0,81.0,37.0,49.0,120.0,17.0,163.0,11.0,40.0,93.0,18.0,89.0,59.0,96.0,108.0,45.0,19.0
98,1.0,2.0,0.0,5.0,37.0,24.0,25.0,4.0,6.0,3.0,11.0,54.0,21.0,30.0,75.0,158.0,15.0,117.0,34.0,22.0,45.0,13.0,99.0,66.0,33.0,115.0,112.0,9.0,55.0,44.0
147,1.0,3.0,0.0,9.0,2.0,26.0,10.0,4.0,8.0,62.0,86.0,22.0,124.0,30.0,18.0,48.0,96.0,16.0,45.0,114.0,13.0,67.0,41.0,12.0,6.0,52.0,55.0,58.0,53.0,24.0
196,2.0,0.0,1.0,3.0,16.0,5.0,11.0,72.0,15.0,44.0,8.0,42.0,94.0,6.0,41.0,125.0,13.0,106.0,21.0,10.0,7.0,39.0,45.0,71.0,35.0,54.0,27.0,49.0,56.0,28.0
245,1.0,5.0,0.0,17.0,4.0,14.0,36.0,46.0,18.0,15.0,3.0,115.0,20.0,10.0,9.0,56.0,31.0,8.0,2.0,11.0,48.0,21.0,112.0,77.0,93.0,89.0,121.0,6.0,12.0,33.0
294,3.0,1.0,0.0,2.0,29.0,53.0,38.0,4.0,7.0,10.0,27.0,23.0,30.0,6.0,102.0,5.0,20.0,73.0,41.0,84.0,25.0,24.0,15.0,17.0,44.0,89.0,134.0,43.0,18.0,19.0
343,0.0,2.0,6.0,5.0,4.0,9.0,28.0,19.0,11.0,14.0,1.0,114.0,41.0,104.0,36.0,13.0,7.0,44.0,8.0,27.0,22.0,24.0,135.0,161.0,30.0,97.0,38.0,31.0,26.0,16.0
392,0.0,1.0,10.0,4.0,3.0,6.0,13.0,9.0,19.0,18.0,2.0,161.0,98.0,21.0,39.0,30.0,14.0,42.0,12.0,25.0,24.0,36.0,11.0,17.0,27.0,37.0,16.0,79.0,51.0,8.0
441,4.0,1.0,0.0,3.0,2.0,22.0,15.0,12.0,20.0,5.0,10.0,62.0,118.0,11.0,25.0,44.0,30.0,128.0,13.0,131.0,125.0,17.0,58.0,35.0,78.0,103.0,45.0,46.0,79.0,7.0
