,BRAF_MUT,BRAF.V600E_MUT,KRAS.G12_13_MUT,KRAS_MUT,TTN_MUT,BRAF.MC_MUT,OR2A7_AMP,LOC728377_AMP,ARHGEF5_AMP,GOLGA8A_DEL,NRAS_MUT,DMBT1_DEL,SIRPB1_AMP,LGALS9C_DEL,CFHR3_AMP,ZNF490_DEL,DOCK10_AMP,UNC13C_MUT,FAM21A_DEL,FFAR3_DEL,FAM35B_DEL,KIAA1217_DEL,USP17L4_AMP,HLA-DQB1_DEL,NSFP1_DEL,HLA-DRB1_AMP,UBE2Q2P2_AMP,UBE2Q2P3_AMP,SORD_AMP,BRCA1_MUT
31,0.0,3.0,1.0,2.0,4.0,11.0,9.0,8.0,13.0,5.0,23.0,15.0,17.0,29.0,65.0,190.0,98.0,12.0,39.0,237.0,43.0,42.0,16.0,25.0,55.0,46.0,111.0,112.0,18.0,27.0
80,0.0,2.0,1.0,3.0,4.0,16.0,22.0,23.0,7.0,6.0,5.0,13.0,306.0,39.0,15.0,62.0,28.0,9.0,184.0,38.0,21.0,431.0,80.0,11.0,68.0,12.0,25.0,26.0,24.0,10.0
129,0.0,4.0,2.0,3.0,1.0,5.0,9.0,10.0,18.0,14.0,15.0,6.0,41.0,85.0,25.0,36.0,23.0,45.0,59.0,51.0,47.0,564.0,27.0,55.0,21.0,46.0,7.0,8.0,150.0,22.0
178,0.0,1.0,3.0,2.0,8.0,12.0,5.0,4.0,17.0,6.0,18.0,11.0,108.0,42.0,27.0,118.0,24.0,22.0,50.0,1237.0,40.0,225.0,107.0,147.0,73.0,13.0,9.0,10.0,441.0,41.0
227,0.0,2.0,4.0,5.0,1.0,7.0,35.0,36.0,12.0,15.0,25.0,19.0,6.0,75.0,3.0,91.0,13.0,14.0,474.0,18.0,8.0,81.0,28.0,48.0,11.0,9.0,34.0,33.0,132.0,62.0
276,0.0,3.0,2.0,1.0,4.0,12.0,16.0,15.0,14.0,34.0,25.0,50.0,22.0,24.0,13.0,94.0,30.0,11.0,53.0,32.0,21.0,1130.0,91.0,40.0,184.0,18.0,6.0,5.0,1512.0,45.0
325,0.0,4.0,3.0,1.0,2.0,6.0,74.0,75.0,23.0,18.0,13.0,22.0,94.0,43.0,26.0,25.0,40.0,17.0,34.0,861.0,67.0,131.0,32.0,16.0,591.0,15.0,8.0,7.0,178.0,24.0
374,0.0,2.0,3.0,1.0,4.0,5.0,7.0,8.0,23.0,18.0,22.0,12.0,30.0,28.0,6.0,41.0,37.0,15.0,98.0,62.0,11.0,31.0,72.0,10.0,38.0,17.0,13.0,14.0,461.0,32.0
423,0.0,2.0,1.0,3.0,13.0,8.0,46.0,47.0,52.0,24.0,22.0,5.0,20.0,6.0,30.0,91.0,25.0,18.0,28.0,73.0,195.0,197.0,27.0,92.0,45.0,117.0,12.0,11.0,19886.0,26.0
472,0.0,1.0,3.0,2.0,4.0,5.0,29.0,30.0,14.0,12.0,13.0,9.0,365.0,22.0,28.0,79.0,21.0,8.0,10.0,112.0,194.0,247.0,69.0,379.0,61.0,55.0,16.0,17.0,202.0,27.0
521,0.0,1.0,5.0,9.0,4.0,8.0,119.0,120.0,41.0,7.0,39.0,2.0,31.0,13.0,6.0,14.0,19.0,24.0,12.0,130.0,25.0,11933.0,111.0,22.0,20.0,23.0,33.0,34.0,21.0,183.0
570,0.0,1.0,7.0,8.0,45.0,11.0,392.0,391.0,13.0,14.0,10.0,4.0,113.0,22.0,2.0,29.0,23.0,51.0,28.0,1137.0,39.0,167.0,40.0,5.0,9.0,36.0,187.0,188.0,6.0,48.0
619,0.0,1.0,4.0,10.0,3.0,20.0,40.0,39.0,11.0,5.0,16.0,17.0,177.0,9.0,14.0,23.0,8.0,21.0,42.0,78.0,85.0,609.0,53.0,90.0,28.0,19.0,45.0,46.0,15.0,52.0
668,0.0,1.0,12.0,15.0,13.0,6.0,498.0,497.0,34.0,4.0,17.0,7.0,21.0,8.0,9.0,73.0,10.0,32.0,24.0,500.0,25.0,208.0,102.0,19.0,11.0,5.0,51.0,50.0,80.0,126.0
717,0.0,1.0,3.0,5.0,20.0,4.0,25.0,26.0,17.0,22.0,14.0,2.0,41.0,7.0,6.0,19.0,16.0,9.0,28.0,106.0,571.0,2422.0,217.0,529.0,10.0,13.0,32.0,31.0,147.0,74.0
766,0.0,1.0,2.0,4.0,14.0,5.0,315.0,316.0,18.0,6.0,23.0,11.0,34.0,8.0,65.0,27.0,30.0,7.0,15.0,862.0,9.0,26.0,31.0,44.0,13.0,84.0,48.0,49.0,22.0,69.0
815,0.0,1.0,13.0,16.0,6.0,4.0,115.0,114.0,11.0,7.0,36.0,3.0,10.0,55.0,5.0,20.0,12.0,8.0,149.0,207.0,38.0,185.0,96.0,14.0,25.0,58.0,24.0,23.0,37.0,43.0
864,0.0,1.0,2.0,4.0,3.0,13.0,472.0,473.0,38.0,51.0,12.0,7.0,15.0,18.0,6.0,21.0,8.0,36.0,10.0,120.0,33.0,68.0,40.0,60.0,27.0,9.0,47.0,48.0,31.0,37.0
913,0.0,1.0,2.0,3.0,5.0,11.0,58.0,57.0,9.0,14.0,24.0,6.0,189.0,185.0,28.0,8.0,42.0,18.0,1263.0,287.0,184.0,78.0,26.0,25.0,17.0,16.0,77.0,76.0,529.0,44.0
962,0.0,1.0,3.0,5.0,15.0,10.0,39.0,38.0,11.0,25.0,16.0,9.0,53.0,21.0,2.0,6.0,24.0,20.0,23.0,72.0,60.0,347.0,133.0,71.0,7.0,18.0,69.0,68.0,63.0,344.0
1011,0.0,1.0,2.0,4.0,5.0,3.0,30.0,31.0,7.0,17.0,14.0,53.0,1580.0,34.0,33.0,8.0,11.0,37.0,543.0,6.0,29.0,13.0,90.0,57.0,52.0,9.0,23.0,25.0,237.0,64.0
1060,0.0,1.0,3.0,2.0,8.0,7.0,10.0,11.0,5.0,19.0,12.0,92.0,63.0,41.0,174.0,20.0,6.0,576.0,68.0,16.0,299.0,21.0,240.0,167.0,73.0,15.0,30.0,27.0,98.0,134.0
1109,0.0,2.0,3.0,1.0,4.0,7.0,8.0,9.0,5.0,19.0,20.0,103.0,13.0,22.0,101.0,14.0,10.0,69.0,299.0,18.0,34.0,6.0,59.0,44.0,95.0,53.0,29.0,27.0,32.0,66.0
1158,0.0,1.0,4.0,5.0,3.0,7.0,11.0,10.0,8.0,17.0,24.0,132.0,20.0,34.0,22.0,33.0,2.0,75.0,35.0,12.0,19.0,79.0,100.0,42.0,131.0,9.0,118.0,119.0,498.0,51.0
1207,0.0,1.0,3.0,4.0,2.0,5.0,14.0,13.0,12.0,16.0,26.0,59.0,119.0,11.0,107.0,8.0,6.0,88.0,9.0,128.0,160.0,89.0,17.0,38.0,78.0,19.0,318.0,319.0,108.0,30.0
1256,0.0,1.0,2.0,3.0,4.0,5.0,8.0,7.0,9.0,10.0,11.0,36.0,65.0,20.0,2483.0,26.0,27.0,21.0,40.0,14.0,157.0,15.0,51.0,64.0,291.0,34.0,79.0,81.0,73.0,132.0
1305,0.0,1.0,3.0,4.0,2.0,5.0,60.0,59.0,7.0,20.0,8.0,21.0,6.0,56.0,1957.0,29.0,38.0,26.0,418.0,19.0,22.0,30.0,194.0,66.0,124.0,37.0,14.0,16.0,54.0,90.0
1354,0.0,2.0,3.0,5.0,1.0,7.0,12.0,11.0,6.0,87.0,14.0,23.0,183.0,335.0,776.0,42.0,38.0,15.0,1742.0,13.0,89.0,172.0,52.0,54.0,95.0,48.0,19.0,20.0,800.0,30.0
1403,0.0,4.0,2.0,1.0,3.0,12.0,7.0,8.0,10.0,11.0,46.0,39.0,6.0,50.0,57.0,21.0,128.0,17.0,54.0,131.0,13.0,9.0,34.0,40.0,31.0,18.0,29.0,27.0,1061.0,202.0
1452,0.0,1.0,2.0,3.0,4.0,5.0,17.0,16.0,11.0,13.0,14.0,90.0,123.0,41.0,36.0,8.0,7.0,118.0,319.0,20.0,156.0,29.0,21.0,64.0,28.0,9.0,295.0,298.0,1266.0,85.0
1501,0.0,1.0,3.0,2.0,54.0,4.0,36.0,35.0,38.0,13.0,16.0,5.0,275.0,21.0,95.0,22.0,18.0,133.0,19.0,6.0,28.0,24.0,52.0,26.0,65.0,44.0,72.0,71.0,7.0,41.0
1550,0.0,1.0,3.0,2.0,29.0,4.0,63.0,62.0,219.0,10.0,7.0,13.0,56.0,30.0,16.0,5.0,23.0,51.0,12.0,6.0,218.0,21.0,27.0,142.0,176.0,44.0,75.0,76.0,67.0,22.0
1599,0.0,1.0,3.0,4.0,25.0,2.0,15.0,16.0,26.0,33.0,14.0,5.0,32.0,185.0,37.0,12.0,8.0,13.0,23.0,6.0,18.0,28.0,62.0,57.0,109.0,12063.0,79.0,75.0,30.0,90.0
1648,0.0,1.0,2.0,3.0,15.0,4.0,85.0,86.0,101.0,31.0,9.0,18.0,25.0,78.0,10.0,12.0,11.0,35.0,8.0,16.0,20.0,5.0,26.0,51.0,131.0,65.0,121.0,120.0,7.0,37.0
1697,0.0,1.0,2.0,3.0,49.0,4.0,104.0,105.0,12.0,18.0,9.0,28.0,14847.0,15.0,47.0,6.0,7.0,20.0,24.0,42.0,16.0,19.0,8.0,89.0,195.0,164.0,254.0,255.0,241.0,38.0
1746,0.0,3.0,2.0,1.0,9.0,5.0,30.0,31.0,92.0,59.0,7.0,4.0,329.0,75.0,8.0,10.0,32.0,89.0,64.0,13.0,6.0,20.0,51.0,37.0,14.0,15.0,36.0,35.0,62.0,131.0
1795,0.0,1.0,3.0,2.0,1700.0,6.0,5.0,4.0,7.0,50.0,14.0,8.0,39.0,69.0,85.0,19.0,12.0,42.0,17.0,9.0,123.0,64.0,35.0,592.0,895.0,90.0,63.0,62.0,38.0,46.0
