,BRAF_MUT,BRAF.V600E_MUT,KRAS.G12_13_MUT,KRAS_MUT,TTN_MUT,BRAF.MC_MUT,OR2A7_AMP,LOC728377_AMP,ARHGEF5_AMP,GOLGA8A_DEL,NRAS_MUT,DMBT1_DEL,SIRPB1_AMP,LGALS9C_DEL,CFHR3_AMP,ZNF490_DEL,DOCK10_AMP,UNC13C_MUT,FAM21A_DEL,FFAR3_DEL,FAM35B_DEL,KIAA1217_DEL,USP17L4_AMP,HLA-DQB1_DEL,NSFP1_DEL,HLA-DRB1_AMP,UBE2Q2P2_AMP,UBE2Q2P3_AMP,SORD_AMP,BRCA1_MUT
1844,0.0,1.0,9.0,6.0,15.0,2.0,4.0,3.0,30.0,12.0,5.0,11.0,13.0,36.0,68.0,33.0,112.0,28.0,37.0,8.0,63.0,309.0,29.0,14.0,271.0,224.0,131.0,130.0,43.0,72.0
1893,0.0,3.0,1.0,2.0,33.0,9.0,36.0,35.0,10.0,4.0,6.0,32.0,23.0,14.0,217.0,27.0,7.0,46.0,51.0,13.0,25.0,5.0,16.0,232.0,11.0,21.0,408.0,409.0,18.0,206.0
1942,0.0,1.0,2.0,3.0,5.0,4.0,249.0,250.0,85.0,11.0,13.0,24.0,14760.0,69.0,111.0,7.0,64.0,48.0,10.0,17.0,6.0,14.0,60.0,127.0,82.0,45.0,71.0,72.0,23.0,62.0
1991,0.0,1.0,4.0,3.0,8.0,5.0,7.0,6.0,2.0,30.0,31.0,20.0,12.0,123.0,19.0,72.0,704.0,22.0,16.0,11.0,211.0,10934.0,29.0,74.0,110.0,70.0,65.0,66.0,77.0,36.0
2040,0.0,1.0,4.0,6.0,2.0,5.0,7.0,8.0,3.0,33.0,24.0,12.0,10.0,36.0,9.0,23.0,70.0,121.0,15.0,44.0,19.0,800.0,69.0,13.0,72.0,22.0,189.0,190.0,54.0,57.0
2089,0.0,1.0,19.0,22.0,2.0,3.0,6.0,5.0,4.0,10.0,12.0,7.0,14.0,53.0,9.0,28.0,322.0,33.0,215.0,163.0,236.0,332.0,67.0,18.0,13.0,199.0,346.0,345.0,114.0,48.0
2138,0.0,1.0,3.0,4.0,2.0,5.0,9.0,10.0,7.0,8.0,36.0,6.0,76.0,58.0,35.0,19.0,33.0,38.0,104.0,144.0,112.0,484.0,47.0,26.0,232.0,127.0,2011.0,2012.0,30.0,54.0
2187,0.0,1.0,2.0,4.0,8.0,3.0,7.0,6.0,5.0,15.0,12.0,19.0,62.0,286.0,14.0,36.0,146.0,64.0,13.0,11.0,229.0,300.0,60.0,29.0,31.0,55.0,206.0,205.0,28.0,287.0
2236,0.0,1.0,3.0,2.0,9.0,6.0,7.0,8.0,5.0,34.0,12.0,10.0,20.0,40.0,41.0,18.0,68.0,269.0,36.0,49.0,63.0,109.0,77.0,25.0,307.0,12188.0,50.0,51.0,4.0,195.0
2285,0.0,1.0,13.0,11.0,4.0,2.0,5.0,6.0,3.0,19.0,12.0,9.0,15.0,23.0,14.0,61.0,140.0,62.0,21.0,71.0,69.0,139.0,105.0,66.0,36.0,202.0,41.0,42.0,8.0,92.0
2334,0.0,1.0,8.0,9.0,6.0,4.0,3.0,2.0,7.0,17.0,31.0,53.0,13.0,42.0,5.0,69.0,50.0,70.0,67.0,79.0,1521.0,11776.0,118.0,16.0,55.0,39.0,18.0,19.0,12.0,71.0
2383,0.0,1.0,3.0,4.0,2.0,14.0,6.0,5.0,7.0,22.0,10.0,8.0,9.0,1034.0,11.0,62.0,916.0,47.0,25.0,45.0,119.0,11646.0,20.0,12.0,628.0,305.0,118.0,117.0,61.0,35.0
2432,0.0,1.0,5.0,6.0,11.0,3.0,10.0,9.0,12.0,14.0,15.0,2.0,4.0,117.0,136.0,18.0,487.0,90.0,13.0,525.0,65.0,365.0,44.0,3892.0,42.0,29.0,81.0,80.0,19.0,48.0
2481,0.0,1.0,17.0,11.0,5.0,14.0,3.0,2.0,8.0,10.0,7.0,9.0,4.0,21.0,103.0,50.0,177.0,86.0,123.0,36.0,22.0,40.0,105.0,19.0,247.0,2546.0,26.0,25.0,18.0,49.0
2530,0.0,1.0,15.0,10.0,23.0,12.0,9.0,8.0,6.0,13.0,14.0,39.0,2.0,69.0,17.0,47.0,56.0,110.0,4.0,7.0,54.0,28.0,51.0,30.0,1701.0,106.0,21.0,19.0,5.0,42.0
2579,0.0,1.0,7.0,4.0,18.0,5.0,17.0,16.0,9.0,21.0,10.0,13.0,2.0,23.0,56.0,110.0,19.0,114.0,12.0,6.0,32.0,26.0,24.0,43.0,28.0,1554.0,29.0,30.0,45.0,39.0
2628,0.0,2.0,52.0,59.0,11.0,7.0,9.0,8.0,20.0,5.0,6.0,26.0,1.0,15.0,50.0,19.0,13.0,65.0,47.0,17.0,51.0,25.0,36.0,57.0,21.0,221.0,39.0,38.0,3.0,43.0
2677,0.0,1.0,10.0,7.0,6.0,4.0,66.0,65.0,34.0,8.0,11.0,96.0,2.0,5.0,39.0,41.0,51.0,75.0,33.0,17.0,14.0,16.0,22.0,18.0,64.0,12094.0,29.0,30.0,15.0,31.0
2726,0.0,2.0,9.0,6.0,25.0,14.0,45.0,44.0,13.0,4.0,5.0,16.0,1.0,15.0,92.0,53.0,42.0,26.0,41.0,11.0,27.0,3.0,23.0,52.0,12.0,2168.0,115.0,116.0,87.0,60.0
2775,0.0,1.0,12.0,5.0,23.0,3.0,7.0,8.0,4.0,63.0,9.0,10.0,2.0,48.0,18.0,79.0,29.0,27.0,83.0,11.0,44.0,33.0,608.0,37.0,59.0,34.0,24.0,25.0,26.0,129.0
2824,1.0,2.0,18.0,13.0,5.0,4.0,14.0,15.0,9.0,7.0,11.0,12.0,0.0,26.0,91.0,96.0,33.0,100.0,10.0,22.0,30.0,21.0,75.0,37.0,108.0,437.0,48.0,49.0,17.0,25.0
2873,0.0,2.0,14.0,9.0,3.0,5.0,13.0,12.0,4.0,7.0,20.0,45.0,1.0,21.0,16.0,49.0,34.0,23.0,32.0,27.0,33.0,35.0,19.0,26.0,267.0,860.0,316.0,317.0,8.0,73.0
2922,0.0,1.0,5.0,4.0,25.0,15.0,18.0,19.0,3.0,10.0,23.0,223.0,2.0,73.0,58.0,106.0,57.0,28.0,7.0,16.0,29.0,17.0,82.0,235.0,7913.0,1102.0,39.0,38.0,11.0,20.0
2971,0.0,1.0,2.0,4.0,9.0,8.0,13.0,14.0,6.0,20.0,3.0,15.0,7.0,33.0,5.0,27.0,54.0,19.0,17.0,11.0,86.0,53.0,99.0,12.0,75.0,68.0,74.0,73.0,904.0,23.0
3020,0.0,1.0,3.0,2.0,7.0,4.0,11.0,10.0,8.0,41.0,18.0,15.0,6.0,16.0,20.0,12.0,5.0,183.0,9.0,174.0,1087.0,13.0,27.0,29.0,86.0,26.0,24.0,25.0,17.0,21.0
3069,0.0,1.0,8.0,2.0,18.0,3.0,5.0,6.0,11.0,14.0,7.0,41.0,9.0,24.0,15.0,46.0,33.0,44.0,45.0,23.0,36.0,4.0,85.0,10.0,27.0,12.0,16.0,17.0,25.0,81.0
3118,0.0,1.0,9.0,11.0,24.0,5.0,3.0,2.0,7.0,10.0,4.0,12.0,8.0,20.0,30.0,16.0,17.0,31.0,129.0,41.0,27.0,37.0,42.0,68.0,13.0,47.0,15.0,14.0,50.0,26.0
3167,0.0,1.0,4.0,5.0,3.0,18.0,9.0,8.0,38.0,29.0,17.0,16.0,57.0,166.0,51.0,47.0,49.0,34.0,44.0,62.0,35.0,54.0,40.0,154.0,96.0,7.0,11.0,10.0,6.0,50.0
3216,0.0,1.0,4.0,3.0,115.0,6.0,39.0,38.0,9.0,5.0,8.0,31.0,2.0,18.0,7.0,40.0,35.0,68.0,51.0,48.0,37.0,10.0,30.0,24.0,32.0,46.0,14.0,13.0,45.0,117.0
3265,0.0,1.0,5.0,8.0,2.0,6.0,11.0,12.0,14.0,13.0,9.0,10.0,3.0,70.0,52.0,28.0,40.0,30.0,128.0,4.0,29.0,26.0,45.0,24.0,191.0,85.0,38.0,39.0,7.0,53.0
3314,0.0,1.0,6.0,9.0,33.0,7.0,11.0,12.0,5.0,13.0,4.0,27.0,2.0,23.0,10.0,21.0,191.0,35.0,14.0,52.0,87.0,3.0,50.0,34.0,17.0,48.0,30.0,31.0,15.0,26.0
3363,0.0,1.0,5.0,6.0,17.0,11.0,2.0,3.0,30.0,9.0,18.0,16.0,19.0,26.0,10.0,198.0,4.0,66.0,15.0,53.0,7.0,24.0,71.0,83.0,39.0,33.0,52.0,51.0,73.0,23.0
3412,0.0,1.0,8.0,10.0,2.0,4.0,135.0,134.0,27.0,3.0,16.0,14.0,45.0,17.0,30.0,32.0,7.0,70.0,64.0,56.0,48.0,73.0,88.0,67.0,9.0,20.0,112.0,113.0,867.0,31.0
3461,0.0,1.0,2.0,3.0,6.0,4.0,25.0,26.0,23.0,47.0,13.0,8.0,9.0,17.0,10.0,22.0,222.0,30.0,116.0,81.0,24.0,68.0,54.0,62.0,43.0,53.0,12.0,11.0,32.0,87.0
3510,0.0,2.0,7.0,5.0,4.0,12.0,74.0,73.0,24.0,11.0,6.0,1.0,3.0,17.0,16.0,37.0,53.0,21.0,139.0,609.0,45.0,107.0,90.0,19.0,9.0,334.0,28.0,31.0,86.0,60.0
3559,0.0,1.0,7.0,5.0,3.0,8.0,106.0,105.0,13.0,11.0,4.0,12.0,2.0,16.0,6.0,21.0,9.0,84.0,173.0,20.0,42.0,75.0,53.0,25.0,402.0,19.0,311.0,310.0,17.0,38.0
3608,0.0,1.0,5.0,6.0,2.0,7.0,70.0,69.0,21.0,8.0,14.0,16.0,3.0,10.0,4.0,29.0,50.0,58.0,36.0,4841.0,17.0,80.0,57.0,12.0,32.0,37.0,18.0,19.0,11.0,247.0
3657,0.0,1.0,18.0,12.0,41.0,4.0,14.0,15.0,8.0,3.0,6.0,5.0,2.0,7.0,64.0,9.0,55.0,30.0,759.0,47.0,17.0,77.0,19.0,26.0,52.0,34.0,38.0,37.0,16.0,99.0
3706,0.0,1.0,8.0,10.0,2.0,6.0,46.0,47.0,11.0,4.0,5.0,23.0,12.0,57.0,74.0,16.0,14.0,49.0,312.0,61.0,13.0,7.0,58.0,86.0,15.0,92.0,20.0,21.0,3.0,64.0
3755,0.0,1.0,9.0,8.0,2.0,4.0,39.0,40.0,44.0,15.0,13.0,23.0,5.0,33.0,3.0,10.0,155.0,26.0,315.0,149.0,17.0,36.0,50.0,29.0,20.0,21.0,80.0,81.0,76.0,64.0
3804,0.0,1.0,5.0,7.0,4.0,3.0,231.0,232.0,23.0,10.0,2.0,13.0,6.0,17.0,38.0,29.0,44.0,83.0,32.0,126.0,12.0,68.0,16.0,147.0,85.0,27.0,26.0,25.0,53.0,49.0
3853,0.0,1.0,7.0,5.0,2.0,4.0,37.0,36.0,33.0,10.0,13.0,12.0,3.0,63.0,6.0,8.0,47.0,39.0,277.0,374.0,34.0,40.0,16.0,58.0,11.0,55.0,118.0,119.0,96.0,46.0
3902,0.0,2.0,7.0,6.0,3.0,4.0,632.0,631.0,145.0,22.0,5.0,12.0,1.0,13.0,9.0,87.0,10.0,334.0,110.0,85.0,19.0,25.0,32.0,21.0,48.0,68.0,30.0,29.0,15.0,70.0
3951,0.0,2.0,3.0,1.0,4.0,11.0,6.0,5.0,9.0,15.0,12.0,82.0,25.0,14.0,7.0,187.0,13.0,22.0,8.0,93.0,356.0,67.0,18.0,64.0,50.0,58.0,27.0,28.0,51.0,59.0
4000,0.0,2.0,4.0,3.0,1.0,8.0,6.0,5.0,10.0,20.0,62.0,11.0,18.0,16.0,7.0,13.0,37.0,46.0,15.0,35.0,78.0,108.0,12.0,215.0,345.0,23.0,69.0,70.0,38.0,28.0
4049,0.0,2.0,1.0,5.0,6.0,14.0,3.0,4.0,13.0,32.0,7.0,9.0,22.0,29.0,89.0,42.0,12.0,50.0,10.0,16.0,46.0,11.0,17.0,47.0,151.0,79.0,58.0,62.0,15.0,76.0
4098,0.0,1.0,4.0,5.0,2.0,6.0,9.0,8.0,28.0,11.0,13.0,98.0,14.0,25.0,7.0,30.0,15.0,102.0,3.0,77.0,90.0,671.0,12.0,39.0,29.0,23.0,47.0,46.0,293.0,20.0
4147,0.0,1.0,4.0,3.0,2.0,11.0,6.0,5.0,14.0,19.0,15.0,18.0,22.0,53.0,16.0,37.0,23.0,200.0,9.0,8.0,390.0,43.0,7.0,20.0,33.0,36.0,24.0,25.0,32.0,38.0
4196,0.0,1.0,4.0,3.0,2.0,12.0,14.0,15.0,31.0,76.0,6.0,7.0,9.0,8.0,39.0,61.0,19.0,56.0,5.0,17.0,37.0,18.0,28.0,13.0,16.0,21.0,128.0,129.0,110.0,26.0
4245,0.0,1.0,5.0,4.0,2.0,3.0,7.0,8.0,6.0,10.0,23.0,14.0,27.0,17.0,16.0,41.0,15.0,43.0,35.0,33.0,70.0,173.0,12.0,26.0,89.0,11.0,319.0,318.0,21.0,28.0
4294,0.0,1.0,6.0,2.0,3.0,9.0,4.0,5.0,7.0,63.0,30.0,21.0,26.0,101.0,28.0,11.0,37.0,22.0,82.0,31.0,36.0,16.0,10.0,27.0,24.0,17.0,34.0,33.0,130.0,89.0
4343,0.0,1.0,4.0,3.0,8.0,28.0,5.0,6.0,7.0,13.0,12.0,10.0,20.0,66.0,22.0,34.0,31.0,143.0,2.0,21.0,105.0,737.0,25.0,226.0,328.0,92.0,43.0,42.0,50.0,26.0
4392,0.0,1.0,6.0,10.0,4.0,5.0,7.0,8.0,39.0,38.0,12.0,13.0,151.0,106.0,9.0,35.0,86.0,75.0,3.0,11.0,15.0,159.0,22.0,77.0,18.0,19.0,497.0,498.0,2.0,52.0
4441,0.0,1.0,6.0,8.0,5.0,2.0,10.0,11.0,37.0,9.0,22.0,202.0,30.0,7.0,15.0,90.0,19.0,33.0,49.0,13.0,18.0,3.0,23.0,272.0,4.0,26.0,82.0,83.0,138.0,93.0
4490,0.0,1.0,5.0,7.0,2.0,6.0,3.0,4.0,9.0,14.0,17.0,556.0,975.0,11.0,49.0,58.0,15.0,13.0,28.0,91.0,97.0,8.0,45.0,118.0,10.0,35.0,63.0,62.0,84.0,41.0
4539,0.0,1.0,2.0,3.0,9.0,13.0,4.0,5.0,11.0,7.0,38.0,433.0,235.0,17.0,471.0,8.0,1772.0,6.0,163.0,12.0,176.0,20.0,58.0,16.0,30.0,22.0,145.0,146.0,705.0,157.0
4588,0.0,1.0,9.0,14.0,15.0,10.0,6.0,5.0,2.0,3.0,24.0,92.0,11.0,7.0,48.0,12.0,134.0,4.0,393.0,31.0,55.0,128.0,21.0,76.0,8.0,135.0,79.0,80.0,1077.0,38.0
4637,0.0,1.0,2.0,4.0,6.0,5.0,21.0,22.0,25.0,7.0,30.0,209.0,67.0,12.0,31.0,17.0,11.0,10.0,9.0,8.0,113.0,13.0,41.0,112.0,47.0,51.0,234.0,235.0,352.0,44.0
4686,0.0,1.0,2.0,3.0,23.0,4.0,9.0,10.0,18.0,56.0,71.0,990.0,1533.0,6.0,126.0,21.0,42.0,8.0,24.0,16.0,13.0,7.0,26.0,61.0,15.0,451.0,44.0,45.0,37.0,31.0
4735,0.0,1.0,6.0,10.0,9.0,5.0,3.0,2.0,13.0,37.0,17.0,145.0,142.0,4.0,87.0,35.0,32.0,8.0,12.0,7.0,104.0,19.0,16.0,77.0,26.0,86.0,44.0,45.0,233.0,24.0
4784,0.0,1.0,11.0,8.0,19.0,6.0,3.0,4.0,18.0,9.0,113.0,316.0,12.0,5.0,14.0,15.0,20.0,24.0,52.0,72.0,90.0,39.0,17.0,29.0,27.0,45.0,254.0,256.0,69.0,36.0
4833,0.0,1.0,2.0,3.0,8.0,4.0,6.0,7.0,13.0,10.0,44.0,249.0,56.0,9.0,12.0,15.0,28.0,16.0,782.0,5.0,74.0,17.0,22.0,26.0,14.0,105.0,142.0,141.0,46.0,34.0
4882,0.0,1.0,5.0,12.0,52.0,7.0,3.0,2.0,6.0,15.0,14.0,94.0,30.0,45.0,198.0,16.0,26.0,55.0,9.0,10.0,24.0,4.0,31.0,222.0,29.0,89.0,58.0,59.0,78.0,41.0
