,MIR3167_DEL,LOC284395_AMP,CHD1_MUT,RYR3_DEL,TSHZ3_AMP,DDX25_DEL,LINC00202_DEL,DDX12P_DEL,HLA-DQB1_AMP,LOC100873065_DEL,UPK3B_AMP,DLG2_AMP,UBE2Q2P3_AMP,POU4F1-AS1_DEL,TYW1_AMP,FFAR3_DEL,PTPRN2_AMP,BMPR2_AMP,FOCAD_DEL,DLGAP1_DEL,BRAF_MUT,FAM35B_DEL,PARG_AMP,RBM33_AMP,LINC00226_AMP,LAMA1_MUT,LINC00665_AMP,LRP5L_DEL,DST_MUT,LOC348120_AMP
1111,27.0,7.0,16152.0,23.0,44.0,286.0,21.0,8.0,86.0,15.0,2.0,85.0,66.0,64.0,54.0,112.0,21634.0,89.0,9169.0,7621.0,122.0,43.0,78.0,58.0,125.0,15944.0,15795.0,81.0,16573.0,193.0
1160,0.0,12678.0,16146.0,16.0,1.0,368.0,30.0,2068.0,80.0,19782.0,141.0,31.0,86.0,19911.0,39.0,192.0,37.0,42.0,126.0,114.0,125.0,49.0,119.0,129.0,98.0,15922.0,25.0,61.0,131.0,174.0
1209,20966.0,3.0,16141.0,11.0,15.0,0.0,41.0,2326.0,27.0,30.0,108.0,82.0,94.0,93.0,100.0,129.0,16.0,52.0,9167.0,132.0,16566.0,107.0,19266.0,62.0,157.0,110.0,15790.0,58.0,16570.0,192.0
1258,20985.0,12668.0,16140.0,13.0,8.0,241.0,65.0,14.0,92.0,177.0,31.0,59.0,110.0,20253.0,72.0,117.0,21630.0,81.0,9166.0,25.0,16573.0,45.0,21.0,17.0,70.0,68.0,42.0,40.0,16567.0,115.0
1307,1.0,12672.0,16144.0,15.0,2.0,80.0,48.0,27.0,136.0,19774.0,135.0,131.0,69.0,132.0,181.0,62.0,16.0,23901.0,94.0,152.0,116.0,2352.0,159.0,90.0,126.0,140.0,81.0,192.0,50.0,185.0
1356,3.0,68.0,16143.0,23.0,2.0,9.0,61.0,2336.0,39.0,40.0,19181.0,57.0,45.0,20258.0,95.0,509.0,55.0,79.0,9175.0,117.0,122.0,65.0,34.0,147.0,106.0,15919.0,15798.0,143.0,196.0,180.0
1405,20985.0,12672.0,16141.0,20.0,9.0,285.0,60.0,2329.0,61.0,50.0,37.0,13235.0,87.0,10.0,81.0,49.0,109.0,86.0,101.0,73.0,16574.0,184.0,103.0,223.0,90.0,15892.0,15792.0,21.0,16568.0,76.0
1454,20964.0,21.0,16154.0,11.0,2.0,36.0,2960.0,2334.0,110.0,37.0,3.0,125.0,111.0,67.0,77.0,213.0,21645.0,23928.0,9177.0,20.0,122.0,65.0,72.0,134.0,166.0,103.0,19.0,7913.0,73.0,152.0
1503,2.0,1.0,10.0,32.0,21661.0,16.0,50.0,2334.0,85.0,20.0,19161.0,74.0,111.0,38.0,21336.0,92.0,21642.0,45.0,9177.0,169.0,16576.0,1786.0,19269.0,113.0,145.0,15896.0,15796.0,86.0,208.0,170.0
1552,7.0,13.0,3.0,8.0,21689.0,17.0,2952.0,2327.0,40.0,37.0,24.0,52.0,32.0,20250.0,74.0,65.0,21623.0,95.0,96.0,28.0,16566.0,75.0,33.0,86.0,98.0,164.0,15791.0,7897.0,90.0,145.0
1601,0.0,18.0,1.0,24.0,21651.0,259.0,2959.0,2332.0,140.0,54.0,126.0,102.0,56.0,81.0,21330.0,137.0,21631.0,85.0,115.0,129.0,16569.0,28.0,9.0,123.0,93.0,15918.0,15793.0,51.0,124.0,7.0
1650,0.0,37.0,16145.0,19.0,21653.0,275.0,3025.0,2329.0,68.0,66.0,38.0,86.0,40.0,19910.0,21333.0,91.0,21633.0,77.0,124.0,7629.0,16571.0,83.0,19270.0,97.0,116.0,15898.0,15798.0,75.0,138.0,81.0
1699,0.0,1.0,10.0,88.0,21648.0,69.0,21.0,2328.0,83.0,41.0,49.0,70.0,150.0,20252.0,21326.0,84.0,21628.0,68.0,167.0,114.0,18.0,139.0,126.0,66.0,116.0,64.0,15794.0,53.0,14.0,221.0
1748,20966.0,9.0,4.0,19.0,21654.0,0.0,28.0,2335.0,45.0,87.0,36.0,23.0,81.0,20255.0,21332.0,71.0,21644.0,76.0,50.0,7620.0,16572.0,78.0,3.0,86.0,157.0,44.0,15794.0,22.0,165.0,40.0
1797,25.0,5.0,38.0,14.0,21664.0,358.0,61.0,62.0,132.0,88.0,67.0,55.0,72.0,20.0,138.0,89.0,21644.0,98.0,9185.0,7629.0,136.0,149.0,23.0,135.0,81.0,90.0,15819.0,69.0,206.0,118.0
1846,0.0,2.0,16143.0,7.0,21653.0,246.0,2955.0,2332.0,80.0,94.0,17.0,30.0,52.0,117.0,21329.0,57.0,21633.0,42.0,73.0,63.0,16569.0,180.0,36.0,17149.0,187.0,15921.0,15795.0,16.0,164.0,127.0
1895,110.0,12.0,16145.0,32.0,21652.0,47.0,40.0,2342.0,48.0,149.0,27.0,113.0,54.0,55.0,21332.0,37.0,13.0,91.0,36.0,7627.0,24.0,196.0,11.0,128.0,111.0,131.0,15801.0,49.0,230.0,15069.0
1944,14.0,4.0,30.0,6.0,21649.0,274.0,133.0,35.0,118.0,135.0,94.0,51.0,61.0,20257.0,21328.0,145.0,74.0,23934.0,56.0,42.0,16569.0,96.0,19262.0,148.0,93.0,88.0,15795.0,7909.0,90.0,209.0
1993,20982.0,10.0,1.0,24.0,5.0,9.0,70.0,2318.0,60.0,91.0,25.0,128.0,73.0,57.0,74.0,101.0,33.0,23872.0,137.0,7626.0,14.0,181.0,19257.0,112.0,94.0,47.0,79.0,7893.0,71.0,107.0
2042,0.0,6.0,3.0,4.0,21650.0,49.0,20.0,1.0,54.0,48.0,21.0,102.0,77.0,34.0,106.0,24.0,41.0,65.0,56.0,43.0,16566.0,142.0,8.0,33.0,63.0,15894.0,23.0,7908.0,147.0,68.0
2091,6.0,1.0,2.0,19.0,13.0,12.0,67.0,41.0,58.0,55.0,11.0,155.0,100.0,30.0,95.0,72.0,75.0,23871.0,170.0,7614.0,16575.0,1720.0,19258.0,34.0,180.0,48.0,15790.0,7902.0,26.0,160.0
2140,0.0,16.0,1.0,13.0,21669.0,28.0,62.0,2319.0,51.0,19790.0,23.0,52.0,50.0,101.0,73.0,130.0,72.0,23871.0,9166.0,124.0,38.0,63.0,19256.0,196.0,150.0,110.0,15.0,7898.0,100.0,88.0
2189,37.0,5.0,10.0,7.0,21650.0,0.0,119.0,1.0,75.0,64.0,52.0,13235.0,121.0,62.0,77.0,28.0,21630.0,23901.0,132.0,45.0,98.0,127.0,19.0,179.0,138.0,43.0,18.0,72.0,166.0,129.0
2238,1.0,0.0,6.0,4.0,8.0,237.0,2955.0,11.0,53.0,19773.0,83.0,30.0,45.0,20257.0,78.0,104.0,28.0,23887.0,9170.0,147.0,16566.0,64.0,19260.0,199.0,14503.0,66.0,17.0,7900.0,69.0,114.0
2287,2.0,0.0,27.0,1.0,58.0,266.0,2970.0,2332.0,14385.0,151.0,10.0,107.0,31.0,61.0,129.0,477.0,21636.0,23926.0,29.0,95.0,28.0,1725.0,68.0,148.0,128.0,60.0,13.0,7905.0,66.0,15067.0
2336,4.0,2.0,16140.0,10.0,21669.0,0.0,124.0,1.0,70.0,19789.0,24.0,88.0,38.0,103.0,50.0,488.0,163.0,23872.0,169.0,66.0,95.0,52.0,34.0,17144.0,81.0,141.0,7.0,7909.0,186.0,112.0
2385,0.0,102.0,1.0,18.0,4.0,9.0,48.0,2334.0,106.0,20.0,19195.0,13233.0,73.0,107.0,169.0,112.0,22.0,66.0,85.0,6.0,42.0,101.0,19257.0,179.0,122.0,15892.0,49.0,7905.0,111.0,97.0
2434,0.0,5.0,10.0,12.0,21687.0,41.0,2954.0,2328.0,39.0,48.0,22.0,13225.0,123.0,157.0,21319.0,42.0,50.0,23867.0,9162.0,7610.0,13.0,1723.0,52.0,17141.0,186.0,62.0,15788.0,7897.0,69.0,65.0
2483,1.0,22.0,3.0,25.0,0.0,283.0,2976.0,2330.0,14388.0,119.0,76.0,33.0,24.0,28.0,74.0,85.0,21630.0,53.0,92.0,153.0,56.0,81.0,19264.0,36.0,181.0,15896.0,15798.0,7911.0,120.0,104.0
2532,1.0,12683.0,5.0,60.0,3.0,276.0,47.0,6.0,71.0,64.0,11.0,25.0,31.0,61.0,21321.0,28.0,88.0,33.0,78.0,7618.0,16565.0,157.0,19263.0,17148.0,124.0,15896.0,9.0,7906.0,141.0,216.0
2581,20946.0,12.0,11.0,11865.0,6.0,0.0,24.0,36.0,70.0,78.0,19183.0,35.0,151.0,110.0,93.0,100.0,43.0,10.0,60.0,95.0,87.0,192.0,19265.0,133.0,158.0,17.0,52.0,7911.0,129.0,156.0
2630,20965.0,20.0,16143.0,8.0,21650.0,0.0,57.0,4.0,63.0,25.0,15.0,33.0,50.0,103.0,21330.0,110.0,21630.0,82.0,183.0,24.0,46.0,28.0,23.0,115.0,144.0,15919.0,15792.0,7907.0,16569.0,72.0
2679,0.0,13.0,16146.0,11876.0,124.0,307.0,2963.0,3.0,62.0,72.0,19163.0,4.0,50.0,39.0,6.0,103.0,21639.0,23931.0,78.0,7628.0,132.0,105.0,76.0,161.0,136.0,135.0,9.0,7916.0,131.0,139.0
2728,2.0,9.0,1.0,11866.0,5.0,240.0,2958.0,2328.0,40.0,54.0,52.0,23.0,15261.0,53.0,179.0,100.0,21631.0,23925.0,75.0,13.0,42.0,72.0,16.0,37.0,132.0,15895.0,15793.0,7907.0,110.0,15065.0
2777,0.0,5.0,1.0,11872.0,50.0,3.0,51.0,9.0,113.0,25.0,61.0,57.0,45.0,29.0,21334.0,97.0,4.0,73.0,107.0,7625.0,139.0,133.0,19272.0,96.0,121.0,208.0,15799.0,83.0,109.0,15076.0
2826,0.0,17.0,16156.0,2.0,21658.0,118.0,2958.0,10.0,85.0,87.0,33.0,21.0,51.0,74.0,77.0,136.0,21638.0,56.0,150.0,79.0,39.0,46.0,13.0,91.0,189.0,165.0,15831.0,95.0,137.0,55.0
2875,0.0,1.0,3.0,15.0,21652.0,8.0,3013.0,2333.0,14386.0,89.0,19183.0,63.0,59.0,27.0,21330.0,111.0,21632.0,58.0,38.0,20.0,56.0,1732.0,114.0,81.0,117.0,141.0,15796.0,88.0,142.0,190.0
2924,1.0,105.0,16144.0,10994.0,12.0,46.0,58.0,14.0,101.0,41.0,132.0,29.0,15310.0,20004.0,154.0,120.0,21635.0,108.0,59.0,45.0,96.0,23.0,71.0,42.0,122.0,69.0,15797.0,111.0,203.0,162.0
2973,20986.0,0.0,36.0,10.0,44.0,2.0,111.0,1.0,39.0,74.0,116.0,52.0,75.0,20251.0,102.0,58.0,21632.0,23925.0,9169.0,62.0,16560.0,30.0,19262.0,68.0,148.0,170.0,15789.0,126.0,157.0,82.0
3022,0.0,5.0,16145.0,11.0,21656.0,22.0,48.0,10.0,58.0,55.0,6.0,13245.0,54.0,20006.0,63.0,106.0,59.0,65.0,9180.0,7623.0,16572.0,160.0,97.0,206.0,158.0,32.0,15799.0,7910.0,92.0,80.0
3071,0.0,120.0,16144.0,24.0,21691.0,2.0,2950.0,12.0,118.0,36.0,140.0,22.0,78.0,7.0,84.0,472.0,16.0,132.0,101.0,21.0,16564.0,37.0,76.0,56.0,184.0,89.0,15792.0,100.0,129.0,77.0
3120,20946.0,12674.0,16144.0,21.0,0.0,7.0,2962.0,56.0,65.0,116.0,112.0,108.0,189.0,16.0,131.0,61.0,96.0,23930.0,52.0,36.0,16569.0,102.0,107.0,100.0,145.0,39.0,30.0,69.0,192.0,126.0
3169,0.0,12671.0,16142.0,12.0,33.0,14.0,11.0,2332.0,31.0,160.0,19201.0,13233.0,50.0,1.0,158.0,478.0,40.0,23925.0,205.0,17.0,77.0,107.0,19262.0,17147.0,80.0,15892.0,58.0,27.0,92.0,138.0
3218,0.0,24.0,16142.0,20.0,21650.0,16.0,2951.0,4.0,65.0,62.0,19182.0,153.0,84.0,20255.0,94.0,469.0,25.0,29.0,133.0,18.0,28.0,43.0,58.0,179.0,99.0,5.0,15792.0,56.0,160.0,143.0
3267,0.0,9.0,16145.0,2.0,21654.0,80.0,13.0,85.0,76.0,32.0,18.0,39.0,73.0,22.0,94.0,213.0,21635.0,23926.0,9175.0,119.0,31.0,87.0,142.0,15.0,149.0,42.0,15795.0,129.0,16575.0,109.0
