,hsa-miR-425,hsa-let-7e,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-1257,hsa-miR-149,hsa-miR-155,hsa-miR-518c,hsa-miR-218,hsa-miR-106b,hcmv-miR-US33-3p,hsa-miR-330-3p,hsa-miR-302a,hsa-miR-642,hsa-miR-1977,hsa-miR-630,hsa-miR-302b,hsa-miR-769-5p,hsa-miR-297,hsa-miR-101,hsa-miR-320d,hsa-miR-10b,hsa-miR-24,hsa-miR-551a,hsa-miR-1469,hsa-miR-578,hsa-miR-128,hsa-miR-944,hsa-miR-147b,hsa-miR-323-3p
14,10.0,1.0,96.0,162.0,47.0,8.0,0.0,14.0,30.0,113.0,12.0,7.0,135.0,526.0,6.0,3.0,165.0,78.0,29.0,25.0,201.0,212.0,151.0,5.0,548.0,81.0,21.0,467.0,28.0,36.0
63,0.0,2.0,33.0,10.0,488.0,8.0,12.0,83.0,113.0,23.0,40.0,1.0,3.0,187.0,234.0,29.0,90.0,293.0,217.0,176.0,456.0,422.0,135.0,7.0,337.0,69.0,36.0,201.0,20.0,27.0
112,1.0,5.0,11.0,143.0,209.0,37.0,32.0,10.0,212.0,50.0,0.0,2.0,4.0,15.0,24.0,109.0,94.0,489.0,12.0,395.0,430.0,150.0,415.0,8.0,337.0,103.0,3.0,133.0,17.0,7.0
161,0.0,21.0,2.0,18.0,177.0,64.0,4.0,3.0,288.0,15.0,6.0,1.0,8.0,17.0,5.0,467.0,13.0,30.0,7.0,324.0,149.0,219.0,132.0,97.0,32.0,576.0,36.0,158.0,22.0,19.0
210,3.0,238.0,26.0,21.0,100.0,63.0,6.0,50.0,36.0,77.0,60.0,2.0,43.0,406.0,13.0,122.0,327.0,154.0,30.0,446.0,32.0,108.0,502.0,17.0,445.0,27.0,0.0,293.0,28.0,12.0
259,0.0,10.0,2.0,21.0,23.0,95.0,5.0,619.0,57.0,32.0,4.0,6.0,13.0,247.0,71.0,324.0,96.0,48.0,200.0,14.0,206.0,585.0,72.0,173.0,108.0,43.0,16.0,36.0,3.0,26.0
308,0.0,112.0,1.0,16.0,27.0,39.0,2.0,11.0,140.0,597.0,8.0,3.0,41.0,33.0,12.0,17.0,66.0,132.0,107.0,23.0,52.0,63.0,94.0,7.0,82.0,31.0,275.0,10.0,5.0,129.0
357,0.0,5.0,2.0,140.0,36.0,17.0,21.0,109.0,23.0,597.0,8.0,1.0,3.0,48.0,7.0,238.0,466.0,43.0,133.0,208.0,232.0,387.0,501.0,11.0,29.0,357.0,482.0,4.0,44.0,274.0
406,0.0,3.0,2.0,22.0,10.0,13.0,1.0,253.0,32.0,42.0,4.0,8.0,7.0,14.0,157.0,420.0,254.0,223.0,219.0,82.0,43.0,67.0,79.0,25.0,323.0,44.0,437.0,28.0,16.0,144.0
455,2.0,4.0,5.0,82.0,16.0,27.0,25.0,225.0,102.0,132.0,3.0,0.0,7.0,34.0,133.0,79.0,221.0,359.0,35.0,517.0,12.0,169.0,246.0,268.0,47.0,460.0,28.0,8.0,121.0,48.0
