,BRAF.V600E_MUT,BRAF_MUT,BRAF.MC_MUT,DIAPH2_DEL,OR51A2_AMP,FLT1_MUT,ESPNP_DEL,PLCL1_DEL,FZD1_MUT,DPP6_DEL,TTN_MUT,KGFLP2_DEL,SYT12_AMP,MGC21881_DEL,TBL1X_DEL,YY1AP1_AMP,RABGAP1L_AMP,GUCY1A2_MUT,MAD1L1_DEL,MIR4728_AMP,CYP4F12_DEL,OR4N4_DEL,IKZF3_AMP,NR2F2_DEL,PGAP3_AMP,MAML3_MUT,MIEN1_AMP,FAM86DP_DEL,PRH1-PRR4_DEL,RYR2_AMP
28,2.0,0.0,6.0,2182.0,713.0,16629.0,6278.0,10322.0,499.0,28.0,41.0,112.0,19537.0,162.0,5.0,22605.0,2550.0,1015.0,151.0,8.0,110.0,88.0,10.0,1082.0,69.0,16939.0,169.0,73.0,2349.0,108.0
77,7.0,0.0,212.0,648.0,13529.0,1310.0,625.0,12.0,15.0,5909.0,5954.0,4.0,40.0,9.0,3.0,2065.0,19379.0,12570.0,11.0,16796.0,13.0,6372.0,1142.0,1013.0,23202.0,3146.0,22949.0,152.0,19167.0,22704.0
126,0.0,1.0,30.0,11.0,1534.0,1157.0,319.0,728.0,2011.0,2384.0,2723.0,8742.0,19287.0,3740.0,122.0,22114.0,19721.0,726.0,9017.0,16241.0,33.0,1391.0,957.0,1120.0,19761.0,16967.0,23121.0,7656.0,180.0,5.0
175,0.0,4.0,9070.0,7085.0,2051.0,709.0,148.0,20.0,16785.0,1020.0,880.0,1206.0,360.0,107.0,7979.0,22601.0,19655.0,129.0,565.0,197.0,347.0,1726.0,13582.0,189.0,38.0,81.0,23117.0,5.0,966.0,835.0
224,1.0,0.0,2.0,6.0,897.0,162.0,294.0,675.0,17012.0,23.0,1301.0,722.0,19315.0,16.0,7973.0,200.0,250.0,695.0,50.0,16324.0,75.0,6238.0,889.0,1533.0,40.0,16955.0,23089.0,1748.0,1917.0,21976.0
273,0.0,38.0,11.0,4796.0,14449.0,194.0,429.0,9.0,88.0,2565.0,87.0,771.0,89.0,33.0,96.0,942.0,16.0,2212.0,825.0,23.0,538.0,13.0,450.0,59.0,19842.0,504.0,1236.0,7857.0,195.0,1220.0
322,3.0,0.0,172.0,8.0,999.0,132.0,6820.0,117.0,2986.0,6192.0,4820.0,12006.0,20.0,274.0,12231.0,15759.0,1626.0,8619.0,239.0,181.0,485.0,6.0,59.0,8697.0,23314.0,370.0,24051.0,1270.0,18723.0,34.0
371,0.0,3.0,2.0,73.0,14472.0,657.0,1742.0,143.0,16759.0,4568.0,38.0,11857.0,7.0,163.0,241.0,1272.0,19637.0,1772.0,23.0,18.0,8098.0,6155.0,1014.0,1254.0,322.0,16938.0,23103.0,66.0,155.0,363.0
420,16.0,1.0,0.0,24.0,758.0,103.0,166.0,37.0,88.0,5581.0,2393.0,460.0,450.0,4657.0,2609.0,22113.0,362.0,623.0,3.0,109.0,494.0,1026.0,13609.0,29.0,76.0,16956.0,812.0,7944.0,92.0,875.0
469,0.0,1.0,2.0,13.0,14887.0,9.0,64.0,10116.0,1554.0,2480.0,22.0,11805.0,19697.0,91.0,450.0,1873.0,607.0,16395.0,25.0,16299.0,448.0,2450.0,13507.0,7902.0,19780.0,426.0,23232.0,49.0,1507.0,1518.0
