,Caspase-7_cleavedD198,Chk1,MSH6,GAPDH,Stathmin,Lck,PTEN,RAD51,PDCD4,Notch1,4E-BP1,Beclin,Src_pY416,MDMX_MDM4(BetIHC-00108),Caveolin-1,p53,FRA1,Smad4,Chk1_pS345,EGFR,PKC-pan_BetaII_pS660,GSK3-alpha-beta,PEA15_pS116,p70S6K_pT389,GSK3-alpha-beta_pS21_S9,eEF2,TAZ,4E-BP1_pT37_T46,PKC-alpha,Rb_pS807_S811
2500,5.0,4.0,2.0,7.0,19.0,3.0,21.0,9.0,1.0,10.0,0.0,6.0,8.0,15.0,26.0,25.0,16.0,12.0,18.0,14.0,17.0,65.0,45.0,64.0,37.0,34.0,22.0,23.0,33.0,29.0
2549,2.0,0.0,3.0,18.0,28.0,10.0,19.0,12.0,4.0,1.0,5.0,21.0,9.0,8.0,13.0,15.0,20.0,16.0,7.0,6.0,14.0,53.0,17.0,75.0,31.0,45.0,37.0,33.0,25.0,32.0
2598,6.0,0.0,9.0,8.0,7.0,1.0,19.0,5.0,33.0,23.0,10.0,11.0,2.0,15.0,4.0,35.0,25.0,18.0,26.0,20.0,3.0,82.0,21.0,97.0,27.0,30.0,61.0,14.0,51.0,22.0
2647,2.0,0.0,10.0,11.0,46.0,8.0,34.0,5.0,14.0,3.0,7.0,1.0,4.0,13.0,20.0,67.0,24.0,9.0,21.0,12.0,6.0,66.0,54.0,47.0,16.0,26.0,22.0,19.0,15.0,50.0
2696,5.0,17.0,4.0,19.0,18.0,0.0,12.0,1.0,3.0,8.0,9.0,21.0,33.0,10.0,22.0,78.0,2.0,6.0,13.0,20.0,11.0,35.0,30.0,95.0,25.0,23.0,16.0,27.0,15.0,28.0
2745,1.0,3.0,6.0,11.0,43.0,8.0,7.0,2.0,10.0,16.0,9.0,22.0,0.0,12.0,4.0,5.0,21.0,26.0,18.0,13.0,20.0,53.0,25.0,55.0,17.0,15.0,31.0,23.0,33.0,35.0
2794,2.0,0.0,1.0,25.0,16.0,4.0,27.0,9.0,5.0,3.0,6.0,23.0,15.0,24.0,13.0,32.0,52.0,12.0,17.0,10.0,14.0,39.0,29.0,79.0,40.0,57.0,11.0,30.0,21.0,28.0
2843,12.0,0.0,7.0,6.0,20.0,4.0,3.0,5.0,10.0,2.0,1.0,19.0,13.0,15.0,9.0,8.0,42.0,33.0,16.0,11.0,17.0,64.0,45.0,31.0,14.0,27.0,22.0,29.0,30.0,32.0
2892,0.0,2.0,17.0,5.0,23.0,13.0,39.0,1.0,6.0,37.0,8.0,9.0,11.0,7.0,4.0,50.0,15.0,10.0,3.0,16.0,14.0,30.0,61.0,64.0,22.0,38.0,73.0,19.0,24.0,67.0
2941,1.0,0.0,10.0,12.0,15.0,7.0,5.0,4.0,3.0,17.0,11.0,20.0,6.0,2.0,14.0,25.0,16.0,22.0,13.0,8.0,45.0,26.0,39.0,79.0,30.0,33.0,21.0,18.0,28.0,42.0
2990,2.0,9.0,7.0,11.0,6.0,8.0,4.0,3.0,0.0,34.0,31.0,33.0,19.0,1.0,27.0,5.0,13.0,28.0,22.0,10.0,21.0,15.0,18.0,77.0,43.0,36.0,35.0,14.0,50.0,29.0
3039,0.0,1.0,5.0,8.0,3.0,6.0,4.0,9.0,2.0,7.0,31.0,26.0,37.0,16.0,14.0,32.0,20.0,49.0,13.0,10.0,25.0,18.0,77.0,98.0,33.0,11.0,62.0,27.0,19.0,81.0
3088,0.0,14.0,4.0,26.0,1.0,2.0,6.0,13.0,3.0,35.0,44.0,12.0,15.0,18.0,22.0,11.0,19.0,52.0,17.0,8.0,7.0,21.0,63.0,120.0,58.0,23.0,32.0,31.0,43.0,25.0
3137,1.0,4.0,3.0,5.0,2.0,29.0,10.0,14.0,0.0,11.0,35.0,22.0,21.0,8.0,16.0,19.0,39.0,20.0,28.0,7.0,15.0,23.0,36.0,88.0,76.0,62.0,45.0,12.0,64.0,27.0
3186,4.0,2.0,5.0,11.0,1.0,7.0,8.0,6.0,3.0,15.0,26.0,23.0,31.0,0.0,10.0,25.0,13.0,18.0,12.0,14.0,20.0,9.0,51.0,47.0,19.0,21.0,45.0,22.0,24.0,65.0
3235,1.0,0.0,7.0,12.0,8.0,26.0,4.0,22.0,3.0,32.0,50.0,68.0,6.0,9.0,5.0,2.0,39.0,77.0,19.0,15.0,13.0,29.0,44.0,25.0,24.0,49.0,11.0,60.0,43.0,27.0
3284,0.0,6.0,7.0,22.0,1.0,5.0,4.0,34.0,2.0,10.0,20.0,27.0,12.0,3.0,15.0,11.0,9.0,64.0,19.0,8.0,16.0,14.0,13.0,88.0,33.0,39.0,21.0,26.0,32.0,37.0
3333,1.0,2.0,28.0,3.0,4.0,7.0,9.0,12.0,0.0,24.0,11.0,39.0,10.0,13.0,15.0,8.0,6.0,30.0,38.0,26.0,18.0,5.0,48.0,141.0,27.0,14.0,44.0,17.0,36.0,51.0
