,HLA-H_DEL,RBFOX1_DEL,PTEN_DEL,DMRTA1_DEL,GOLGA6L10_AMP,ETS1_DEL,LOC390660_AMP,GRIN2A_DEL,FOXN3-AS2_DEL,GRIK4_DEL,TMEM230_DEL,GRIN2D_DEL,GRIN2B_DEL,ZCCHC4_DEL,WDR91_DEL,ABR_DEL,MED4_DEL,ZBTB44_DEL,LINC00339_DEL,TIMM21_DEL,LINC00652_DEL,CCDC59_DEL,SETD2_DEL,MRPL18_DEL,NDUFAF4_DEL,CCDC113_DEL,THYN1_DEL,MRPL15_DEL,STXBP6_DEL,CHMP4A_DEL
34,763.0,18.0,2.0,3.0,24075.0,0.0,5.0,52.0,48.0,45.0,54.0,56.0,47.0,58.0,57.0,49.0,66.0,60.0,50.0,59.0,55.0,64.0,65.0,67.0,68.0,61.0,62.0,70.0,69.0,63.0
83,34.0,20.0,11396.0,44.0,29.0,5743.0,13676.0,54.0,62.0,49.0,72.0,69.0,70.0,67.0,68.0,50.0,60.0,66.0,115.0,55.0,63.0,59.0,64.0,71.0,61.0,65.0,57.0,56.0,101.0,58.0
132,36.0,9299.0,30.0,4.0,24080.0,5754.0,25.0,82.0,64.0,63.0,80.0,78.0,81.0,76.0,77.0,51.0,68.0,75.0,188.0,129.0,71.0,67.0,73.0,72.0,70.0,74.0,86.0,128.0,189.0,66.0
181,0.0,12.0,11.0,42.0,3.0,5750.0,13771.0,48.0,114.0,72.0,50.0,54.0,49.0,56.0,69.0,95.0,67.0,60.0,57.0,59.0,64.0,55.0,62.0,63.0,65.0,61.0,68.0,66.0,70.0,58.0
230,766.0,32.0,11399.0,0.0,3.0,5749.0,41.0,100.0,103.0,104.0,97.0,45.0,78.0,47.0,46.0,106.0,58.0,48.0,61.0,64.0,54.0,59.0,52.0,53.0,55.0,50.0,66.0,65.0,63.0,74.0
279,770.0,23.0,0.0,1.0,24081.0,5753.0,2.0,82.0,102.0,104.0,80.0,57.0,99.0,47.0,49.0,105.0,76.0,53.0,67.0,79.0,60.0,75.0,55.0,50.0,77.0,54.0,73.0,71.0,68.0,74.0
328,2.0,9.0,11396.0,4.0,22.0,5751.0,13770.0,48.0,50.0,52.0,64.0,82.0,83.0,80.0,81.0,53.0,67.0,78.0,187.0,130.0,72.0,66.0,76.0,73.0,70.0,77.0,128.0,170.0,188.0,106.0
377,0.0,21.0,11398.0,10787.0,36.0,5748.0,13771.0,59.0,60.0,61.0,57.0,56.0,58.0,52.0,53.0,81.0,80.0,51.0,68.0,71.0,64.0,79.0,62.0,63.0,65.0,49.0,73.0,72.0,70.0,76.0
426,769.0,9347.0,11399.0,8.0,25.0,32.0,21.0,64.0,65.0,74.0,81.0,80.0,82.0,77.0,79.0,54.0,70.0,76.0,129.0,127.0,72.0,69.0,75.0,73.0,71.0,84.0,67.0,66.0,201.0,68.0
475,21.0,11.0,10.0,34.0,6.0,5743.0,13649.0,54.0,113.0,71.0,57.0,69.0,47.0,63.0,62.0,94.0,48.0,64.0,55.0,60.0,67.0,52.0,44.0,68.0,56.0,65.0,61.0,66.0,59.0,58.0
