,hsa-miR-1977,hsa-miR-142-5p,hsa-miR-199b-5p,hsa-miR-744,hsa-miR-766,hsa-miR-590-5p,hsa-miR-378,hsa-miR-214,hsa-miR-92a,hsa-miR-196b,hsa-miR-1308,hsa-miR-130a,hsa-miR-935,hsa-miR-491-3p,hsa-miR-1296,hcmv-miR-US5-1,hsa-miR-31,hsa-miR-643,hsa-miR-563,hsa-miR-15b,hsv1-miR-H7,hsa-miR-93,hsa-miR-320c,hsa-miR-616,hsa-miR-422a,hsa-miR-128,hsa-miR-597,hsa-miR-620,hsa-miR-578,hsa-miR-205
17,7.0,3.0,2.0,0.0,1.0,4.0,5.0,6.0,21.0,35.0,15.0,8.0,14.0,27.0,30.0,17.0,23.0,28.0,20.0,16.0,9.0,32.0,12.0,33.0,13.0,39.0,38.0,58.0,22.0,10.0
66,5.0,3.0,1.0,0.0,2.0,4.0,10.0,7.0,13.0,6.0,8.0,43.0,9.0,16.0,11.0,31.0,20.0,34.0,14.0,15.0,27.0,26.0,17.0,52.0,33.0,23.0,12.0,24.0,57.0,29.0
115,5.0,7.0,1.0,0.0,2.0,8.0,3.0,4.0,14.0,22.0,16.0,11.0,6.0,18.0,13.0,17.0,24.0,28.0,15.0,10.0,41.0,25.0,23.0,33.0,29.0,27.0,19.0,45.0,31.0,9.0
164,7.0,2.0,0.0,1.0,5.0,6.0,4.0,8.0,13.0,3.0,34.0,15.0,22.0,16.0,11.0,12.0,17.0,26.0,14.0,10.0,18.0,21.0,31.0,36.0,24.0,19.0,30.0,57.0,33.0,43.0
213,15.0,4.0,1.0,3.0,2.0,9.0,0.0,6.0,5.0,35.0,30.0,21.0,16.0,7.0,28.0,12.0,11.0,10.0,14.0,8.0,23.0,20.0,31.0,24.0,19.0,32.0,36.0,13.0,22.0,18.0
262,18.0,4.0,1.0,0.0,6.0,5.0,8.0,2.0,17.0,16.0,25.0,10.0,15.0,13.0,11.0,9.0,22.0,27.0,23.0,12.0,32.0,19.0,28.0,37.0,33.0,29.0,76.0,45.0,7.0,3.0
311,6.0,5.0,1.0,4.0,0.0,11.0,3.0,2.0,14.0,37.0,12.0,10.0,8.0,30.0,18.0,16.0,13.0,19.0,22.0,17.0,23.0,31.0,64.0,51.0,21.0,24.0,27.0,59.0,9.0,7.0
360,5.0,6.0,2.0,0.0,4.0,10.0,3.0,1.0,18.0,20.0,9.0,12.0,7.0,38.0,27.0,14.0,11.0,37.0,17.0,8.0,13.0,24.0,49.0,35.0,19.0,30.0,34.0,47.0,46.0,29.0
409,9.0,5.0,0.0,1.0,4.0,10.0,2.0,3.0,6.0,24.0,13.0,7.0,19.0,14.0,33.0,18.0,15.0,22.0,8.0,16.0,29.0,12.0,34.0,42.0,11.0,21.0,47.0,25.0,32.0,17.0
458,21.0,3.0,5.0,2.0,0.0,9.0,8.0,4.0,15.0,16.0,17.0,1.0,10.0,18.0,23.0,19.0,41.0,11.0,6.0,13.0,12.0,22.0,52.0,26.0,35.0,28.0,24.0,68.0,36.0,7.0
